,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES,TOTALES,TOTALES
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,6,4,6,4,10
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,6,2,6,2,8
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,5,1,5,1,6
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,3,0,3,0,3
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,5,1,5,1,6
REYES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,4,0,4,0,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,3,2,3,2,5
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,3,7,3,7,10
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,3,1,3,4
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,0,1,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,173,54,173,54,227
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,3,2,3,2,5
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,32,7,32,7,39
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,103,38,103,38,141
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,6,1,6,1,7
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,7,1,7,1,8
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,3,0,3,0,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,5,0,5,0,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,4,5,4,5,9
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,20,4,20,4,24
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,3,1,3,1,4
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,0,2,0,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,8,0,8,0,8
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,1,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,4,2,4,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,21,1,21,1,22
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,36,17,36,17,53
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,3,0,3,0,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,4,2,4,2,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,31,6,31,6,37
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,5,3,5,3,8
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,0,2,0,2,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,0,2,0,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,6,1,6,1,7
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,67,26,67,26,93
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,4,0,4,0,4
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,3,0,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,0,1,0,1,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,4,0,4,0,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,0,2,0,2,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,0,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,3,2,3,2,5
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,1,2,1,3
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,1,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,11,1,11,1,12
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,3,0,3,0,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,0,3,0,3,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,4,3,4,3,7
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,4,1,4,1,5
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,1,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,4,0,4,0,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,0,2,0,2
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,86,58,86,58,144
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,3,0,3,0,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,27,4,27,4,31
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,133,51,133,51,184
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,1,2,1,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,5,3,5,3,8
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,14,16,14,16,30
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,8,1,8,1,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,2,0,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,5,2,5,2,7
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-08-01,1,0,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,11,0,11,0,11
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,0,1,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,6,5,6,5,11
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,3,0,3,0,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,26,4,26,4,30
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,3,3,3,3,6
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,14,12,14,12,26
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,3,5,3,5,8
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,75,39,75,39,114
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,1,2,1,3
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,1,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,0,2,0,2,2
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,3,0,3,0,3
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,3,0,3,0,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,4,0,4,0,4
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,1,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,6,2,6,2,8
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,1,1,1,2
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,2,1,2,3
SAN AGUSTIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,3,0,3,0,3
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,11,1,11,1,12
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,3,0,3,0,3
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,106,40,106,40,146
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,23,3,23,3,26
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,137,39,137,39,176
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,7,2,7,9
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,2,1,2,3
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,4,2,4,2,6
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,7,3,7,3,10
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-09-01,2,0,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,17,16,17,16,33
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,0,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,0,1,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,0,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,3,1,3,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,46,3,46,3,49
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,1,2,1,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,9,8,9,8,17
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,7,4,7,4,11
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,1,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,4,0,4,0,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,3,0,3,0,3
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,0,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,138,32,138,32,170
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,3,0,3,0,3
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,3,0,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,0,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,5,5,5,5,10
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,0,2,0,2
PELECHUCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,4,0,4,0,4
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,9,0,9,0,9
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,13,2,13,2,15
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,1,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,0,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,2,2,2,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,5,0,5,0,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,10,2,10,2,12
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,0,1,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,4,0,4,0,4
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,1,1,1,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,5,1,5,1,6
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,57,18,57,18,75
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,0,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,3,1,3,1,4
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,3,1,3,1,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,137,66,137,66,203
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,6,2,6,2,8
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,1,1,1,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,1,1,1,1,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,3,2,3,2,5
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,5,1,5,1,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-10-01,27,0,27,0,27
