,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES,TOTALES,TOTALES
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,3,3,3,3,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,10,8,10,8,18
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,1,1,1,2
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,1,1,1,2
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,1,2,1,3
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,24,19,24,19,43
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,5,3,5,3,8
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,4,1,4,5
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,2,1,2,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,3,2,3,5
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,5,0,5,5
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,15,2,15,2,17
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,28,4,28,4,32
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,3,2,3,5
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,3,1,3,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,6,4,6,4,10
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,6,1,6,7
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,2,0,2,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,5,1,5,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,5,2,5,7
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,3,0,3,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,10,12,10,12,22
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,3,1,3,1,4
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,4,0,4,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,6,1,6,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,0,2,0,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,5,4,5,4,9
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,265,181,265,181,446
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,0,4,0,4
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,241,375,241,375,616
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,3,1,3,1,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,45,7,45,7,52
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,6,7,6,7,13
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,2,1,2,3
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,6,8,6,8,14
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,64,1,64,65
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,41,41,41,41,82
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,3,1,3,1,4
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,9,2,9,11
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,40,20,40,20,60
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,7,4,7,11
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,11,4,11,15
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,1,2,1,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,11,10,11,10,21
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,3,1,3,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,33,21,33,21,54
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,23,23,23,23,46
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,2,4,2,6
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,1,1,1,2
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,9,14,9,14,23
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,0,2,0,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,7,11,7,11,18
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,6,1,6,1,7
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,0,2,0,2
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,0,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,30,31,30,31,61
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,19,15,19,15,34
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,3,1,3,1,4
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,4,7,4,7,11
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,0,2,0,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,4,2,4,2,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,248,240,248,240,488
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,2,0,2,2
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,10,8,10,8,18
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,1,1,1,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,4,0,4,0,4
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,1,2,1,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,4,3,4,3,7
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,14,12,14,12,26
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,162,215,162,215,377
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,1,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,6,11,6,11,17
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,1,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,1,2,1,3
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,2,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,1,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,30,24,30,24,54
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,8,16,8,16,24
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,2,0,2,2
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,3,3,3,3,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,558,238,558,238,796
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,5,3,5,3,8
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,1,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,2,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,1,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,11,5,11,5,16
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,84,162,84,162,246
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,60,105,60,105,165
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,12,5,12,5,17
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,0,2,0,2
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,4,1,4,5
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,5,3,5,3,8
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,3,3,3,3,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,21,19,21,19,40
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,6,4,6,4,10
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,1,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,2,2,2,4
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,9,7,9,7,16
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,22,12,22,12,34
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,3,2,3,5
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,5,0,5,5
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,5,6,5,6,11
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,4,5,4,5,9
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,11,19,11,19,30
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,13,10,13,10,23
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,13,11,13,11,24
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,12,18,12,18,30
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,1,1,1,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,3,1,3,1,4
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,6,6,6,6,12
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,4,12,4,12,16
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,2,1,2,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,1,2,1,3
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,0,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,325,374,325,374,699
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,1,2,1,2,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,387,511,387,511,898
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,1,2,1,3
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,5,5,5,5,10
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,25,21,25,21,46
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,2,2,2,4
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,1,2,1,3
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,7,9,7,9,16
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,0,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,72,68,72,68,140
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,45,51,45,51,96
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,4,0,4,0,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,3,6,3,6,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,30,18,30,18,48
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,10,7,10,7,17
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,2,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,5,15,5,15,20
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,32,26,32,26,58
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,13,21,13,21,34
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,13,10,13,10,23
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-06-01,11,2,11,2,13
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,12,4,12,4,16
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,1,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,2,0,2,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,3,7,3,7,10
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,39,45,39,45,84
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,1,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,2,0,2,2
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,7,10,7,10,17
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,4,52,4,52,56
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,3,3,3,3,6
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,14,20,14,20,34
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,4,2,4,2,6
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,3,3,3,3,6
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,4,2,4,2,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,211,197,211,197,408
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,2,1,2,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,13,8,13,8,21
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,2,1,2,1,3
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,10,14,10,14,24
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,128,101,128,101,229
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,11,3,11,3,14
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,3,1,3,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,1,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,7,3,7,3,10
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,6,6,6,6,12
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,4,1,4,5
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,1,0,1,1
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,3,2,3,2,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,510,666,510,666,1176
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,1,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,2,0,2,0,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,1,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,1,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,6,9,6,9,15
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,71,125,71,125,196
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,3,1,3,4
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,2,0,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,66,65,66,65,131
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,12,17,12,17,29
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,13,13,13,13,26
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,2,1,2,3
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,33,26,33,26,59
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,1,4,1,4,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,6,4,6,4,10
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-07-01,0,1,0,1,1
