,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES,TOTALES,TOTALES
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,48,58,48,58,106
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,7,9,7,9,16
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,4,0,4,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,3,5,3,5,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,60,66,60,66,126
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,4,1,4,5
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,7,0,7,7
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,11,11,11,11,22
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,21,36,21,36,57
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,317,371,317,371,688
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,8,13,8,13,21
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,4,1,4,5
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,8,17,8,17,25
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,1,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,5,0,5,5
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,88,179,88,179,267
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,3,21,3,21,24
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,10,0,10,10
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,7,26,7,26,33
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,1,1,1,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,2,0,2,2
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,150,274,150,274,424
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,2,1,2,3
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,5,1,5,6
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,1,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,4,2,4,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,42,83,42,83,125
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,2,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,176,275,176,275,451
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,5,9,5,9,14
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,1,2,1,3
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,15,47,15,47,62
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,1,2,1,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,7,16,7,16,23
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,13,28,13,28,41
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,9,2,9,11
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,11,6,11,6,17
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,5,7,5,7,12
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,5,7,5,7,12
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,14,11,14,11,25
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,7,6,7,6,13
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,5,14,5,14,19
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,1,2,1,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,3,4,3,4,7
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,6,2,6,8
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,10,18,10,18,28
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,5,3,5,3,8
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,1,1,1,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,8,2,8,10
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,3,2,3,5
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,3,9,3,9,12
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,3,5,3,5,8
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,5,2,5,7
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1121,419,1121,419,1540
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,3,1,3,1,4
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,4,1,4,1,5
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,1,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,177,325,177,325,502
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,1,1,1,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,1,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,3,18,3,18,21
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,2,0,2,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,2,1,2,3
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,162,374,162,374,536
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,14,14,14,14,28
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,1,0,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,4,0,4,0,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,4,2,4,2,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,5,8,5,8,13
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,19,29,19,29,48
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,3,0,3,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,3,10,3,10,13
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,5,2,5,2,7
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,13,16,13,16,29
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,10,15,10,15,25
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,32,43,32,43,75
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,26,21,26,21,47
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,1,2,1,3
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,7,9,7,9,16
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,3,1,3,4
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,41,73,41,73,114
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,6,12,6,12,18
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,3,2,3,2,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,5,6,5,6,11
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,52,56,52,56,108
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,14,24,14,24,38
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,16,15,16,15,31
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,16,45,16,45,61
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,335,431,335,431,766
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,2,17,2,17,19
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,3,8,3,8,11
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,3,4,3,4,7
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,3,0,3,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,6,13,6,13,19
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,5,0,5,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,82,195,82,195,277
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,12,50,12,50,62
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,8,0,8,8
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,2,7,2,7,9
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,3,1,3,4
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,21,35,21,35,56
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,3,0,3,3
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,3,0,3,0,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,238,431,238,431,669
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,3,0,3,0,3
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,18,0,18,18
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,5,3,5,3,8
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,58,100,58,100,158
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,187,322,187,322,509
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,9,3,9,3,12
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,18,41,18,41,59
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,2,1,2,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,26,35,26,35,61
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,3,1,3,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,10,7,10,7,17
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,3,5,3,5,8
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,4,0,4,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,13,8,13,8,21
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,3,1,3,4
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,11,25,11,25,36
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,9,9,9,9,18
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,7,12,7,12,19
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,9,11,9,11,20
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,2,3,2,3,5
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,5,3,5,3,8
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,2,1,2,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,2,2,2,2,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,8,20,8,20,28
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,13,54,13,54,67
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,55,74,55,74,129
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,6,17,6,17,23
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,2,2,2,2,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,2,7,2,7,9
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,2,3,2,3,5
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,708,319,708,319,1027
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,4,1,4,5
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,167,383,167,383,550
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,3,0,3,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,14,12,14,12,26
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,4,1,4,5
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,0,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,0,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,255,583,255,583,838
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,26,32,26,32,58
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,1,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,12,14,12,14,26
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,4,4,4,4,8
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,11,13,11,13,24
