,group,variable,month,DPT 4TA DOSIS CANTIDAD,DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,1,14,1,14,15
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,6,23,6,23,29
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,16,2,16,18
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,5,3,5,3,8
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,40,31,40,31,71
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,722,128,722,128,850
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,6,1,6,1,7
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,18,0,18,18
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,4,7,4,7,11
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,6,2,6,8
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,3,0,3,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,102,180,102,180,282
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,5,5,5,5,10
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,19,2,19,21
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,298,278,298,278,576
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,20,41,20,41,61
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,6,11,6,11,17
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,3,35,3,35,38
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,1,4,1,4,5
TRIGAL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,5,9,5,9,14
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,43,1,43,1,44
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,15,0,15,15
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,9,0,9,0,9
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,24,0,24,0,24
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,50,39,50,39,89
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,59,61,59,61,120
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,74,26,74,26,100
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,37,45,37,45,82
YACO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,2,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,123,22,123,22,145
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,34,16,34,16,50
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,8,51,8,51,59
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,11,14,11,14,25
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,10,13,10,13,23
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,30,823,30,823,853
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,20,173,20,173,193
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,6,21,6,21,27
ALCALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,43,0,43,43
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,9,15,9,15,24
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,12,220,12,220,232
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,21,0,21,21
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,236,45,236,45,281
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,16,0,16,16
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,72,164,72,164,236
BATALLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,1,3,1,3,4
BAURES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,86,0,86,86
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,13,0,13,13
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,8,0,8,0,8
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,56,0,56,56
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,6,2,6,2,8
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,23,12,23,12,35
CAIROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,3,43,3,43,46
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,19,79,19,79,98
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,71,157,71,157,228
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,30,0,30,30
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,8,135,8,135,143
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,12,15,12,15,27
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,17,19,17,19,36
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,8,14,8,14,22
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,99,0,99,99
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,27,83,27,83,110
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,345,0,345,345
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,5,15,5,15,20
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,15,38,15,38,53
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,16,0,16,16
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,91,539,91,539,630
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,4,45,4,45,49
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,15,20,15,20,35
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,52,130,52,130,182
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,55,0,55,55
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,53,85,53,85,138
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,2,19,2,19,21
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,298,53,298,53,351
COIPASA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,2,0,2,2
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,66,0,66,0,66
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,17,0,17,17
COLLANA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,2,0,2,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,9,22,9,22,31
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,14,1,14,1,15
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,3,208,3,208,211
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,2,10,2,10,12
COMBAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,85,0,85,85
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,64,57,64,57,121
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,2,80,2,80,82
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,1,36,1,36,37
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,159,90,159,90,249
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,2,0,2,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,9,7,9,7,16
CURVA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,42,0,42,42
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,727,1394,727,1394,2121
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,90,4,90,4,94
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,2,7,2,7,9
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,71,14,71,14,85
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,21,169,21,169,190
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,3,0,3,0,3
ESCARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,2,0,2,2
ESCOMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,24,13,24,13,37
ESMERALDA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,5,0,5,5
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,4,0,4,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,8,0,8,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,10,0,10,0,10
GUANAY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,231,0,231,231
GUAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,60,0,60,60
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,50,12,50,12,62
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,9,10,9,10,19
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,19,0,19,19
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,26,65,26,65,91
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,2,4,2,4,6
HUARINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,28,69,28,69,97
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,10,20,10,20,30
HUMANATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,10,4,10,4,14
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,71,139,71,139,210
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,79,94,79,94,173
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,18,43,18,43,61
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,11,98,11,98,109
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,7,9,7,9,16
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,548,1275,548,1275,1823
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,3,0,3,3
LAJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,166,0,166,166
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,2,18,2,18,20
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,15,65,15,65,80
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,7,47,7,47,54
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,22,103,22,103,125
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,108,0,108,108
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,1,6,1,6,7
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,26,7,26,7,33
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,82,0,82,0,82
MAPIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,40,0,40,40
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,4,30,4,30,34
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,45,0,45,45
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,104,235,104,235,339
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,50,34,50,34,84
MORO MORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,7,0,7,7
OKINAWA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,9,12,9,12,21
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,20,82,20,82,102
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,287,1425,287,1425,1712
PADILLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,77,145,77,145,222
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,31,153,31,153,184
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,7,44,7,44,51
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,130,36,130,36,166
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,7,55,7,55,62
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,93,0,93,0,93
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,14,71,14,71,85
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,1,0,1,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,19,42,19,42,61
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,30,125,30,125,155
POOPO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,24,70,24,70,94
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,43,170,43,170,213
PORONGO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,12,65,12,65,77
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,91,5,91,5,96
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,255,1058,255,1058,1313
PRESTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,5,136,5,136,141
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,2,0,2,2
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,33,0,33,33
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,7,128,7,128,135
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,24,50,24,50,74
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,46,11,46,11,57
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,55,67,55,67,122
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,38,65,38,65,103
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,61,0,61,61
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,21,21,21,21,42
QUIME,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,227,0,227,227
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,13,0,13,0,13
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,27,32,27,32,59
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,100,0,100,100
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,5,29,5,29,34
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,4,227,4,227,231
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,132,165,132,165,297
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,4,0,4,4
SACACA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,6,0,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,12,136,12,136,148
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,120,0,120,0,120
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,42,49,42,49,91
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,4,38,4,38,42
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,9,85,9,85,94
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,55,233,55,233,288
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,37,0,37,37
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,120,34,120,34,154
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,39,97,39,97,136
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,469,174,469,174,643
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,7,0,7,7
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,2,4,2,4,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,1,28,1,28,29
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,31,45,31,45,76
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,5,32,5,32,37
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,68,179,68,179,247
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,8,40,8,40,48
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,50,49,50,49,99
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,36,0,36,36
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,18,39,18,39,57
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,18,0,18,0,18
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,1187,0,1187,1187
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,771,41,771,41,812
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,3,0,3,0,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,53,16,53,16,69
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,122,0,122,122
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,4,138,4,138,142
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,8,70,8,70,78
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,10,0,10,10
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,15,130,15,130,145
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,35,11,35,11,46
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,8,184,8,184,192
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,16,55,16,55,71
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,18,24,18,24,42
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,27,254,27,254,281
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,441,0,441,441
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,222,425,222,425,647
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,48,0,48,48
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,75,138,75,138,213
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,2,67,2,67,69
TAHUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,131,0,131,131
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,16,141,16,141,157
TARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,115,105,115,105,220
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,331,74,331,74,405
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,110,181,110,181,291
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,10,0,10,10
TIPUANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,27,20,27,20,47
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,12,29,12,29,41
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,10,9,10,9,19
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,3,0,3,3
TODOS SANTOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,18,11,18,11,29
TOLEDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,21,88,21,88,109
TOMAVE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,4,36,4,36,40
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,40,65,40,65,105
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,1,9,1,9,10
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,27,31,27,31,58
TRIGAL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,3,13,3,13,16
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,136,384,136,384,520
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,20,9,20,9,29
TURCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,46,0,46,46
UMALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,3,0,3,3
UNCIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,16,13,16,13,29
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,42,19,42,19,61
URUBICHA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,370,0,370,370
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,47,16,47,16,63
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,63,25,63,25,88
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,0,3,0,3,3
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-10-01,78,97,78,97,175
