,group,variable,month,DPT 3RA DOSIS CANTIDAD,DPT 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,6,0,6,6
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,102,58,102,58,160
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,6,0,6,6
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,21,0,21,21
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,19,0,19,19
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,3,2,3,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,6,8,6,8,14
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,3,0,3,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,2,0,2,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,146,0,146,146
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,3,5,3,5,8
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,0,2,0,2
VILA VILA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,3,0,3,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,3,0,3,0,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,2,0,2,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,12,0,12,0,12
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,21,0,21,21
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,2,0,2,0,2
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,10,0,10,0,10
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,16,19,16,19,35
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,3,1,3,1,4
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,10,0,10,10
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,7,0,7,0,7
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,2,1,2,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,22,121,22,121,143
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,14,0,14,14
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,1,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,16,4,16,4,20
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,68,0,68,68
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,5,0,5,5
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,3,0,3,0,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,4,0,4,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,2,0,2,0,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,1,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,4,1,4,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,3,1,3,1,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,4,1,4,1,5
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,21,0,21,0,21
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,3,0,3,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,1,1,1,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,10,0,10,0,10
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,2,0,2,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,2,0,2,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,53,13,53,13,66
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,3,0,3,0,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,3,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,1,1,1,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,3,0,3,0,3
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,0,3,0,3,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,0,1,0,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,6,0,6,0,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-12-01,1,2,1,2,3
