,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,3,0,3,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,2,0,2,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,3,2,3,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,9,3,9,3,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,0,2,0,2
COPACABANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,5,0,5,5
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,9,0,9,9
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,4,1,4,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,21,12,21,12,33
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,2,1,2,3
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,51,0,51,51
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,7,0,7,0,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,21,4,21,4,25
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,0,2,0,2
LLICA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,0,2,0,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,3,0,3,0,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,3,1,3,1,4
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,3,0,3,0,3
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
PORCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,3,0,3,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,29,0,29,29
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,3,0,3,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,68,0,68,0,68
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,26,2,26,2,28
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,3,0,3,3
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,2,0,2,2
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,4,0,4,0,4
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,5,2,5,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,7,13,7,13,20
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,34,1,34,35
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,3,2,3,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,25,0,25,0,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,41,49,41,49,90
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,7,4,7,4,11
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,2,0,2,2
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,75,0,75,75
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,5,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,4,4,4,4,8
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
VILA VILA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,3,0,3,3
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,2,0,2,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,5,0,5,5
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,14,0,14,0,14
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,2,0,2,2
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,10,0,10,10
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,3,0,3,3
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,2,0,2,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,10,0,10,10
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,35,0,35,35
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,2,0,2,2
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,1,1,1,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,2,5,2,5,7
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,21,0,21,0,21
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,5,0,5,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,30,103,30,103,133
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,7,1,7,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,12,1,12,13
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,4,0,4,0,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,5,1,5,1,6
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,30,0,30,30
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,2,0,2,0,2
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,2,1,2,1,3
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,20,0,20,0,20
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,6,1,6,1,7
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,59,44,59,44,103
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,5,0,5,5
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,2,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,4,2,4,2,6
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,14,0,14,0,14
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,43,12,43,12,55
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,9,0,9,0,9
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,5,0,5,0,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,5,0,5,0,5
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,3,0,3,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,4,0,4,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,9,2,9,2,11
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,2,0,2,0,2
YANACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-12-01,2,2,2,2,4
