,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
PALCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,2,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,10,2,10,12
PAZÑA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,3,1,3,4
POOPO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,4,1,4,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,3,1,3,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,47,18,47,18,65
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,19,0,19,19
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,0,3,0,3
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,5,0,5,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,8,9,8,9,17
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,7,1,7,8
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,6,3,6,9
RAVELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
REYES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,1,2,1,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,10,3,10,3,13
SAIPINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,32,3,32,35
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,1,1,1,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,5,1,5,1,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,8,31,8,31,39
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,3,0,3,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,4,0,4,0,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,3,0,3,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,4,2,4,6
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,2,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,2,1,2,3
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,98,455,98,455,553
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,7,0,7,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,6,0,6,6
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,4,0,4,4
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,13,9,13,9,22
SORACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,14,4,14,4,18
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,4,7,4,7,11
TARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,0,3,0,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,21,11,21,11,32
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,0,2,0,2
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,5,0,5,5
TIPUANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,8,3,8,3,11
TOMAVE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,5,0,5,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,6,113,6,113,119
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,1,1,1,2
UNCIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,1,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,3,0,3,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,17,0,17,0,17
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,8,0,8,8
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,11,15,11,15,26
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,1,1,1,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,4,0,4,0,4
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,16,0,16,0,16
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,3,1,3,4
YANACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,7,0,7,7
ANZALDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,3,0,3,0,3
APOLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,3,0,3,0,3
AYATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,7,0,7,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,3,6,3,6,9
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,3,0,3,3
CAJUATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,0,2,0,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,1,2,1,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,6,0,6,0,6
CHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,5,1,5,6
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,5,5,5,5,10
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,5,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,106,53,106,53,159
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,35,16,35,16,51
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,2,2,2,4
COMARAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,5,0,5,5
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,3,2,3,2,5
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,60,3,60,3,63
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,9,4,9,4,13
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
ESCOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,4,0,4,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,2,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,9,0,9,9
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,4,1,4,1,5
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,8,0,8,0,8
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,6,1,6,1,7
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,6,0,6,0,6
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,53,6,53,6,59
LAJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,22,34,22,34,56
LORETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,2,2,2,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,4,0,4,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,20,11,20,11,31
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,7,1,7,8
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,21,0,21,0,21
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,17,0,17,17
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,2,1,2,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,5,0,5,5
POCOATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,4,0,4,4
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,27,2,27,2,29
PUCARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,2,0,2,2
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,28,2,28,2,30
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,5,22,5,22,27
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,14,4,14,4,18
SACACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,4,0,4,4
SAIPINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,0,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,5,2,5,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,4,2,4,6
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,3,0,3,3
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,4,13,4,13,17
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,5,3,5,3,8
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,37,29,37,29,66
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,15,0,15,15
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,2,0,2,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,5,0,5,0,5
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,175,40,175,40,215
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,6,4,6,4,10
SORACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,28,8,28,8,36
TACACOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,2,1,2,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,3,1,3,1,4
TARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,0,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,11,0,11,0,11
TARVITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,32,0,32,0,32
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,16,14,16,14,30
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,2,1,2,1,3
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,3,0,3,0,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,4,0,4,0,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,8,6,8,6,14
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,9,6,9,6,15
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,5,11,5,11,16
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,3,9,3,9,12
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,1,0,1,0,1
YANACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-07-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,7,0,7,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,2,0,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,5,4,5,4,9
BERMEJO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,5,0,5,5
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,8,0,8,8
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,4,0,4,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,4,0,4,0,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,5,0,5,5
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,7,7,7,7,14
CHUMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,3,3,3,3,6
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,2,1,2,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,93,30,93,30,123
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,3,0,3,3
COLLANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
COPACABANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,5,0,5,5
CORIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,3,0,3,0,3
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,3,0,3,3
CORQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,3,1,3,1,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,40,1,40,1,41
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,6,0,6,0,6
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,3,2,3,2,5
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,4,4,4,4,8
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,2,1,2,3
HUACARETA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,1,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,54,8,54,8,62
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,17,1,17,18
MACHARETI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,2,1,2,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,5,12,5,12,17
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,25,0,25,25
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,19,1,19,1,20
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,6,6,6,6,12
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
POROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,14,0,14,0,14
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,4,1,4,5
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,15,9,15,9,24
RAVELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,2,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,2,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,4,2,4,2,6
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,2,0,2,0,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,5,5,5,5,10
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-08-01,3,1,3,1,4
