,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,95,8,95,8,103
MORO MORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,15,0,15,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,9,0,9,9
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,4,0,4,4
OKINAWA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,15,12,15,12,27
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,8,0,8,0,8
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,2,0,2,2
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,13,31,13,31,44
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,15,0,15,0,15
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,4,18,4,18,22
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,11,33,11,33,44
PORONGO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,15,1,15,1,16
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,96,5,96,5,101
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,13,5,13,5,18
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,19,7,19,7,26
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,4,14,4,14,18
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,32,0,32,0,32
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,22,18,22,18,40
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,12,3,12,3,15
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,43,139,43,139,182
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,0,5,0,5
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,7,31,7,31,38
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,15,5,15,5,20
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,26,147,26,147,173
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,44,188,44,188,232
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,42,6,42,6,48
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,9,6,9,6,15
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,4,0,4,0,4
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,1,14,1,14,15
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,6,23,6,23,29
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,1,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,16,2,16,18
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,3,5,3,8
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,40,31,40,31,71
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,436,128,436,128,564
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,6,1,6,1,7
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,18,0,18,18
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,4,7,4,7,11
SORACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,6,2,6,8
SORATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,65,56,65,56,121
TACACOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,5,5,5,10
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,19,2,19,21
TARATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,18,21,18,21,39
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,72,30,72,30,102
TARVITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,21,41,21,41,62
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,6,11,6,11,17
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,3,31,3,31,34
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,1,4,1,4,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,37,0,37,0,37
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,8,5,8,13
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,0,5,0,5
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,24,0,24,0,24
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,50,40,50,40,90
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,55,55,55,55,110
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,76,26,76,26,102
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,37,42,37,42,79
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,65,0,65,0,65
YAPACANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,34,16,34,16,50
YOTALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,8,0,8,8
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,10,5,10,15
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,10,13,10,13,23
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,7,26,7,26,33
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,5,17,5,17,22
ALCALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,43,0,43,43
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,236,45,236,45,281
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,6,0,6,6
AZURDUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,7,13,7,13,20
BATALLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,1,3,1,3,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,11,0,11,11
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,56,0,56,56
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,6,0,6,0,6
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,20,12,20,12,32
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,49,0,49,49
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,17,19,17,19,36
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,27,83,27,83,110
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,22,0,22,22
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,5,12,5,12,17
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,15,28,15,28,43
CATACORA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,16,0,16,16
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,91,539,91,539,630
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,4,45,4,45,49
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,52,129,52,129,181
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,21,63,21,63,84
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,27,2,27,29
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,177,8,177,8,185
COIPASA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,2,0,2,2
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,58,0,58,0,58
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,9,22,9,22,31
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,22,166,22,166,188
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,51,67,51,67,118
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,1,36,1,36,37
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,159,90,159,90,249
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,137,84,137,84,221
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,90,4,90,4,94
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,7,2,7,9
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,40,12,40,12,52
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,21,75,21,75,96
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,3,0,3,0,3
ESCARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,2,0,2,2
ESMERALDA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,5,0,5,5
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,4,0,4,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,10,0,10,0,10
GUANAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,170,0,170,170
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,43,10,43,10,53
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,1,5,1,5,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,26,65,26,65,91
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,4,2,4,6
HUARINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,9,0,9,9
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,7,19,7,19,26
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,25,50,25,50,75
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,20,46,20,46,66
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,17,26,17,26,43
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,7,2,7,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,88,211,88,211,299
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,3,0,3,3
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,11,2,11,13
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,15,57,15,57,72
LORETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,135,2,135,137
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,102,0,102,102
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,82,0,82,0,82
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,4,12,4,12,16
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,9,2,9,2,11
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,50,34,50,34,84
MORO MORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,5,0,5,5
OKINAWA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,9,12,9,12,21
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,19,81,19,81,100
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,276,953,276,953,1229
PADILLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,19,0,19,19
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,31,129,31,129,160
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,28,0,28,28
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,7,55,7,55,62
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,93,0,93,0,93
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,71,0,71,71
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,6,11,6,11,17
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,30,110,30,110,140
POOPO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,19,0,19,19
PORCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,47,230,47,230,277
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,21,34,21,34,55
PORONGO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,6,51,6,51,57
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,4,0,4,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,209,351,209,351,560
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,4,0,4,4
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,24,50,24,50,74
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,46,11,46,11,57
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,55,65,55,65,120
PUNA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,9,0,9,9
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,21,28,21,28,49
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,13,0,13,0,13
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,27,32,27,32,59
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,13,0,13,13
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,10,0,10,10
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,126,144,126,144,270
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,6,0,6,6
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,120,0,120,0,120
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,10,22,10,22,32
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,16,0,16,16
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,82,45,82,45,127
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,37,0,37,37
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,34,39,34,39,73
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,458,154,458,154,612
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,7,0,7,7
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,4,2,4,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,28,0,28,28
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,5,0,5,0,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,8,40,8,40,48
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,50,49,50,49,99
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,18,0,18,0,18
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,1187,0,1187,1187
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,741,74,741,74,815
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,3,0,3,0,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,53,16,53,16,69
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,4,115,4,115,119
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,9,9,9,9,18
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,35,11,35,11,46
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,16,55,16,55,71
SORACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,27,254,27,254,281
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,102,138,102,138,240
TACACOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,6,0,6,6
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,18,0,18,18
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,67,2,67,69
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,61,0,61,61
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,129,42,129,42,171
TARVITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,13,28,13,28,41
TIPUANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,27,20,27,20,47
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,7,3,7,3,10
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,5,0,5,0,5
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,3,0,3,3
TODOS SANTOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,18,11,18,11,29
TOLEDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,21,88,21,88,109
TOMAVE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,5,0,5,5
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,6,0,6,0,6
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,1,9,1,9,10
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,27,31,27,31,58
TRIGAL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,12,0,12,12
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,50,123,50,123,173
TUPIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,7,1,7,1,8
TURCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,26,0,26,26
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,28,3,28,3,31
URUBICHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,243,0,243,243
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,4,0,4,0,4
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,1,0,1,1
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,22,0,22,0,22
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,11,15,11,15,26
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,51,25,51,25,76
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,52,97,52,97,149
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,37,9,37,9,46
VITICHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,22,0,22,22
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,66,31,66,31,97
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,156,3,156,3,159
YAPACANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,227,0,227,0,227
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,2,11,2,11,13
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-10-01,0,4,0,4,4
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,11,1,11,12
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,5,3,5,3,8
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,4,5,4,5,9
