,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,2,2,2,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,43,5,43,5,48
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
LLICA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,4,1,4,1,5
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,7,1,7,1,8
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,1,2,1,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,4,0,4,0,4
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,0,2,0,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,3,1,3,1,4
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,6,0,6,6
RAVELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,3,12,3,12,15
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,4,0,4,0,4
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,10,0,10,10
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,2,0,2,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,2,0,2,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,53,25,53,25,78
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,7,1,7,1,8
TACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
TARACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,9,0,9,0,9
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,3,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,5,12,5,12,17
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,3,0,3,0,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,17,15,17,15,32
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,3,1,3,4
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,3,2,3,2,5
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,6,0,6,0,6
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,3,2,3,5
YANACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,9,0,9,0,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,5,0,5,0,5
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,4,0,4,0,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,2,0,2,0,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,6,3,6,3,9
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,2,1,2,1,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,3,0,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,3,2,3,2,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,28,18,28,18,46
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,3,0,3,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,4,0,4,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,5,1,5,1,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,61,155,61,155,216
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,2,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,2,1,2,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,5,1,5,1,6
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,24,9,24,9,33
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,2,1,2,3
LORETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,2,1,2,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,9,0,9,0,9
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,5,0,5,5
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,3,0,3,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,14,1,14,1,15
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,3,0,3,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,2,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,3,1,3,1,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,5,13,5,13,18
RAVELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,5,0,5,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,4,0,4,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,3,29,3,29,32
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,2,3,2,3,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,2,0,2,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,2,1,2,3
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,5,0,5,5
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,3,0,3,0,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,78,20,78,20,98
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,7,12,7,12,19
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,4,3,4,3,7
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,4,6,4,6,10
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,20,4,20,4,24
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,9,2,9,2,11
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,4,0,4,0,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
YANACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-09-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,0,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,12,0,12,12
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,2,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,14,2,14,16
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,3,1,3,1,4
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,2,2,2,4
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,1,2,1,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,30,4,30,4,34
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,3,4,3,4,7
CORIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,4,0,4,0,4
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,67,17,67,17,84
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,1,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,16,8,16,8,24
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,3,0,3,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,1,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,2,1,2,3
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,5,2,5,2,7
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,24,0,24,24
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,0,2,0,2
POROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,6,0,6,6
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,4,0,4,0,4
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,2,0,2,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,3,2,3,2,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,1,1,1,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,4,33,4,33,37
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,3,1,3,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,10,0,10,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,3,29,3,29,32
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,3,2,3,2,5
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,67,12,67,12,79
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,10,0,10,10
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,8,5,8,5,13
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,10,5,10,5,15
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,2,0,2,0,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,2,1,2,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,5,7,5,7,12
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,2,1,2,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,10,10,10,10,20
URUBICHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,0,1,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,12,4,12,4,16
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,6,0,6,0,6
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-10-01,1,5,1,5,6
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,2,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,4,5,4,5,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,0,2,0,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,1,1,1,2
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,7,0,7,7
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,3,2,3,5
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,13,13,13,13,26
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,1,1,1,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,5,1,5,1,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,50,37,50,37,87
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
ESCOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,8,2,8,10
HUACARETA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,26,9,26,9,35
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,3,10,3,10,13
MACHARETI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,13,2,13,2,15
PADILLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,1,2,1,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,5,4,5,4,9
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,3,1,3,4
