,group,variable,month,DIU: USUARIAS CONTINUAS 10 A 14,DIU: USUARIAS CONTINUAS 15 A 19,DIU: USUARIAS CONTINUAS 20 A 34,DIU: USUARIAS CONTINUAS 35 A 49,DIU: USUARIAS CONTINUAS 50 Y +,DIU: USUARIAS CONTINUAS < A 10,TOTALES
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,2,11,5,0,0,18
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,1,1,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,1,2,3,0,0,6
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,2,2,0,0,4
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,3,0,0,4
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,1,3,2,0,0,6
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,5,0,0,0,0,5
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,2,13,7,0,0,22
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,1,27,6,0,0,34
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,3,25,8,0,0,36
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,2,0,1,0,0,3
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,8,31,8,0,0,47
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,0,1,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,6,7,1,0,0,14
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,5,2,1,0,0,8
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,2,12,6,0,0,20
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,3,0,0,0,3
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,1,1,0,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,1,2,4,1,0,0,8
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,0,1,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,5,1,0,0,6
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,9,42,36,0,0,87
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,5,24,9,0,0,38
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,7,6,0,0,13
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,1,0,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,3,1,0,0,4
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,7,1,0,0,8
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,2,1,0,0,3
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,2,0,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,1,28,5,0,0,34
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,9,5,0,0,14
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-11-01,0,0,2,0,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,1,29,9,0,0,39
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,14,6,1,0,21
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,1,0,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,8,26,8,0,0,42
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,2,1,0,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,1,4,4,0,0,9
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,2,1,0,0,3
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,2,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,4,1,0,0,5
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,6,2,0,0,8
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,1,0,2,0,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,5,1,0,0,6
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,2,0,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,2,1,0,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,2,22,26,0,0,50
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,8,33,9,0,0,50
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,2,6,3,0,0,11
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,1,1,0,0,2
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,1,1,0,0,0,2
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,1,1,1,0,0,3
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,1,7,1,0,0,9
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-12-01,0,2,14,3,0,0,19
