,group,variable,month,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 10 A 14,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 15 A 19,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 20 A 34,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 35 A 49,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 50 Y +,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN < A 10,TOTALES
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,3,8,36,7,1,0,55
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,133,484,1440,487,0,0,2544
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,9,34,7,0,0,51
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,12,42,10,0,0,64
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,9,0,0,0,11
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,2,60,399,123,16,0,600
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,13,8,3,0,27
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,3,21,41,30,1,0,96
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,10,1,0,0,12
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,7,0,0,0,7
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,7,20,15,0,0,42
SAN AGUSTIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,4,1,4,0,0,9
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,8,37,12,0,0,58
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,4,0,0,0,4
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,2,1,1,0,5
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,4,12,1,1,0,18
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,44,22,4,0,71
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,18,50,173,52,8,0,301
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,1,26,9,0,0,37
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,15,37,18,0,0,70
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,20,92,32,8,0,153
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,3,31,162,69,1,0,266
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,12,2,0,0,15
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,10,0,1,0,14
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,10,36,20,0,0,66
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,9,1,0,0,12
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,4,14,2,0,0,20
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,4,32,233,87,6,0,362
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,8,7,1,0,0,16
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,10,56,30,3,0,99
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,29,126,212,142,55,0,564
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,10,38,12,0,2,63
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,10,42,15,1,0,69
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,18,8,1,0,30
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,11,55,32,11,2,111
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,82,36,14,0,0,132
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,4,0,0,0,4
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,9,17,3,0,0,29
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,5,0,0,0,6
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,5,2,0,0,8
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,0,0,0,0,3
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,10,84,29,1,0,124
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,11,16,11,0,0,38
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,19,53,3,0,0,75
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,2,7,18,0,0,0,27
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,20,637,2339,797,161,5,3959
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,4,29,5,0,0,38
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,9,31,17,1,0,58
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,0,2,1,0,0,4
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,5,1,0,0,9
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,5,2,0,0,9
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,5,3,1,0,9
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,7,3,0,0,12
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,3,0,0,0,4
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,4,24,17,10,0,55
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,5,25,1,0,0,32
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,15,112,45,9,0,181
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,28,2,0,0,32
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,10,6,2,0,18
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,14,157,78,9,0,258
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,39,31,31,52,10,0,163
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,10,4,0,0,16
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,2,4,19,5,0,0,30
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,172,678,2345,784,138,2,4119
TACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,3,0,0,0,3
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,8,7,0,0,18
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,4,14,3,0,0,21
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,8,21,4,0,0,33
TAHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,2,1,0,0,4
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,11,38,27,0,0,76
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,67,51,60,51,21,0,250
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,2,0,0,0,2
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,4,25,18,0,0,48
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,183,560,229,16,0,989
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,19,44,22,13,5,0,103
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,4,23,13,2,0,42
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,13,6,0,0,22
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,6,10,2,0,20
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,11,3,0,0,17
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,12,157,55,7,0,232
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,6,8,11,0,0,26
TITO YUPANQUI (PARQUIPUJIO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,15,1,0,0,17
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,7,0,0,0,9
TODOS SANTOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,0,1,0,0,1
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,14,21,9,0,44
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,4,1,0,0,7
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,6,17,8,1,0,32
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,33,42,29,29,14,0,147
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,13,23,16,0,0,52
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,5,32,5,0,0,42
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,6,3,0,0,9
TRIGAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,5,309,653,426,171,47,1611
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,3,28,113,89,20,0,253
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,5,1,0,0,8
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,0,4,6,1,0,12
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,5,29,12,0,0,46
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,7,34,29,1,0,71
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,2,6,2,0,11
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,23,11,112,22,1,0,169
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,5,16,10,2,0,34
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,3,7,1,0,0,11
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,16,89,25,0,0,130
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,3,20,20,2,0,46
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,65,80,11,14,0,0,170
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,2,20,141,76,12,1,252
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,10,0,0,0,10
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,15,3,0,0,19
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,5,23,44,17,4,0,93
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,21,62,249,100,26,4,462
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,10,13,65,26,7,0,121
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,9,71,34,4,0,118
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,22,185,53,5,0,265
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,1,17,28,37,23,0,106
WALDO BALLIVIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,4,0,0,0,5
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,2,189,798,215,20,0,1224
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,2,13,6,0,0,21
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,38,196,80,12,0,326
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,22,53,19,14,3,0,111
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,9,1,0,0,10
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,43,176,82,4,0,305
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,1,19,22,7,4,53
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,21,37,54,32,16,0,160
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,0,0,34,17,4,0,55
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-06-01,25,68,51,23,5,0,172
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,3,6,1,1,0,11
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,4,16,5,0,0,25
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,3,37,9,0,0,49
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,2,10,49,15,2,0,78
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,18,9,0,0,29
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,3,10,7,10,0,0,30
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,7,1,0,0,10
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,0,2,1,0,0,3
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,1,6,1,0,0,8
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,1,4,1,0,0,6
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,7,3,1,0,13
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,8,27,4,1,0,40
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,1,0,0,2
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,1,10,44,9,5,0,69
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,1,4,61,19,1,0,86
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,1,15,19,15,0,0,50
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,1,19,67,35,9,0,131
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,8,32,14,0,0,54
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,13,5,1,0,21
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,10,9,1,0,22
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,3,8,3,1,0,15
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,1,29,82,24,2,0,138
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,21,35,59,26,2,0,143
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,21,5,1,0,29
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,12,9,8,0,0,29
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,1,5,3,0,0,9
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,4,16,3,0,0,23
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,1,14,121,80,9,0,225
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,18,25,6,0,0,49
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,0,6,3,0,0,9
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,12,2,1,0,17
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,21,13,1,0,37
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,2,20,57,22,4,0,105
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,6,17,2,0,0,25
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,6,2,0,0,10
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,7,26,4,1,0,38
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,2,23,4,0,0,29
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-07-01,0,0,7,2,1,0,10
