,group,variable,month,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 10 A 14,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 15 A 19,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 20 A 34,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 35 A 49,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO < A 10,TOTALES
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,1,3,2,0,0,6
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,1,6,1,0,0,8
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,0,1,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,1,3,18,7,0,0,29
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,3,13,6,0,0,22
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,1,2,0,0,0,3
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,1,1,0,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,1,2,1,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,2,2,32,17,4,0,57
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,5,29,9,0,0,43
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,1,8,2,0,0,11
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,1,5,15,4,0,0,25
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,0,3,0,0,0,3
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,0,2,0,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-12-01,0,7,16,6,0,0,29
