,group,variable,month,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 10 A 14,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 15 A 19,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 20 A 34,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 35 A 49,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 50 Y +,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS < A 10,TOTALES
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,1,0,0,2
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,1,4,0,0,0,5
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,5,6,0,12
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,3,2,0,5
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,6,4,1,0,11
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,1,2,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,1,1,0,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,2,0,0,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,1,0,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,1,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,2,1,2,0,5
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,6,131,189,197,34,557
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,8,9,5,0,22
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,1,1,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,8,8,5,0,21
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,1,13,1,0,0,15
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,0,1,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,2,2,1,6
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,0,1,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,0,4,0,4
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,1,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,1,2,0,0,3
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,3,1,0,0,4
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,9,1,1,0,11
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,0,1,0,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-06-01,0,0,5,5,2,0,12
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,1,0,0,2
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,2,0,2
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,2,0,3
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,3,0,1,0,5
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,2,1,0,4
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,2,1,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,9,6,4,0,19
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,32,22,4,0,59
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,2,0,0,3
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,9,4,3,0,16
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,1,0,2
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,2,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,57,44,10,0,111
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,2,0,0,0,2
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,1,0,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,6,5,0,0,11
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,7,5,5,0,18
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,31,59,18,0,109
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,1,0,1
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,2,1,0,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,2,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,45,37,11,1,94
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,2,0,0,0,2
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,2,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,1,1,9,6,9,0,26
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,1,0,1
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,2,1,1,0,5
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,1,0,1
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,0,0,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,1,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,2,0,3
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,3,0,0,0,4
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,4,4,1,0,10
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,2,2,1,0,5
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,1,0,0,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,2,2,1,0,5
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,4,60,85,58,1,208
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,18,4,6,0,28
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,2,10,4,0,16
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,3,0,0,3
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,2,0,2
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,1,0,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,0,1,1
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,6,11,0,18
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,1,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,0,2,0,0,3
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,2,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,0,0,1,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,0,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,1,0,1,3,0,5
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-07-01,0,0,2,2,1,0,5
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,1,0,0,1,0,2
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,4,1,1,0,6
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,1,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,1,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,2,19,24,18,0,63
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,3,2,1,0,6
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,43,19,13,0,75
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,3,2,0,0,5
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,4,3,1,0,8
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,22,39,25,0,86
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,46,26,46,0,118
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,0,0,1
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,1,0,2
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,1,0,1,1,0,3
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,13,9,1,0,23
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,1,4,10,5,0,20
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,3,2,1,0,6
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,2,5,9,3,0,19
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,2,10,5,4,0,21
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,2,0,0,2
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,1,0,0,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,2,0,0,0,2
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,1,1,0,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,1,0,0,2
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,0,0,1
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,2,1,0,3
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,4,105,109,74,0,292
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,16,13,4,0,33
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,10,16,8,0,34
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,1,1,0,3
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,1,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,4,4,1,0,9
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,1,0,2
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,3,0,0,4
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,2,0,0,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,2,0,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,0,0,1,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-08-01,0,0,1,2,2,0,5
