,group,variable,month,PÍLDORA: USUARIAS CONTINUAS 10 A 14,PÍLDORA: USUARIAS CONTINUAS 15 A 19,PÍLDORA: USUARIAS CONTINUAS 20 A 34,PÍLDORA: USUARIAS CONTINUAS 35 A 49,PÍLDORA: USUARIAS CONTINUAS 50 Y +,PÍLDORA: USUARIAS CONTINUAS < A 10,TOTALES
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,4,2,0,0,6
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,1,0,0,2
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,0,3,0,0,4
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,3,13,1,0,0,17
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,7,3,0,0,11
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,8,3,0,0,12
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,2,13,9,0,0,24
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,4,0,0,6
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,4,2,0,0,6
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,1,0,0,2
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,7,2,0,0,9
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,1,0,19,15,4,0,39
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,1,4,9,5,0,0,19
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,3,23,7,3,0,36
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,3,0,0,0,3
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,9,11,0,0,20
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,5,17,3,0,25
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,4,36,18,1,0,59
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,0,2,0,0,2
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,2,6,4,1,0,13
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,2,3,1,0,0,6
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,10,2,0,0,12
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,2,22,10,2,0,36
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,8,2,0,0,10
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,6,6,0,0,12
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,5,4,0,0,9
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,7,1,0,0,8
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,1,1,20,12,0,0,34
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,8,9,1,0,18
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,1,0,0,3
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,1,4,0,0,6
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,3,0,0,0,3
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,15,12,0,0,28
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,3,0,0,0,3
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,0,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,4,5,1,0,10
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,7,94,41,1,0,143
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,3,9,4,0,0,16
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,15,14,1,0,31
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,1,0,0,3
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,2,3,0,0,0,5
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,3,1,0,0,4
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,2,0,0,3
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,0,1,0,0,2
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,21,5,0,0,26
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,0,1,0,0,2
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,4,24,25,0,0,53
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,0,0,0,2
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,1,1,0,0,3
TAHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,2,0,0,4
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,3,0,0,0,3
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,1,0,0,3
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,19,9,0,0,29
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,0,2,0,0,2
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,3,0,0,0,3
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,1,0,0,0,2
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,13,5,0,0,18
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,2,0,0,3
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,1,0,0,2
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,1,0,0,3
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,1,0,0,3
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,3,0,0,4
TRIGAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,3,2,1,0,6
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,3,6,5,1,0,15
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,2,9,7,0,0,18
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,2,0,0,0,2
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,3,11,10,0,0,24
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,5,3,1,0,10
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,6,1,1,0,8
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,5,6,0,0,12
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,1,2,0,0,4
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,7,4,0,0,12
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,5,1,0,0,7
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,8,2,0,0,11
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,2,23,15,1,0,41
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,12,4,0,0,16
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,3,6,4,0,0,13
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,10,3,0,0,14
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,17,92,43,6,0,158
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,1,1,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,1,12,8,0,0,21
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,8,2,0,0,10
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-07-01,0,0,4,1,0,0,5
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,10,4,0,0,14
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,3,1,0,5
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,1,0,0,3
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,7,7,0,0,14
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,3,5,0,0,8
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,5,2,0,0,7
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,2,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,11,6,0,0,17
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,2,0,0,3
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,4,2,0,0,6
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,6,2,0,0,8
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,3,0,0,4
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,1,0,0,2
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,2,8,6,0,0,16
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,9,14,0,0,23
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,3,1,0,0,4
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,1,0,0,3
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,1,0,0,3
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,3,5,0,0,8
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,2,1,0,0,4
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,4,1,0,0,5
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,6,0,0,0,6
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,8,10,0,0,19
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,4,4,0,0,8
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,1,0,0,3
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,12,5,1,0,19
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,4,3,0,0,8
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,3,3,0,0,6
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,2,0,0,3
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,1,0,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,23,8,0,0,32
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,4,39,12,1,0,56
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,7,4,0,0,12
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,1,0,0,2
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,3,3,0,0,6
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,4,2,0,0,7
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,3,1,0,0,4
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,1,0,0,3
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,1,0,0,2
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,5,3,0,0,8
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,2,8,3,0,0,13
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,7,4,0,0,11
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,4,34,17,1,0,56
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,6,2,0,0,8
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,4,0,0,6
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,5,6,0,0,12
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,1,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,33,10,0,0,43
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,2,10,6,0,0,18
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,6,9,2,0,0,17
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,3,0,0,5
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,10,4,0,0,15
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,5,6,0,0,11
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,1,1,3,0,0,0,5
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,0,1,0,1
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,6,18,4,0,0,28
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,1,0,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,4,4,0,0,0,8
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,1,4,0,0,6
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,1,0,2
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,1,0,0,3
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,4,0,0,0,5
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,6,5,0,0,11
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,4,5,0,0,9
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,1,0,0,2
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,0,1,0,0,2
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,6,0,0,0,6
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,1,1,0,4
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,5,3,0,0,8
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,3,0,0,4
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,3,0,0,0,3
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,1,7,1,0,0,9
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,5,26,12,0,0,43
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,1,2,1,0,4
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-08-01,0,0,2,3,0,0,5
