,group,variable,month,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 10 A 14,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 15 A 19,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 20 A 34,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 35 A 49,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 50 Y +,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) < A 10,TOTALES
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,0,3,0,1,0,4
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,0,6,0,0,0,6
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,0,8,1,0,0,9
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,3,14,2,1,0,20
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,3,4,1,0,0,8
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,0,0,0,0,1
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,5,2,0,0,7
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,5,0,0,0,5
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,5,3,0,0,9
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,0,0,0,2
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,0,1,0,0,2
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,1,0,0,2
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,4,0,0,0,4
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,2,0,0,4
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,2,0,0,0,4
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,1,0,0,4
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,1,0,0,3
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,10,3,0,0,15
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,9,10,7,0,0,26
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,1,0,0,2
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,5,1,0,0,6
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,3,54,7,2,2,0,68
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,5,0,0,0,5
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,1,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,4,0,0,0,5
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,1,0,0,3
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,8,4,1,0,15
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,1,0,0,3
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,3,1,1,0,0,5
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,7,23,15,8,1,0,54
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,1,10,4,3,0,0,18
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,7,2,0,0,11
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,0,1,0,0,3
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,3,0,0,5
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,5,22,5,0,0,32
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,1,0,0,0,3
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,5,7,0,1,0,13
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,0,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,7,2,0,0,9
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,12,10,4,0,0,26
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,5,3,0,0,8
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,0,0,0,0,1
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,0,0,0,3
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,3,1,0,1,0,5
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,1,0,0,4
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,3,3,0,0,0,6
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,1,0,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,6,21,22,6,1,0,56
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,11,1,0,0,14
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,11,676,122,24,0,833
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,1,1,0,2
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,2,2,0,0,5
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,6,1,0,0,8
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,1,0,0,2
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,4,18,7,0,0,29
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,4,2,1,0,0,7
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,3,0,0,3
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,11,5,2,0,20
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,4,0,0,0,4
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,1,0,0,3
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,0,1,0,4
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,8,11,4,0,0,23
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,7,1,0,0,10
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,6,5,0,0,11
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,1,12,15,4,0,0,32
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,0,0,0,3
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,3,73,249,47,1,0,373
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,0,0,0,3
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,2,2,0,0,5
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,1,30,15,8,0,0,54
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,14,9,4,2,0,29
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,0,0,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,8,5,3,0,0,16
ESCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,1,0,0,1
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,5,2,0,0,8
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,1,0,0,4
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,3,0,0,0,4
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,4,2,0,0,6
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,2,17,105,52,8,0,184
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,1,9,36,10,2,0,58
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,1,7,24,8,1,0,41
HUACHACALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,0,0,0,3
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,1,13,14,6,0,0,34
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,3,26,13,4,0,0,46
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,1,0,0,3
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,3,1,1,0,6
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,1,0,0,3
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,6,2,0,0,9
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,14,6,0,0,21
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,14,251,30,3,0,298
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,1,0,0,1
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,3,0,0,0,3
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,3,0,0,5
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,3,0,0,4
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,20,91,23,1,0,135
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,3,0,0,0,0,3
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,6,0,0,0,6
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,1,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,10,6,2,0,0,18
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,0,0,1,1
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,1,0,0,3
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,1,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,0,0,0,0,1
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,1,19,7,2,0,0,29
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,28,49,13,4,0,94
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,1,0,0,2
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,1,0,0,0,3
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,6,20,6,1,0,0,33
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,1,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,30,94,25,2,0,151
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,2,1,0,0,5
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,3,10,6,0,0,19
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,3,0,0,0,5
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,4,2,1,0,0,7
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,3,6,1,0,0,10
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,1,1,0,4
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,0,0,0,0,1
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,15,2,0,0,18
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,2,1,0,5
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,1,0,0,3
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,6,25,33,18,1,0,83
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,7,3,0,0,10
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,7,17,9,2,0,35
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,2,12,45,9,0,0,68
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,32,17,3,0,0,52
PUCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,9,3,2,1,0,15
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,0,1,0,1
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,0,1,0,0,3
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,2,0,0,0,2
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,1,0,0,2
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,1,0,0,2
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,3,10,4,0,0,0,17
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,2,9,15,3,0,0,29
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,3,17,10,2,0,0,32
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,0,1,0,0,1
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,3,46,8,0,0,57
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,1,0,0,0,2
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,1,0,0,2
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,2,1,0,0,0,3
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,1,2,0,0,0,3
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,27,128,279,116,0,0,550
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-06-01,0,0,1,0,0,0,1
