,group,variable,month,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 10 A 14,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 15 A 19,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 20 A 34,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 35 A 49,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 50 Y +,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN < A 10,TOTALES
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,7,13,30,15,0,0,65
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,3,6,3,0,12
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,2,0,4,0,0,2,8
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,2,2,2,2,0,0,8
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,0,1,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,0,0,1,0,1
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,13,27,24,7,0,0,71
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,1,0,1,0,0,0,2
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,2,1,1,0,0,4
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,1,2,2,1,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,41,166,65,15,0,287
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,0,0,1,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,0,0,0,1
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,13,28,3,4,1,0,49
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,1,2,0,0,0,3
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,98,243,301,91,19,0,752
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,0,0,0,1
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,1,0,0,0,0,1
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,0,0,0,1
TAHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,0,0,0,1
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,1,0,1,0,0,2
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,27,45,7,4,1,0,84
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,16,115,87,14,0,232
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,15,12,7,1,0,0,35
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,0,0,1,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,2,0,0,0,2
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,3,0,0,0,3
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,21,19,2,3,0,1,46
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,1,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,6,2,0,0,8
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,7,6,2,1,0,16
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,10,2,0,0,12
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,1,5,17,11,4,1,39
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,2,2,0,0,0,4
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,29,28,4,1,0,0,62
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,0,0,0,1
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,1,1,0,0,0,0,2
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,6,5,3,0,1,0,15
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,1,6,2,0,0,9
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,15,10,4,1,0,0,30
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,1,1,0,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,1,0,0,0,1
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,5,4,0,0,0,9
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,2,8,2,3,0,15
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,1,2,1,0,0,4
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,1,3,1,0,0,5
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,14,13,2,0,0,0,29
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,3,33,11,0,0,47
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,0,3,2,0,0,5
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,15,17,11,0,0,0,43
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,0,1,1,1,1,0,4
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-07-01,29,20,5,1,0,0,55
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,1,0,0,0,2
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,2,0,0,0,0,2
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,1,2,1,0,0,0,4
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,1,3,1,1,0,0,6
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,1,2,5,1,0,0,9
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,5,1,0,0,0,6
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,2,0,0,0,3
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,3,4,2,0,0,9
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,20,25,2,1,0,0,48
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,2,0,0,0,0,2
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,3,0,0,0,0,3
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,5,7,1,1,0,0,14
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,1,0,1,0,3
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,2,0,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,4,10,1,0,0,15
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,23,16,8,3,0,0,50
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,12,2,6,0,0,0,20
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,14,3,0,0,18
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,2,1,1,2,0,6
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,1,0,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,6,1,0,0,7
CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,2,10,6,2,0,0,20
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,3,1,1,0,0,5
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,4,11,1,0,0,16
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,2,0,1,0,3
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,1,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,10,0,0,0,11
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,1,11,2,1,0,0,15
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,5,12,5,0,0,22
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,5,1,0,0,7
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,3,36,63,34,6,0,142
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,17,6,1,0,0,24
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,12,3,0,0,16
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,2,1,0,0,4
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,1,1,0,0,3
COMBAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,0,0,1,0,1
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,2,0,0,0,0,2
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,12,18,24,3,1,0,58
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,56,40,13,3,0,22,134
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,2,57,196,97,15,0,367
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,1,0,0,2
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,2,1,0,0,3
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,14,5,4,0,0,23
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,8,19,3,0,2,0,32
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,1,4,1,0,0,0,6
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,5,0,0,0,5
ESCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,0,1,0,0,1
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,8,0,0,0,0,8
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,1,1,0,0,0,0,2
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,2,0,0,0,2
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,3,0,1,0,0,4
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,3,12,50,17,20,0,102
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,8,6,4,1,0,0,19
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,20,13,10,1,0,0,44
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,67,74,5,0,1,2,149
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,22,35,6,1,0,6,70
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,2,0,0,0,3
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,0,1,0,0,1
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,3,1,0,0,5
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,2,10,2,0,0,14
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,11,18,79,43,14,0,165
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,2,0,0,0,2
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,23,19,0,0,0,0,42
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,15,34,95,36,4,0,184
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,1,6,0,0,0,0,7
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,0,0,1,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,14,6,13,1,0,1,35
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,2,2,1,0,0,5
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,3,0,0,0,0,3
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,4,24,11,2,0,41
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,57,51,3,1,0,0,112
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,5,13,14,2,2,0,36
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,2,1,2,1,0,0,6
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,1,0,1,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,6,13,4,1,1,0,25
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,1,2,0,0,4
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,12,6,7,2,1,1,29
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,1,0,0,0,2
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,2,0,0,0,2
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,0,1,0,1,0,2
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,10,4,1,0,0,15
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,2,3,2,0,0,7
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,0,0,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,51,61,11,6,0,1,130
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,0,1,2,0,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-08-01,6,7,8,1,0,0,22
