,group,variable,month,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 10 A 14,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 15 A 19,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 20 A 34,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 35 A 49,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 50 Y +,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA < A 10,TOTALES
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,1,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,1,0,0,0,2
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,1,0,3,0,0,0,4
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,2,3,0,0,5
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,5,3,3,0,0,11
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,3,0,0,0,3
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,1,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,6,12,7,3,0,28
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,1,0,1,0,0,0,2
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,4,22,10,0,0,36
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,11,1,0,0,13
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,2,0,0,0,3
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,3,4,0,0,0,7
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,87,93,41,1,0,222
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,0,3,0,0,3
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,0,2,0,0,2
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,2,0,0,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,1,0,3,0,0,0,4
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,0,1,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,2,2,0,0,0,4
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,9,3,0,0,12
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,1,18,45,10,1,0,75
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,1,0,0,2
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,6,2,0,0,8
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,2,0,0,0,2
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,1,0,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,0,1,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,0,1,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,4,1,0,0,5
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,2,1,0,0,3
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,2,0,0,3
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,5,4,2,0,0,11
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,2,5,6,0,0,13
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,8,11,4,0,0,23
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,4,1,0,0,5
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,5,5,0,0,0,10
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,1,4,1,0,0,0,6
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,12,3,2,0,17
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,3,0,0,0,4
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,3,1,0,0,5
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,1,3,5,3,0,0,12
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,3,8,1,0,0,12
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,3,18,38,14,2,0,75
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,1,0,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,4,1,0,0,5
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,2,6,1,0,0,9
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,2,16,5,0,0,23
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,4,0,0,5
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,16,10,9,0,36
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,7,0,0,0,7
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,3,8,4,0,0,15
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,3,1,1,0,0,5
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,1,1,0,0,3
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,0,1,0,0,1
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,2,2,1,0,0,5
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,3,7,3,0,0,13
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,1,1,1,0,4
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,1,0,0,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,1,0,0,2
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,2,1,0,0,3
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,2,2,0,0,0,4
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,1,0,0,0,1
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,3,1,1,0,0,5
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,2,3,0,0,0,5
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,0,1,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,1,0,0,0,2
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,1,3,5,1,0,0,10
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,2,5,4,0,0,11
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,3,3,0,0,6
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,2,0,0,0,2
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,2,2,0,0,0,4
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,7,2,0,0,9
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,5,7,1,0,0,13
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,7,2,0,0,10
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,2,1,0,0,4
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,0,1,0,0,1
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,2,7,0,0,0,9
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,6,3,0,0,10
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,2,1,0,0,3
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,1,2,1,0,0,0,4
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,3,19,8,0,0,30
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,0,2,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,10,51,2,0,0,63
LA RIVERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,1,0,0,0,0,0,1
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,2,0,0,0,3
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,7,0,0,0,7
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,0,1,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,4,2,0,0,7
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,18,6,2,0,27
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,2,0,0,0,2
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,5,6,1,0,0,12
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,1,9,11,4,0,0,25
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,6,2,0,0,9
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,1,0,3,0,0,0,4
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,4,1,0,0,5
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,2,0,0,0,0,2
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,3,0,0,0,4
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,1,0,0,2
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,0,1,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,4,17,5,0,0,26
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,2,1,0,0,4
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,1,0,0,0,2
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,2,1,0,0,3
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,14,2,1,0,18
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,2,1,0,0,3
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,2,0,0,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,10,13,3,0,0,26
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,1,0,0,0,0,1
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,4,4,0,0,0,8
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,6,9,2,0,0,17
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,1,2,1,0,0,0,4
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,0,1,2,0,0,3
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-06-01,0,2,6,1,0,0,9
