,group,variable,month,DIU: USUARIAS NUEVAS 10 A 14,DIU: USUARIAS NUEVAS 15 A 19,DIU: USUARIAS NUEVAS 20 A 34,DIU: USUARIAS NUEVAS 35 A 49,DIU: USUARIAS NUEVAS 50 Y +,DIU: USUARIAS NUEVAS < A 10,TOTALES
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,2,3,1,1,0,7
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,3,0,0,0,3
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,5,0,0,0,5
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,3,0,0,0,3
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,5,1,0,0,6
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,2,0,0,4
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,3,0,0,0,4
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,6,1,0,0,8
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,0,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,1,0,0,3
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,0,0,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,3,1,0,0,4
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,3,0,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,13,72,21,0,0,106
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,12,61,14,0,0,87
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,3,0,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,1,2,0,0,4
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,0,0,0,0,1
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,2,0,0,3
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,3,5,0,0,8
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,5,1,0,0,6
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,60,8,4,0,72
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,2,0,0,2
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,3,1,0,0,5
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,3,1,0,0,4
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,3,16,4,0,0,23
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,0,1,0,1
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,6,12,5,0,0,23
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,1,0,0,3
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,6,2,0,0,8
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,3,6,3,0,0,12
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,18,0,0,0,19
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,3,0,0,0,3
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,0,0,0,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,0,0,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,5,2,0,0,7
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,0,0,0,2
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,2,2,0,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,17,80,34,6,0,137
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,3,5,1,0,0,9
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,7,23,11,0,0,41
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,15,52,12,1,0,80
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,19,7,2,0,29
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,0,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,3,2,0,0,0,5
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,1,1,2,0,0,4
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,3,0,0,0,3
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,2,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,3,0,0,0,3
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,1,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,0,0,0,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,3,1,0,0,4
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,1,0,0,2
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,0,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,2,5,3,0,0,10
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,3,1,0,0,5
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,2,62,24,0,0,88
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,2,0,0,3
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,5,17,9,0,0,31
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,3,0,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,2,0,0,0,2
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,2,2,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,4,67,17,0,0,88
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,4,1,0,0,5
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,5,2,0,0,8
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,2,17,2,0,0,21
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,3,21,3,0,0,27
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,2,0,0,0,2
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,2,0,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,9,13,6,0,0,28
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,2,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,4,0,0,0,4
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,6,0,0,0,6
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,2,0,0,0,3
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,2,0,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,15,2,0,0,18
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,2,1,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,1,0,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,3,0,0,3
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,1,0,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,9,72,29,4,0,114
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,3,0,0,0,4
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,2,1,0,0,3
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,8,17,4,1,0,30
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,7,61,38,0,0,106
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,2,1,0,0,4
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,2,4,3,0,0,9
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,4,1,0,0,6
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,0,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,2,1,0,0,3
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,1,1,0,0,3
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,0,1,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,1,0,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-08-01,0,0,6,2,0,0,8
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,0,0,0,2
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,0,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,4,0,0,0,4
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,10,0,0,0,10
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,1,0,0,2
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,3,0,0,0,3
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,2,8,1,0,0,11
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,6,62,14,0,0,82
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,0,0,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,0,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,3,58,17,1,0,79
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,0,1,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,1,0,0,0,2
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,1,0,0,3
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,0,0,0,2
