municipality,group,variable,month,Hipertensión Arterial en mayores de 5 años,TOTAL
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,9,9
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,3,3
PADILLA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,19,19
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,8,8
PUERTO QUIJARRO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,5,5
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,2,2
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,3,3
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,2,2
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,3,3
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,2,2
SAN IGNACIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,13,13
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,5,5
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,3,3
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,96,96
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,24,24
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,22,22
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,52,52
TUPIZA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,6,6
UYUNI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
VIACHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,3,3
VILLAZON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,8,8
VINTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,10,10
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,7,7
