municipality,group,variable,month,Tratamientos iniciados en el mes por personal de,TOTAL
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,803,803
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,1,1
SAMAIPATA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,8,8
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,4,4
SAN BUENA VENTURA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,54,54
SAN JUAN DE YAPACANI,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-11-01,34,34
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,20,20
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,11,11
SENA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,47,47
TARVITA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,2,2
TIRAQUE (CBBA),malaria,tratamientos iniciados en el mes por personal de,2005-11-01,1,1
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,1,1
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,9,9
VILA VILA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,1,1
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,5,5
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2005-11-01,12,12
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,128,128
YAPACANI,malaria,tratamientos iniciados en el mes por personal de,2005-11-01,2,2
ALCALA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,2,2
APOLO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,3,3
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,4,4
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,156,156
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,10,10
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,7,7
CAMIRI,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,2,2
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,6,6
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,12,12
COBIJA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,15,15
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,2,2
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,4,4
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,3,3
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2005-12-01,6,6
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,4,4
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,50,50
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,135,135
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,3,3
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,2,2
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,4,4
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,3,3
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,11,11
MOJOCOYA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,2,2
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,4,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2005-12-01,8,8
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2005-12-01,2,2
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,4,4
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,16,16
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,4,4
PALOS BLANCOS,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,3,3
PASORAPA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
POROMA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,3,3
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,19,19
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,6,6
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,7,7
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,6,6
REYES,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,688,688
SAMAIPATA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,5,5
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,2,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,20,20
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-12-01,11,11
SAN LORENZO(TJA),malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,6,6
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,2,2
SENA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,27,27
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
TARVITA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,6,6
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,64,64
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,4,4
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,8,8
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2005-12-01,6,6
VILLA SERRANO,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2005-12-01,12,12
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2005-12-01,166,166
