,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TOTALES
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,0,4
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,3,3,6
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,5,9
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,36,26,62
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,3,2,5
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,2,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,14,4,18
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,9,3,12
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,4,8
POOPO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,1,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,10,4,14
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,5,7,12
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,2,6
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,9,2,11
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,3,0,3
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,2,6
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,1,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,157,67,224
SENA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,1,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,1,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,12,7,19
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,8,5,13
TIAHUANACU,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,0,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,1,2
TOMINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,10,0,10
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,1,3
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,0,4
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,5,2,7
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,3,0,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,9,3,12
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,3,2,5
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,5,2,7
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,2,0,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,2,3
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,2,2
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,2,0,2
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,2,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,6,9
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,2,0,2
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,6,3,9
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,4,1,5
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,39,13,52
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,2,3,5
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,2,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,0,3
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,8,6,14
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,2,5
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,32,12,44
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,2,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,4,5,9
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
FILADELFIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,2,0,2
ICLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
INGAVI (HUMAITA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,1,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,7,5,12
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,27,21,48
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
LAS CARRERAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,12,0,12
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,1,2
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,17,5,22
MORO MORO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,7,9,16
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
POOPO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,5,1,6
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,2,1,3
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,8,11
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,3,4
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,7,5,12
REYES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,6,9,15
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,5,3,8
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,3,6
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,5,0,5
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,2,4,6
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,1,2
SAN RAMON BENI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,159,79,238
SENA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,2,5
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,3,3
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,9,6,15
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,5,3,8
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,1,4
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
TOMINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,10,2,12
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,5,1,6
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,3,4,7
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,4,0,4
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,8,4,12
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,6,1,7
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-07-01,5,3,8
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,2,3
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,5,6
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,4,1,5
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,4,1,5
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,8,7,15
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,5,0,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,25,13,38
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,4,1,5
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,2,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,5,5,10
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,28,10,38
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,6,0,6
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,4,2,6
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,0,2
FILADELFIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
GAIOC JATUN AYLLU YURA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,1,2
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,2,3
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,3,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,7,8,15
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,37,11,48
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,8,3,11
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,11,6,17
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,1,3
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,1,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,7,2,9
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,3,0,3
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,4,1,5
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,3,1,4
REYES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,3,4,7
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,8,5,13
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,1,3
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,3,1,4
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,2,2
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,1,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,171,62,233
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,1,2
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,4,1,5
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,1,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,2,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,13,3,16
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,9,4,13
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
