,group,variable,month,N° DE TB PULMONAR BACTERIOLOGICAMENTE CONFIRMADOS (NUEVOS Y RECAIDAS) CANTIDAD,N° DE TB PULMONAR BACTERIOLOGICAMENTE CONFIRMADOS (NUEVOS Y RECAIDAS) CANTIDAD,TOTALES
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,2,3
CHUMA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
CLIZA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,8,3,11
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,19,8,27
COLCAPIRHUA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,0,3
COLOMI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
COLQUECHACA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,1,3
COLQUENCHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
CONCEPCION,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,1,2
CORIPATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,2,2
COROICO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
COTAGAITA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
COTOCA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,2,5
CULPINA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,15,11,26
EL TORNO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,4,4
ENTRE RIOS TRJ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
FILADELFIA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
GUANAY,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,0,3
HUANUNI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
HUARINA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
INQUISIVI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,1,4
LA ASUNTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,6,3,9
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,7,1,8
LA PAZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,48,33,81
LLALLAGUA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
LURIBAY,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,1,2
MAIRANA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,0,3
MECAPACA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
MINEROS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
MIZQUE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,14,4,18
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
OKINAWA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
ORURO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,6,2,8
PAILON,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,2,2
PALCA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,3,5
PALOS BLANCOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
PATACAMAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
POJO (CBBA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
PORTACHUELO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,1,2
POTOSI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,2,5
PRESTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
PUCARANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,4,3,7
QUILLACOLLO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,5,8
RIBERALTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,2,5
SACABA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,4,0,4
SAN ANDRES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,2,5
SAN CARLOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,3,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
SAN JAVIER(BNI),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
SAN LUCAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
SANTA ANA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,105,64,169
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
SHINAOTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,5,2,7
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
SIPE SIPE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
SORATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,1,3
SUCRE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,9,2,11
TAPACARI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,1,2
TARACO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
TARATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
TARIJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,5,3,8
TIQUIPAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,0,3
TIRAQUE (CBBA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,7,7,14
TUPIZA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,0,3
UNCIA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
URUBICHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
VACAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,3,3
VILLA CHARCAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,2,2
VILLA MONTES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,5,1,6
VINTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,2,3
WARNES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,7,4,11
YACUIBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,5,0,5
YANACACHI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,3,3,6
YOCALLA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
ACHOCALLA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
AIQUILE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
ALTO BENI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,2,4
ATOCHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
BELLA FLOR,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,1,4
BUENA VISTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
CAJUATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
CAMARGO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
CARACOLLO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,7,2,9
CARAPARI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
CATACORA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
CLIZA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
COBIJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,11,2,13
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,27,13,40
COLCAPIRHUA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,2,4
COLLANA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
COLOMI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
COLQUIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
COROICO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,2,3
COTOCA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,4,4,8
CUATRO CAÑADAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,22,5,27
EL PUENTE(STC),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
EL TORNO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,5,2,7
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
FILADELFIA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
GUANAY,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,1,4
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
HUARINA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
INCAHUASI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
LA ASUNTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,2,5
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,5,8
LA PAZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,24,13,37
LAGUNILLAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
MACHARETI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,1,4
MINEROS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,3,4
MONTERO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,17,7,24
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
OCURI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
OKINAWA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
ORURO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,8,3,11
PADCAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
PAILON,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,2,5
POJO (CBBA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
POOPO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
POROMA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
PORONGO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
PORTACHUELO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
POTOSI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,5,7
PUERTO SUAREZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,4,6,10
PUNA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
PUNATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,4,0,4
RIBERALTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,8,2,10
RURRENABAQUE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,0,3
SACABA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,4,2,6
SACACA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
SAMAIPATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
SAN BENITO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,0,3
SAN JAVIER(STC),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
SAN MATIAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
SAN PEDRO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,135,70,205
SENA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
SHINAOTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,1,3
SICAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
SORACACHI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
SORATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,12,5,17
TARIJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,5,4,9
TIAHUANACU,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,1,3
TOMINA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,13,3,16
TUPIZA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,1,2
VIACHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,4,0,4
VILLA TUNARI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,4,2,6
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
VINTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,2,1,3
WARNES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,8,2,10
YACUIBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,3,2,5
YAPACANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,4,1,5
YOCALLA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-06-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-07-01,2,0,2
AIQUILE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-07-01,0,1,1
ANCORAIMES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-07-01,1,0,1
APOLO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-07-01,1,1,2
ARBIETO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-07-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-07-01,1,2,3
BERMEJO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-07-01,2,1,3
BETANZOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-07-01,1,0,1
