,group,variable,month,Nº DE CASOS TB TSF (NUEVOS Y RECAIDAS) CON ÉXITO DE TRATAMIENTO CANTIDAD,Nº DE CASOS TB TSF (NUEVOS Y RECAIDAS) CON ÉXITO DE TRATAMIENTO CANTIDAD,TOTALES
SHINAOTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,0,2
SORATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
SUCRE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,4,2,6
TARIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,4,4,8
TIPUANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,9,1,10
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,2,3
VIACHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,3,3
VILLA RIVERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,4,5
VINTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,0,2
WARNES,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,0,2
YACUIBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,4,3,7
YAPACANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,5,1,6
ACHACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
ANCORAIMES,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
APOLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
BATALLAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,1,2
BERMEJO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
BETANZOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
BUENA VISTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
CAMARGO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
CAMIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,1,2
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,9,3,12
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,6,6
COLCAPIRHUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,3,0,3
COROICO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,3,5
COTAGAITA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,6,1,7
CULPINA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,2,2
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,17,7,24
EL TORNO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
GUANAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
GUAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
INCAHUASI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,11,3,14
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,25,10,35
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
MAIRANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
MAPIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,3,0,3
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,21,7,28
OMEREQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,8,1,9
PALCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,1,2
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,4,3,7
PUCARANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,5,0,5
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,6,1,7
RURRENABAQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,1,2
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,7,1,8
SAN BENITO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,3,0,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,3,2,5
SAN JULIAN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
SAN LUCAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
SAN PEDRO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,92,54,146
SIPE SIPE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
SORACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
SORATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
SUCRE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,2,4
TACACOMA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
TARABUCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
TARIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,6,3,9
TARVITA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,2,0,2
TIPUANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,2,3
TIRAQUE (CBBA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
TOLATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
TOLEDO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
VIACHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,4,1,5
VINTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,1,2
WARNES,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,2,3
YACUIBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,12,3,15
YANACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,1,0,1
YAPACANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-07-01,3,2,5
ACHACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
ACHOCALLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,0,2
ANDAMARCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
AUCAPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
AZURDUY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
BERMEJO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,0,2
CABEZAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
CAMIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,7,5,12
CARAPARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,1,4
CHIMORE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
COBIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,2,5
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,9,2,11
COLCAPIRHUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
COPACABANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
CORIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
COROICO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
COTAGAITA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,6,1,7
CUEVO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,20,6,26
EL TORNO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,3,6
ENTRE RIOS TRJ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
GUANAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,2,4
GUAYARAMERIN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
HUANUNI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
INCAHUASI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,4,0,4
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,4,3,7
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,7,4,11
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,13,8,21
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,2,3
MAPIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
MINEROS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
MOCOMOCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,11,5,16
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,8,5,13
PALCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,1,4
PORONGO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,5,0,5
PUERTO QUIJARRO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
PUNATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,2,5
REYES,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,6,2,8
RURRENABAQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,1,3
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,0,2
SAN BORJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
SAN JULIAN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
SAN LUCAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,5,1,6
SANTA ANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,107,46,153
SAPAHAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,2,2
SHINAOTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,2,5
SIPE SIPE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,1,4
SUCRE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
TARIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,5,4,9
TEOPONTE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
TIPUANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
TUPIZA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
URUBICHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
VACAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,1,2
VIACHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,4,4
VILLA TUNARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,3,1,4
VINTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,0,1,1
WARNES,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,1,0,1
YACUIBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,6,0,6
YAPACANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-08-01,2,3,5
ACHACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,2,2,4
ACHOCALLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,1,2
ARQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,1,2
AUCAPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
AZURDUY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
BERMEJO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,3,0,3
BOYUIBE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,0,1,1
CABEZAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,2,0,2
CAMIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,2,3
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,4,4,8
CHARAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,0,1,1
CLIZA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,0,1,1
COBIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,4,2,6
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,6,2,8
CORIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,2,1,3
COROICO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
COTAGAITA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,1,2
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,6,3,9
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,9,8,17
EL PUENTE(STC),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,1,2
EL TORNO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,3,2,5
ENTRE RIOS TRJ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,1,2
GUANAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
GUAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
INCAHUASI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,5,2,7
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,8,7,15
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,19,13,32
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
LURIBAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,2,1,3
MAPIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,6,0,6
MINEROS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,17,7,24
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,4,1,5
PALCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,3,0,3
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,2,2,4
PORONGO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,1,2
PUCARANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,4,2,6
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,3,5,8
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,5,5,10
SAN IGNACIO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,1,2
SAN JULIAN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,2,0,2
SAN MATIAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-09-01,2,0,2
