,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
PALOS BLANCOS,atencion odontologica, cirugia bucal menor,2014-06-01,42,53,42,53,95
PAMPA AULLAGAS,atencion odontologica, cirugia bucal menor,2014-06-01,1,2,1,2,3
PAMPA GRANDE,atencion odontologica, cirugia bucal menor,2014-06-01,2,7,2,7,9
PAPEL PAMPA,atencion odontologica, cirugia bucal menor,2014-06-01,24,25,24,25,49
PASORAPA,atencion odontologica, cirugia bucal menor,2014-06-01,0,7,0,7,7
PATACAMAYA,atencion odontologica, cirugia bucal menor,2014-06-01,24,43,24,43,67
PAZÑA,atencion odontologica, cirugia bucal menor,2014-06-01,23,16,23,16,39
PELECHUCO,atencion odontologica, cirugia bucal menor,2014-06-01,11,16,11,16,27
POCOATA,atencion odontologica, cirugia bucal menor,2014-06-01,31,55,31,55,86
POCONA,atencion odontologica, cirugia bucal menor,2014-06-01,58,122,58,122,180
POJO (CBBA),atencion odontologica, cirugia bucal menor,2014-06-01,42,56,42,56,98
POOPO,atencion odontologica, cirugia bucal menor,2014-06-01,37,22,37,22,59
PORCO,atencion odontologica, cirugia bucal menor,2014-06-01,2,3,2,3,5
POROMA,atencion odontologica, cirugia bucal menor,2014-06-01,30,58,30,58,88
PORONGO,atencion odontologica, cirugia bucal menor,2014-06-01,4,15,4,15,19
PORTACHUELO,atencion odontologica, cirugia bucal menor,2014-06-01,23,28,23,28,51
PORVENIR,atencion odontologica, cirugia bucal menor,2014-06-01,22,25,22,25,47
POSTRER VALLE,atencion odontologica, cirugia bucal menor,2014-06-01,4,3,4,3,7
POTOSI,atencion odontologica, cirugia bucal menor,2014-06-01,317,549,317,549,866
PRESTO,atencion odontologica, cirugia bucal menor,2014-06-01,20,47,20,47,67
PUCARANI,atencion odontologica, cirugia bucal menor,2014-06-01,98,131,98,131,229
PUERTO ACOSTA,atencion odontologica, cirugia bucal menor,2014-06-01,26,48,26,48,74
PUERTO CARABUCO,atencion odontologica, cirugia bucal menor,2014-06-01,23,20,23,20,43
PUERTO GONZALO MORENO,atencion odontologica, cirugia bucal menor,2014-06-01,6,11,6,11,17
PUERTO PEREZ,atencion odontologica, cirugia bucal menor,2014-06-01,21,18,21,18,39
PUERTO QUIJARRO,atencion odontologica, cirugia bucal menor,2014-06-01,46,3,46,3,49
PUERTO RICO,atencion odontologica, cirugia bucal menor,2014-06-01,48,41,48,41,89
PUERTO SUAREZ,atencion odontologica, cirugia bucal menor,2014-06-01,0,19,0,19,19
PUERTO VILLARROEL,atencion odontologica, cirugia bucal menor,2014-06-01,30,51,30,51,81
PUNA,atencion odontologica, cirugia bucal menor,2014-06-01,38,56,38,56,94
PUNATA,atencion odontologica, cirugia bucal menor,2014-06-01,22,41,22,41,63
QUIABAYA,atencion odontologica, cirugia bucal menor,2014-06-01,27,27,27,27,54
QUILLACOLLO,atencion odontologica, cirugia bucal menor,2014-06-01,80,101,80,101,181
QUIME,atencion odontologica, cirugia bucal menor,2014-06-01,68,82,68,82,150
RAVELO,atencion odontologica, cirugia bucal menor,2014-06-01,28,32,28,32,60
REYES,atencion odontologica, cirugia bucal menor,2014-06-01,33,34,33,34,67
RIBERALTA,atencion odontologica, cirugia bucal menor,2014-06-01,135,200,135,200,335
ROBORE,atencion odontologica, cirugia bucal menor,2014-06-01,22,21,22,21,43
RURRENABAQUE,atencion odontologica, cirugia bucal menor,2014-06-01,36,38,36,38,74
SABAYA,atencion odontologica, cirugia bucal menor,2014-06-01,15,15,15,15,30
SACABA,atencion odontologica, cirugia bucal menor,2014-06-01,109,195,109,195,304
SACABAMBA,atencion odontologica, cirugia bucal menor,2014-06-01,8,7,8,7,15
SACACA,atencion odontologica, cirugia bucal menor,2014-06-01,31,33,31,33,64
SAIPINA,atencion odontologica, cirugia bucal menor,2014-06-01,14,12,14,12,26
SALINAS DE GARCI MENDOZA,atencion odontologica, cirugia bucal menor,2014-06-01,60,55,60,55,115
SAMAIPATA,atencion odontologica, cirugia bucal menor,2014-06-01,26,38,26,38,64
SAN AGUSTIN,atencion odontologica, cirugia bucal menor,2014-06-01,4,7,4,7,11
SAN ANDRES,atencion odontologica, cirugia bucal menor,2014-06-01,35,29,35,29,64
SAN ANDRES DE MACHACA,atencion odontologica, cirugia bucal menor,2014-06-01,43,77,43,77,120
SAN ANTONIO DE ESMORUCO,atencion odontologica, cirugia bucal menor,2014-06-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,atencion odontologica, cirugia bucal menor,2014-06-01,4,23,4,23,27
SAN BENITO,atencion odontologica, cirugia bucal menor,2014-06-01,4,7,4,7,11
SAN BORJA,atencion odontologica, cirugia bucal menor,2014-06-01,22,67,22,67,89
SAN BUENA VENTURA,atencion odontologica, cirugia bucal menor,2014-06-01,12,30,12,30,42
SAN CARLOS,atencion odontologica, cirugia bucal menor,2014-06-01,20,21,20,21,41
SAN IGNACIO,atencion odontologica, cirugia bucal menor,2014-06-01,49,64,49,64,113
SAN IGNACIO DE VELASCO,atencion odontologica, cirugia bucal menor,2014-06-01,123,144,123,144,267
SAN JAVIER(BNI),atencion odontologica, cirugia bucal menor,2014-06-01,2,4,2,4,6
SAN JAVIER(STC),atencion odontologica, cirugia bucal menor,2014-06-01,5,6,5,6,11
SAN JOSE DE CHIQUITOS,atencion odontologica, cirugia bucal menor,2014-06-01,36,71,36,71,107
SAN JUAN DE YAPACANI,atencion odontologica, cirugia bucal menor,2014-06-01,9,18,9,18,27
SAN JULIAN,atencion odontologica, cirugia bucal menor,2014-06-01,26,39,26,39,65
SAN LORENZO(PND),atencion odontologica, cirugia bucal menor,2014-06-01,6,14,6,14,20
SAN LORENZO(TJA),atencion odontologica, cirugia bucal menor,2014-06-01,89,235,89,235,324
SAN LUCAS,atencion odontologica, cirugia bucal menor,2014-06-01,71,98,71,98,169
SAN MATIAS,atencion odontologica, cirugia bucal menor,2014-06-01,9,11,9,11,20
SAN MIGUEL DE VELASCO,atencion odontologica, cirugia bucal menor,2014-06-01,15,59,15,59,74
SAN PABLO DE LIPEZ,atencion odontologica, cirugia bucal menor,2014-06-01,3,0,3,0,3
SAN PEDRO,atencion odontologica, cirugia bucal menor,2014-06-01,8,42,8,42,50
SAN PEDRO DE BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-06-01,26,28,26,28,54
SAN PEDRO DE CURAHUARA,atencion odontologica, cirugia bucal menor,2014-06-01,12,12,12,12,24
SAN PEDRO DE QUEMES,atencion odontologica, cirugia bucal menor,2014-06-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,atencion odontologica, cirugia bucal menor,2014-06-01,8,23,8,23,31
SAN RAFAEL,atencion odontologica, cirugia bucal menor,2014-06-01,15,45,15,45,60
SAN RAMON BENI,atencion odontologica, cirugia bucal menor,2014-06-01,17,5,17,5,22
SAN RAMON SCZ,atencion odontologica, cirugia bucal menor,2014-06-01,5,6,5,6,11
SANTA ANA,atencion odontologica, cirugia bucal menor,2014-06-01,35,57,35,57,92
SANTA CRUZ DE LA SIERRA,atencion odontologica, cirugia bucal menor,2014-06-01,629,968,629,968,1597
SANTA ROSA,atencion odontologica, cirugia bucal menor,2014-06-01,30,37,30,37,67
SANTA ROSA DEL SARA,atencion odontologica, cirugia bucal menor,2014-06-01,24,42,24,42,66
SANTIAGO DE HUARI,atencion odontologica, cirugia bucal menor,2014-06-01,21,20,21,20,41
SANTIAGO DE HUATA,atencion odontologica, cirugia bucal menor,2014-06-01,21,30,21,30,51
SANTIAGO DE MACHACA,atencion odontologica, cirugia bucal menor,2014-06-01,14,39,14,39,53
SANTIVAÑES,atencion odontologica, cirugia bucal menor,2014-06-01,3,7,3,7,10
SANTUARIO DE QUILLACAS,atencion odontologica, cirugia bucal menor,2014-06-01,12,16,12,16,28
SAPAHAQUI,atencion odontologica, cirugia bucal menor,2014-06-01,29,47,29,47,76
SENA,atencion odontologica, cirugia bucal menor,2014-06-01,13,20,13,20,33
SHINAOTA,atencion odontologica, cirugia bucal menor,2014-06-01,2,12,2,12,14
SICA SICA (VILLA AROMA),atencion odontologica, cirugia bucal menor,2014-06-01,46,41,46,41,87
SICAYA,atencion odontologica, cirugia bucal menor,2014-06-01,2,8,2,8,10
SIPE SIPE,atencion odontologica, cirugia bucal menor,2014-06-01,16,44,16,44,60
SOPACHUY,atencion odontologica, cirugia bucal menor,2014-06-01,26,46,26,46,72
SORACACHI,atencion odontologica, cirugia bucal menor,2014-06-01,24,28,24,28,52
SORATA,atencion odontologica, cirugia bucal menor,2014-06-01,23,33,23,33,56
SUCRE,atencion odontologica, cirugia bucal menor,2014-06-01,328,483,328,483,811
TACACHI,atencion odontologica, cirugia bucal menor,2014-06-01,39,13,39,13,52
TACACOMA,atencion odontologica, cirugia bucal menor,2014-06-01,27,31,27,31,58
TACOBAMBA,atencion odontologica, cirugia bucal menor,2014-06-01,6,12,6,12,18
TACOPAYA,atencion odontologica, cirugia bucal menor,2014-06-01,14,35,14,35,49
TAHUA,atencion odontologica, cirugia bucal menor,2014-06-01,9,4,9,4,13
TAPACARI,atencion odontologica, cirugia bucal menor,2014-06-01,54,64,54,64,118
TARABUCO,atencion odontologica, cirugia bucal menor,2014-06-01,38,79,38,79,117
TARACO,atencion odontologica, cirugia bucal menor,2014-06-01,29,27,29,27,56
TARATA,atencion odontologica, cirugia bucal menor,2014-06-01,13,26,13,26,39
TARIJA,atencion odontologica, cirugia bucal menor,2014-06-01,572,902,572,902,1474
TARVITA,atencion odontologica, cirugia bucal menor,2014-06-01,32,50,32,50,82
TEOPONTE,atencion odontologica, cirugia bucal menor,2014-06-01,43,58,43,58,101
TIAWANACU,atencion odontologica, cirugia bucal menor,2014-06-01,26,59,26,59,85
TINGUIPAYA,atencion odontologica, cirugia bucal menor,2014-06-01,12,17,12,17,29
TIPUANI,atencion odontologica, cirugia bucal menor,2014-06-01,26,28,26,28,54
TIQUIPAYA,atencion odontologica, cirugia bucal menor,2014-06-01,61,84,61,84,145
TIRAQUE (CBBA),atencion odontologica, cirugia bucal menor,2014-06-01,23,30,23,30,53
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, cirugia bucal menor,2014-06-01,5,5,5,5,10
TOCO,atencion odontologica, cirugia bucal menor,2014-06-01,14,8,14,8,22
TOLATA,atencion odontologica, cirugia bucal menor,2014-06-01,8,30,8,30,38
TOLEDO,atencion odontologica, cirugia bucal menor,2014-06-01,6,12,6,12,18
TOMAVE,atencion odontologica, cirugia bucal menor,2014-06-01,43,61,43,61,104
TOMINA,atencion odontologica, cirugia bucal menor,2014-06-01,42,47,42,47,89
TORO TORO,atencion odontologica, cirugia bucal menor,2014-06-01,10,37,10,37,47
TOTORA(CBBA),atencion odontologica, cirugia bucal menor,2014-06-01,28,28,28,28,56
TOTORA(ORR),atencion odontologica, cirugia bucal menor,2014-06-01,17,19,17,19,36
TRIGAL,atencion odontologica, cirugia bucal menor,2014-06-01,2,1,2,1,3
TRINIDAD,atencion odontologica, cirugia bucal menor,2014-06-01,158,307,158,307,465
TUPIZA,atencion odontologica, cirugia bucal menor,2014-06-01,27,79,27,79,106
TURCO,atencion odontologica, cirugia bucal menor,2014-06-01,7,16,7,16,23
UMALA,atencion odontologica, cirugia bucal menor,2014-06-01,8,11,8,11,19
UNCIA,atencion odontologica, cirugia bucal menor,2014-06-01,24,13,24,13,37
URIONDO (A. CONCEPCION),atencion odontologica, cirugia bucal menor,2014-06-01,71,182,71,182,253
URUBICHA,atencion odontologica, cirugia bucal menor,2014-06-01,10,18,10,18,28
UYUNI,atencion odontologica, cirugia bucal menor,2014-06-01,32,51,32,51,83
VACAS,atencion odontologica, cirugia bucal menor,2014-06-01,3,15,3,15,18
VALLEGRANDE,atencion odontologica, cirugia bucal menor,2014-06-01,42,60,42,60,102
VIACHA,atencion odontologica, cirugia bucal menor,2014-06-01,101,132,101,132,233
VILLA CHARCAS,atencion odontologica, cirugia bucal menor,2014-06-01,21,37,21,37,58
VILLA MONTES,atencion odontologica, cirugia bucal menor,2014-06-01,205,266,205,266,471
VILLA NUEVA (LOMA ALTA),atencion odontologica, cirugia bucal menor,2014-06-01,3,3,3,3,6
VILLA RIVERO,atencion odontologica, cirugia bucal menor,2014-06-01,4,11,4,11,15
VILLA SERRANO,atencion odontologica, cirugia bucal menor,2014-06-01,8,17,8,17,25
VILLA TUNARI,atencion odontologica, cirugia bucal menor,2014-06-01,48,66,48,66,114
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, cirugia bucal menor,2014-06-01,7,14,7,14,21
VILLAZON,atencion odontologica, cirugia bucal menor,2014-06-01,60,185,60,185,245
VINTO,atencion odontologica, cirugia bucal menor,2014-06-01,20,34,20,34,54
VITICHI,atencion odontologica, cirugia bucal menor,2014-06-01,28,47,28,47,75
WALDO BALLIVIAN,atencion odontologica, cirugia bucal menor,2014-06-01,6,15,6,15,21
WARNES,atencion odontologica, cirugia bucal menor,2014-06-01,35,76,35,76,111
YACO,atencion odontologica, cirugia bucal menor,2014-06-01,11,15,11,15,26
YACUIBA,atencion odontologica, cirugia bucal menor,2014-06-01,145,240,145,240,385
YAMPARAEZ,atencion odontologica, cirugia bucal menor,2014-06-01,12,29,12,29,41
YANACACHI,atencion odontologica, cirugia bucal menor,2014-06-01,4,4,4,4,8
YAPACANI,atencion odontologica, cirugia bucal menor,2014-06-01,68,143,68,143,211
YOCALLA,atencion odontologica, cirugia bucal menor,2014-06-01,13,17,13,17,30
YOTALA,atencion odontologica, cirugia bucal menor,2014-06-01,10,33,10,33,43
YUNCHARA,atencion odontologica, cirugia bucal menor,2014-06-01,76,84,76,84,160
ZUDAÑEZ,atencion odontologica, cirugia bucal menor,2014-06-01,20,31,20,31,51
ACACIO,atencion odontologica, cirugia bucal menor,2014-07-01,8,2,8,2,10
ACHACACHI,atencion odontologica, cirugia bucal menor,2014-07-01,139,132,139,132,271
ACHOCALLA,atencion odontologica, cirugia bucal menor,2014-07-01,16,36,16,36,52
AIQUILE,atencion odontologica, cirugia bucal menor,2014-07-01,6,13,6,13,19
ALCALA,atencion odontologica, cirugia bucal menor,2014-07-01,23,43,23,43,66
ALTO BENI,atencion odontologica, cirugia bucal menor,2014-07-01,12,13,12,13,25
ANCORAIMES,atencion odontologica, cirugia bucal menor,2014-07-01,32,45,32,45,77
ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-07-01,14,14,14,14,28
ANTEQUERA,atencion odontologica, cirugia bucal menor,2014-07-01,18,25,18,25,43
ANZALDO,atencion odontologica, cirugia bucal menor,2014-07-01,18,30,18,30,48
APOLO,atencion odontologica, cirugia bucal menor,2014-07-01,8,21,8,21,29
ARAMPAMPA,atencion odontologica, cirugia bucal menor,2014-07-01,3,14,3,14,17
ARANI,atencion odontologica, cirugia bucal menor,2014-07-01,29,28,29,28,57
ARBIETO,atencion odontologica, cirugia bucal menor,2014-07-01,11,13,11,13,24
ARQUE,atencion odontologica, cirugia bucal menor,2014-07-01,10,24,10,24,34
ATOCHA,atencion odontologica, cirugia bucal menor,2014-07-01,90,123,90,123,213
AUCAPATA,atencion odontologica, cirugia bucal menor,2014-07-01,13,35,13,35,48
AYATA,atencion odontologica, cirugia bucal menor,2014-07-01,16,20,16,20,36
AYO AYO,atencion odontologica, cirugia bucal menor,2014-07-01,10,14,10,14,24
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, cirugia bucal menor,2014-07-01,50,70,50,70,120
AZURDUY,atencion odontologica, cirugia bucal menor,2014-07-01,24,39,24,39,63
BATALLAS,atencion odontologica, cirugia bucal menor,2014-07-01,40,78,40,78,118
BAURES,atencion odontologica, cirugia bucal menor,2014-07-01,7,2,7,2,9
BELEN DE ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-07-01,14,17,14,17,31
BELEN DE URMIRI,atencion odontologica, cirugia bucal menor,2014-07-01,8,14,8,14,22
BELLA FLOR,atencion odontologica, cirugia bucal menor,2014-07-01,2,4,2,4,6
BERMEJO,atencion odontologica, cirugia bucal menor,2014-07-01,176,232,176,232,408
BOLIVAR,atencion odontologica, cirugia bucal menor,2014-07-01,25,8,25,8,33
BOLPEBRA,atencion odontologica, cirugia bucal menor,2014-07-01,6,3,6,3,9
BOYUIBE,atencion odontologica, cirugia bucal menor,2014-07-01,3,13,3,13,16
BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-07-01,8,13,8,13,21
CABEZAS,atencion odontologica, cirugia bucal menor,2014-07-01,19,51,19,51,70
CAIROMA,atencion odontologica, cirugia bucal menor,2014-07-01,22,45,22,45,67
"CAIZA ""D""",atencion odontologica, cirugia bucal menor,2014-07-01,25,38,25,38,63
CAJUATA,atencion odontologica, cirugia bucal menor,2014-07-01,51,57,51,57,108
CALACOTO,atencion odontologica, cirugia bucal menor,2014-07-01,16,14,16,14,30
CALAMARCA,atencion odontologica, cirugia bucal menor,2014-07-01,73,89,73,89,162
CAMARGO,atencion odontologica, cirugia bucal menor,2014-07-01,22,48,22,48,70
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, cirugia bucal menor,2014-07-01,12,21,12,21,33
CAMIRI,atencion odontologica, cirugia bucal menor,2014-07-01,27,77,27,77,104
CAPINOTA,atencion odontologica, cirugia bucal menor,2014-07-01,20,25,20,25,45
CAQUIAVIRI,atencion odontologica, cirugia bucal menor,2014-07-01,29,34,29,34,63
CARACOLLO,atencion odontologica, cirugia bucal menor,2014-07-01,46,98,46,98,144
CARANAVI,atencion odontologica, cirugia bucal menor,2014-07-01,23,21,23,21,44
CARAPARI,atencion odontologica, cirugia bucal menor,2014-07-01,62,86,62,86,148
CARIPUYO,atencion odontologica, cirugia bucal menor,2014-07-01,9,14,9,14,23
CARMEN RIVERO TORREZ,atencion odontologica, cirugia bucal menor,2014-07-01,21,19,21,19,40
CATACORA,atencion odontologica, cirugia bucal menor,2014-07-01,5,16,5,16,21
CHALLAPATA,atencion odontologica, cirugia bucal menor,2014-07-01,122,132,122,132,254
CHAQUI,atencion odontologica, cirugia bucal menor,2014-07-01,9,7,9,7,16
CHARAGUA,atencion odontologica, cirugia bucal menor,2014-07-01,50,140,50,140,190
CHARAÑA,atencion odontologica, cirugia bucal menor,2014-07-01,6,8,6,8,14
CHAYANTA,atencion odontologica, cirugia bucal menor,2014-07-01,19,41,19,41,60
CHIMORE,atencion odontologica, cirugia bucal menor,2014-07-01,26,31,26,31,57
CHIPAYA,atencion odontologica, cirugia bucal menor,2014-07-01,6,11,6,11,17
CHOQUE COTA,atencion odontologica, cirugia bucal menor,2014-07-01,4,8,4,8,12
CHUA COCANI,atencion odontologica, cirugia bucal menor,2014-07-01,8,15,8,15,23
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, cirugia bucal menor,2014-07-01,4,3,4,3,7
CHUMA,atencion odontologica, cirugia bucal menor,2014-07-01,59,87,59,87,146
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, cirugia bucal menor,2014-07-01,6,23,6,23,29
CKOCHAS,atencion odontologica, cirugia bucal menor,2014-07-01,11,31,11,31,42
CLIZA,atencion odontologica, cirugia bucal menor,2014-07-01,44,47,44,47,91
COBIJA,atencion odontologica, cirugia bucal menor,2014-07-01,90,91,90,91,181
COCAPATA,atencion odontologica, cirugia bucal menor,2014-07-01,21,79,21,79,100
COCHABAMBA,atencion odontologica, cirugia bucal menor,2014-07-01,410,618,410,618,1028
COIPASA,atencion odontologica, cirugia bucal menor,2014-07-01,4,10,4,10,14
COLCAPIRHUA,atencion odontologica, cirugia bucal menor,2014-07-01,19,47,19,47,66
"COLCHA ""K""",atencion odontologica, cirugia bucal menor,2014-07-01,28,34,28,34,62
COLLANA,atencion odontologica, cirugia bucal menor,2014-07-01,17,32,17,32,49
COLOMI,atencion odontologica, cirugia bucal menor,2014-07-01,16,14,16,14,30
COLPA BELGICA,atencion odontologica, cirugia bucal menor,2014-07-01,4,5,4,5,9
COLQUECHACA,atencion odontologica, cirugia bucal menor,2014-07-01,69,92,69,92,161
COLQUENCHA,atencion odontologica, cirugia bucal menor,2014-07-01,21,45,21,45,66
COLQUIRI,atencion odontologica, cirugia bucal menor,2014-07-01,67,45,67,45,112
COMANCHE,atencion odontologica, cirugia bucal menor,2014-07-01,13,12,13,12,25
COMARAPA,atencion odontologica, cirugia bucal menor,2014-07-01,41,49,41,49,90
COMBAYA,atencion odontologica, cirugia bucal menor,2014-07-01,1,4,1,4,5
CONCEPCION,atencion odontologica, cirugia bucal menor,2014-07-01,35,54,35,54,89
COPACABANA,atencion odontologica, cirugia bucal menor,2014-07-01,202,116,202,116,318
CORIPATA,atencion odontologica, cirugia bucal menor,2014-07-01,1,2,1,2,3
CORO CORO,atencion odontologica, cirugia bucal menor,2014-07-01,16,39,16,39,55
COROICO,atencion odontologica, cirugia bucal menor,2014-07-01,34,58,34,58,92
CORQUE,atencion odontologica, cirugia bucal menor,2014-07-01,15,21,15,21,36
COTAGAITA,atencion odontologica, cirugia bucal menor,2014-07-01,59,89,59,89,148
COTOCA,atencion odontologica, cirugia bucal menor,2014-07-01,30,207,30,207,237
CUATRO CAÑADAS,atencion odontologica, cirugia bucal menor,2014-07-01,26,39,26,39,65
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, cirugia bucal menor,2014-07-01,3,13,3,13,16
CUEVO,atencion odontologica, cirugia bucal menor,2014-07-01,7,21,7,21,28
CULPINA,atencion odontologica, cirugia bucal menor,2014-07-01,29,30,29,30,59
CURAHUARA DE CARANGAS,atencion odontologica, cirugia bucal menor,2014-07-01,34,33,34,33,67
CURVA,atencion odontologica, cirugia bucal menor,2014-07-01,6,20,6,20,26
DESAGUADERO,atencion odontologica, cirugia bucal menor,2014-07-01,40,35,40,35,75
EL ALTO,atencion odontologica, cirugia bucal menor,2014-07-01,1772,2322,1772,2322,4094
EL CHORO,atencion odontologica, cirugia bucal menor,2014-07-01,4,9,4,9,13
EL PUENTE(STC),atencion odontologica, cirugia bucal menor,2014-07-01,25,28,25,28,53
EL PUENTE(TJA),atencion odontologica, cirugia bucal menor,2014-07-01,65,117,65,117,182
EL TORNO,atencion odontologica, cirugia bucal menor,2014-07-01,90,115,90,115,205
EL VILLAR,atencion odontologica, cirugia bucal menor,2014-07-01,19,18,19,18,37
ENTRE RIOS TRJ,atencion odontologica, cirugia bucal menor,2014-07-01,84,127,84,127,211
ENTRE RIOS CBBA,atencion odontologica, cirugia bucal menor,2014-07-01,12,19,12,19,31
ESCOMA,atencion odontologica, cirugia bucal menor,2014-07-01,24,37,24,37,61
EUCALIPTUS,atencion odontologica, cirugia bucal menor,2014-07-01,23,21,23,21,44
FERNANDEZ ALONSO,atencion odontologica, cirugia bucal menor,2014-07-01,18,34,18,34,52
FILADELFIA,atencion odontologica, cirugia bucal menor,2014-07-01,4,5,4,5,9
GENERAL SAAVEDRA,atencion odontologica, cirugia bucal menor,2014-07-01,22,44,22,44,66
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, cirugia bucal menor,2014-07-01,46,57,46,57,103
GUANAY,atencion odontologica, cirugia bucal menor,2014-07-01,17,11,17,11,28
GUAQUI,atencion odontologica, cirugia bucal menor,2014-07-01,25,44,25,44,69
GUAYARAMERIN,atencion odontologica, cirugia bucal menor,2014-07-01,125,169,125,169,294
GUTIERREZ,atencion odontologica, cirugia bucal menor,2014-07-01,45,53,45,53,98
HUACARETA,atencion odontologica, cirugia bucal menor,2014-07-01,15,30,15,30,45
HUACAYA (VILLA DE HUACAYA),atencion odontologica, cirugia bucal menor,2014-07-01,22,21,22,21,43
HUACHACALLA,atencion odontologica, cirugia bucal menor,2014-07-01,7,3,7,3,10
HUANUNI,atencion odontologica, cirugia bucal menor,2014-07-01,80,105,80,105,185
HUARACAJE,atencion odontologica, cirugia bucal menor,2014-07-01,5,1,5,1,6
HUARINA,atencion odontologica, cirugia bucal menor,2014-07-01,20,20,20,20,40
HUATAJATA,atencion odontologica, cirugia bucal menor,2014-07-01,10,32,10,32,42
HUAYLLAMARCA,atencion odontologica, cirugia bucal menor,2014-07-01,16,38,16,38,54
HUMANATA,atencion odontologica, cirugia bucal menor,2014-07-01,29,37,29,37,66
ICHOCA,atencion odontologica, cirugia bucal menor,2014-07-01,15,18,15,18,33
ICLA,atencion odontologica, cirugia bucal menor,2014-07-01,13,42,13,42,55
INCAHUASI,atencion odontologica, cirugia bucal menor,2014-07-01,11,32,11,32,43
INGAVI (HUMAITA),atencion odontologica, cirugia bucal menor,2014-07-01,1,3,1,3,4
INQUISIVI,atencion odontologica, cirugia bucal menor,2014-07-01,8,14,8,14,22
IRUPANA (VILLA DE LANZA),atencion odontologica, cirugia bucal menor,2014-07-01,24,41,24,41,65
IXIAMAS,atencion odontologica, cirugia bucal menor,2014-07-01,59,72,59,72,131
JESUS DE MACHACA,atencion odontologica, cirugia bucal menor,2014-07-01,28,45,28,45,73
LA ASUNTA,atencion odontologica, cirugia bucal menor,2014-07-01,33,48,33,48,81
LA GUARDIA,atencion odontologica, cirugia bucal menor,2014-07-01,40,63,40,63,103
LA PAZ,atencion odontologica, cirugia bucal menor,2014-07-01,1346,1784,1346,1784,3130
LAGUNILLAS,atencion odontologica, cirugia bucal menor,2014-07-01,19,32,19,32,51
LAJA,atencion odontologica, cirugia bucal menor,2014-07-01,50,65,50,65,115
LAS CARRERAS,atencion odontologica, cirugia bucal menor,2014-07-01,13,17,13,17,30
LICOMA PAMPA,atencion odontologica, cirugia bucal menor,2014-07-01,24,12,24,12,36
LLALLAGUA,atencion odontologica, cirugia bucal menor,2014-07-01,62,69,62,69,131
LLICA,atencion odontologica, cirugia bucal menor,2014-07-01,24,26,24,26,50
LURIBAY,atencion odontologica, cirugia bucal menor,2014-07-01,18,17,18,17,35
MACHACAMARCA,atencion odontologica, cirugia bucal menor,2014-07-01,12,16,12,16,28
MACHARETI,atencion odontologica, cirugia bucal menor,2014-07-01,14,10,14,10,24
MAGDALENA,atencion odontologica, cirugia bucal menor,2014-07-01,15,44,15,44,59
MAIRANA,atencion odontologica, cirugia bucal menor,2014-07-01,10,11,10,11,21
MALLA,atencion odontologica, cirugia bucal menor,2014-07-01,2,2,2,2,4
MAPIRI,atencion odontologica, cirugia bucal menor,2014-07-01,14,8,14,8,22
MECAPACA,atencion odontologica, cirugia bucal menor,2014-07-01,32,44,32,44,76
MINEROS,atencion odontologica, cirugia bucal menor,2014-07-01,14,18,14,18,32
MIZQUE,atencion odontologica, cirugia bucal menor,2014-07-01,188,82,188,82,270
MOCOMOCO,atencion odontologica, cirugia bucal menor,2014-07-01,64,73,64,73,137
MOJOCOYA,atencion odontologica, cirugia bucal menor,2014-07-01,33,46,33,46,79
MONTEAGUDO,atencion odontologica, cirugia bucal menor,2014-07-01,24,40,24,40,64
MONTERO,atencion odontologica, cirugia bucal menor,2014-07-01,82,116,82,116,198
MORO MORO,atencion odontologica, cirugia bucal menor,2014-07-01,4,7,4,7,11
MOROCHATA,atencion odontologica, cirugia bucal menor,2014-07-01,10,40,10,40,50
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, cirugia bucal menor,2014-07-01,2,4,2,4,6
OCURI,atencion odontologica, cirugia bucal menor,2014-07-01,39,50,39,50,89
OKINAWA,atencion odontologica, cirugia bucal menor,2014-07-01,9,12,9,12,21
OMEREQUE,atencion odontologica, cirugia bucal menor,2014-07-01,9,32,9,32,41
ORURO,atencion odontologica, cirugia bucal menor,2014-07-01,618,991,618,991,1609
PADCAYA,atencion odontologica, cirugia bucal menor,2014-07-01,74,96,74,96,170
PADILLA,atencion odontologica, cirugia bucal menor,2014-07-01,34,60,34,60,94
PAILON,atencion odontologica, cirugia bucal menor,2014-07-01,20,57,20,57,77
