,group,variable,month,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
SHINAOTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,0,5,0,5,5
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,10,13,10,13,23
SIPE SIPE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,18,19,18,19,37
SOPACHUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,2,25,2,25,27
SORACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,4,1,4,1,5
SORATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,33,10,33,10,43
SUCRE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,236,247,236,247,483
TACACOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,1,3,1,3,4
TACOBAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,0,1,0,1,1
TACOPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,3,8,3,8,11
TAHUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,0,1,0,1,1
TAPACARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,74,36,74,36,110
TARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,14,16,14,16,30
TARACO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,34,46,34,46,80
TARATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,59,97,59,97,156
TARIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,173,141,173,141,314
TARVITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,11,22,11,22,33
TEOPONTE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,9,1,9,1,10
TIAWANACU,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,21,14,21,14,35
TINGUIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,3,6,3,6,9
TIPUANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,7,5,7,5,12
TIQUIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,32,8,32,8,40
TIRAQUE (CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,45,44,45,44,89
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,5,4,5,4,9
TOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,12,1,12,1,13
TODOS SANTOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,1,1,1,1,2
TOLATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,6,6,6,6,12
TOLEDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,0,2,0,2,2
TOMAVE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,31,21,31,21,52
TOMINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,7,23,7,23,30
TORO TORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,16,5,16,5,21
TOTORA(CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,2,3,2,3,5
TOTORA(ORR),atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,10,28,10,28,38
TRIGAL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,6,1,6,1,7
TRINIDAD,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,90,52,90,52,142
TUPIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,43,46,43,46,89
TURCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,11,8,11,8,19
UMALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,13,7,13,7,20
UNCIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,21,13,21,13,34
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,19,8,19,8,27
URUBICHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,0,3,0,3,3
UYUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,36,5,36,5,41
VACAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,3,9,3,9,12
VALLEGRANDE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,21,28,21,28,49
VIACHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,49,46,49,46,95
VILLA CHARCAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,6,10,6,10,16
VILLA MONTES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,18,20,18,20,38
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,0,7,0,7,7
VILLA SERRANO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,12,13,12,13,25
VILLA TUNARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,26,7,26,7,33
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,12,2,12,2,14
VILLAZON,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,21,34,21,34,55
VINTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,5,11,5,11,16
VITICHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,10,13,10,13,23
WALDO BALLIVIAN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,2,0,2,0,2
WARNES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,15,34,15,34,49
YACO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,8,7,8,7,15
YACUIBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,57,74,57,74,131
YAMPARAEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,7,19,7,19,26
YANACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,1,0,1,0,1
YAPACANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,49,48,49,48,97
YOCALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,16,11,16,11,27
YOTALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,11,5,11,5,16
YUNCHARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,9,22,9,22,31
ZUDAÑEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-07-01,3,4,3,4,7
ACACIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,0,1,0,1
ACHACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,124,87,124,87,211
ACHOCALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,3,5,3,5,8
AIQUILE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,11,15,11,15,26
ALALAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,0,11,0,11,11
ALCALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,4,6,4,10
ALTO BENI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,5,2,5,7
ANCORAIMES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,19,10,19,10,29
ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,2,9,2,11
ANTEQUERA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,2,2,2,4
ANZALDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,12,44,12,44,56
APOLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,5,5,5,10
ARAMPAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,8,1,8,1,9
ARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,22,18,22,40
ARBIETO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,17,18,17,35
ARQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,7,2,7,9
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,7,2,7,9
ATOCHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,12,13,12,13,25
AUCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,2,1,2,3
AYATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,2,6,2,8
AYO AYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,21,20,21,20,41
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,7,17,7,17,24
AZURDUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,2,4,2,6
BATALLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,17,18,17,35
BAURES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,2,5,2,7
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,16,26,16,26,42
BELEN DE URMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,16,9,16,9,25
BELLA FLOR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,0,6,0,6
BERMEJO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,95,70,95,70,165
BETANZOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,13,18,13,31
BOLIVAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,2,9,2,11
BOLPEBRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,0,2,0,2
BOYUIBE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,4,5,4,9
BUENA VISTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,1,5,1,6
CABEZAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,8,3,8,3,11
CAIROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,19,27,19,27,46
"CAIZA ""D""",atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,3,13,3,13,16
CAJUATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,14,5,14,5,19
CALACOTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,4,2,4,6
CALAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,11,18,11,29
CAMARGO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,8,6,8,14
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,13,2,13,2,15
CAMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,49,63,49,63,112
CAPINOTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,17,22,17,22,39
CAQUIAVIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,15,6,15,6,21
CARACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,15,19,15,19,34
CARANAVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,8,7,8,7,15
CARAPARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,11,4,11,4,15
CARIPUYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,4,2,4,6
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,3,2,3,5
CATACORA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,3,0,3,0,3
CHALLAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,36,39,36,39,75
CHAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,0,1,0,1,1
CHARAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,12,16,12,16,28
CHARAÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,3,1,3,1,4
CHAYANTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,23,27,23,27,50
CHIMORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,0,4,0,4
CHOQUE COTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,0,3,0,3,3
CHUA COCANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,10,1,10,11
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,1,1,1,2
CHUMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,34,25,34,25,59
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,21,17,21,17,38
CKOCHAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,7,5,7,12
CLIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,57,76,57,76,133
COBIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,36,20,36,20,56
COCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,10,9,10,19
COCHABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,519,402,519,402,921
COIPASA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,3,5,3,8
COLCAPIRHUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,28,29,28,29,57
"COLCHA ""K""",atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,7,6,7,13
COLLANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,0,9,0,9
COLOMI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,1,1,1,2
COLPA BELGICA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,0,2,0,2
COLQUECHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,37,45,37,45,82
COLQUENCHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,10,1,10,11
COLQUIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,24,27,24,27,51
COMANCHE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,0,4,0,4
COMARAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,20,24,20,24,44
COMBAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,1,2,1,3
CONCEPCION,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,13,20,13,20,33
COPACABANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,178,194,178,194,372
CORIPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,12,3,12,3,15
CORO CORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,8,4,8,12
COROICO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,22,16,22,16,38
CORQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,13,25,13,25,38
COTAGAITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,61,60,61,60,121
COTOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,23,3,23,3,26
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,7,15,7,15,22
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,7,19,7,19,26
CUEVO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,4,4,4,8
CULPINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,16,9,16,25
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,23,5,23,5,28
CURVA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,3,24,3,24,27
DESAGUADERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,38,42,38,42,80
EL ALTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,172,141,172,141,313
EL CHORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,15,6,15,21
EL PUENTE(STC),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,14,18,14,32
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,12,9,12,21
EL TORNO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,55,49,55,49,104
EL VILLAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,1,1,1,2
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,8,11,8,11,19
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,1,6,1,7
ESCOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,7,1,7,8
EUCALIPTUS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,11,12,11,12,23
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,15,9,15,24
FILADELFIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,0,2,0,2
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,7,11,7,11,18
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,13,9,13,22
GUANAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,3,1,3,4
GUAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,36,27,36,27,63
GUAYARAMERIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,28,16,28,16,44
GUTIERREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,7,12,7,12,19
HUACARETA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,14,11,14,11,25
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,1,4,1,5
HUACHACALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,11,14,11,14,25
HUANUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,4,9,4,13
HUARACAJE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,0,1,0,1,1
HUARINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,30,27,30,27,57
HUATAJATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,10,18,10,28
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,32,9,32,9,41
HUMANATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,22,4,22,4,26
ICHOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,40,34,40,34,74
ICLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,5,1,5,6
INCAHUASI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,15,1,15,16
INQUISIVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,5,4,5,9
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,15,15,15,15,30
IXIAMAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,17,0,17,0,17
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,21,9,21,9,30
LA ASUNTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,9,4,9,13
LA GUARDIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,22,20,22,20,42
LA PAZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,647,584,647,584,1231
LAGUNILLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,0,1,0,1
LAJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,23,30,23,30,53
LAS CARRERAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,6,4,6,10
LICOMA PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,5,1,5,6
LLALLAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,12,26,12,26,38
LLICA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,0,5,0,5,5
LURIBAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,13,2,13,2,15
MACHACAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,4,5,4,9
MACHARETI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,0,2,0,2
MAGDALENA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,3,5,3,8
MAIRANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,2,4,2,6
MALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,0,1,0,1
MAPIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,1,2,1,3
MECAPACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,20,2,20,2,22
MINEROS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,19,14,19,14,33
MIZQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,35,29,35,29,64
MOCOMOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,26,9,26,35
MOJOCOYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,13,6,13,6,19
MONTEAGUDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,27,13,27,13,40
MONTERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,78,63,78,63,141
MORO MORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,0,4,0,4
MOROCHATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,45,18,45,63
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,1,1,1,2
OCURI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,14,8,14,8,22
OKINAWA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,6,4,6,10
OMEREQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,14,0,14,0,14
ORURO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,325,204,325,204,529
PADCAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,10,7,10,7,17
PADILLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,18,7,18,7,25
PAILON,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,16,7,16,7,23
PALCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,10,5,10,15
PALOS BLANCOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,20,13,20,13,33
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,4,4,4,8
PAMPA GRANDE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,4,6,4,10
PAPEL PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,24,6,24,6,30
PASORAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,4,1,4,1,5
PATACAMAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,51,55,51,55,106
PAZÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,29,30,29,30,59
PELECHUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,7,8,7,8,15
POCOATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,8,9,8,17
POCONA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,16,16,16,16,32
POJO (CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,3,18,3,18,21
POOPO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,1,2,1,3
PORCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,1,2,1,3
POROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,8,4,8,4,12
PORONGO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,6,5,6,5,11
PORTACHUELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,11,5,11,5,16
PORVENIR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,15,7,15,7,22
POSTRER VALLE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,3,4,3,4,7
POTOSI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,106,78,106,78,184
PRESTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,11,3,11,3,14
PUCARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,44,55,44,55,99
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,12,5,12,5,17
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,19,13,19,13,32
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,1,2,1,3
PUERTO PEREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,2,6,2,6,8
PUERTO QUIJARRO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,1,1,1,2
PUERTO RICO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,0,1,0,1
PUERTO SUAREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,11,8,11,8,19
PUERTO VILLARROEL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,11,12,11,12,23
PUNA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,29,32,29,32,61
PUNATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,101,80,101,80,181
QUIABAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,12,4,12,4,16
QUILLACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,122,52,122,52,174
QUIME,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,25,8,25,8,33
QUIRUSILLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,0,1,0,1
RAVELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,35,29,35,29,64
REYES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,4,5,4,9
RIBERALTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,1,1,1,1,2
ROBORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,16,14,16,14,30
RURRENABAQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,0,4,0,4,4
SABAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,9,11,9,11,20
SACABA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,180,195,180,195,375
SACABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,10,10,10,10,20
SACACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,7,5,7,12
SAIPINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,5,2,5,2,7
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,73,62,73,62,135
SAMAIPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-08-01,7,5,7,5,12
