,group,variable,month,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
CARIPUYO,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
CARMEN RIVERO TORREZ,atencion odontologica, periodoncias,2014-07-01,6,8,6,8,14
CHALLAPATA,atencion odontologica, periodoncias,2014-07-01,4,11,4,11,15
CHARAGUA,atencion odontologica, periodoncias,2014-07-01,0,4,0,4,4
CHAYANTA,atencion odontologica, periodoncias,2014-07-01,2,1,2,1,3
CHIMORE,atencion odontologica, periodoncias,2014-07-01,0,8,0,8,8
CHIPAYA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, periodoncias,2014-07-01,1,4,1,4,5
CHUMA,atencion odontologica, periodoncias,2014-07-01,3,9,3,9,12
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, periodoncias,2014-07-01,3,5,3,5,8
CKOCHAS,atencion odontologica, periodoncias,2014-07-01,2,2,2,2,4
CLIZA,atencion odontologica, periodoncias,2014-07-01,7,27,7,27,34
COBIJA,atencion odontologica, periodoncias,2014-07-01,23,64,23,64,87
COCAPATA,atencion odontologica, periodoncias,2014-07-01,2,18,2,18,20
COCHABAMBA,atencion odontologica, periodoncias,2014-07-01,973,1346,973,1346,2319
COIPASA,atencion odontologica, periodoncias,2014-07-01,2,28,2,28,30
COLCAPIRHUA,atencion odontologica, periodoncias,2014-07-01,0,36,0,36,36
"COLCHA ""K""",atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
COLLANA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
COLOMI,atencion odontologica, periodoncias,2014-07-01,1,6,1,6,7
COLPA BELGICA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
COLQUECHACA,atencion odontologica, periodoncias,2014-07-01,0,7,0,7,7
COLQUIRI,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
COMARAPA,atencion odontologica, periodoncias,2014-07-01,4,8,4,8,12
COMBAYA,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
CONCEPCION,atencion odontologica, periodoncias,2014-07-01,0,5,0,5,5
COPACABANA,atencion odontologica, periodoncias,2014-07-01,0,5,0,5,5
COROICO,atencion odontologica, periodoncias,2014-07-01,1,2,1,2,3
CORQUE,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
COTAGAITA,atencion odontologica, periodoncias,2014-07-01,20,17,20,17,37
COTOCA,atencion odontologica, periodoncias,2014-07-01,0,7,0,7,7
CUATRO CAÑADAS,atencion odontologica, periodoncias,2014-07-01,2,6,2,6,8
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, periodoncias,2014-07-01,1,1,1,1,2
CUEVO,atencion odontologica, periodoncias,2014-07-01,1,1,1,1,2
CULPINA,atencion odontologica, periodoncias,2014-07-01,2,1,2,1,3
CURAHUARA DE CARANGAS,atencion odontologica, periodoncias,2014-07-01,1,2,1,2,3
CURVA,atencion odontologica, periodoncias,2014-07-01,1,0,1,0,1
DESAGUADERO,atencion odontologica, periodoncias,2014-07-01,2,3,2,3,5
EL ALTO,atencion odontologica, periodoncias,2014-07-01,579,792,579,792,1371
EL CHORO,atencion odontologica, periodoncias,2014-07-01,0,3,0,3,3
EL PUENTE(STC),atencion odontologica, periodoncias,2014-07-01,1,1,1,1,2
EL PUENTE(TJA),atencion odontologica, periodoncias,2014-07-01,1,5,1,5,6
EL TORNO,atencion odontologica, periodoncias,2014-07-01,22,63,22,63,85
EL VILLAR,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
ENTRE RIOS TRJ,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
ENTRE RIOS CBBA,atencion odontologica, periodoncias,2014-07-01,0,17,0,17,17
ESCOMA,atencion odontologica, periodoncias,2014-07-01,2,1,2,1,3
EUCALIPTUS,atencion odontologica, periodoncias,2014-07-01,1,1,1,1,2
FERNANDEZ ALONSO,atencion odontologica, periodoncias,2014-07-01,2,5,2,5,7
GENERAL SAAVEDRA,atencion odontologica, periodoncias,2014-07-01,1,9,1,9,10
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
GUAQUI,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
GUAYARAMERIN,atencion odontologica, periodoncias,2014-07-01,29,45,29,45,74
HUACAYA (VILLA DE HUACAYA),atencion odontologica, periodoncias,2014-07-01,1,3,1,3,4
HUANUNI,atencion odontologica, periodoncias,2014-07-01,9,11,9,11,20
HUARINA,atencion odontologica, periodoncias,2014-07-01,3,3,3,3,6
HUATAJATA,atencion odontologica, periodoncias,2014-07-01,4,1,4,1,5
HUAYLLAMARCA,atencion odontologica, periodoncias,2014-07-01,2,0,2,0,2
HUMANATA,atencion odontologica, periodoncias,2014-07-01,6,13,6,13,19
ICLA,atencion odontologica, periodoncias,2014-07-01,2,4,2,4,6
INCAHUASI,atencion odontologica, periodoncias,2014-07-01,1,3,1,3,4
IRUPANA (VILLA DE LANZA),atencion odontologica, periodoncias,2014-07-01,5,6,5,6,11
IXIAMAS,atencion odontologica, periodoncias,2014-07-01,3,4,3,4,7
LA ASUNTA,atencion odontologica, periodoncias,2014-07-01,6,8,6,8,14
LA GUARDIA,atencion odontologica, periodoncias,2014-07-01,4,47,4,47,51
LA PAZ,atencion odontologica, periodoncias,2014-07-01,1182,1512,1182,1512,2694
LAJA,atencion odontologica, periodoncias,2014-07-01,1,0,1,0,1
LLALLAGUA,atencion odontologica, periodoncias,2014-07-01,7,18,7,18,25
LLICA,atencion odontologica, periodoncias,2014-07-01,0,6,0,6,6
MACHACAMARCA,atencion odontologica, periodoncias,2014-07-01,3,0,3,0,3
MAGDALENA,atencion odontologica, periodoncias,2014-07-01,6,4,6,4,10
MAIRANA,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
MAPIRI,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
MECAPACA,atencion odontologica, periodoncias,2014-07-01,2,1,2,1,3
MINEROS,atencion odontologica, periodoncias,2014-07-01,36,56,36,56,92
MIZQUE,atencion odontologica, periodoncias,2014-07-01,0,8,0,8,8
MOCOMOCO,atencion odontologica, periodoncias,2014-07-01,1,3,1,3,4
MOJOCOYA,atencion odontologica, periodoncias,2014-07-01,1,10,1,10,11
MONTEAGUDO,atencion odontologica, periodoncias,2014-07-01,3,10,3,10,13
MONTERO,atencion odontologica, periodoncias,2014-07-01,15,55,15,55,70
MOROCHATA,atencion odontologica, periodoncias,2014-07-01,7,20,7,20,27
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, periodoncias,2014-07-01,28,27,28,27,55
OKINAWA,atencion odontologica, periodoncias,2014-07-01,1,3,1,3,4
OMEREQUE,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
ORURO,atencion odontologica, periodoncias,2014-07-01,193,240,193,240,433
PADCAYA,atencion odontologica, periodoncias,2014-07-01,9,20,9,20,29
PADILLA,atencion odontologica, periodoncias,2014-07-01,8,10,8,10,18
PAILON,atencion odontologica, periodoncias,2014-07-01,6,7,6,7,13
PALOS BLANCOS,atencion odontologica, periodoncias,2014-07-01,2,4,2,4,6
PAMPA AULLAGAS,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
PAMPA GRANDE,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
PAPEL PAMPA,atencion odontologica, periodoncias,2014-07-01,2,5,2,5,7
PASORAPA,atencion odontologica, periodoncias,2014-07-01,1,6,1,6,7
PATACAMAYA,atencion odontologica, periodoncias,2014-07-01,4,2,4,2,6
PELECHUCO,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
POCOATA,atencion odontologica, periodoncias,2014-07-01,2,16,2,16,18
POCONA,atencion odontologica, periodoncias,2014-07-01,0,7,0,7,7
POJO (CBBA),atencion odontologica, periodoncias,2014-07-01,5,27,5,27,32
POOPO,atencion odontologica, periodoncias,2014-07-01,2,5,2,5,7
PORCO,atencion odontologica, periodoncias,2014-07-01,0,4,0,4,4
POROMA,atencion odontologica, periodoncias,2014-07-01,7,9,7,9,16
PORONGO,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
PORTACHUELO,atencion odontologica, periodoncias,2014-07-01,1,2,1,2,3
PORVENIR,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
POSTRER VALLE,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
POTOSI,atencion odontologica, periodoncias,2014-07-01,70,119,70,119,189
PUERTO ACOSTA,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
PUERTO CARABUCO,atencion odontologica, periodoncias,2014-07-01,2,5,2,5,7
PUERTO GONZALO MORENO,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
PUERTO PEREZ,atencion odontologica, periodoncias,2014-07-01,1,0,1,0,1
PUERTO QUIJARRO,atencion odontologica, periodoncias,2014-07-01,0,3,0,3,3
PUERTO RICO,atencion odontologica, periodoncias,2014-07-01,3,14,3,14,17
PUERTO SUAREZ,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
PUERTO VILLARROEL,atencion odontologica, periodoncias,2014-07-01,8,19,8,19,27
PUNA,atencion odontologica, periodoncias,2014-07-01,2,3,2,3,5
PUNATA,atencion odontologica, periodoncias,2014-07-01,9,31,9,31,40
QUILLACOLLO,atencion odontologica, periodoncias,2014-07-01,82,147,82,147,229
QUIME,atencion odontologica, periodoncias,2014-07-01,6,7,6,7,13
QUIRUSILLAS,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
RAVELO,atencion odontologica, periodoncias,2014-07-01,0,3,0,3,3
REYES,atencion odontologica, periodoncias,2014-07-01,4,9,4,9,13
RIBERALTA,atencion odontologica, periodoncias,2014-07-01,48,90,48,90,138
ROBORE,atencion odontologica, periodoncias,2014-07-01,5,7,5,7,12
RURRENABAQUE,atencion odontologica, periodoncias,2014-07-01,6,4,6,4,10
SABAYA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
SACABA,atencion odontologica, periodoncias,2014-07-01,45,105,45,105,150
SACABAMBA,atencion odontologica, periodoncias,2014-07-01,1,1,1,1,2
SACACA,atencion odontologica, periodoncias,2014-07-01,1,0,1,0,1
SAIPINA,atencion odontologica, periodoncias,2014-07-01,1,1,1,1,2
SALINAS DE GARCI MENDOZA,atencion odontologica, periodoncias,2014-07-01,2,11,2,11,13
SAMAIPATA,atencion odontologica, periodoncias,2014-07-01,2,8,2,8,10
SAN ANDRES,atencion odontologica, periodoncias,2014-07-01,1,12,1,12,13
SAN ANDRES DE MACHACA,atencion odontologica, periodoncias,2014-07-01,7,7,7,7,14
SAN ANTONIO DE ESMORUCO,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
SAN BENITO,atencion odontologica, periodoncias,2014-07-01,6,16,6,16,22
SAN BORJA,atencion odontologica, periodoncias,2014-07-01,8,18,8,18,26
SAN BUENA VENTURA,atencion odontologica, periodoncias,2014-07-01,1,0,1,0,1
SAN CARLOS,atencion odontologica, periodoncias,2014-07-01,8,16,8,16,24
SAN IGNACIO,atencion odontologica, periodoncias,2014-07-01,17,22,17,22,39
SAN IGNACIO DE VELASCO,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
SAN JAVIER(STC),atencion odontologica, periodoncias,2014-07-01,1,3,1,3,4
SAN JULIAN,atencion odontologica, periodoncias,2014-07-01,8,26,8,26,34
SAN LORENZO(PND),atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
SAN LORENZO(TJA),atencion odontologica, periodoncias,2014-07-01,1,5,1,5,6
SAN LUCAS,atencion odontologica, periodoncias,2014-07-01,2,8,2,8,10
SAN MATIAS,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,atencion odontologica, periodoncias,2014-07-01,3,5,3,5,8
SAN PEDRO,atencion odontologica, periodoncias,2014-07-01,6,1,6,1,7
SAN PEDRO DE BUENA VISTA,atencion odontologica, periodoncias,2014-07-01,1,5,1,5,6
SAN RAFAEL,atencion odontologica, periodoncias,2014-07-01,4,11,4,11,15
SAN RAMON SCZ,atencion odontologica, periodoncias,2014-07-01,2,5,2,5,7
SANTA CRUZ DE LA SIERRA,atencion odontologica, periodoncias,2014-07-01,635,1381,635,1381,2016
SANTA ROSA,atencion odontologica, periodoncias,2014-07-01,7,11,7,11,18
SANTA ROSA DEL SARA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
SANTIAGO DE CALLAPA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
SANTIAGO DE HUARI,atencion odontologica, periodoncias,2014-07-01,3,1,3,1,4
SANTIAGO DE HUATA,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
SANTIAGO DE MACHACA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
SANTIVAÑES,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
SANTUARIO DE QUILLACAS,atencion odontologica, periodoncias,2014-07-01,0,3,0,3,3
SAPAHAQUI,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
SHINAOTA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
SICAYA,atencion odontologica, periodoncias,2014-07-01,0,2,0,2,2
SIPE SIPE,atencion odontologica, periodoncias,2014-07-01,5,44,5,44,49
SOPACHUY,atencion odontologica, periodoncias,2014-07-01,0,8,0,8,8
SORACACHI,atencion odontologica, periodoncias,2014-07-01,1,1,1,1,2
SORATA,atencion odontologica, periodoncias,2014-07-01,3,7,3,7,10
SUCRE,atencion odontologica, periodoncias,2014-07-01,350,360,350,360,710
TACACHI,atencion odontologica, periodoncias,2014-07-01,1,0,1,0,1
TACACOMA,atencion odontologica, periodoncias,2014-07-01,0,3,0,3,3
TAHUA,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
TAPACARI,atencion odontologica, periodoncias,2014-07-01,3,10,3,10,13
TARABUCO,atencion odontologica, periodoncias,2014-07-01,0,10,0,10,10
TARATA,atencion odontologica, periodoncias,2014-07-01,1,8,1,8,9
TARIJA,atencion odontologica, periodoncias,2014-07-01,211,380,211,380,591
TARVITA,atencion odontologica, periodoncias,2014-07-01,0,6,0,6,6
TEOPONTE,atencion odontologica, periodoncias,2014-07-01,1,1,1,1,2
TIAWANACU,atencion odontologica, periodoncias,2014-07-01,6,11,6,11,17
TINGUIPAYA,atencion odontologica, periodoncias,2014-07-01,1,0,1,0,1
TIQUIPAYA,atencion odontologica, periodoncias,2014-07-01,5,79,5,79,84
TIRAQUE (CBBA),atencion odontologica, periodoncias,2014-07-01,10,9,10,9,19
TOCO,atencion odontologica, periodoncias,2014-07-01,0,3,0,3,3
TODOS SANTOS,atencion odontologica, periodoncias,2014-07-01,1,0,1,0,1
TOLATA,atencion odontologica, periodoncias,2014-07-01,3,9,3,9,12
TOLEDO,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
TOMAVE,atencion odontologica, periodoncias,2014-07-01,2,6,2,6,8
TOMINA,atencion odontologica, periodoncias,2014-07-01,41,59,41,59,100
TORO TORO,atencion odontologica, periodoncias,2014-07-01,0,17,0,17,17
TOTORA(CBBA),atencion odontologica, periodoncias,2014-07-01,3,1,3,1,4
TOTORA(ORR),atencion odontologica, periodoncias,2014-07-01,0,5,0,5,5
TRIGAL,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
TRINIDAD,atencion odontologica, periodoncias,2014-07-01,55,101,55,101,156
TUPIZA,atencion odontologica, periodoncias,2014-07-01,19,29,19,29,48
TURCO,atencion odontologica, periodoncias,2014-07-01,1,3,1,3,4
UMALA,atencion odontologica, periodoncias,2014-07-01,2,1,2,1,3
UNCIA,atencion odontologica, periodoncias,2014-07-01,1,6,1,6,7
URIONDO (A. CONCEPCION),atencion odontologica, periodoncias,2014-07-01,11,5,11,5,16
URUBICHA,atencion odontologica, periodoncias,2014-07-01,1,2,1,2,3
UYUNI,atencion odontologica, periodoncias,2014-07-01,2,0,2,0,2
VALLEGRANDE,atencion odontologica, periodoncias,2014-07-01,7,27,7,27,34
VIACHA,atencion odontologica, periodoncias,2014-07-01,16,33,16,33,49
VILLA CHARCAS,atencion odontologica, periodoncias,2014-07-01,0,3,0,3,3
VILLA MONTES,atencion odontologica, periodoncias,2014-07-01,46,57,46,57,103
VILLA NUEVA (LOMA ALTA),atencion odontologica, periodoncias,2014-07-01,0,12,0,12,12
VILLA RIVERO,atencion odontologica, periodoncias,2014-07-01,0,13,0,13,13
VILLA SERRANO,atencion odontologica, periodoncias,2014-07-01,5,6,5,6,11
VILLA TUNARI,atencion odontologica, periodoncias,2014-07-01,30,54,30,54,84
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, periodoncias,2014-07-01,2,11,2,11,13
VILLAZON,atencion odontologica, periodoncias,2014-07-01,3,13,3,13,16
VINTO,atencion odontologica, periodoncias,2014-07-01,5,23,5,23,28
VITICHI,atencion odontologica, periodoncias,2014-07-01,3,3,3,3,6
WARNES,atencion odontologica, periodoncias,2014-07-01,7,16,7,16,23
YACUIBA,atencion odontologica, periodoncias,2014-07-01,23,33,23,33,56
YAMPARAEZ,atencion odontologica, periodoncias,2014-07-01,3,13,3,13,16
YANACACHI,atencion odontologica, periodoncias,2014-07-01,3,7,3,7,10
YAPACANI,atencion odontologica, periodoncias,2014-07-01,5,24,5,24,29
YOCALLA,atencion odontologica, periodoncias,2014-07-01,5,3,5,3,8
YOTALA,atencion odontologica, periodoncias,2014-07-01,0,6,0,6,6
YUNCHARA,atencion odontologica, periodoncias,2014-07-01,4,13,4,13,17
ZUDAÑEZ,atencion odontologica, periodoncias,2014-07-01,0,1,0,1,1
ACHACACHI,atencion odontologica, periodoncias,2014-08-01,6,15,6,15,21
ACHOCALLA,atencion odontologica, periodoncias,2014-08-01,0,5,0,5,5
AIQUILE,atencion odontologica, periodoncias,2014-08-01,12,29,12,29,41
ALALAY,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
ALCALA,atencion odontologica, periodoncias,2014-08-01,1,9,1,9,10
ALTO BENI,atencion odontologica, periodoncias,2014-08-01,1,0,1,0,1
ANCORAIMES,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
ANDAMARCA,atencion odontologica, periodoncias,2014-08-01,0,3,0,3,3
ANTEQUERA,atencion odontologica, periodoncias,2014-08-01,0,2,0,2,2
ANZALDO,atencion odontologica, periodoncias,2014-08-01,3,17,3,17,20
ARAMPAMPA,atencion odontologica, periodoncias,2014-08-01,3,3,3,3,6
ARANI,atencion odontologica, periodoncias,2014-08-01,1,5,1,5,6
ARBIETO,atencion odontologica, periodoncias,2014-08-01,5,28,5,28,33
ATOCHA,atencion odontologica, periodoncias,2014-08-01,19,31,19,31,50
AUCAPATA,atencion odontologica, periodoncias,2014-08-01,1,2,1,2,3
AYATA,atencion odontologica, periodoncias,2014-08-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, periodoncias,2014-08-01,9,14,9,14,23
AZURDUY,atencion odontologica, periodoncias,2014-08-01,1,0,1,0,1
BELEN DE ANDAMARCA,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica, periodoncias,2014-08-01,2,1,2,1,3
BERMEJO,atencion odontologica, periodoncias,2014-08-01,33,39,33,39,72
BOLIVAR,atencion odontologica, periodoncias,2014-08-01,1,3,1,3,4
BOLPEBRA,atencion odontologica, periodoncias,2014-08-01,2,4,2,4,6
BUENA VISTA,atencion odontologica, periodoncias,2014-08-01,1,0,1,0,1
CABEZAS,atencion odontologica, periodoncias,2014-08-01,39,47,39,47,86
CAIROMA,atencion odontologica, periodoncias,2014-08-01,1,4,1,4,5
"CAIZA ""D""",atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
CALAMARCA,atencion odontologica, periodoncias,2014-08-01,5,9,5,9,14
CAMARGO,atencion odontologica, periodoncias,2014-08-01,2,2,2,2,4
CAMIRI,atencion odontologica, periodoncias,2014-08-01,10,27,10,27,37
CAPINOTA,atencion odontologica, periodoncias,2014-08-01,6,20,6,20,26
CAQUIAVIRI,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
CARACOLLO,atencion odontologica, periodoncias,2014-08-01,4,11,4,11,15
CARANAVI,atencion odontologica, periodoncias,2014-08-01,29,54,29,54,83
CARAPARI,atencion odontologica, periodoncias,2014-08-01,5,4,5,4,9
CARIPUYO,atencion odontologica, periodoncias,2014-08-01,2,3,2,3,5
CARMEN RIVERO TORREZ,atencion odontologica, periodoncias,2014-08-01,2,10,2,10,12
CHALLAPATA,atencion odontologica, periodoncias,2014-08-01,10,11,10,11,21
CHARAGUA,atencion odontologica, periodoncias,2014-08-01,5,14,5,14,19
CHAYANTA,atencion odontologica, periodoncias,2014-08-01,1,5,1,5,6
CHIMORE,atencion odontologica, periodoncias,2014-08-01,1,3,1,3,4
CHOQUE COTA,atencion odontologica, periodoncias,2014-08-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, periodoncias,2014-08-01,7,7,7,7,14
CHUMA,atencion odontologica, periodoncias,2014-08-01,5,3,5,3,8
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, periodoncias,2014-08-01,2,4,2,4,6
CKOCHAS,atencion odontologica, periodoncias,2014-08-01,2,2,2,2,4
CLIZA,atencion odontologica, periodoncias,2014-08-01,13,41,13,41,54
COBIJA,atencion odontologica, periodoncias,2014-08-01,13,56,13,56,69
COCAPATA,atencion odontologica, periodoncias,2014-08-01,3,15,3,15,18
COCHABAMBA,atencion odontologica, periodoncias,2014-08-01,648,1121,648,1121,1769
COIPASA,atencion odontologica, periodoncias,2014-08-01,10,6,10,6,16
COLCAPIRHUA,atencion odontologica, periodoncias,2014-08-01,4,30,4,30,34
"COLCHA ""K""",atencion odontologica, periodoncias,2014-08-01,0,2,0,2,2
COLLANA,atencion odontologica, periodoncias,2014-08-01,1,1,1,1,2
COLOMI,atencion odontologica, periodoncias,2014-08-01,1,7,1,7,8
COLPA BELGICA,atencion odontologica, periodoncias,2014-08-01,2,1,2,1,3
COLQUECHACA,atencion odontologica, periodoncias,2014-08-01,8,11,8,11,19
COLQUIRI,atencion odontologica, periodoncias,2014-08-01,5,1,5,1,6
COMARAPA,atencion odontologica, periodoncias,2014-08-01,10,12,10,12,22
COMBAYA,atencion odontologica, periodoncias,2014-08-01,0,3,0,3,3
CONCEPCION,atencion odontologica, periodoncias,2014-08-01,2,4,2,4,6
COPACABANA,atencion odontologica, periodoncias,2014-08-01,2,7,2,7,9
CORIPATA,atencion odontologica, periodoncias,2014-08-01,4,2,4,2,6
COROICO,atencion odontologica, periodoncias,2014-08-01,4,9,4,9,13
CORQUE,atencion odontologica, periodoncias,2014-08-01,5,4,5,4,9
COTAGAITA,atencion odontologica, periodoncias,2014-08-01,24,16,24,16,40
COTOCA,atencion odontologica, periodoncias,2014-08-01,1,5,1,5,6
CUATRO CAÑADAS,atencion odontologica, periodoncias,2014-08-01,4,11,4,11,15
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
CUEVO,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
CURAHUARA DE CARANGAS,atencion odontologica, periodoncias,2014-08-01,1,2,1,2,3
DESAGUADERO,atencion odontologica, periodoncias,2014-08-01,15,19,15,19,34
EL ALTO,atencion odontologica, periodoncias,2014-08-01,559,700,559,700,1259
EL CHORO,atencion odontologica, periodoncias,2014-08-01,0,2,0,2,2
EL PUENTE(STC),atencion odontologica, periodoncias,2014-08-01,1,0,1,0,1
EL PUENTE(TJA),atencion odontologica, periodoncias,2014-08-01,0,3,0,3,3
EL TORNO,atencion odontologica, periodoncias,2014-08-01,19,33,19,33,52
ENTRE RIOS TRJ,atencion odontologica, periodoncias,2014-08-01,2,0,2,0,2
ENTRE RIOS CBBA,atencion odontologica, periodoncias,2014-08-01,3,28,3,28,31
ESCOMA,atencion odontologica, periodoncias,2014-08-01,1,1,1,1,2
FERNANDEZ ALONSO,atencion odontologica, periodoncias,2014-08-01,0,3,0,3,3
GENERAL SAAVEDRA,atencion odontologica, periodoncias,2014-08-01,1,5,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, periodoncias,2014-08-01,0,2,0,2,2
GUANAY,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
GUAYARAMERIN,atencion odontologica, periodoncias,2014-08-01,22,68,22,68,90
GUTIERREZ,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica, periodoncias,2014-08-01,0,7,0,7,7
HUACHACALLA,atencion odontologica, periodoncias,2014-08-01,1,1,1,1,2
HUANUNI,atencion odontologica, periodoncias,2014-08-01,11,9,11,9,20
HUARACAJE,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
HUARINA,atencion odontologica, periodoncias,2014-08-01,4,8,4,8,12
HUATAJATA,atencion odontologica, periodoncias,2014-08-01,0,7,0,7,7
HUAYLLAMARCA,atencion odontologica, periodoncias,2014-08-01,4,6,4,6,10
HUMANATA,atencion odontologica, periodoncias,2014-08-01,12,4,12,4,16
ICHOCA,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
ICLA,atencion odontologica, periodoncias,2014-08-01,0,2,0,2,2
INCAHUASI,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),atencion odontologica, periodoncias,2014-08-01,0,8,0,8,8
LA ASUNTA,atencion odontologica, periodoncias,2014-08-01,0,8,0,8,8
LA GUARDIA,atencion odontologica, periodoncias,2014-08-01,5,24,5,24,29
LA PAZ,atencion odontologica, periodoncias,2014-08-01,935,1106,935,1106,2041
LAJA,atencion odontologica, periodoncias,2014-08-01,13,14,13,14,27
LAS CARRERAS,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
LLALLAGUA,atencion odontologica, periodoncias,2014-08-01,0,8,0,8,8
LURIBAY,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
MACHACAMARCA,atencion odontologica, periodoncias,2014-08-01,1,1,1,1,2
MACHARETI,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
MAGDALENA,atencion odontologica, periodoncias,2014-08-01,6,5,6,5,11
MAIRANA,atencion odontologica, periodoncias,2014-08-01,0,3,0,3,3
MAPIRI,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
MECAPACA,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
MINEROS,atencion odontologica, periodoncias,2014-08-01,0,19,0,19,19
MIZQUE,atencion odontologica, periodoncias,2014-08-01,1,10,1,10,11
MOCOMOCO,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
MOJOCOYA,atencion odontologica, periodoncias,2014-08-01,2,10,2,10,12
MONTEAGUDO,atencion odontologica, periodoncias,2014-08-01,7,10,7,10,17
MONTERO,atencion odontologica, periodoncias,2014-08-01,48,67,48,67,115
MOROCHATA,atencion odontologica, periodoncias,2014-08-01,4,14,4,14,18
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, periodoncias,2014-08-01,1,1,1,1,2
OCURI,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
OMEREQUE,atencion odontologica, periodoncias,2014-08-01,0,1,0,1,1
ORURO,atencion odontologica, periodoncias,2014-08-01,223,230,223,230,453
PADCAYA,atencion odontologica, periodoncias,2014-08-01,13,42,13,42,55
PADILLA,atencion odontologica, periodoncias,2014-08-01,4,2,4,2,6
PAILON,atencion odontologica, periodoncias,2014-08-01,6,3,6,3,9
