,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
LORETO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2,4,2,4,6
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,19,19,19,19,38
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,6,4,6,4,10
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,21,48,21,48,69
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,6,24,6,24,30
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,12,21,12,21,33
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,0,1,0,1,1
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,13,10,13,10,23
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,16,24,16,24,40
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,43,41,43,41,84
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,26,0,26,0,26
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,21,24,21,24,45
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,7,19,7,19,26
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,77,65,77,65,142
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,112,159,112,159,271
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,6,16,6,16,22
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,50,95,50,95,145
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,1,1,1,1,2
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,5,4,5,4,9
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2,2,2,2,4
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2,15,2,15,17
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,706,850,706,850,1556
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,26,36,26,36,62
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,20,26,20,26,46
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,50,51,50,51,101
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,31,55,31,55,86
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,71,85,71,85,156
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,12,8,12,8,20
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,11,11,11,11,22
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,5,10,5,10,15
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2,7,2,7,9
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,135,149,135,149,284
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,4,1,4,1,5
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,22,26,22,26,48
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,8,14,8,14,22
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,46,51,46,51,97
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,102,88,102,88,190
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,37,23,37,23,60
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,7,10,7,10,17
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,180,167,180,167,347
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,85,115,85,115,200
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,6,15,6,15,21
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,25,32,25,32,57
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,1,3,1,3,4
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,212,325,212,325,537
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,62,89,62,89,151
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2,8,2,8,10
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,9,17,9,17,26
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,3,7,3,7,10
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,21,25,21,25,46
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,5,3,5,3,8
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,54,74,54,74,128
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,9,16,9,16,25
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,78,213,78,213,291
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,13,11,13,11,24
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,75,92,75,92,167
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,17,5,17,5,22
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,701,911,701,911,1612
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,82,94,82,94,176
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,6,3,6,3,9
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,1,3,1,3,4
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,29,39,29,39,68
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,406,368,406,368,774
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,4,4,4,4,8
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,85,84,85,84,169
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,12,15,12,15,27
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,919,1411,919,1411,2330
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,279,253,279,253,532
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,8,28,8,28,36
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2,3,2,3,5
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,115,134,115,134,249
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,28,31,28,31,59
SAN AGUSTIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2,2,2,2,4
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,8,11,8,11,19
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,23,32,23,32,55
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,37,61,37,61,98
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,43,95,43,95,138
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,40,29,40,29,69
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,4,4,4,4,8
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,12,8,12,8,20
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,41,43,41,43,84
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,179,210,179,210,389
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,3,2,3,2,5
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,54,108,54,108,162
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,1,9,1,9,10
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,282,221,282,221,503
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,0,1,0,1,1
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,105,154,105,154,259
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,24,24,24,24,48
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,10,11,10,11,21
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,4,5,4,5,9
SAN PABLO DE LIPEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,4,0,4,0,4
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,10,12,10,12,22
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,9,13,9,13,22
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,21,28,21,28,49
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,7,6,7,6,13
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,11,28,11,28,39
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,0,1,0,1,1
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,20,22,20,22,42
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,52,132,52,132,184
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2624,3481,2624,3481,6105
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,19,18,19,18,37
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,22,29,22,29,51
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,16,9,16,9,25
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,51,119,51,119,170
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,4,15,4,15,19
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,5,1,5,1,6
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,3,6,3,6,9
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,94,119,94,119,213
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,3,0,3,0,3
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,82,134,82,134,216
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,33,34,33,34,67
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,56,106,56,106,162
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,18,28,18,28,46
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,35,22,35,22,57
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,35,63,35,63,98
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,1036,1196,1036,1196,2232
TACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,12,10,12,10,22
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,9,12,9,12,21
TACOBAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,3,1,3,1,4
TACOPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,0,11,0,11,11
TAHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,2,1,2,1,3
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,30,48,30,48,78
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,72,68,72,68,140
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,19,40,19,40,59
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,60,52,60,52,112
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,892,1086,892,1086,1978
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,16,49,16,49,65
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,14,25,14,25,39
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,58,71,58,71,129
TINGUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,13,4,13,4,17
TIPUANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,5,30,5,30,35
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,352,489,352,489,841
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,26,38,26,38,64
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,0,1,0,1,1
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,18,37,18,37,55
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,7,54,7,54,61
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,18,24,18,24,42
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,16,6,16,6,22
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,14,23,14,23,37
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,14,15,14,15,29
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,12,12,12,12,24
TOTORA(ORR),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,32,36,32,36,68
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,15,11,15,11,26
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,145,267,145,267,412
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,177,280,177,280,457
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,5,10,5,10,15
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,49,102,49,102,151
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,92,132,92,132,224
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,0,5,0,5,5
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,6,2,6,2,8
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,11,32,11,32,43
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,109,131,109,131,240
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,86,82,86,82,168
VILLA CHARCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,4,17,4,17,21
VILLA MONTES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,187,237,187,237,424
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,3,6,3,6,9
VILLA RIVERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,38,43,38,43,81
VILLA SERRANO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,34,17,34,17,51
VILLA TUNARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,125,77,125,77,202
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,24,31,24,31,55
VILLAZON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,192,137,192,137,329
VINTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,90,241,90,241,331
VITICHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,35,44,35,44,79
WARNES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,93,79,93,79,172
YACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,1,2,1,2,3
YACUIBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,153,226,153,226,379
YAMPARAEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,43,31,43,31,74
YANACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,3,0,3,0,3
YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,30,56,30,56,86
YOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,0,9,0,9,9
YOTALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,59,78,59,78,137
YUNCHARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,83,83,83,83,166
ZUDAÑEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-06-01,8,17,8,17,25
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,85,97,85,97,182
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,38,46,38,46,84
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,55,53,55,53,108
ALALAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,2,0,2,2
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,24,32,24,32,56
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,3,3,3,6
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,15,17,15,17,32
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,17,16,17,16,33
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,3,2,3,5
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,85,45,85,45,130
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,15,8,15,23
ARAMPAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,10,8,10,18
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,53,92,53,92,145
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,29,53,29,53,82
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,40,22,40,22,62
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,44,28,44,28,72
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,7,20,7,20,27
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,3,2,3,5
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,12,6,12,18
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,133,169,133,169,302
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,30,3,30,33
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,7,17,7,17,24
BAURES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,3,0,3,3
BELEN DE ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,7,7,7,7,14
BELEN DE URMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,3,2,3,5
BELLA FLOR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,3,0,3,3
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,88,110,88,110,198
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,6,0,6,6
BOLPEBRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,2,4,2,6
BOYUIBE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1,0,1,0,1
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,17,5,17,22
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,85,87,85,87,172
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,24,27,24,27,51
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,3,5,3,8
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,68,83,68,83,151
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,2,3,2,5
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,23,19,23,19,42
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,18,47,18,47,65
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1,5,1,5,6
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,130,204,130,204,334
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,64,73,64,73,137
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1,2,1,2,3
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,33,55,33,55,88
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,28,48,28,48,76
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,15,30,15,30,45
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,39,46,39,46,85
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,33,41,33,41,74
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,7,5,7,5,12
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,176,163,176,163,339
CHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1,0,1,0,1
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,47,44,47,44,91
CHARAÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,2,0,2,2
CHAYANTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,26,6,26,32
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,79,124,79,124,203
CHIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,2,0,2,2
CHOQUE COTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,0,2,0,2
CHUA COCANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,2,6,2,8
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,1,5,1,6
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,29,49,29,49,78
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,9,16,9,16,25
CKOCHAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,5,4,5,9
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,58,138,58,138,196
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,243,333,243,333,576
COCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,61,75,61,75,136
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2993,4664,2993,4664,7657
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,1,4,1,5
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,94,150,94,150,244
"COLCHA ""K""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,15,0,15,15
COLLANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,13,6,13,19
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,40,19,40,19,59
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,156,202,156,202,358
COLQUECHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,30,25,30,25,55
COLQUENCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,7,16,7,16,23
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,34,38,34,38,72
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,11,8,11,8,19
COMBAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,6,3,6,9
CONCEPCION,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,14,7,14,7,21
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,39,27,39,27,66
CORIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,11,11,11,11,22
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,8,3,8,11
COROICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,8,2,8,10
CORQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,13,9,13,9,22
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,34,49,34,49,83
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,92,105,92,105,197
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,95,140,95,140,235
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,0,4,0,4
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,7,2,7,9
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,34,3,34,3,37
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,14,5,14,19
CURVA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,27,52,27,52,79
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,18,22,18,22,40
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3597,4491,3597,4491,8088
EL CHORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,6,4,6,10
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,23,17,23,17,40
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,10,14,10,14,24
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,94,135,94,135,229
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,18,13,18,13,31
