,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
POJO (CBBA),atencion odontologica, primera consulta,2014-06-01,204,233,204,233,437
POOPO,atencion odontologica, primera consulta,2014-06-01,51,48,51,48,99
PORCO,atencion odontologica, primera consulta,2014-06-01,14,17,14,17,31
POROMA,atencion odontologica, primera consulta,2014-06-01,265,335,265,335,600
PORONGO,atencion odontologica, primera consulta,2014-06-01,61,85,61,85,146
PORTACHUELO,atencion odontologica, primera consulta,2014-06-01,42,66,42,66,108
PORVENIR,atencion odontologica, primera consulta,2014-06-01,34,48,34,48,82
POSTRER VALLE,atencion odontologica, primera consulta,2014-06-01,2,5,2,5,7
POTOSI,atencion odontologica, primera consulta,2014-06-01,598,1112,598,1112,1710
PRESTO,atencion odontologica, primera consulta,2014-06-01,55,120,55,120,175
PUCARA,atencion odontologica, primera consulta,2014-06-01,15,7,15,7,22
PUCARANI,atencion odontologica, primera consulta,2014-06-01,111,123,111,123,234
PUERTO ACOSTA,atencion odontologica, primera consulta,2014-06-01,7,5,7,5,12
PUERTO CARABUCO,atencion odontologica, primera consulta,2014-06-01,58,87,58,87,145
PUERTO GONZALO MORENO,atencion odontologica, primera consulta,2014-06-01,30,48,30,48,78
PUERTO PEREZ,atencion odontologica, primera consulta,2014-06-01,121,132,121,132,253
PUERTO QUIJARRO,atencion odontologica, primera consulta,2014-06-01,102,45,102,45,147
PUERTO RICO,atencion odontologica, primera consulta,2014-06-01,88,79,88,79,167
PUERTO SUAREZ,atencion odontologica, primera consulta,2014-06-01,3,18,3,18,21
PUERTO VILLARROEL,atencion odontologica, primera consulta,2014-06-01,378,333,378,333,711
PUNA,atencion odontologica, primera consulta,2014-06-01,75,106,75,106,181
PUNATA,atencion odontologica, primera consulta,2014-06-01,54,78,54,78,132
QUIABAYA,atencion odontologica, primera consulta,2014-06-01,35,44,35,44,79
QUILLACOLLO,atencion odontologica, primera consulta,2014-06-01,207,344,207,344,551
QUIME,atencion odontologica, primera consulta,2014-06-01,74,97,74,97,171
QUIRUSILLAS,atencion odontologica, primera consulta,2014-06-01,4,4,4,4,8
RAVELO,atencion odontologica, primera consulta,2014-06-01,74,118,74,118,192
REYES,atencion odontologica, primera consulta,2014-06-01,33,34,33,34,67
RIBERALTA,atencion odontologica, primera consulta,2014-06-01,680,882,680,882,1562
ROBORE,atencion odontologica, primera consulta,2014-06-01,76,166,76,166,242
RURRENABAQUE,atencion odontologica, primera consulta,2014-06-01,56,99,56,99,155
SABAYA,atencion odontologica, primera consulta,2014-06-01,18,21,18,21,39
SACABA,atencion odontologica, primera consulta,2014-06-01,289,451,289,451,740
SACABAMBA,atencion odontologica, primera consulta,2014-06-01,60,59,60,59,119
SACACA,atencion odontologica, primera consulta,2014-06-01,48,69,48,69,117
SAIPINA,atencion odontologica, primera consulta,2014-06-01,9,22,9,22,31
SALINAS DE GARCI MENDOZA,atencion odontologica, primera consulta,2014-06-01,114,153,114,153,267
SAMAIPATA,atencion odontologica, primera consulta,2014-06-01,33,40,33,40,73
SAN AGUSTIN,atencion odontologica, primera consulta,2014-06-01,1,2,1,2,3
SAN ANDRES,atencion odontologica, primera consulta,2014-06-01,21,24,21,24,45
SAN ANDRES DE MACHACA,atencion odontologica, primera consulta,2014-06-01,62,73,62,73,135
SAN ANTONIO DE ESMORUCO,atencion odontologica, primera consulta,2014-06-01,42,54,42,54,96
SAN ANTONIO DE LOMERIO,atencion odontologica, primera consulta,2014-06-01,29,40,29,40,69
SAN BENITO,atencion odontologica, primera consulta,2014-06-01,11,27,11,27,38
SAN BORJA,atencion odontologica, primera consulta,2014-06-01,410,403,410,403,813
SAN BUENA VENTURA,atencion odontologica, primera consulta,2014-06-01,101,126,101,126,227
SAN CARLOS,atencion odontologica, primera consulta,2014-06-01,65,92,65,92,157
SAN IGNACIO,atencion odontologica, primera consulta,2014-06-01,220,272,220,272,492
SAN IGNACIO DE VELASCO,atencion odontologica, primera consulta,2014-06-01,273,332,273,332,605
SAN JAVIER(STC),atencion odontologica, primera consulta,2014-06-01,300,334,300,334,634
SAN JOSE DE CHIQUITOS,atencion odontologica, primera consulta,2014-06-01,114,185,114,185,299
SAN JUAN DE YAPACANI,atencion odontologica, primera consulta,2014-06-01,30,23,30,23,53
SAN JULIAN,atencion odontologica, primera consulta,2014-06-01,698,562,698,562,1260
SAN LORENZO(PND),atencion odontologica, primera consulta,2014-06-01,37,65,37,65,102
SAN LORENZO(TJA),atencion odontologica, primera consulta,2014-06-01,194,344,194,344,538
SAN LUCAS,atencion odontologica, primera consulta,2014-06-01,208,293,208,293,501
SAN MATIAS,atencion odontologica, primera consulta,2014-06-01,47,57,47,57,104
SAN MIGUEL DE VELASCO,atencion odontologica, primera consulta,2014-06-01,96,135,96,135,231
SAN PABLO DE LIPEZ,atencion odontologica, primera consulta,2014-06-01,7,1,7,1,8
SAN PEDRO,atencion odontologica, primera consulta,2014-06-01,61,98,61,98,159
SAN PEDRO DE BUENA VISTA,atencion odontologica, primera consulta,2014-06-01,42,52,42,52,94
SAN PEDRO DE CURAHUARA,atencion odontologica, primera consulta,2014-06-01,12,18,12,18,30
SAN PEDRO DE QUEMES,atencion odontologica, primera consulta,2014-06-01,5,5,5,5,10
SAN PEDRO DE TIQUINA,atencion odontologica, primera consulta,2014-06-01,14,24,14,24,38
SAN RAFAEL,atencion odontologica, primera consulta,2014-06-01,11,28,11,28,39
SAN RAMON BENI,atencion odontologica, primera consulta,2014-06-01,144,81,144,81,225
SAN RAMON SCZ,atencion odontologica, primera consulta,2014-06-01,39,43,39,43,82
SANTA ANA,atencion odontologica, primera consulta,2014-06-01,91,126,91,126,217
SANTA CRUZ DE LA SIERRA,atencion odontologica, primera consulta,2014-06-01,5014,7379,5014,7379,12393
SANTA ROSA,atencion odontologica, primera consulta,2014-06-01,21,38,21,38,59
SANTA ROSA DEL SARA,atencion odontologica, primera consulta,2014-06-01,69,144,69,144,213
SANTIAGO DE CALLAPA,atencion odontologica, primera consulta,2014-06-01,22,21,22,21,43
SANTIAGO DE HUARI,atencion odontologica, primera consulta,2014-06-01,55,52,55,52,107
SANTIAGO DE HUATA,atencion odontologica, primera consulta,2014-06-01,17,43,17,43,60
SANTIAGO DE MACHACA,atencion odontologica, primera consulta,2014-06-01,11,41,11,41,52
SANTIVAÑES,atencion odontologica, primera consulta,2014-06-01,4,8,4,8,12
SANTUARIO DE QUILLACAS,atencion odontologica, primera consulta,2014-06-01,21,25,21,25,46
SAPAHAQUI,atencion odontologica, primera consulta,2014-06-01,105,114,105,114,219
SENA,atencion odontologica, primera consulta,2014-06-01,131,122,131,122,253
SHINAOTA,atencion odontologica, primera consulta,2014-06-01,23,46,23,46,69
SICA SICA (VILLA AROMA),atencion odontologica, primera consulta,2014-06-01,86,97,86,97,183
SICAYA,atencion odontologica, primera consulta,2014-06-01,2,3,2,3,5
SIPE SIPE,atencion odontologica, primera consulta,2014-06-01,57,137,57,137,194
SOPACHUY,atencion odontologica, primera consulta,2014-06-01,60,89,60,89,149
SORACACHI,atencion odontologica, primera consulta,2014-06-01,43,50,43,50,93
SORATA,atencion odontologica, primera consulta,2014-06-01,25,34,25,34,59
SUCRE,atencion odontologica, primera consulta,2014-06-01,1792,2565,1792,2565,4357
TACACHI,atencion odontologica, primera consulta,2014-06-01,4,2,4,2,6
TACACOMA,atencion odontologica, primera consulta,2014-06-01,46,48,46,48,94
TACOBAMBA,atencion odontologica, primera consulta,2014-06-01,8,15,8,15,23
TACOPAYA,atencion odontologica, primera consulta,2014-06-01,25,78,25,78,103
TAHUA,atencion odontologica, primera consulta,2014-06-01,17,12,17,12,29
TAPACARI,atencion odontologica, primera consulta,2014-06-01,74,109,74,109,183
TARABUCO,atencion odontologica, primera consulta,2014-06-01,79,156,79,156,235
TARACO,atencion odontologica, primera consulta,2014-06-01,19,24,19,24,43
TARATA,atencion odontologica, primera consulta,2014-06-01,94,148,94,148,242
TARIJA,atencion odontologica, primera consulta,2014-06-01,2010,2070,2010,2070,4080
TARVITA,atencion odontologica, primera consulta,2014-06-01,96,174,96,174,270
TEOPONTE,atencion odontologica, primera consulta,2014-06-01,40,64,40,64,104
TIAWANACU,atencion odontologica, primera consulta,2014-06-01,104,155,104,155,259
TINGUIPAYA,atencion odontologica, primera consulta,2014-06-01,23,34,23,34,57
TIPUANI,atencion odontologica, primera consulta,2014-06-01,48,71,48,71,119
TIQUIPAYA,atencion odontologica, primera consulta,2014-06-01,268,411,268,411,679
TIRAQUE (CBBA),atencion odontologica, primera consulta,2014-06-01,32,46,32,46,78
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, primera consulta,2014-06-01,7,13,7,13,20
TOCO,atencion odontologica, primera consulta,2014-06-01,20,26,20,26,46
TODOS SANTOS,atencion odontologica, primera consulta,2014-06-01,6,6,6,6,12
TOLATA,atencion odontologica, primera consulta,2014-06-01,10,18,10,18,28
TOLEDO,atencion odontologica, primera consulta,2014-06-01,10,20,10,20,30
TOMAVE,atencion odontologica, primera consulta,2014-06-01,60,78,60,78,138
TOMINA,atencion odontologica, primera consulta,2014-06-01,85,131,85,131,216
TORO TORO,atencion odontologica, primera consulta,2014-06-01,71,109,71,109,180
TOTORA(CBBA),atencion odontologica, primera consulta,2014-06-01,40,52,40,52,92
TOTORA(ORR),atencion odontologica, primera consulta,2014-06-01,45,59,45,59,104
TRIGAL,atencion odontologica, primera consulta,2014-06-01,9,9,9,9,18
TRINIDAD,atencion odontologica, primera consulta,2014-06-01,323,595,323,595,918
TUPIZA,atencion odontologica, primera consulta,2014-06-01,164,327,164,327,491
TURCO,atencion odontologica, primera consulta,2014-06-01,16,21,16,21,37
UMALA,atencion odontologica, primera consulta,2014-06-01,20,29,20,29,49
UNCIA,atencion odontologica, primera consulta,2014-06-01,45,67,45,67,112
URIONDO (A. CONCEPCION),atencion odontologica, primera consulta,2014-06-01,187,268,187,268,455
URUBICHA,atencion odontologica, primera consulta,2014-06-01,22,31,22,31,53
UYUNI,atencion odontologica, primera consulta,2014-06-01,131,119,131,119,250
VACAS,atencion odontologica, primera consulta,2014-06-01,30,55,30,55,85
VALLEGRANDE,atencion odontologica, primera consulta,2014-06-01,149,229,149,229,378
VIACHA,atencion odontologica, primera consulta,2014-06-01,264,267,264,267,531
VILA VILA,atencion odontologica, primera consulta,2014-06-01,2,5,2,5,7
VILLA CHARCAS,atencion odontologica, primera consulta,2014-06-01,28,56,28,56,84
VILLA MONTES,atencion odontologica, primera consulta,2014-06-01,272,369,272,369,641
VILLA NUEVA (LOMA ALTA),atencion odontologica, primera consulta,2014-06-01,6,15,6,15,21
VILLA RIVERO,atencion odontologica, primera consulta,2014-06-01,11,30,11,30,41
VILLA SERRANO,atencion odontologica, primera consulta,2014-06-01,29,72,29,72,101
VILLA TUNARI,atencion odontologica, primera consulta,2014-06-01,173,199,173,199,372
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, primera consulta,2014-06-01,35,41,35,41,76
VILLAZON,atencion odontologica, primera consulta,2014-06-01,121,196,121,196,317
VINTO,atencion odontologica, primera consulta,2014-06-01,77,106,77,106,183
VITICHI,atencion odontologica, primera consulta,2014-06-01,67,108,67,108,175
WALDO BALLIVIAN,atencion odontologica, primera consulta,2014-06-01,9,9,9,9,18
WARNES,atencion odontologica, primera consulta,2014-06-01,58,115,58,115,173
YACO,atencion odontologica, primera consulta,2014-06-01,21,31,21,31,52
YACUIBA,atencion odontologica, primera consulta,2014-06-01,412,667,412,667,1079
YAMPARAEZ,atencion odontologica, primera consulta,2014-06-01,21,47,21,47,68
YANACACHI,atencion odontologica, primera consulta,2014-06-01,23,24,23,24,47
YAPACANI,atencion odontologica, primera consulta,2014-06-01,119,177,119,177,296
YOCALLA,atencion odontologica, primera consulta,2014-06-01,27,31,27,31,58
YOTALA,atencion odontologica, primera consulta,2014-06-01,54,83,54,83,137
YUNCHARA,atencion odontologica, primera consulta,2014-06-01,151,158,151,158,309
ZUDAÑEZ,atencion odontologica, primera consulta,2014-06-01,23,46,23,46,69
ACACIO,atencion odontologica, primera consulta,2014-07-01,6,3,6,3,9
ACHACACHI,atencion odontologica, primera consulta,2014-07-01,188,242,188,242,430
ACHOCALLA,atencion odontologica, primera consulta,2014-07-01,31,32,31,32,63
AIQUILE,atencion odontologica, primera consulta,2014-07-01,45,54,45,54,99
ALALAY,atencion odontologica, primera consulta,2014-07-01,2,3,2,3,5
ALCALA,atencion odontologica, primera consulta,2014-07-01,33,43,33,43,76
ALTO BENI,atencion odontologica, primera consulta,2014-07-01,21,23,21,23,44
ANCORAIMES,atencion odontologica, primera consulta,2014-07-01,13,15,13,15,28
ANDAMARCA,atencion odontologica, primera consulta,2014-07-01,26,27,26,27,53
ANTEQUERA,atencion odontologica, primera consulta,2014-07-01,15,14,15,14,29
ANZALDO,atencion odontologica, primera consulta,2014-07-01,24,32,24,32,56
APOLO,atencion odontologica, primera consulta,2014-07-01,15,29,15,29,44
ARAMPAMPA,atencion odontologica, primera consulta,2014-07-01,16,15,16,15,31
ARANI,atencion odontologica, primera consulta,2014-07-01,23,29,23,29,52
ARBIETO,atencion odontologica, primera consulta,2014-07-01,30,64,30,64,94
ARQUE,atencion odontologica, primera consulta,2014-07-01,29,37,29,37,66
ASCENCION DE GUARAYOS,atencion odontologica, primera consulta,2014-07-01,50,135,50,135,185
ATOCHA,atencion odontologica, primera consulta,2014-07-01,144,160,144,160,304
AUCAPATA,atencion odontologica, primera consulta,2014-07-01,14,21,14,21,35
AYATA,atencion odontologica, primera consulta,2014-07-01,20,32,20,32,52
AYO AYO,atencion odontologica, primera consulta,2014-07-01,26,22,26,22,48
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, primera consulta,2014-07-01,60,78,60,78,138
AZURDUY,atencion odontologica, primera consulta,2014-07-01,37,51,37,51,88
BATALLAS,atencion odontologica, primera consulta,2014-07-01,41,106,41,106,147
BAURES,atencion odontologica, primera consulta,2014-07-01,16,24,16,24,40
BELEN DE ANDAMARCA,atencion odontologica, primera consulta,2014-07-01,12,16,12,16,28
BELEN DE URMIRI,atencion odontologica, primera consulta,2014-07-01,11,11,11,11,22
BELLA FLOR,atencion odontologica, primera consulta,2014-07-01,28,46,28,46,74
BERMEJO,atencion odontologica, primera consulta,2014-07-01,330,404,330,404,734
BETANZOS,atencion odontologica, primera consulta,2014-07-01,64,118,64,118,182
BOLIVAR,atencion odontologica, primera consulta,2014-07-01,23,17,23,17,40
BOLPEBRA,atencion odontologica, primera consulta,2014-07-01,33,40,33,40,73
BOYUIBE,atencion odontologica, primera consulta,2014-07-01,10,19,10,19,29
BUENA VISTA,atencion odontologica, primera consulta,2014-07-01,85,106,85,106,191
CABEZAS,atencion odontologica, primera consulta,2014-07-01,79,103,79,103,182
CAIROMA,atencion odontologica, primera consulta,2014-07-01,36,79,36,79,115
"CAIZA ""D""",atencion odontologica, primera consulta,2014-07-01,36,75,36,75,111
CAJUATA,atencion odontologica, primera consulta,2014-07-01,76,77,76,77,153
CALACOTO,atencion odontologica, primera consulta,2014-07-01,18,18,18,18,36
CALAMARCA,atencion odontologica, primera consulta,2014-07-01,45,53,45,53,98
CAMARGO,atencion odontologica, primera consulta,2014-07-01,34,53,34,53,87
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, primera consulta,2014-07-01,24,37,24,37,61
CAMIRI,atencion odontologica, primera consulta,2014-07-01,186,225,186,225,411
CAPINOTA,atencion odontologica, primera consulta,2014-07-01,30,66,30,66,96
CAQUIAVIRI,atencion odontologica, primera consulta,2014-07-01,46,53,46,53,99
CARACOLLO,atencion odontologica, primera consulta,2014-07-01,18,38,18,38,56
CARANAVI,atencion odontologica, primera consulta,2014-07-01,125,146,125,146,271
CARAPARI,atencion odontologica, primera consulta,2014-07-01,83,136,83,136,219
CARIPUYO,atencion odontologica, primera consulta,2014-07-01,52,54,52,54,106
CARMEN RIVERO TORREZ,atencion odontologica, primera consulta,2014-07-01,28,38,28,38,66
CATACORA,atencion odontologica, primera consulta,2014-07-01,4,5,4,5,9
CHALLAPATA,atencion odontologica, primera consulta,2014-07-01,156,180,156,180,336
CHAQUI,atencion odontologica, primera consulta,2014-07-01,19,22,19,22,41
CHARAGUA,atencion odontologica, primera consulta,2014-07-01,126,229,126,229,355
CHARAÑA,atencion odontologica, primera consulta,2014-07-01,5,6,5,6,11
CHAYANTA,atencion odontologica, primera consulta,2014-07-01,38,76,38,76,114
CHIMORE,atencion odontologica, primera consulta,2014-07-01,70,84,70,84,154
CHOQUE COTA,atencion odontologica, primera consulta,2014-07-01,7,6,7,6,13
CHUA COCANI,atencion odontologica, primera consulta,2014-07-01,3,2,3,2,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, primera consulta,2014-07-01,27,32,27,32,59
CHUMA,atencion odontologica, primera consulta,2014-07-01,57,63,57,63,120
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, primera consulta,2014-07-01,15,17,15,17,32
CKOCHAS,atencion odontologica, primera consulta,2014-07-01,50,93,50,93,143
CLIZA,atencion odontologica, primera consulta,2014-07-01,42,58,42,58,100
COBIJA,atencion odontologica, primera consulta,2014-07-01,322,391,322,391,713
COCAPATA,atencion odontologica, primera consulta,2014-07-01,92,106,92,106,198
COCHABAMBA,atencion odontologica, primera consulta,2014-07-01,1887,2867,1887,2867,4754
COIPASA,atencion odontologica, primera consulta,2014-07-01,4,6,4,6,10
COLCAPIRHUA,atencion odontologica, primera consulta,2014-07-01,59,72,59,72,131
"COLCHA ""K""",atencion odontologica, primera consulta,2014-07-01,38,43,38,43,81
COLLANA,atencion odontologica, primera consulta,2014-07-01,24,23,24,23,47
COLOMI,atencion odontologica, primera consulta,2014-07-01,40,30,40,30,70
COLQUECHACA,atencion odontologica, primera consulta,2014-07-01,78,129,78,129,207
COLQUENCHA,atencion odontologica, primera consulta,2014-07-01,29,51,29,51,80
COLQUIRI,atencion odontologica, primera consulta,2014-07-01,73,87,73,87,160
COMANCHE,atencion odontologica, primera consulta,2014-07-01,12,14,12,14,26
COMARAPA,atencion odontologica, primera consulta,2014-07-01,96,110,96,110,206
COMBAYA,atencion odontologica, primera consulta,2014-07-01,2,12,2,12,14
CONCEPCION,atencion odontologica, primera consulta,2014-07-01,56,97,56,97,153
COPACABANA,atencion odontologica, primera consulta,2014-07-01,38,31,38,31,69
CORIPATA,atencion odontologica, primera consulta,2014-07-01,17,27,17,27,44
CORO CORO,atencion odontologica, primera consulta,2014-07-01,33,59,33,59,92
COROICO,atencion odontologica, primera consulta,2014-07-01,16,12,16,12,28
CORQUE,atencion odontologica, primera consulta,2014-07-01,11,25,11,25,36
COTAGAITA,atencion odontologica, primera consulta,2014-07-01,148,207,148,207,355
COTOCA,atencion odontologica, primera consulta,2014-07-01,210,192,210,192,402
CUATRO CAÑADAS,atencion odontologica, primera consulta,2014-07-01,92,131,92,131,223
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, primera consulta,2014-07-01,5,8,5,8,13
CUEVO,atencion odontologica, primera consulta,2014-07-01,23,51,23,51,74
CULPINA,atencion odontologica, primera consulta,2014-07-01,72,131,72,131,203
CURAHUARA DE CARANGAS,atencion odontologica, primera consulta,2014-07-01,22,28,22,28,50
CURVA,atencion odontologica, primera consulta,2014-07-01,23,35,23,35,58
DESAGUADERO,atencion odontologica, primera consulta,2014-07-01,114,128,114,128,242
EL ALTO,atencion odontologica, primera consulta,2014-07-01,3132,3898,3132,3898,7030
EL CHORO,atencion odontologica, primera consulta,2014-07-01,6,18,6,18,24
EL PUENTE(STC),atencion odontologica, primera consulta,2014-07-01,125,205,125,205,330
EL PUENTE(TJA),atencion odontologica, primera consulta,2014-07-01,95,153,95,153,248
EL TORNO,atencion odontologica, primera consulta,2014-07-01,412,459,412,459,871
EL VILLAR,atencion odontologica, primera consulta,2014-07-01,33,41,33,41,74
ENTRE RIOS TRJ,atencion odontologica, primera consulta,2014-07-01,128,259,128,259,387
ENTRE RIOS CBBA,atencion odontologica, primera consulta,2014-07-01,29,65,29,65,94
ESCOMA,atencion odontologica, primera consulta,2014-07-01,50,62,50,62,112
EUCALIPTUS,atencion odontologica, primera consulta,2014-07-01,24,35,24,35,59
FERNANDEZ ALONSO,atencion odontologica, primera consulta,2014-07-01,49,67,49,67,116
FILADELFIA,atencion odontologica, primera consulta,2014-07-01,11,13,11,13,24
GENERAL SAAVEDRA,atencion odontologica, primera consulta,2014-07-01,50,92,50,92,142
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, primera consulta,2014-07-01,140,162,140,162,302
GUANAY,atencion odontologica, primera consulta,2014-07-01,54,61,54,61,115
GUAQUI,atencion odontologica, primera consulta,2014-07-01,47,74,47,74,121
GUAYARAMERIN,atencion odontologica, primera consulta,2014-07-01,360,520,360,520,880
GUTIERREZ,atencion odontologica, primera consulta,2014-07-01,99,104,99,104,203
HUACARETA,atencion odontologica, primera consulta,2014-07-01,18,29,18,29,47
HUACAYA (VILLA DE HUACAYA),atencion odontologica, primera consulta,2014-07-01,33,32,33,32,65
HUACHACALLA,atencion odontologica, primera consulta,2014-07-01,18,25,18,25,43
HUANUNI,atencion odontologica, primera consulta,2014-07-01,101,114,101,114,215
HUARACAJE,atencion odontologica, primera consulta,2014-07-01,10,14,10,14,24
HUARINA,atencion odontologica, primera consulta,2014-07-01,23,34,23,34,57
HUATAJATA,atencion odontologica, primera consulta,2014-07-01,38,41,38,41,79
HUAYLLAMARCA,atencion odontologica, primera consulta,2014-07-01,28,42,28,42,70
HUMANATA,atencion odontologica, primera consulta,2014-07-01,49,63,49,63,112
ICHOCA,atencion odontologica, primera consulta,2014-07-01,35,48,35,48,83
ICLA,atencion odontologica, primera consulta,2014-07-01,23,67,23,67,90
INCAHUASI,atencion odontologica, primera consulta,2014-07-01,44,134,44,134,178
INGAVI (HUMAITA),atencion odontologica, primera consulta,2014-07-01,10,13,10,13,23
INQUISIVI,atencion odontologica, primera consulta,2014-07-01,14,20,14,20,34
IRUPANA (VILLA DE LANZA),atencion odontologica, primera consulta,2014-07-01,57,59,57,59,116
IXIAMAS,atencion odontologica, primera consulta,2014-07-01,80,96,80,96,176
JESUS DE MACHACA,atencion odontologica, primera consulta,2014-07-01,38,57,38,57,95
LA ASUNTA,atencion odontologica, primera consulta,2014-07-01,128,200,128,200,328
LA GUARDIA,atencion odontologica, primera consulta,2014-07-01,137,216,137,216,353
LA PAZ,atencion odontologica, primera consulta,2014-07-01,3749,5069,3749,5069,8818
LAGUNILLAS,atencion odontologica, primera consulta,2014-07-01,25,31,25,31,56
LAJA,atencion odontologica, primera consulta,2014-07-01,30,55,30,55,85
LAS CARRERAS,atencion odontologica, primera consulta,2014-07-01,24,37,24,37,61
LICOMA PAMPA,atencion odontologica, primera consulta,2014-07-01,18,24,18,24,42
LLALLAGUA,atencion odontologica, primera consulta,2014-07-01,109,151,109,151,260
LLICA,atencion odontologica, primera consulta,2014-07-01,20,20,20,20,40
LURIBAY,atencion odontologica, primera consulta,2014-07-01,21,22,21,22,43
MACHACAMARCA,atencion odontologica, primera consulta,2014-07-01,17,19,17,19,36
MACHARETI,atencion odontologica, primera consulta,2014-07-01,58,84,58,84,142
MAGDALENA,atencion odontologica, primera consulta,2014-07-01,14,24,14,24,38
MAIRANA,atencion odontologica, primera consulta,2014-07-01,41,45,41,45,86
MALLA,atencion odontologica, primera consulta,2014-07-01,1,1,1,1,2
MAPIRI,atencion odontologica, primera consulta,2014-07-01,29,49,29,49,78
MECAPACA,atencion odontologica, primera consulta,2014-07-01,74,83,74,83,157
MINEROS,atencion odontologica, primera consulta,2014-07-01,185,202,185,202,387
MIZQUE,atencion odontologica, primera consulta,2014-07-01,41,53,41,53,94
MOCOMOCO,atencion odontologica, primera consulta,2014-07-01,66,85,66,85,151
MOJOCOYA,atencion odontologica, primera consulta,2014-07-01,75,108,75,108,183
MONTEAGUDO,atencion odontologica, primera consulta,2014-07-01,116,185,116,185,301
MONTERO,atencion odontologica, primera consulta,2014-07-01,560,603,560,603,1163
MORO MORO,atencion odontologica, primera consulta,2014-07-01,10,14,10,14,24
MOROCHATA,atencion odontologica, primera consulta,2014-07-01,41,71,41,71,112
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, primera consulta,2014-07-01,48,60,48,60,108
OCURI,atencion odontologica, primera consulta,2014-07-01,65,72,65,72,137
OKINAWA,atencion odontologica, primera consulta,2014-07-01,12,28,12,28,40
OMEREQUE,atencion odontologica, primera consulta,2014-07-01,11,22,11,22,33
ORURO,atencion odontologica, primera consulta,2014-07-01,752,1120,752,1120,1872
PADCAYA,atencion odontologica, primera consulta,2014-07-01,102,155,102,155,257
PADILLA,atencion odontologica, primera consulta,2014-07-01,65,112,65,112,177
PAILON,atencion odontologica, primera consulta,2014-07-01,80,83,80,83,163
PALCA,atencion odontologica, primera consulta,2014-07-01,54,81,54,81,135
PALOS BLANCOS,atencion odontologica, primera consulta,2014-07-01,92,157,92,157,249
PAMPA AULLAGAS,atencion odontologica, primera consulta,2014-07-01,15,22,15,22,37
PAMPA GRANDE,atencion odontologica, primera consulta,2014-07-01,26,32,26,32,58
PAPEL PAMPA,atencion odontologica, primera consulta,2014-07-01,19,28,19,28,47
PASORAPA,atencion odontologica, primera consulta,2014-07-01,19,14,19,14,33
PATACAMAYA,atencion odontologica, primera consulta,2014-07-01,36,52,36,52,88
PAZÑA,atencion odontologica, primera consulta,2014-07-01,24,17,24,17,41
PELECHUCO,atencion odontologica, primera consulta,2014-07-01,11,19,11,19,30
POCOATA,atencion odontologica, primera consulta,2014-07-01,71,138,71,138,209
POCONA,atencion odontologica, primera consulta,2014-07-01,54,83,54,83,137
POJO (CBBA),atencion odontologica, primera consulta,2014-07-01,83,123,83,123,206
POOPO,atencion odontologica, primera consulta,2014-07-01,35,60,35,60,95
PORCO,atencion odontologica, primera consulta,2014-07-01,25,53,25,53,78
POROMA,atencion odontologica, primera consulta,2014-07-01,71,128,71,128,199
PORONGO,atencion odontologica, primera consulta,2014-07-01,149,147,149,147,296
PORTACHUELO,atencion odontologica, primera consulta,2014-07-01,51,63,51,63,114
PORVENIR,atencion odontologica, primera consulta,2014-07-01,33,39,33,39,72
POSTRER VALLE,atencion odontologica, primera consulta,2014-07-01,33,30,33,30,63
POTOSI,atencion odontologica, primera consulta,2014-07-01,997,1679,997,1679,2676
PRESTO,atencion odontologica, primera consulta,2014-07-01,48,80,48,80,128
PUCARA,atencion odontologica, primera consulta,2014-07-01,3,1,3,1,4
PUCARANI,atencion odontologica, primera consulta,2014-07-01,104,145,104,145,249
PUERTO ACOSTA,atencion odontologica, primera consulta,2014-07-01,21,14,21,14,35
PUERTO CARABUCO,atencion odontologica, primera consulta,2014-07-01,106,197,106,197,303
PUERTO GONZALO MORENO,atencion odontologica, primera consulta,2014-07-01,46,71,46,71,117
PUERTO PEREZ,atencion odontologica, primera consulta,2014-07-01,23,33,23,33,56
PUERTO QUIJARRO,atencion odontologica, primera consulta,2014-07-01,72,56,72,56,128
PUERTO RICO,atencion odontologica, primera consulta,2014-07-01,83,73,83,73,156
PUERTO SILES,atencion odontologica, primera consulta,2014-07-01,4,7,4,7,11
PUERTO SUAREZ,atencion odontologica, primera consulta,2014-07-01,18,40,18,40,58
PUERTO VILLARROEL,atencion odontologica, primera consulta,2014-07-01,157,222,157,222,379
PUNA,atencion odontologica, primera consulta,2014-07-01,88,96,88,96,184
PUNATA,atencion odontologica, primera consulta,2014-07-01,65,107,65,107,172
QUIABAYA,atencion odontologica, primera consulta,2014-07-01,35,36,35,36,71
QUILLACOLLO,atencion odontologica, primera consulta,2014-07-01,228,355,228,355,583
