,group,variable,month,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2014-05-01,41.0,57.0,41.0,57.0,98.0
SAN PEDRO,atencion odontologica,otras acciones,2014-05-01,12.0,22.0,12.0,22.0,34.0
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2014-05-01,28.0,38.0,28.0,38.0,66.0
SAN PEDRO DE CURAHUARA,atencion odontologica,otras acciones,2014-05-01,1.0,9.0,1.0,9.0,10.0
SAN PEDRO DE QUEMES,atencion odontologica,otras acciones,2014-05-01,2.0,4.0,2.0,4.0,6.0
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2014-05-01,2.0,7.0,2.0,7.0,9.0
SAN RAFAEL,atencion odontologica,otras acciones,2014-05-01,0.0,9.0,0.0,9.0,9.0
SAN RAMON SCZ,atencion odontologica,otras acciones,2014-05-01,2.0,2.0,2.0,2.0,4.0
SANTA ANA,atencion odontologica,otras acciones,2014-05-01,50.0,54.0,50.0,54.0,104.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2014-05-01,566.0,1084.0,566.0,1084.0,1650.0
SANTA ROSA,atencion odontologica,otras acciones,2014-05-01,0.0,3.0,0.0,3.0,3.0
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2014-05-01,0.0,10.0,0.0,10.0,10.0
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2014-05-01,3.0,6.0,3.0,6.0,9.0
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2014-05-01,71.0,116.0,71.0,116.0,187.0
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2014-05-01,4.0,6.0,4.0,6.0,10.0
SANTIVAÑES,atencion odontologica,otras acciones,2014-05-01,7.0,14.0,7.0,14.0,21.0
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2014-05-01,31.0,34.0,31.0,34.0,65.0
SHINAOTA,atencion odontologica,otras acciones,2014-05-01,20.0,28.0,20.0,28.0,48.0
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2014-05-01,14.0,29.0,14.0,29.0,43.0
SICAYA,atencion odontologica,otras acciones,2014-05-01,2.0,7.0,2.0,7.0,9.0
SIPE SIPE,atencion odontologica,otras acciones,2014-05-01,13.0,26.0,13.0,26.0,39.0
SOPACHUY,atencion odontologica,otras acciones,2014-05-01,39.0,71.0,39.0,71.0,110.0
SORACACHI,atencion odontologica,otras acciones,2014-05-01,34.0,59.0,34.0,59.0,93.0
SORATA,atencion odontologica,otras acciones,2014-05-01,15.0,11.0,15.0,11.0,26.0
SUCRE,atencion odontologica,otras acciones,2014-05-01,742.0,1191.0,742.0,1191.0,1933.0
TACACHI,atencion odontologica,otras acciones,2014-05-01,1.0,4.0,1.0,4.0,5.0
TACOPAYA,atencion odontologica,otras acciones,2014-05-01,0.0,2.0,0.0,2.0,2.0
TAHUA,atencion odontologica,otras acciones,2014-05-01,4.0,3.0,4.0,3.0,7.0
TAPACARI,atencion odontologica,otras acciones,2014-05-01,35.0,39.0,35.0,39.0,74.0
TARABUCO,atencion odontologica,otras acciones,2014-05-01,15.0,51.0,15.0,51.0,66.0
TARACO,atencion odontologica,otras acciones,2014-05-01,24.0,45.0,24.0,45.0,69.0
TARATA,atencion odontologica,otras acciones,2014-05-01,22.0,42.0,22.0,42.0,64.0
TARIJA,atencion odontologica,otras acciones,2014-05-01,1336.0,2223.0,1336.0,2223.0,3559.0
TARVITA,atencion odontologica,otras acciones,2014-05-01,64.0,137.0,64.0,137.0,201.0
TIAWANACU,atencion odontologica,otras acciones,2014-05-01,59.0,113.0,59.0,113.0,172.0
TINGUIPAYA,atencion odontologica,otras acciones,2014-05-01,14.0,41.0,14.0,41.0,55.0
TIPUANI,atencion odontologica,otras acciones,2014-05-01,5.0,15.0,5.0,15.0,20.0
TIQUIPAYA,atencion odontologica,otras acciones,2014-05-01,74.0,158.0,74.0,158.0,232.0
TIRAQUE (CBBA),atencion odontologica,otras acciones,2014-05-01,43.0,107.0,43.0,107.0,150.0
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2014-05-01,4.0,3.0,4.0,3.0,7.0
TOCO,atencion odontologica,otras acciones,2014-05-01,16.0,14.0,16.0,14.0,30.0
TOLATA,atencion odontologica,otras acciones,2014-05-01,32.0,92.0,32.0,92.0,124.0
TOLEDO,atencion odontologica,otras acciones,2014-05-01,13.0,17.0,13.0,17.0,30.0
TOMAVE,atencion odontologica,otras acciones,2014-05-01,40.0,64.0,40.0,64.0,104.0
TOMINA,atencion odontologica,otras acciones,2014-05-01,170.0,218.0,170.0,218.0,388.0
TORO TORO,atencion odontologica,otras acciones,2014-05-01,55.0,101.0,55.0,101.0,156.0
TOTORA(CBBA),atencion odontologica,otras acciones,2014-05-01,0.0,1.0,0.0,1.0,1.0
TOTORA(ORR),atencion odontologica,otras acciones,2014-05-01,33.0,59.0,33.0,59.0,92.0
TRINIDAD,atencion odontologica,otras acciones,2014-05-01,59.0,116.0,59.0,116.0,175.0
TUPIZA,atencion odontologica,otras acciones,2014-05-01,39.0,48.0,39.0,48.0,87.0
TURCO,atencion odontologica,otras acciones,2014-05-01,15.0,21.0,15.0,21.0,36.0
UMALA,atencion odontologica,otras acciones,2014-05-01,2.0,0.0,2.0,0.0,2.0
UNCIA,atencion odontologica,otras acciones,2014-05-01,65.0,78.0,65.0,78.0,143.0
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2014-05-01,123.0,139.0,123.0,139.0,262.0
URUBICHA,atencion odontologica,otras acciones,2014-05-01,9.0,4.0,9.0,4.0,13.0
UYUNI,atencion odontologica,otras acciones,2014-05-01,12.0,27.0,12.0,27.0,39.0
VACAS,atencion odontologica,otras acciones,2014-05-01,23.0,17.0,23.0,17.0,40.0
VALLEGRANDE,atencion odontologica,otras acciones,2014-05-01,39.0,63.0,39.0,63.0,102.0
VIACHA,atencion odontologica,otras acciones,2014-05-01,105.0,181.0,105.0,181.0,286.0
VILA VILA,atencion odontologica,otras acciones,2014-05-01,3.0,2.0,3.0,2.0,5.0
VILLA CHARCAS,atencion odontologica,otras acciones,2014-05-01,8.0,15.0,8.0,15.0,23.0
VILLA MONTES,atencion odontologica,otras acciones,2014-05-01,176.0,275.0,176.0,275.0,451.0
VILLA NUEVA (LOMA ALTA),atencion odontologica,otras acciones,2014-05-01,0.0,2.0,0.0,2.0,2.0
VILLA RIVERO,atencion odontologica,otras acciones,2014-05-01,0.0,5.0,0.0,5.0,5.0
VILLA SERRANO,atencion odontologica,otras acciones,2014-05-01,65.0,100.0,65.0,100.0,165.0
VILLA TUNARI,atencion odontologica,otras acciones,2014-05-01,53.0,77.0,53.0,77.0,130.0
VINTO,atencion odontologica,otras acciones,2014-05-01,14.0,22.0,14.0,22.0,36.0
VITICHI,atencion odontologica,otras acciones,2014-05-01,54.0,62.0,54.0,62.0,116.0
WALDO BALLIVIAN,atencion odontologica,otras acciones,2014-05-01,0.0,5.0,0.0,5.0,5.0
WARNES,atencion odontologica,otras acciones,2014-05-01,19.0,79.0,19.0,79.0,98.0
YACO,atencion odontologica,otras acciones,2014-05-01,4.0,3.0,4.0,3.0,7.0
YACUIBA,atencion odontologica,otras acciones,2014-05-01,67.0,50.0,67.0,50.0,117.0
YAMPARAEZ,atencion odontologica,otras acciones,2014-05-01,57.0,101.0,57.0,101.0,158.0
YAPACANI,atencion odontologica,otras acciones,2014-05-01,7.0,25.0,7.0,25.0,32.0
YOCALLA,atencion odontologica,otras acciones,2014-05-01,51.0,83.0,51.0,83.0,134.0
YOTALA,atencion odontologica,otras acciones,2014-05-01,16.0,84.0,16.0,84.0,100.0
YUNCHARA,atencion odontologica,otras acciones,2014-05-01,19.0,30.0,19.0,30.0,49.0
ZUDAÑEZ,atencion odontologica,otras acciones,2014-05-01,13.0,29.0,13.0,29.0,42.0
ACACIO,atencion odontologica,otras acciones,2014-06-01,1.0,6.0,1.0,6.0,7.0
ACHACACHI,atencion odontologica,otras acciones,2014-06-01,148.0,185.0,148.0,185.0,333.0
ACHOCALLA,atencion odontologica,otras acciones,2014-06-01,24.0,33.0,24.0,33.0,57.0
AIQUILE,atencion odontologica,otras acciones,2014-06-01,15.0,30.0,15.0,30.0,45.0
ALALAY,atencion odontologica,otras acciones,2014-06-01,1.0,1.0,1.0,1.0,2.0
ALCALA,atencion odontologica,otras acciones,2014-06-01,27.0,35.0,27.0,35.0,62.0
ALTO BENI,atencion odontologica,otras acciones,2014-06-01,1.0,2.0,1.0,2.0,3.0
ANCORAIMES,atencion odontologica,otras acciones,2014-06-01,0.0,2.0,0.0,2.0,2.0
ANDAMARCA,atencion odontologica,otras acciones,2014-06-01,8.0,18.0,8.0,18.0,26.0
ANTEQUERA,atencion odontologica,otras acciones,2014-06-01,29.0,45.0,29.0,45.0,74.0
ANZALDO,atencion odontologica,otras acciones,2014-06-01,2.0,4.0,2.0,4.0,6.0
APOLO,atencion odontologica,otras acciones,2014-06-01,4.0,9.0,4.0,9.0,13.0
ARAMPAMPA,atencion odontologica,otras acciones,2014-06-01,17.0,13.0,17.0,13.0,30.0
ARANI,atencion odontologica,otras acciones,2014-06-01,20.0,38.0,20.0,38.0,58.0
ARBIETO,atencion odontologica,otras acciones,2014-06-01,6.0,10.0,6.0,10.0,16.0
ARQUE,atencion odontologica,otras acciones,2014-06-01,4.0,8.0,4.0,8.0,12.0
ATOCHA,atencion odontologica,otras acciones,2014-06-01,108.0,146.0,108.0,146.0,254.0
AYATA,atencion odontologica,otras acciones,2014-06-01,4.0,6.0,4.0,6.0,10.0
AYO AYO,atencion odontologica,otras acciones,2014-06-01,24.0,28.0,24.0,28.0,52.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2014-06-01,60.0,76.0,60.0,76.0,136.0
AZURDUY,atencion odontologica,otras acciones,2014-06-01,14.0,24.0,14.0,24.0,38.0
BATALLAS,atencion odontologica,otras acciones,2014-06-01,9.0,9.0,9.0,9.0,18.0
BAURES,atencion odontologica,otras acciones,2014-06-01,24.0,8.0,24.0,8.0,32.0
BELEN DE ANDAMARCA,atencion odontologica,otras acciones,2014-06-01,4.0,10.0,4.0,10.0,14.0
BELEN DE URMIRI,atencion odontologica,otras acciones,2014-06-01,1.0,6.0,1.0,6.0,7.0
BERMEJO,atencion odontologica,otras acciones,2014-06-01,194.0,229.0,194.0,229.0,423.0
BETANZOS,atencion odontologica,otras acciones,2014-06-01,40.0,56.0,40.0,56.0,96.0
BOLIVAR,atencion odontologica,otras acciones,2014-06-01,8.0,11.0,8.0,11.0,19.0
BUENA VISTA,atencion odontologica,otras acciones,2014-06-01,15.0,37.0,15.0,37.0,52.0
CABEZAS,atencion odontologica,otras acciones,2014-06-01,27.0,65.0,27.0,65.0,92.0
"CAIZA ""D""",atencion odontologica,otras acciones,2014-06-01,50.0,59.0,50.0,59.0,109.0
CAJUATA,atencion odontologica,otras acciones,2014-06-01,6.0,5.0,6.0,5.0,11.0
CALACOTO,atencion odontologica,otras acciones,2014-06-01,0.0,2.0,0.0,2.0,2.0
CALAMARCA,atencion odontologica,otras acciones,2014-06-01,59.0,123.0,59.0,123.0,182.0
CAMARGO,atencion odontologica,otras acciones,2014-06-01,74.0,169.0,74.0,169.0,243.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2014-06-01,21.0,39.0,21.0,39.0,60.0
CAMIRI,atencion odontologica,otras acciones,2014-06-01,29.0,83.0,29.0,83.0,112.0
CAPINOTA,atencion odontologica,otras acciones,2014-06-01,7.0,35.0,7.0,35.0,42.0
CAQUIAVIRI,atencion odontologica,otras acciones,2014-06-01,8.0,21.0,8.0,21.0,29.0
CARACOLLO,atencion odontologica,otras acciones,2014-06-01,133.0,180.0,133.0,180.0,313.0
CARANAVI,atencion odontologica,otras acciones,2014-06-01,29.0,32.0,29.0,32.0,61.0
CARAPARI,atencion odontologica,otras acciones,2014-06-01,65.0,107.0,65.0,107.0,172.0
CARIPUYO,atencion odontologica,otras acciones,2014-06-01,5.0,3.0,5.0,3.0,8.0
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2014-06-01,24.0,44.0,24.0,44.0,68.0
CATACORA,atencion odontologica,otras acciones,2014-06-01,0.0,1.0,0.0,1.0,1.0
CHALLAPATA,atencion odontologica,otras acciones,2014-06-01,74.0,78.0,74.0,78.0,152.0
CHAQUI,atencion odontologica,otras acciones,2014-06-01,15.0,23.0,15.0,23.0,38.0
CHARAGUA,atencion odontologica,otras acciones,2014-06-01,1.0,4.0,1.0,4.0,5.0
CHARAÑA,atencion odontologica,otras acciones,2014-06-01,1.0,1.0,1.0,1.0,2.0
CHAYANTA,atencion odontologica,otras acciones,2014-06-01,54.0,41.0,54.0,41.0,95.0
CHIMORE,atencion odontologica,otras acciones,2014-06-01,25.0,27.0,25.0,27.0,52.0
CHIPAYA,atencion odontologica,otras acciones,2014-06-01,6.0,26.0,6.0,26.0,32.0
CHOQUE COTA,atencion odontologica,otras acciones,2014-06-01,13.0,50.0,13.0,50.0,63.0
CHUA COCANI,atencion odontologica,otras acciones,2014-06-01,5.0,11.0,5.0,11.0,16.0
CHUMA,atencion odontologica,otras acciones,2014-06-01,16.0,22.0,16.0,22.0,38.0
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2014-06-01,18.0,28.0,18.0,28.0,46.0
CKOCHAS,atencion odontologica,otras acciones,2014-06-01,25.0,38.0,25.0,38.0,63.0
CLIZA,atencion odontologica,otras acciones,2014-06-01,38.0,36.0,38.0,36.0,74.0
COBIJA,atencion odontologica,otras acciones,2014-06-01,85.0,121.0,85.0,121.0,206.0
COCAPATA,atencion odontologica,otras acciones,2014-06-01,7.0,15.0,7.0,15.0,22.0
COCHABAMBA,atencion odontologica,otras acciones,2014-06-01,2391.0,2841.0,2391.0,2841.0,5232.0
COIPASA,atencion odontologica,otras acciones,2014-06-01,6.0,4.0,6.0,4.0,10.0
COLCAPIRHUA,atencion odontologica,otras acciones,2014-06-01,34.0,53.0,34.0,53.0,87.0
"COLCHA ""K""",atencion odontologica,otras acciones,2014-06-01,16.0,59.0,16.0,59.0,75.0
COLLANA,atencion odontologica,otras acciones,2014-06-01,15.0,8.0,15.0,8.0,23.0
COLOMI,atencion odontologica,otras acciones,2014-06-01,5.0,7.0,5.0,7.0,12.0
COLQUECHACA,atencion odontologica,otras acciones,2014-06-01,113.0,146.0,113.0,146.0,259.0
COLQUENCHA,atencion odontologica,otras acciones,2014-06-01,1.0,4.0,1.0,4.0,5.0
COLQUIRI,atencion odontologica,otras acciones,2014-06-01,70.0,86.0,70.0,86.0,156.0
COMANCHE,atencion odontologica,otras acciones,2014-06-01,5.0,7.0,5.0,7.0,12.0
COMARAPA,atencion odontologica,otras acciones,2014-06-01,4.0,6.0,4.0,6.0,10.0
CONCEPCION,atencion odontologica,otras acciones,2014-06-01,6.0,9.0,6.0,9.0,15.0
COPACABANA,atencion odontologica,otras acciones,2014-06-01,25.0,34.0,25.0,34.0,59.0
CORO CORO,atencion odontologica,otras acciones,2014-06-01,7.0,15.0,7.0,15.0,22.0
CORQUE,atencion odontologica,otras acciones,2014-06-01,9.0,11.0,9.0,11.0,20.0
COTAGAITA,atencion odontologica,otras acciones,2014-06-01,78.0,154.0,78.0,154.0,232.0
COTOCA,atencion odontologica,otras acciones,2014-06-01,1.0,38.0,1.0,38.0,39.0
CUATRO CAÑADAS,atencion odontologica,otras acciones,2014-06-01,69.0,119.0,69.0,119.0,188.0
CUEVO,atencion odontologica,otras acciones,2014-06-01,22.0,32.0,22.0,32.0,54.0
CULPINA,atencion odontologica,otras acciones,2014-06-01,15.0,28.0,15.0,28.0,43.0
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2014-06-01,114.0,110.0,114.0,110.0,224.0
CURVA,atencion odontologica,otras acciones,2014-06-01,13.0,19.0,13.0,19.0,32.0
DESAGUADERO,atencion odontologica,otras acciones,2014-06-01,13.0,8.0,13.0,8.0,21.0
EL ALTO,atencion odontologica,otras acciones,2014-06-01,1429.0,2013.0,1429.0,2013.0,3442.0
EL CHORO,atencion odontologica,otras acciones,2014-06-01,6.0,10.0,6.0,10.0,16.0
EL PUENTE(STC),atencion odontologica,otras acciones,2014-06-01,17.0,18.0,17.0,18.0,35.0
EL PUENTE(TJA),atencion odontologica,otras acciones,2014-06-01,37.0,76.0,37.0,76.0,113.0
EL TORNO,atencion odontologica,otras acciones,2014-06-01,75.0,58.0,75.0,58.0,133.0
EL VILLAR,atencion odontologica,otras acciones,2014-06-01,14.0,28.0,14.0,28.0,42.0
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2014-06-01,29.0,79.0,29.0,79.0,108.0
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2014-06-01,60.0,124.0,60.0,124.0,184.0
ESCOMA,atencion odontologica,otras acciones,2014-06-01,5.0,5.0,5.0,5.0,10.0
EUCALIPTUS,atencion odontologica,otras acciones,2014-06-01,7.0,21.0,7.0,21.0,28.0
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2014-06-01,15.0,18.0,15.0,18.0,33.0
FILADELFIA,atencion odontologica,otras acciones,2014-06-01,4.0,6.0,4.0,6.0,10.0
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2014-06-01,13.0,24.0,13.0,24.0,37.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2014-06-01,18.0,20.0,18.0,20.0,38.0
GUAQUI,atencion odontologica,otras acciones,2014-06-01,18.0,30.0,18.0,30.0,48.0
GUAYARAMERIN,atencion odontologica,otras acciones,2014-06-01,2.0,48.0,2.0,48.0,50.0
GUTIERREZ,atencion odontologica,otras acciones,2014-06-01,8.0,9.0,8.0,9.0,17.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2014-06-01,11.0,20.0,11.0,20.0,31.0
HUACHACALLA,atencion odontologica,otras acciones,2014-06-01,9.0,12.0,9.0,12.0,21.0
HUANUNI,atencion odontologica,otras acciones,2014-06-01,50.0,57.0,50.0,57.0,107.0
HUARINA,atencion odontologica,otras acciones,2014-06-01,5.0,3.0,5.0,3.0,8.0
HUATAJATA,atencion odontologica,otras acciones,2014-06-01,3.0,1.0,3.0,1.0,4.0
HUAYLLAMARCA,atencion odontologica,otras acciones,2014-06-01,47.0,46.0,47.0,46.0,93.0
HUMANATA,atencion odontologica,otras acciones,2014-06-01,8.0,9.0,8.0,9.0,17.0
ICHOCA,atencion odontologica,otras acciones,2014-06-01,2.0,6.0,2.0,6.0,8.0
ICLA,atencion odontologica,otras acciones,2014-06-01,24.0,41.0,24.0,41.0,65.0
INCAHUASI,atencion odontologica,otras acciones,2014-06-01,66.0,66.0,66.0,66.0,132.0
INGAVI (HUMAITA),atencion odontologica,otras acciones,2014-06-01,0.0,4.0,0.0,4.0,4.0
INQUISIVI,atencion odontologica,otras acciones,2014-06-01,3.0,6.0,3.0,6.0,9.0
IXIAMAS,atencion odontologica,otras acciones,2014-06-01,28.0,24.0,28.0,24.0,52.0
JESUS DE MACHACA,atencion odontologica,otras acciones,2014-06-01,19.0,31.0,19.0,31.0,50.0
LA GUARDIA,atencion odontologica,otras acciones,2014-06-01,1.0,6.0,1.0,6.0,7.0
LA PAZ,atencion odontologica,otras acciones,2014-06-01,2224.0,3110.0,2224.0,3110.0,5334.0
LAJA,atencion odontologica,otras acciones,2014-06-01,7.0,2.0,7.0,2.0,9.0
LAS CARRERAS,atencion odontologica,otras acciones,2014-06-01,3.0,6.0,3.0,6.0,9.0
LICOMA PAMPA,atencion odontologica,otras acciones,2014-06-01,1.0,2.0,1.0,2.0,3.0
LLALLAGUA,atencion odontologica,otras acciones,2014-06-01,92.0,205.0,92.0,205.0,297.0
LLICA,atencion odontologica,otras acciones,2014-06-01,18.0,58.0,18.0,58.0,76.0
LURIBAY,atencion odontologica,otras acciones,2014-06-01,1.0,0.0,1.0,0.0,1.0
MACHACAMARCA,atencion odontologica,otras acciones,2014-06-01,7.0,26.0,7.0,26.0,33.0
MACHARETI,atencion odontologica,otras acciones,2014-06-01,34.0,87.0,34.0,87.0,121.0
MAGDALENA,atencion odontologica,otras acciones,2014-06-01,19.0,19.0,19.0,19.0,38.0
MAIRANA,atencion odontologica,otras acciones,2014-06-01,11.0,18.0,11.0,18.0,29.0
MAPIRI,atencion odontologica,otras acciones,2014-06-01,22.0,29.0,22.0,29.0,51.0
MECAPACA,atencion odontologica,otras acciones,2014-06-01,22.0,31.0,22.0,31.0,53.0
MINEROS,atencion odontologica,otras acciones,2014-06-01,271.0,242.0,271.0,242.0,513.0
MIZQUE,atencion odontologica,otras acciones,2014-06-01,19.0,36.0,19.0,36.0,55.0
MOCOMOCO,atencion odontologica,otras acciones,2014-06-01,15.0,28.0,15.0,28.0,43.0
MOJOCOYA,atencion odontologica,otras acciones,2014-06-01,28.0,125.0,28.0,125.0,153.0
MONTEAGUDO,atencion odontologica,otras acciones,2014-06-01,103.0,218.0,103.0,218.0,321.0
MONTERO,atencion odontologica,otras acciones,2014-06-01,55.0,68.0,55.0,68.0,123.0
MORO MORO,atencion odontologica,otras acciones,2014-06-01,0.0,3.0,0.0,3.0,3.0
MOROCHATA,atencion odontologica,otras acciones,2014-06-01,35.0,71.0,35.0,71.0,106.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,otras acciones,2014-06-01,7.0,4.0,7.0,4.0,11.0
OCURI,atencion odontologica,otras acciones,2014-06-01,10.0,11.0,10.0,11.0,21.0
OMEREQUE,atencion odontologica,otras acciones,2014-06-01,16.0,21.0,16.0,21.0,37.0
ORURO,atencion odontologica,otras acciones,2014-06-01,877.0,1410.0,877.0,1410.0,2287.0
PADCAYA,atencion odontologica,otras acciones,2014-06-01,101.0,208.0,101.0,208.0,309.0
PADILLA,atencion odontologica,otras acciones,2014-06-01,18.0,49.0,18.0,49.0,67.0
PAILON,atencion odontologica,otras acciones,2014-06-01,13.0,25.0,13.0,25.0,38.0
PALCA,atencion odontologica,otras acciones,2014-06-01,5.0,7.0,5.0,7.0,12.0
PALOS BLANCOS,atencion odontologica,otras acciones,2014-06-01,16.0,29.0,16.0,29.0,45.0
PAMPA AULLAGAS,atencion odontologica,otras acciones,2014-06-01,7.0,9.0,7.0,9.0,16.0
PAMPA GRANDE,atencion odontologica,otras acciones,2014-06-01,2.0,1.0,2.0,1.0,3.0
PAPEL PAMPA,atencion odontologica,otras acciones,2014-06-01,15.0,20.0,15.0,20.0,35.0
PASORAPA,atencion odontologica,otras acciones,2014-06-01,0.0,2.0,0.0,2.0,2.0
PATACAMAYA,atencion odontologica,otras acciones,2014-06-01,71.0,92.0,71.0,92.0,163.0
PAZÑA,atencion odontologica,otras acciones,2014-06-01,29.0,30.0,29.0,30.0,59.0
PELECHUCO,atencion odontologica,otras acciones,2014-06-01,1.0,2.0,1.0,2.0,3.0
POCOATA,atencion odontologica,otras acciones,2014-06-01,63.0,71.0,63.0,71.0,134.0
POCONA,atencion odontologica,otras acciones,2014-06-01,39.0,14.0,39.0,14.0,53.0
POJO (CBBA),atencion odontologica,otras acciones,2014-06-01,46.0,87.0,46.0,87.0,133.0
POOPO,atencion odontologica,otras acciones,2014-06-01,76.0,102.0,76.0,102.0,178.0
PORCO,atencion odontologica,otras acciones,2014-06-01,11.0,22.0,11.0,22.0,33.0
POROMA,atencion odontologica,otras acciones,2014-06-01,111.0,171.0,111.0,171.0,282.0
PORTACHUELO,atencion odontologica,otras acciones,2014-06-01,17.0,32.0,17.0,32.0,49.0
PORVENIR,atencion odontologica,otras acciones,2014-06-01,23.0,26.0,23.0,26.0,49.0
POSTRER VALLE,atencion odontologica,otras acciones,2014-06-01,2.0,3.0,2.0,3.0,5.0
POTOSI,atencion odontologica,otras acciones,2014-06-01,638.0,2444.0,638.0,2444.0,3082.0
PRESTO,atencion odontologica,otras acciones,2014-06-01,6.0,19.0,6.0,19.0,25.0
PUCARA,atencion odontologica,otras acciones,2014-06-01,2.0,2.0,2.0,2.0,4.0
PUCARANI,atencion odontologica,otras acciones,2014-06-01,28.0,29.0,28.0,29.0,57.0
PUERTO ACOSTA,atencion odontologica,otras acciones,2014-06-01,12.0,7.0,12.0,7.0,19.0
PUERTO CARABUCO,atencion odontologica,otras acciones,2014-06-01,11.0,13.0,11.0,13.0,24.0
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2014-06-01,9.0,17.0,9.0,17.0,26.0
PUERTO QUIJARRO,atencion odontologica,otras acciones,2014-06-01,10.0,47.0,10.0,47.0,57.0
PUERTO RICO,atencion odontologica,otras acciones,2014-06-01,7.0,14.0,7.0,14.0,21.0
PUERTO SUAREZ,atencion odontologica,otras acciones,2014-06-01,2.0,25.0,2.0,25.0,27.0
PUERTO VILLARROEL,atencion odontologica,otras acciones,2014-06-01,55.0,96.0,55.0,96.0,151.0
PUNA,atencion odontologica,otras acciones,2014-06-01,102.0,209.0,102.0,209.0,311.0
PUNATA,atencion odontologica,otras acciones,2014-06-01,89.0,122.0,89.0,122.0,211.0
QUILLACOLLO,atencion odontologica,otras acciones,2014-06-01,334.0,425.0,334.0,425.0,759.0
QUIME,atencion odontologica,otras acciones,2014-06-01,53.0,25.0,53.0,25.0,78.0
RAVELO,atencion odontologica,otras acciones,2014-06-01,8.0,16.0,8.0,16.0,24.0
REYES,atencion odontologica,otras acciones,2014-06-01,27.0,28.0,27.0,28.0,55.0
RIBERALTA,atencion odontologica,otras acciones,2014-06-01,26.0,56.0,26.0,56.0,82.0
RURRENABAQUE,atencion odontologica,otras acciones,2014-06-01,11.0,25.0,11.0,25.0,36.0
SABAYA,atencion odontologica,otras acciones,2014-06-01,13.0,4.0,13.0,4.0,17.0
SACABA,atencion odontologica,otras acciones,2014-06-01,190.0,396.0,190.0,396.0,586.0
SACABAMBA,atencion odontologica,otras acciones,2014-06-01,3.0,2.0,3.0,2.0,5.0
SACACA,atencion odontologica,otras acciones,2014-06-01,11.0,16.0,11.0,16.0,27.0
SAIPINA,atencion odontologica,otras acciones,2014-06-01,7.0,17.0,7.0,17.0,24.0
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2014-06-01,227.0,248.0,227.0,248.0,475.0
SAMAIPATA,atencion odontologica,otras acciones,2014-06-01,16.0,14.0,16.0,14.0,30.0
SAN AGUSTIN,atencion odontologica,otras acciones,2014-06-01,4.0,1.0,4.0,1.0,5.0
SAN ANDRES,atencion odontologica,otras acciones,2014-06-01,9.0,14.0,9.0,14.0,23.0
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2014-06-01,6.0,15.0,6.0,15.0,21.0
SAN ANTONIO DE ESMORUCO,atencion odontologica,otras acciones,2014-06-01,5.0,4.0,5.0,4.0,9.0
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2014-06-01,5.0,2.0,5.0,2.0,7.0
SAN BENITO,atencion odontologica,otras acciones,2014-06-01,17.0,29.0,17.0,29.0,46.0
SAN BORJA,atencion odontologica,otras acciones,2014-06-01,355.0,352.0,355.0,352.0,707.0
SAN CARLOS,atencion odontologica,otras acciones,2014-06-01,8.0,7.0,8.0,7.0,15.0
SAN IGNACIO,atencion odontologica,otras acciones,2014-06-01,39.0,73.0,39.0,73.0,112.0
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2014-06-01,141.0,171.0,141.0,171.0,312.0
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2014-06-01,2.0,2.0,2.0,2.0,4.0
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2014-06-01,4.0,7.0,4.0,7.0,11.0
