,group,variable,month,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
CLIZA,atencion odontologica, endodoncias,2014-07-01,20,20,20,20,40
COBIJA,atencion odontologica, endodoncias,2014-07-01,19,23,19,23,42
COCAPATA,atencion odontologica, endodoncias,2014-07-01,2,9,2,9,11
COCHABAMBA,atencion odontologica, endodoncias,2014-07-01,1021,1219,1021,1219,2240
COIPASA,atencion odontologica, endodoncias,2014-07-01,1,2,1,2,3
COLCAPIRHUA,atencion odontologica, endodoncias,2014-07-01,13,23,13,23,36
"COLCHA ""K""",atencion odontologica, endodoncias,2014-07-01,2,13,2,13,15
COLLANA,atencion odontologica, endodoncias,2014-07-01,11,5,11,5,16
COLOMI,atencion odontologica, endodoncias,2014-07-01,2,3,2,3,5
COLPA BELGICA,atencion odontologica, endodoncias,2014-07-01,0,4,0,4,4
COLQUECHACA,atencion odontologica, endodoncias,2014-07-01,18,29,18,29,47
COLQUENCHA,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
COLQUIRI,atencion odontologica, endodoncias,2014-07-01,2,6,2,6,8
COMARAPA,atencion odontologica, endodoncias,2014-07-01,14,22,14,22,36
CONCEPCION,atencion odontologica, endodoncias,2014-07-01,0,3,0,3,3
COPACABANA,atencion odontologica, endodoncias,2014-07-01,8,5,8,5,13
COROICO,atencion odontologica, endodoncias,2014-07-01,12,20,12,20,32
CORQUE,atencion odontologica, endodoncias,2014-07-01,3,2,3,2,5
COTAGAITA,atencion odontologica, endodoncias,2014-07-01,65,90,65,90,155
COTOCA,atencion odontologica, endodoncias,2014-07-01,1,2,1,2,3
CUATRO CAÑADAS,atencion odontologica, endodoncias,2014-07-01,10,10,10,10,20
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, endodoncias,2014-07-01,2,0,2,0,2
CUEVO,atencion odontologica, endodoncias,2014-07-01,0,8,0,8,8
CULPINA,atencion odontologica, endodoncias,2014-07-01,11,10,11,10,21
CURAHUARA DE CARANGAS,atencion odontologica, endodoncias,2014-07-01,6,1,6,1,7
DESAGUADERO,atencion odontologica, endodoncias,2014-07-01,1,2,1,2,3
EL ALTO,atencion odontologica, endodoncias,2014-07-01,483,639,483,639,1122
EL CHORO,atencion odontologica, endodoncias,2014-07-01,5,1,5,1,6
EL PUENTE(STC),atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica, endodoncias,2014-07-01,3,10,3,10,13
EL TORNO,atencion odontologica, endodoncias,2014-07-01,44,76,44,76,120
EL VILLAR,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
ENTRE RIOS TRJ,atencion odontologica, endodoncias,2014-07-01,21,40,21,40,61
ENTRE RIOS CBBA,atencion odontologica, endodoncias,2014-07-01,8,22,8,22,30
ESCOMA,atencion odontologica, endodoncias,2014-07-01,6,7,6,7,13
EUCALIPTUS,atencion odontologica, endodoncias,2014-07-01,7,4,7,4,11
FERNANDEZ ALONSO,atencion odontologica, endodoncias,2014-07-01,3,3,3,3,6
FILADELFIA,atencion odontologica, endodoncias,2014-07-01,1,3,1,3,4
GENERAL SAAVEDRA,atencion odontologica, endodoncias,2014-07-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, endodoncias,2014-07-01,1,2,1,2,3
GUANAY,atencion odontologica, endodoncias,2014-07-01,7,8,7,8,15
GUAQUI,atencion odontologica, endodoncias,2014-07-01,6,19,6,19,25
GUAYARAMERIN,atencion odontologica, endodoncias,2014-07-01,20,31,20,31,51
GUTIERREZ,atencion odontologica, endodoncias,2014-07-01,2,0,2,0,2
HUACARETA,atencion odontologica, endodoncias,2014-07-01,1,3,1,3,4
HUACAYA (VILLA DE HUACAYA),atencion odontologica, endodoncias,2014-07-01,2,10,2,10,12
HUANUNI,atencion odontologica, endodoncias,2014-07-01,20,62,20,62,82
HUARINA,atencion odontologica, endodoncias,2014-07-01,2,1,2,1,3
HUATAJATA,atencion odontologica, endodoncias,2014-07-01,3,2,3,2,5
HUAYLLAMARCA,atencion odontologica, endodoncias,2014-07-01,7,10,7,10,17
HUMANATA,atencion odontologica, endodoncias,2014-07-01,6,13,6,13,19
ICLA,atencion odontologica, endodoncias,2014-07-01,4,19,4,19,23
INCAHUASI,atencion odontologica, endodoncias,2014-07-01,12,20,12,20,32
IRUPANA (VILLA DE LANZA),atencion odontologica, endodoncias,2014-07-01,0,9,0,9,9
IXIAMAS,atencion odontologica, endodoncias,2014-07-01,0,3,0,3,3
JESUS DE MACHACA,atencion odontologica, endodoncias,2014-07-01,3,0,3,0,3
LA ASUNTA,atencion odontologica, endodoncias,2014-07-01,7,27,7,27,34
LA GUARDIA,atencion odontologica, endodoncias,2014-07-01,8,18,8,18,26
LA PAZ,atencion odontologica, endodoncias,2014-07-01,1110,1439,1110,1439,2549
LAGUNILLAS,atencion odontologica, endodoncias,2014-07-01,2,8,2,8,10
LAJA,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
LAS CARRERAS,atencion odontologica, endodoncias,2014-07-01,5,7,5,7,12
LICOMA PAMPA,atencion odontologica, endodoncias,2014-07-01,3,1,3,1,4
LLALLAGUA,atencion odontologica, endodoncias,2014-07-01,35,70,35,70,105
LLICA,atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
LURIBAY,atencion odontologica, endodoncias,2014-07-01,7,4,7,4,11
MACHACAMARCA,atencion odontologica, endodoncias,2014-07-01,11,20,11,20,31
MACHARETI,atencion odontologica, endodoncias,2014-07-01,0,4,0,4,4
MAGDALENA,atencion odontologica, endodoncias,2014-07-01,8,12,8,12,20
MAIRANA,atencion odontologica, endodoncias,2014-07-01,1,1,1,1,2
MAPIRI,atencion odontologica, endodoncias,2014-07-01,8,8,8,8,16
MECAPACA,atencion odontologica, endodoncias,2014-07-01,4,8,4,8,12
MINEROS,atencion odontologica, endodoncias,2014-07-01,0,11,0,11,11
MIZQUE,atencion odontologica, endodoncias,2014-07-01,6,6,6,6,12
MOCOMOCO,atencion odontologica, endodoncias,2014-07-01,0,2,0,2,2
MOJOCOYA,atencion odontologica, endodoncias,2014-07-01,5,17,5,17,22
MONTEAGUDO,atencion odontologica, endodoncias,2014-07-01,6,37,6,37,43
MONTERO,atencion odontologica, endodoncias,2014-07-01,9,6,9,6,15
MOROCHATA,atencion odontologica, endodoncias,2014-07-01,8,12,8,12,20
OCURI,atencion odontologica, endodoncias,2014-07-01,0,4,0,4,4
OKINAWA,atencion odontologica, endodoncias,2014-07-01,2,2,2,2,4
OMEREQUE,atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
ORURO,atencion odontologica, endodoncias,2014-07-01,500,634,500,634,1134
PADCAYA,atencion odontologica, endodoncias,2014-07-01,5,10,5,10,15
PADILLA,atencion odontologica, endodoncias,2014-07-01,12,12,12,12,24
PAILON,atencion odontologica, endodoncias,2014-07-01,1,2,1,2,3
PALCA,atencion odontologica, endodoncias,2014-07-01,5,12,5,12,17
PALOS BLANCOS,atencion odontologica, endodoncias,2014-07-01,9,33,9,33,42
PAMPA AULLAGAS,atencion odontologica, endodoncias,2014-07-01,2,1,2,1,3
PAMPA GRANDE,atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
PAPEL PAMPA,atencion odontologica, endodoncias,2014-07-01,5,5,5,5,10
PASORAPA,atencion odontologica, endodoncias,2014-07-01,3,0,3,0,3
PATACAMAYA,atencion odontologica, endodoncias,2014-07-01,5,4,5,4,9
PAZÑA,atencion odontologica, endodoncias,2014-07-01,0,5,0,5,5
PELECHUCO,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
POCOATA,atencion odontologica, endodoncias,2014-07-01,0,2,0,2,2
POCONA,atencion odontologica, endodoncias,2014-07-01,5,9,5,9,14
POJO (CBBA),atencion odontologica, endodoncias,2014-07-01,10,10,10,10,20
POOPO,atencion odontologica, endodoncias,2014-07-01,12,17,12,17,29
PORCO,atencion odontologica, endodoncias,2014-07-01,3,5,3,5,8
POROMA,atencion odontologica, endodoncias,2014-07-01,3,3,3,3,6
PORTACHUELO,atencion odontologica, endodoncias,2014-07-01,3,5,3,5,8
PORVENIR,atencion odontologica, endodoncias,2014-07-01,7,4,7,4,11
POSTRER VALLE,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
POTOSI,atencion odontologica, endodoncias,2014-07-01,386,703,386,703,1089
PRESTO,atencion odontologica, endodoncias,2014-07-01,3,6,3,6,9
PUERTO ACOSTA,atencion odontologica, endodoncias,2014-07-01,10,18,10,18,28
PUERTO CARABUCO,atencion odontologica, endodoncias,2014-07-01,5,18,5,18,23
PUERTO GONZALO MORENO,atencion odontologica, endodoncias,2014-07-01,3,4,3,4,7
PUERTO RICO,atencion odontologica, endodoncias,2014-07-01,3,7,3,7,10
PUERTO SUAREZ,atencion odontologica, endodoncias,2014-07-01,0,4,0,4,4
PUERTO VILLARROEL,atencion odontologica, endodoncias,2014-07-01,47,52,47,52,99
PUNA,atencion odontologica, endodoncias,2014-07-01,3,21,3,21,24
PUNATA,atencion odontologica, endodoncias,2014-07-01,3,5,3,5,8
QUIABAYA,atencion odontologica, endodoncias,2014-07-01,0,3,0,3,3
QUILLACOLLO,atencion odontologica, endodoncias,2014-07-01,231,265,231,265,496
QUIME,atencion odontologica, endodoncias,2014-07-01,45,9,45,9,54
QUIRUSILLAS,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
RAVELO,atencion odontologica, endodoncias,2014-07-01,4,12,4,12,16
REYES,atencion odontologica, endodoncias,2014-07-01,7,7,7,7,14
RIBERALTA,atencion odontologica, endodoncias,2014-07-01,4,14,4,14,18
RURRENABAQUE,atencion odontologica, endodoncias,2014-07-01,1,1,1,1,2
SABAYA,atencion odontologica, endodoncias,2014-07-01,0,3,0,3,3
SACABA,atencion odontologica, endodoncias,2014-07-01,169,198,169,198,367
SACABAMBA,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
SACACA,atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
SAIPINA,atencion odontologica, endodoncias,2014-07-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,atencion odontologica, endodoncias,2014-07-01,48,54,48,54,102
SAMAIPATA,atencion odontologica, endodoncias,2014-07-01,1,5,1,5,6
SAN ANDRES DE MACHACA,atencion odontologica, endodoncias,2014-07-01,3,6,3,6,9
SAN ANTONIO DE ESMORUCO,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
SAN BENITO,atencion odontologica, endodoncias,2014-07-01,4,7,4,7,11
SAN BORJA,atencion odontologica, endodoncias,2014-07-01,10,20,10,20,30
SAN BUENA VENTURA,atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
SAN CARLOS,atencion odontologica, endodoncias,2014-07-01,9,16,9,16,25
SAN IGNACIO,atencion odontologica, endodoncias,2014-07-01,5,4,5,4,9
SAN IGNACIO DE VELASCO,atencion odontologica, endodoncias,2014-07-01,0,4,0,4,4
SAN JAVIER(BNI),atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
SAN JAVIER(STC),atencion odontologica, endodoncias,2014-07-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,atencion odontologica, endodoncias,2014-07-01,1,1,1,1,2
SAN JULIAN,atencion odontologica, endodoncias,2014-07-01,12,21,12,21,33
SAN LORENZO(PND),atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
SAN LORENZO(TJA),atencion odontologica, endodoncias,2014-07-01,25,72,25,72,97
SAN LUCAS,atencion odontologica, endodoncias,2014-07-01,28,44,28,44,72
SAN MATIAS,atencion odontologica, endodoncias,2014-07-01,3,4,3,4,7
SAN MIGUEL DE VELASCO,atencion odontologica, endodoncias,2014-07-01,2,5,2,5,7
SAN PEDRO,atencion odontologica, endodoncias,2014-07-01,6,10,6,10,16
SAN PEDRO DE BUENA VISTA,atencion odontologica, endodoncias,2014-07-01,4,5,4,5,9
SAN PEDRO DE CURAHUARA,atencion odontologica, endodoncias,2014-07-01,2,3,2,3,5
SAN PEDRO DE TIQUINA,atencion odontologica, endodoncias,2014-07-01,2,4,2,4,6
SAN RAFAEL,atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
SAN RAMON BENI,atencion odontologica, endodoncias,2014-07-01,4,4,4,4,8
SAN RAMON SCZ,atencion odontologica, endodoncias,2014-07-01,2,3,2,3,5
SANTA ANA,atencion odontologica, endodoncias,2014-07-01,9,20,9,20,29
SANTA CRUZ DE LA SIERRA,atencion odontologica, endodoncias,2014-07-01,662,890,662,890,1552
SANTA ROSA,atencion odontologica, endodoncias,2014-07-01,0,3,0,3,3
SANTA ROSA DEL SARA,atencion odontologica, endodoncias,2014-07-01,19,52,19,52,71
SANTIAGO DE CALLAPA,atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
SANTIAGO DE HUARI,atencion odontologica, endodoncias,2014-07-01,7,9,7,9,16
SANTIAGO DE HUATA,atencion odontologica, endodoncias,2014-07-01,9,5,9,5,14
SANTUARIO DE QUILLACAS,atencion odontologica, endodoncias,2014-07-01,1,5,1,5,6
SAPAHAQUI,atencion odontologica, endodoncias,2014-07-01,10,1,10,1,11
SENA,atencion odontologica, endodoncias,2014-07-01,1,4,1,4,5
SHINAOTA,atencion odontologica, endodoncias,2014-07-01,13,21,13,21,34
SICA SICA (VILLA AROMA),atencion odontologica, endodoncias,2014-07-01,11,2,11,2,13
SIPE SIPE,atencion odontologica, endodoncias,2014-07-01,12,28,12,28,40
SOPACHUY,atencion odontologica, endodoncias,2014-07-01,9,28,9,28,37
SORACACHI,atencion odontologica, endodoncias,2014-07-01,5,4,5,4,9
SORATA,atencion odontologica, endodoncias,2014-07-01,1,4,1,4,5
SUCRE,atencion odontologica, endodoncias,2014-07-01,435,642,435,642,1077
TACACHI,atencion odontologica, endodoncias,2014-07-01,1,1,1,1,2
TACACOMA,atencion odontologica, endodoncias,2014-07-01,0,3,0,3,3
TACOPAYA,atencion odontologica, endodoncias,2014-07-01,0,2,0,2,2
TAHUA,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
TAPACARI,atencion odontologica, endodoncias,2014-07-01,11,5,11,5,16
TARABUCO,atencion odontologica, endodoncias,2014-07-01,8,10,8,10,18
TARATA,atencion odontologica, endodoncias,2014-07-01,17,29,17,29,46
TARIJA,atencion odontologica, endodoncias,2014-07-01,671,919,671,919,1590
TARVITA,atencion odontologica, endodoncias,2014-07-01,1,2,1,2,3
TEOPONTE,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
TIAWANACU,atencion odontologica, endodoncias,2014-07-01,11,21,11,21,32
TINGUIPAYA,atencion odontologica, endodoncias,2014-07-01,1,4,1,4,5
TIPUANI,atencion odontologica, endodoncias,2014-07-01,3,14,3,14,17
TIQUIPAYA,atencion odontologica, endodoncias,2014-07-01,32,48,32,48,80
TIRAQUE (CBBA),atencion odontologica, endodoncias,2014-07-01,3,2,3,2,5
TOCO,atencion odontologica, endodoncias,2014-07-01,3,4,3,4,7
TODOS SANTOS,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
TOLATA,atencion odontologica, endodoncias,2014-07-01,1,3,1,3,4
TOMAVE,atencion odontologica, endodoncias,2014-07-01,2,5,2,5,7
TOMINA,atencion odontologica, endodoncias,2014-07-01,2,10,2,10,12
TORO TORO,atencion odontologica, endodoncias,2014-07-01,3,9,3,9,12
TOTORA(CBBA),atencion odontologica, endodoncias,2014-07-01,1,0,1,0,1
TOTORA(ORR),atencion odontologica, endodoncias,2014-07-01,3,4,3,4,7
TRINIDAD,atencion odontologica, endodoncias,2014-07-01,102,100,102,100,202
TUPIZA,atencion odontologica, endodoncias,2014-07-01,85,140,85,140,225
UMALA,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
UNCIA,atencion odontologica, endodoncias,2014-07-01,11,18,11,18,29
URIONDO (A. CONCEPCION),atencion odontologica, endodoncias,2014-07-01,25,54,25,54,79
URUBICHA,atencion odontologica, endodoncias,2014-07-01,1,5,1,5,6
UYUNI,atencion odontologica, endodoncias,2014-07-01,7,17,7,17,24
VACAS,atencion odontologica, endodoncias,2014-07-01,3,7,3,7,10
VALLEGRANDE,atencion odontologica, endodoncias,2014-07-01,18,65,18,65,83
VIACHA,atencion odontologica, endodoncias,2014-07-01,35,36,35,36,71
VILA VILA,atencion odontologica, endodoncias,2014-07-01,0,3,0,3,3
VILLA CHARCAS,atencion odontologica, endodoncias,2014-07-01,2,8,2,8,10
VILLA MONTES,atencion odontologica, endodoncias,2014-07-01,32,75,32,75,107
VILLA RIVERO,atencion odontologica, endodoncias,2014-07-01,3,10,3,10,13
VILLA SERRANO,atencion odontologica, endodoncias,2014-07-01,4,12,4,12,16
VILLA TUNARI,atencion odontologica, endodoncias,2014-07-01,22,44,22,44,66
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, endodoncias,2014-07-01,6,10,6,10,16
VILLAZON,atencion odontologica, endodoncias,2014-07-01,47,99,47,99,146
VINTO,atencion odontologica, endodoncias,2014-07-01,23,32,23,32,55
VITICHI,atencion odontologica, endodoncias,2014-07-01,8,18,8,18,26
WALDO BALLIVIAN,atencion odontologica, endodoncias,2014-07-01,0,3,0,3,3
WARNES,atencion odontologica, endodoncias,2014-07-01,1,4,1,4,5
YACUIBA,atencion odontologica, endodoncias,2014-07-01,62,102,62,102,164
YAMPARAEZ,atencion odontologica, endodoncias,2014-07-01,1,6,1,6,7
YANACACHI,atencion odontologica, endodoncias,2014-07-01,0,1,0,1,1
YAPACANI,atencion odontologica, endodoncias,2014-07-01,18,35,18,35,53
YOCALLA,atencion odontologica, endodoncias,2014-07-01,4,4,4,4,8
YOTALA,atencion odontologica, endodoncias,2014-07-01,2,10,2,10,12
YUNCHARA,atencion odontologica, endodoncias,2014-07-01,9,16,9,16,25
ZUDAÑEZ,atencion odontologica, endodoncias,2014-07-01,2,3,2,3,5
ACACIO,atencion odontologica, endodoncias,2014-08-01,3,1,3,1,4
ACHACACHI,atencion odontologica, endodoncias,2014-08-01,36,81,36,81,117
ACHOCALLA,atencion odontologica, endodoncias,2014-08-01,3,2,3,2,5
AIQUILE,atencion odontologica, endodoncias,2014-08-01,3,7,3,7,10
ALCALA,atencion odontologica, endodoncias,2014-08-01,4,8,4,8,12
ALTO BENI,atencion odontologica, endodoncias,2014-08-01,0,1,0,1,1
ANDAMARCA,atencion odontologica, endodoncias,2014-08-01,2,6,2,6,8
ANTEQUERA,atencion odontologica, endodoncias,2014-08-01,1,3,1,3,4
ANZALDO,atencion odontologica, endodoncias,2014-08-01,1,3,1,3,4
APOLO,atencion odontologica, endodoncias,2014-08-01,0,2,0,2,2
ARAMPAMPA,atencion odontologica, endodoncias,2014-08-01,2,6,2,6,8
ARANI,atencion odontologica, endodoncias,2014-08-01,8,9,8,9,17
ARBIETO,atencion odontologica, endodoncias,2014-08-01,5,7,5,7,12
ARQUE,atencion odontologica, endodoncias,2014-08-01,7,3,7,3,10
ASCENCION DE GUARAYOS,atencion odontologica, endodoncias,2014-08-01,3,2,3,2,5
ATOCHA,atencion odontologica, endodoncias,2014-08-01,33,43,33,43,76
AUCAPATA,atencion odontologica, endodoncias,2014-08-01,8,5,8,5,13
AYO AYO,atencion odontologica, endodoncias,2014-08-01,5,7,5,7,12
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, endodoncias,2014-08-01,15,26,15,26,41
BAURES,atencion odontologica, endodoncias,2014-08-01,5,5,5,5,10
BELEN DE ANDAMARCA,atencion odontologica, endodoncias,2014-08-01,8,4,8,4,12
BELEN DE URMIRI,atencion odontologica, endodoncias,2014-08-01,1,0,1,0,1
BERMEJO,atencion odontologica, endodoncias,2014-08-01,31,53,31,53,84
BETANZOS,atencion odontologica, endodoncias,2014-08-01,12,7,12,7,19
BOLIVAR,atencion odontologica, endodoncias,2014-08-01,4,3,4,3,7
BOYUIBE,atencion odontologica, endodoncias,2014-08-01,1,9,1,9,10
BUENA VISTA,atencion odontologica, endodoncias,2014-08-01,1,0,1,0,1
CABEZAS,atencion odontologica, endodoncias,2014-08-01,8,19,8,19,27
"CAIZA ""D""",atencion odontologica, endodoncias,2014-08-01,3,2,3,2,5
CALAMARCA,atencion odontologica, endodoncias,2014-08-01,3,10,3,10,13
CAMARGO,atencion odontologica, endodoncias,2014-08-01,14,20,14,20,34
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, endodoncias,2014-08-01,3,6,3,6,9
CAMIRI,atencion odontologica, endodoncias,2014-08-01,19,41,19,41,60
CAPINOTA,atencion odontologica, endodoncias,2014-08-01,22,15,22,15,37
CARACOLLO,atencion odontologica, endodoncias,2014-08-01,11,13,11,13,24
CARANAVI,atencion odontologica, endodoncias,2014-08-01,22,24,22,24,46
CARAPARI,atencion odontologica, endodoncias,2014-08-01,19,31,19,31,50
CARIPUYO,atencion odontologica, endodoncias,2014-08-01,4,8,4,8,12
CHALLAPATA,atencion odontologica, endodoncias,2014-08-01,37,25,37,25,62
CHAQUI,atencion odontologica, endodoncias,2014-08-01,0,1,0,1,1
CHARAGUA,atencion odontologica, endodoncias,2014-08-01,6,16,6,16,22
CHAYANTA,atencion odontologica, endodoncias,2014-08-01,5,5,5,5,10
CHIMORE,atencion odontologica, endodoncias,2014-08-01,11,14,11,14,25
CHIPAYA,atencion odontologica, endodoncias,2014-08-01,0,2,0,2,2
CHOQUE COTA,atencion odontologica, endodoncias,2014-08-01,1,1,1,1,2
CHUA COCANI,atencion odontologica, endodoncias,2014-08-01,5,3,5,3,8
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, endodoncias,2014-08-01,7,9,7,9,16
CHUMA,atencion odontologica, endodoncias,2014-08-01,6,8,6,8,14
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, endodoncias,2014-08-01,5,15,5,15,20
CKOCHAS,atencion odontologica, endodoncias,2014-08-01,3,4,3,4,7
CLIZA,atencion odontologica, endodoncias,2014-08-01,10,18,10,18,28
COBIJA,atencion odontologica, endodoncias,2014-08-01,9,16,9,16,25
COCAPATA,atencion odontologica, endodoncias,2014-08-01,5,10,5,10,15
COCHABAMBA,atencion odontologica, endodoncias,2014-08-01,626,794,626,794,1420
COIPASA,atencion odontologica, endodoncias,2014-08-01,1,2,1,2,3
COLCAPIRHUA,atencion odontologica, endodoncias,2014-08-01,18,22,18,22,40
"COLCHA ""K""",atencion odontologica, endodoncias,2014-08-01,0,3,0,3,3
COLLANA,atencion odontologica, endodoncias,2014-08-01,5,5,5,5,10
COLOMI,atencion odontologica, endodoncias,2014-08-01,13,0,13,0,13
COLPA BELGICA,atencion odontologica, endodoncias,2014-08-01,1,2,1,2,3
COLQUECHACA,atencion odontologica, endodoncias,2014-08-01,25,20,25,20,45
COLQUIRI,atencion odontologica, endodoncias,2014-08-01,4,12,4,12,16
COMARAPA,atencion odontologica, endodoncias,2014-08-01,20,30,20,30,50
CONCEPCION,atencion odontologica, endodoncias,2014-08-01,2,3,2,3,5
COPACABANA,atencion odontologica, endodoncias,2014-08-01,3,7,3,7,10
CORIPATA,atencion odontologica, endodoncias,2014-08-01,2,1,2,1,3
CORO CORO,atencion odontologica, endodoncias,2014-08-01,0,1,0,1,1
COROICO,atencion odontologica, endodoncias,2014-08-01,19,18,19,18,37
CORQUE,atencion odontologica, endodoncias,2014-08-01,2,3,2,3,5
COTAGAITA,atencion odontologica, endodoncias,2014-08-01,56,82,56,82,138
COTOCA,atencion odontologica, endodoncias,2014-08-01,0,2,0,2,2
CUATRO CAÑADAS,atencion odontologica, endodoncias,2014-08-01,6,7,6,7,13
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, endodoncias,2014-08-01,0,2,0,2,2
CUEVO,atencion odontologica, endodoncias,2014-08-01,1,6,1,6,7
CULPINA,atencion odontologica, endodoncias,2014-08-01,4,7,4,7,11
CURAHUARA DE CARANGAS,atencion odontologica, endodoncias,2014-08-01,6,3,6,3,9
CURVA,atencion odontologica, endodoncias,2014-08-01,0,3,0,3,3
DESAGUADERO,atencion odontologica, endodoncias,2014-08-01,3,5,3,5,8
EL ALTO,atencion odontologica, endodoncias,2014-08-01,384,531,384,531,915
EL CHORO,atencion odontologica, endodoncias,2014-08-01,0,8,0,8,8
EL PUENTE(STC),atencion odontologica, endodoncias,2014-08-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica, endodoncias,2014-08-01,6,7,6,7,13
EL TORNO,atencion odontologica, endodoncias,2014-08-01,15,21,15,21,36
EL VILLAR,atencion odontologica, endodoncias,2014-08-01,2,1,2,1,3
ENTRE RIOS TRJ,atencion odontologica, endodoncias,2014-08-01,4,13,4,13,17
ENTRE RIOS CBBA,atencion odontologica, endodoncias,2014-08-01,8,24,8,24,32
ESCOMA,atencion odontologica, endodoncias,2014-08-01,3,3,3,3,6
EUCALIPTUS,atencion odontologica, endodoncias,2014-08-01,4,4,4,4,8
FERNANDEZ ALONSO,atencion odontologica, endodoncias,2014-08-01,1,4,1,4,5
FILADELFIA,atencion odontologica, endodoncias,2014-08-01,1,0,1,0,1
GENERAL SAAVEDRA,atencion odontologica, endodoncias,2014-08-01,0,3,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, endodoncias,2014-08-01,6,1,6,1,7
GUANAY,atencion odontologica, endodoncias,2014-08-01,12,5,12,5,17
GUAQUI,atencion odontologica, endodoncias,2014-08-01,6,5,6,5,11
GUAYARAMERIN,atencion odontologica, endodoncias,2014-08-01,18,20,18,20,38
GUTIERREZ,atencion odontologica, endodoncias,2014-08-01,0,6,0,6,6
HUACARETA,atencion odontologica, endodoncias,2014-08-01,3,9,3,9,12
HUACAYA (VILLA DE HUACAYA),atencion odontologica, endodoncias,2014-08-01,2,3,2,3,5
HUANUNI,atencion odontologica, endodoncias,2014-08-01,9,12,9,12,21
HUARINA,atencion odontologica, endodoncias,2014-08-01,3,12,3,12,15
HUATAJATA,atencion odontologica, endodoncias,2014-08-01,2,13,2,13,15
HUAYLLAMARCA,atencion odontologica, endodoncias,2014-08-01,9,11,9,11,20
HUMANATA,atencion odontologica, endodoncias,2014-08-01,10,8,10,8,18
ICLA,atencion odontologica, endodoncias,2014-08-01,7,13,7,13,20
INCAHUASI,atencion odontologica, endodoncias,2014-08-01,12,21,12,21,33
IRUPANA (VILLA DE LANZA),atencion odontologica, endodoncias,2014-08-01,1,1,1,1,2
IXIAMAS,atencion odontologica, endodoncias,2014-08-01,4,7,4,7,11
JESUS DE MACHACA,atencion odontologica, endodoncias,2014-08-01,1,3,1,3,4
LA ASUNTA,atencion odontologica, endodoncias,2014-08-01,11,30,11,30,41
LA GUARDIA,atencion odontologica, endodoncias,2014-08-01,9,17,9,17,26
LA PAZ,atencion odontologica, endodoncias,2014-08-01,844,1142,844,1142,1986
LAGUNILLAS,atencion odontologica, endodoncias,2014-08-01,5,2,5,2,7
LAS CARRERAS,atencion odontologica, endodoncias,2014-08-01,4,6,4,6,10
LICOMA PAMPA,atencion odontologica, endodoncias,2014-08-01,0,1,0,1,1
LLALLAGUA,atencion odontologica, endodoncias,2014-08-01,26,40,26,40,66
LLICA,atencion odontologica, endodoncias,2014-08-01,0,2,0,2,2
LURIBAY,atencion odontologica, endodoncias,2014-08-01,5,5,5,5,10
MACHACAMARCA,atencion odontologica, endodoncias,2014-08-01,2,7,2,7,9
MACHARETI,atencion odontologica, endodoncias,2014-08-01,0,1,0,1,1
MAGDALENA,atencion odontologica, endodoncias,2014-08-01,4,6,4,6,10
MAIRANA,atencion odontologica, endodoncias,2014-08-01,0,7,0,7,7
MAPIRI,atencion odontologica, endodoncias,2014-08-01,8,8,8,8,16
MECAPACA,atencion odontologica, endodoncias,2014-08-01,1,4,1,4,5
