,group,variable,month,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
ACHACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,197,265,197,265,462
ACHOCALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,89,79,89,79,168
AIQUILE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,100,128,100,128,228
ALALAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,2,0,2,2
ALCALA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,74,66,74,66,140
ALTO BENI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,18,10,18,10,28
ANCORAIMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,30,20,30,20,50
ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,19,6,19,25
ANTEQUERA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,11,14,11,14,25
ANZALDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2,9,2,9,11
APOLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,37,33,37,33,70
ARAMPAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,62,28,62,28,90
ARANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,40,28,40,28,68
ARBIETO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,130,127,130,127,257
ARQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,9,5,9,5,14
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,25,35,25,35,60
ATOCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,58,73,58,73,131
AUCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,15,0,15,0,15
AYATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,5,0,5,0,5
AYO AYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,8,13,8,13,21
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,63,58,63,58,121
AZURDUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,23,16,23,39
BATALLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,48,36,48,36,84
BAURES,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,2,0,2,2
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,39,16,39,55
BELEN DE URMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2,4,2,4,6
BELLA FLOR,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,12,6,12,18
BERMEJO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,120,118,120,118,238
BETANZOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,61,92,61,92,153
BOLIVAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,9,11,9,11,20
BOLPEBRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,26,20,26,20,46
BOYUIBE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,3,3,3,3,6
BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,4,6,4,10
CABEZAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,49,55,49,55,104
CAIROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,8,11,8,11,19
"CAIZA ""D""",atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,36,28,36,28,64
CAJUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,44,48,44,48,92
CALACOTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,8,8,8,8,16
CALAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,38,64,38,64,102
CAMARGO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,74,97,74,97,171
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,38,13,38,13,51
CAMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,162,136,162,136,298
CAPINOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,87,106,87,106,193
CAQUIAVIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,30,39,30,39,69
CARACOLLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,66,65,66,65,131
CARANAVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,206,121,206,121,327
CARAPARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,10,6,10,16
CARIPUYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,22,23,22,23,45
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,68,82,68,82,150
CATACORA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,4,3,4,3,7
CHACARILLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2,0,2,0,2
CHALLAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,200,139,200,139,339
CHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,3,2,3,2,5
CHARAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,59,49,59,49,108
CHARAÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,9,0,9,0,9
CHAYANTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,34,62,34,62,96
CHIMORE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,115,130,115,130,245
CHIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,9,0,9,9
CHOQUE COTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2,3,2,3,5
CHUA COCANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,9,6,9,6,15
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,39,18,39,18,57
CHUMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,60,31,60,31,91
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,5,18,5,18,23
CKOCHAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,37,28,37,28,65
CLIZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,82,74,82,74,156
COBIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,330,320,330,320,650
COCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,66,64,66,64,130
COCHABAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2070,2018,2070,2018,4088
COIPASA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,4,6,4,6,10
COLCAPIRHUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,185,308,185,308,493
"COLCHA ""K""",atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,33,44,33,44,77
COLLANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,10,9,10,9,19
COLOMI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,60,98,60,98,158
COLPA BELGICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,22,31,22,31,53
COLQUECHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,85,61,85,61,146
COLQUENCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2,2,2,2,4
COLQUIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,38,54,38,54,92
COMANCHE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,5,6,5,11
COMARAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,50,38,50,38,88
COMBAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,9,6,9,15
CONCEPCION,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,52,34,52,34,86
COPACABANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,48,50,48,50,98
CORIPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,1,0,1,1
CORO CORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,4,8,4,8,12
COROICO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,26,11,26,11,37
CORQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,5,8,5,8,13
COTAGAITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,48,74,48,74,122
COTOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,315,298,315,298,613
CUATRO CAÑADAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,344,304,344,304,648
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,2,6,2,8
CUEVO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,15,16,15,16,31
CULPINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,46,51,46,51,97
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,14,24,14,24,38
CURVA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,63,32,63,32,95
DESAGUADERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,38,29,38,29,67
EL ALTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2889,2896,2889,2896,5785
EL CHORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,37,25,37,25,62
EL PUENTE(STC),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,24,20,24,20,44
EL PUENTE(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,8,4,8,4,12
EL TORNO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,221,161,221,161,382
EL VILLAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,19,18,19,18,37
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,34,35,34,35,69
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,122,153,122,153,275
ESCOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,5,11,5,11,16
EUCALIPTUS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,19,30,19,30,49
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,37,22,37,22,59
FILADELFIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,28,9,28,9,37
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,50,65,50,65,115
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,87,95,87,95,182
GUANAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,15,18,15,18,33
GUAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,17,17,17,17,34
GUAYARAMERIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,66,61,66,61,127
GUTIERREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,18,28,18,28,46
HUACARETA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,27,10,27,10,37
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,9,11,9,11,20
HUACHACALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,5,0,5,0,5
HUANUNI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,97,91,97,91,188
HUARACAJE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,3,0,3,0,3
HUARINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,4,1,4,1,5
HUATAJATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,20,29,20,29,49
HUAYLLAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,19,21,19,21,40
HUMANATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,11,16,11,27
ICHOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,8,12,8,12,20
ICLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,130,149,130,149,279
INCAHUASI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,88,105,88,105,193
INGAVI (HUMAITA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2,13,2,13,15
INQUISIVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,46,58,46,58,104
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,84,144,84,144,228
IXIAMAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,11,16,11,27
JESUS DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,10,23,10,23,33
LA ASUNTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,36,15,36,15,51
LA GUARDIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,188,211,188,211,399
LA PAZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,4527,4550,4527,4550,9077
LAGUNILLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,12,15,12,15,27
LAJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,22,31,22,31,53
LAS CARRERAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,19,16,19,16,35
LICOMA PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,3,6,3,6,9
LLALLAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,550,640,550,640,1190
LLICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2,5,2,5,7
LURIBAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,20,18,20,18,38
MACHACAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,7,10,7,10,17
MACHARETI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,85,86,85,86,171
MAGDALENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,5,11,5,11,16
MAIRANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,46,53,46,53,99
MALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,3,0,3,0,3
MAPIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,29,39,29,39,68
MECAPACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,72,93,72,93,165
MINEROS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,114,96,114,96,210
MIZQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,27,20,27,20,47
MOCOMOCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,21,26,21,26,47
MOJOCOYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,25,44,25,44,69
MONTEAGUDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,180,142,180,142,322
MONTERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,206,260,206,260,466
MORO MORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,25,28,25,28,53
MOROCHATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,79,97,79,97,176
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,10,7,10,7,17
OCURI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,13,8,13,8,21
OKINAWA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,11,6,11,17
OMEREQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,23,6,23,29
ORURO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,895,1064,895,1064,1959
PADCAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,42,30,42,30,72
PADILLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,40,29,40,29,69
PAILON,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,72,40,72,40,112
PALCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,34,50,34,50,84
PALOS BLANCOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,105,110,105,110,215
PAMPA AULLAGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,12,9,12,9,21
PAMPA GRANDE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,12,24,12,24,36
PAPEL PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,22,38,22,38,60
PASORAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,7,0,7,0,7
PATACAMAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,147,144,147,144,291
PAZÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,14,4,14,4,18
PELECHUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,24,29,24,29,53
POCOATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,180,188,180,188,368
POCONA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,59,89,59,89,148
POJO (CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,97,126,97,126,223
POOPO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,37,21,37,21,58
PORCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,14,7,14,7,21
POROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,382,329,382,329,711
PORONGO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,76,76,76,76,152
PORTACHUELO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,62,70,62,70,132
PORVENIR,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,38,42,38,42,80
POSTRER VALLE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,4,0,4,4
POTOSI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,707,866,707,866,1573
PRESTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,101,118,101,118,219
PUCARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,15,11,15,11,26
PUCARANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,48,28,48,28,76
PUERTO ACOSTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,24,11,24,11,35
PUERTO CARABUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,18,20,18,20,38
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,79,79,79,79,158
PUERTO PEREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,28,26,28,26,54
PUERTO QUIJARRO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,62,73,62,73,135
PUERTO RICO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,32,37,32,37,69
PUERTO SUAREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,9,8,9,8,17
PUERTO VILLARROEL,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,191,185,191,185,376
PUNA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,60,86,60,86,146
PUNATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,112,77,112,77,189
QUIABAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,21,11,21,11,32
QUILLACOLLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,647,747,647,747,1394
QUIME,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,129,94,129,94,223
QUIRUSILLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,4,1,4,1,5
RAVELO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,66,92,66,92,158
REYES,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,10,3,10,3,13
RIBERALTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,452,414,452,414,866
ROBORE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,23,25,23,25,48
RURRENABAQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,25,21,25,21,46
SABAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,21,16,21,37
SACABA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,759,658,759,658,1417
SACABAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,12,16,12,28
SACACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,20,16,20,36
SAIPINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,1,3,1,3,4
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,152,186,152,186,338
SAMAIPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,37,34,37,34,71
SAN AGUSTIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,4,0,4,0,4
SAN ANDRES,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,24,16,24,40
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,27,26,27,26,53
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,3,6,3,6,9
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,25,30,25,30,55
SAN BENITO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,35,97,35,97,132
SAN BORJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,45,26,45,26,71
SAN BUENA VENTURA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,12,3,12,3,15
SAN CARLOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,27,33,27,33,60
SAN IGNACIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,25,28,25,28,53
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,122,143,122,143,265
SAN JAVIER(BNI),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,3,5,3,5,8
SAN JAVIER(STC),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,130,177,130,177,307
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,28,14,28,14,42
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,13,18,13,18,31
SAN JULIAN,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,403,310,403,310,713
SAN LORENZO(PND),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,45,60,45,60,105
SAN LORENZO(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,75,98,75,98,173
SAN LUCAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,191,185,191,185,376
SAN MATIAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,17,26,17,26,43
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,137,117,137,117,254
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,5,0,5,0,5
SAN PEDRO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,54,55,54,55,109
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,21,5,21,5,26
SAN PEDRO DE CURAHUARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,33,41,33,41,74
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,1,2,1,2,3
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,16,8,16,8,24
SAN RAFAEL,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,4,13,4,13,17
SAN RAMON BENI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2,2,2,2,4
SAN RAMON SCZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,62,73,62,73,135
SANTA ANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,55,99,55,99,154
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,3444,3386,3444,3386,6830
SANTA ROSA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,8,15,8,15,23
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,10,21,10,21,31
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,1,0,1,1
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,37,35,37,35,72
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,21,4,21,4,25
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,6,0,6,6
SANTIVAÑES,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,5,6,5,6,11
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,14,17,14,17,31
SAPAHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,86,58,86,58,144
SENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,78,53,78,53,131
SHINAOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,152,112,152,112,264
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,43,53,43,53,96
SICAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,1,0,1,1
SIPE SIPE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,125,160,125,160,285
SOPACHUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,61,62,61,62,123
SORACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,39,24,39,24,63
SORATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,65,58,65,58,123
SUCRE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,2031,2047,2031,2047,4078
TACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,0,2,0,2,2
TACACOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,22,15,22,15,37
TACOBAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,6,3,6,3,9
TACOPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,13,4,13,4,17
TAHUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,19,10,19,10,29
TAPACARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,39,34,39,34,73
TARABUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,180,172,180,172,352
TARACO,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,31,38,31,38,69
TARATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,29,16,29,16,45
TARIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,246,290,246,290,536
TARVITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,68,97,68,97,165
TEOPONTE,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,25,19,25,19,44
TIAWANACU,atencion odontologica, consultas nuevas menores de 5 anos,2014-06-01,52,43,52,43,95
