,group,variable,month,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,21,39,21,39,60
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,19,42,19,42,61
SANTIVAÑES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,7,21,7,21,28
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,34,37,34,37,71
SAPAHAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,113,192,113,192,305
SENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,49,66,49,66,115
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,57,92,57,92,149
SICAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,4,8,4,8,12
SIPE SIPE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,44,308,44,308,352
SOPACHUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,87,156,87,156,243
SORACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,74,76,74,76,150
SORATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,27,136,27,136,163
SUCRE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,2333,4720,2333,4720,7053
TACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,8,10,8,10,18
TACACOMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,51,67,51,67,118
TACOBAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,8,23,8,23,31
TACOPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,10,73,10,73,83
TAHUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,8,8,8,8,16
TAPACARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,115,155,115,155,270
TARABUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,48,223,48,223,271
TARACO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,26,73,26,73,99
TARATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,104,149,104,149,253
TARIJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,3560,5544,3560,5544,9104
TARVITA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,91,181,91,181,272
TEOPONTE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,55,88,55,88,143
TIAWANACU,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,104,212,104,212,316
TINGUIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,29,73,29,73,102
TIPUANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,46,64,46,64,110
TIQUIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,517,1086,517,1086,1603
TIRAQUE (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,51,76,51,76,127
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,7,9,7,9,16
TOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,29,46,29,46,75
TODOS SANTOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,6,2,6,2,8
TOLATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,22,36,22,36,58
TOLEDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,22,55,22,55,77
TOMAVE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,45,112,45,112,157
TOMINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,179,404,179,404,583
TORO TORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,237,327,237,327,564
TOTORA(CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,72,113,72,113,185
TOTORA(ORR),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,41,49,41,49,90
TRIGAL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,7,11,7,11,18
TRINIDAD,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,522,963,522,963,1485
TUPIZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,298,542,298,542,840
TURCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,21,45,21,45,66
UMALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,7,23,7,23,30
UNCIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,23,68,23,68,91
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,445,735,445,735,1180
URUBICHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,27,34,27,34,61
UYUNI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,81,146,81,146,227
VACAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,34,73,34,73,107
VALLEGRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,178,240,178,240,418
VIACHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,205,360,205,360,565
VILA VILA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,2,28,2,28,30
VILLA CHARCAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,39,97,39,97,136
VILLA MONTES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,600,913,600,913,1513
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,6,6,6,6,12
VILLA RIVERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,6,47,6,47,53
VILLA SERRANO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,35,71,35,71,106
VILLA TUNARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,77,168,77,168,245
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,59,99,59,99,158
VILLAZON,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,103,343,103,343,446
VINTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,33,210,33,210,243
VITICHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,73,123,73,123,196
WALDO BALLIVIAN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,11,20,11,20,31
WARNES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,114,373,114,373,487
YACO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,8,25,8,25,33
YACUIBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,573,974,573,974,1547
YAMPARAEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,27,91,27,91,118
YANACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,38,35,38,35,73
YAPACANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,81,135,81,135,216
YOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,31,56,31,56,87
YOTALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,23,53,23,53,76
YUNCHARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,229,322,229,322,551
ZUDAÑEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-06-01,46,76,46,76,122
ACACIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,7,6,7,6,13
ACHACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,257,377,257,377,634
ACHOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,37,76,37,76,113
AIQUILE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,27,42,27,42,69
ALALAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,1,16,1,16,17
ALCALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,47,88,47,88,135
ALTO BENI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,16,27,16,27,43
ANCORAIMES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,17,29,17,29,46
ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,36,60,36,60,96
ANTEQUERA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,28,48,28,48,76
ANZALDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,133,98,133,98,231
APOLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,18,49,18,49,67
ARAMPAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,15,38,15,38,53
ARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,62,76,62,76,138
ARBIETO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,30,143,30,143,173
ARQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,82,84,82,84,166
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,15,22,15,22,37
ATOCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,254,308,254,308,562
AUCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,26,48,26,48,74
AYATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,29,33,29,33,62
AYO AYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,21,31,21,31,52
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,91,158,91,158,249
AZURDUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,17,36,17,36,53
BATALLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,30,143,30,143,173
BAURES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,20,29,20,29,49
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,5,13,5,13,18
BELEN DE URMIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,8,10,8,10,18
BELLA FLOR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,27,40,27,40,67
BERMEJO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,439,663,439,663,1102
BETANZOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,79,194,79,194,273
BOLIVAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,23,17,23,17,40
BOLPEBRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,11,12,11,12,23
BOYUIBE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,9,23,9,23,32
BUENA VISTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,20,27,20,27,47
CABEZAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,65,144,65,144,209
CAIROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,45,59,45,59,104
"CAIZA ""D""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,23,81,23,81,104
CAJUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,108,156,108,156,264
CALACOTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,22,25,22,25,47
CALAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,145,200,145,200,345
CAMARGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,78,178,78,178,256
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,31,71,31,71,102
CAMIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,148,313,148,313,461
CAPINOTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,77,138,77,138,215
CAQUIAVIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,50,74,50,74,124
CARACOLLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,172,368,172,368,540
CARANAVI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,86,152,86,152,238
CARAPARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,192,374,192,374,566
CARIPUYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,18,45,18,45,63
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,37,53,37,53,90
CATACORA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,8,30,8,30,38
CHALLAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,305,392,305,392,697
CHAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,10,15,10,15,25
CHARAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,79,187,79,187,266
CHARAÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,4,14,4,14,18
CHAYANTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,37,105,37,105,142
CHIMORE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,70,60,70,60,130
CHIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,10,19,10,19,29
CHOQUE COTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,25,25,25,25,50
CHUA COCANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,12,9,12,9,21
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,29,71,29,71,100
CHUMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,96,141,96,141,237
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,17,27,17,27,44
CKOCHAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,29,66,29,66,95
CLIZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,121,160,121,160,281
COBIJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,568,745,568,745,1313
COCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,146,280,146,280,426
COCHABAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,2446,4019,2446,4019,6465
COIPASA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,20,12,20,12,32
COLCAPIRHUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,56,73,56,73,129
"COLCHA ""K""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,35,38,35,38,73
COLLANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,39,38,39,38,77
COLOMI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,15,47,15,47,62
COLPA BELGICA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,88,103,88,103,191
COLQUECHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,67,140,67,140,207
COLQUENCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,26,66,26,66,92
COLQUIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,67,117,67,117,184
COMANCHE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,23,26,23,26,49
COMARAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,66,106,66,106,172
COMBAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,0,5,0,5,5
CONCEPCION,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,20,40,20,40,60
COPACABANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,48,86,48,86,134
CORIPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,2,13,2,13,15
CORO CORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,20,63,20,63,83
COROICO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,54,98,54,98,152
CORQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,25,37,25,37,62
COTAGAITA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,216,288,216,288,504
COTOCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,14,104,14,104,118
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,63,126,63,126,189
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,14,27,14,27,41
CUEVO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,28,100,28,100,128
CULPINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,130,133,130,133,263
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,32,37,32,37,69
CURVA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,14,10,14,10,24
DESAGUADERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,80,67,80,67,147
EL ALTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,8184,11132,8184,11132,19316
EL CHORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,9,39,9,39,48
EL PUENTE(STC),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,104,180,104,180,284
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,124,244,124,244,368
EL TORNO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,503,819,503,819,1322
EL VILLAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,36,82,36,82,118
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,230,454,230,454,684
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,9,14,9,14,23
ESCOMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,28,45,28,45,73
EUCALIPTUS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,62,41,62,41,103
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,93,136,93,136,229
FILADELFIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,6,3,6,3,9
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,19,129,19,129,148
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,213,243,213,243,456
GUANAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,41,56,41,56,97
GUAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,41,74,41,74,115
GUAYARAMERIN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,504,593,504,593,1097
GUTIERREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,41,51,41,51,92
HUACARETA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,9,58,9,58,67
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,34,72,34,72,106
HUACHACALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,13,22,13,22,35
HUANUNI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,102,174,102,174,276
HUARACAJE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,8,12,8,12,20
HUARINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,20,46,20,46,66
HUATAJATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,20,31,20,31,51
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,59,104,59,104,163
HUMANATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,11,18,11,18,29
ICHOCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,10,23,10,23,33
ICLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,26,139,26,139,165
INCAHUASI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,54,174,54,174,228
INGAVI (HUMAITA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,12,5,12,5,17
INQUISIVI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,23,35,23,35,58
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,67,131,67,131,198
IXIAMAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,128,147,128,147,275
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,37,70,37,70,107
LA ASUNTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,86,190,86,190,276
LA GUARDIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,76,241,76,241,317
LA PAZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,6315,8600,6315,8600,14915
LAGUNILLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,38,101,38,101,139
LAJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,43,114,43,114,157
LAS CARRERAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,39,68,39,68,107
LICOMA PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,14,19,14,19,33
LLALLAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,94,299,94,299,393
LLICA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,70,67,70,67,137
LURIBAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,27,40,27,40,67
MACHACAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,22,38,22,38,60
MACHARETI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,4,38,4,38,42
MAGDALENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,59,87,59,87,146
MAIRANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,59,39,59,39,98
MALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,12,7,12,7,19
MAPIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,19,41,19,41,60
MECAPACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,56,81,56,81,137
MINEROS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,135,308,135,308,443
MIZQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,26,20,26,20,46
MOCOMOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,72,106,72,106,178
MOJOCOYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,63,131,63,131,194
MONTEAGUDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,150,483,150,483,633
MONTERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,374,410,374,410,784
MORO MORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,12,16,12,16,28
MOROCHATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,17,50,17,50,67
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,34,31,34,31,65
OCURI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,41,89,41,89,130
OKINAWA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,15,32,15,32,47
OMEREQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,21,65,21,65,86
ORURO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,2066,3550,2066,3550,5616
PADCAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,194,302,194,302,496
PADILLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,117,198,117,198,315
PAILON,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,92,134,92,134,226
PALCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,43,87,43,87,130
PALOS BLANCOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,93,179,93,179,272
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,12,22,12,22,34
PAMPA GRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,1,13,1,13,14
PAPEL PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,16,42,16,42,58
PASORAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,15,31,15,31,46
PATACAMAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,40,133,40,133,173
PAZÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,34,69,34,69,103
PELECHUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,5,33,5,33,38
POCOATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,40,92,40,92,132
POCONA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,115,148,115,148,263
POJO (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,95,130,95,130,225
POOPO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,105,178,105,178,283
PORCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,23,63,23,63,86
POROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,15,57,15,57,72
PORONGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,61,81,61,81,142
PORTACHUELO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,347,356,347,356,703
PORVENIR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,43,56,43,56,99
POSTRER VALLE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,32,46,32,46,78
POTOSI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,1546,3062,1546,3062,4608
PRESTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,34,114,34,114,148
PUCARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,8,2,8,2,10
PUCARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,96,171,96,171,267
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,27,37,27,37,64
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,60,173,60,173,233
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,40,81,40,81,121
PUERTO PEREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,15,16,15,16,31
PUERTO QUIJARRO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,41,20,41,20,61
PUERTO RICO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,101,113,101,113,214
PUERTO SILES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-07-01,29,54,29,54,83
