,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
EL VILLAR,atencion odontologica, restauraciones,2014-07-01,27,49,27,49,76
ENTRE RIOS TRJ,atencion odontologica, restauraciones,2014-07-01,51,189,51,189,240
ENTRE RIOS CBBA,atencion odontologica, restauraciones,2014-07-01,52,105,52,105,157
ESCOMA,atencion odontologica, restauraciones,2014-07-01,11,20,11,20,31
EUCALIPTUS,atencion odontologica, restauraciones,2014-07-01,19,16,19,16,35
FERNANDEZ ALONSO,atencion odontologica, restauraciones,2014-07-01,60,69,60,69,129
FILADELFIA,atencion odontologica, restauraciones,2014-07-01,9,12,9,12,21
GENERAL SAAVEDRA,atencion odontologica, restauraciones,2014-07-01,18,51,18,51,69
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, restauraciones,2014-07-01,78,57,78,57,135
GUANAY,atencion odontologica, restauraciones,2014-07-01,18,19,18,19,37
GUAQUI,atencion odontologica, restauraciones,2014-07-01,9,31,9,31,40
GUAYARAMERIN,atencion odontologica, restauraciones,2014-07-01,443,594,443,594,1037
GUTIERREZ,atencion odontologica, restauraciones,2014-07-01,29,37,29,37,66
HUACARETA,atencion odontologica, restauraciones,2014-07-01,14,50,14,50,64
HUACAYA (VILLA DE HUACAYA),atencion odontologica, restauraciones,2014-07-01,12,19,12,19,31
HUACHACALLA,atencion odontologica, restauraciones,2014-07-01,3,7,3,7,10
HUANUNI,atencion odontologica, restauraciones,2014-07-01,117,272,117,272,389
HUARACAJE,atencion odontologica, restauraciones,2014-07-01,4,10,4,10,14
HUARINA,atencion odontologica, restauraciones,2014-07-01,16,18,16,18,34
HUATAJATA,atencion odontologica, restauraciones,2014-07-01,6,24,6,24,30
HUAYLLAMARCA,atencion odontologica, restauraciones,2014-07-01,46,58,46,58,104
HUMANATA,atencion odontologica, restauraciones,2014-07-01,12,24,12,24,36
ICHOCA,atencion odontologica, restauraciones,2014-07-01,13,21,13,21,34
ICLA,atencion odontologica, restauraciones,2014-07-01,15,62,15,62,77
INCAHUASI,atencion odontologica, restauraciones,2014-07-01,33,75,33,75,108
INQUISIVI,atencion odontologica, restauraciones,2014-07-01,19,14,19,14,33
IRUPANA (VILLA DE LANZA),atencion odontologica, restauraciones,2014-07-01,60,127,60,127,187
IXIAMAS,atencion odontologica, restauraciones,2014-07-01,18,24,18,24,42
JESUS DE MACHACA,atencion odontologica, restauraciones,2014-07-01,16,24,16,24,40
LA ASUNTA,atencion odontologica, restauraciones,2014-07-01,47,78,47,78,125
LA GUARDIA,atencion odontologica, restauraciones,2014-07-01,106,241,106,241,347
LA PAZ,atencion odontologica, restauraciones,2014-07-01,5398,7844,5398,7844,13242
LAGUNILLAS,atencion odontologica, restauraciones,2014-07-01,13,67,13,67,80
LAJA,atencion odontologica, restauraciones,2014-07-01,47,79,47,79,126
LAS CARRERAS,atencion odontologica, restauraciones,2014-07-01,17,27,17,27,44
LICOMA PAMPA,atencion odontologica, restauraciones,2014-07-01,6,22,6,22,28
LLALLAGUA,atencion odontologica, restauraciones,2014-07-01,104,217,104,217,321
LLICA,atencion odontologica, restauraciones,2014-07-01,16,13,16,13,29
LURIBAY,atencion odontologica, restauraciones,2014-07-01,5,10,5,10,15
MACHACAMARCA,atencion odontologica, restauraciones,2014-07-01,40,56,40,56,96
MACHARETI,atencion odontologica, restauraciones,2014-07-01,42,69,42,69,111
MAGDALENA,atencion odontologica, restauraciones,2014-07-01,28,36,28,36,64
MAIRANA,atencion odontologica, restauraciones,2014-07-01,44,42,44,42,86
MALLA,atencion odontologica, restauraciones,2014-07-01,1,0,1,0,1
MAPIRI,atencion odontologica, restauraciones,2014-07-01,11,29,11,29,40
MECAPACA,atencion odontologica, restauraciones,2014-07-01,31,34,31,34,65
MINEROS,atencion odontologica, restauraciones,2014-07-01,52,209,52,209,261
MIZQUE,atencion odontologica, restauraciones,2014-07-01,16,17,16,17,33
MOCOMOCO,atencion odontologica, restauraciones,2014-07-01,25,31,25,31,56
MOJOCOYA,atencion odontologica, restauraciones,2014-07-01,23,62,23,62,85
MONTEAGUDO,atencion odontologica, restauraciones,2014-07-01,92,278,92,278,370
MONTERO,atencion odontologica, restauraciones,2014-07-01,91,126,91,126,217
MORO MORO,atencion odontologica, restauraciones,2014-07-01,9,19,9,19,28
MOROCHATA,atencion odontologica, restauraciones,2014-07-01,41,87,41,87,128
OCURI,atencion odontologica, restauraciones,2014-07-01,16,27,16,27,43
OKINAWA,atencion odontologica, restauraciones,2014-07-01,4,14,4,14,18
OMEREQUE,atencion odontologica, restauraciones,2014-07-01,5,6,5,6,11
ORURO,atencion odontologica, restauraciones,2014-07-01,2154,3181,2154,3181,5335
PADCAYA,atencion odontologica, restauraciones,2014-07-01,56,123,56,123,179
PADILLA,atencion odontologica, restauraciones,2014-07-01,75,116,75,116,191
PAILON,atencion odontologica, restauraciones,2014-07-01,72,130,72,130,202
PALCA,atencion odontologica, restauraciones,2014-07-01,55,61,55,61,116
PALOS BLANCOS,atencion odontologica, restauraciones,2014-07-01,89,138,89,138,227
PAMPA AULLAGAS,atencion odontologica, restauraciones,2014-07-01,6,25,6,25,31
PAMPA GRANDE,atencion odontologica, restauraciones,2014-07-01,14,20,14,20,34
PAPEL PAMPA,atencion odontologica, restauraciones,2014-07-01,20,50,20,50,70
PASORAPA,atencion odontologica, restauraciones,2014-07-01,23,25,23,25,48
PATACAMAYA,atencion odontologica, restauraciones,2014-07-01,37,56,37,56,93
PAZÑA,atencion odontologica, restauraciones,2014-07-01,11,51,11,51,62
PELECHUCO,atencion odontologica, restauraciones,2014-07-01,19,36,19,36,55
POCOATA,atencion odontologica, restauraciones,2014-07-01,45,106,45,106,151
POCONA,atencion odontologica, restauraciones,2014-07-01,77,79,77,79,156
POJO (CBBA),atencion odontologica, restauraciones,2014-07-01,44,109,44,109,153
POOPO,atencion odontologica, restauraciones,2014-07-01,52,239,52,239,291
PORCO,atencion odontologica, restauraciones,2014-07-01,12,27,12,27,39
POROMA,atencion odontologica, restauraciones,2014-07-01,8,34,8,34,42
PORONGO,atencion odontologica, restauraciones,2014-07-01,4,8,4,8,12
PORTACHUELO,atencion odontologica, restauraciones,2014-07-01,51,63,51,63,114
PORVENIR,atencion odontologica, restauraciones,2014-07-01,9,23,9,23,32
POSTRER VALLE,atencion odontologica, restauraciones,2014-07-01,11,62,11,62,73
POTOSI,atencion odontologica, restauraciones,2014-07-01,844,1741,844,1741,2585
PRESTO,atencion odontologica, restauraciones,2014-07-01,20,47,20,47,67
PUCARA,atencion odontologica, restauraciones,2014-07-01,5,1,5,1,6
PUCARANI,atencion odontologica, restauraciones,2014-07-01,33,65,33,65,98
PUERTO ACOSTA,atencion odontologica, restauraciones,2014-07-01,7,24,7,24,31
PUERTO CARABUCO,atencion odontologica, restauraciones,2014-07-01,44,111,44,111,155
PUERTO GONZALO MORENO,atencion odontologica, restauraciones,2014-07-01,34,54,34,54,88
PUERTO PEREZ,atencion odontologica, restauraciones,2014-07-01,3,3,3,3,6
PUERTO QUIJARRO,atencion odontologica, restauraciones,2014-07-01,21,40,21,40,61
PUERTO RICO,atencion odontologica, restauraciones,2014-07-01,24,32,24,32,56
PUERTO SILES,atencion odontologica, restauraciones,2014-07-01,19,27,19,27,46
PUERTO SUAREZ,atencion odontologica, restauraciones,2014-07-01,6,50,6,50,56
PUERTO VILLARROEL,atencion odontologica, restauraciones,2014-07-01,153,196,153,196,349
PUNA,atencion odontologica, restauraciones,2014-07-01,42,119,42,119,161
PUNATA,atencion odontologica, restauraciones,2014-07-01,63,108,63,108,171
QUIABAYA,atencion odontologica, restauraciones,2014-07-01,8,2,8,2,10
QUILLACOLLO,atencion odontologica, restauraciones,2014-07-01,1210,1611,1210,1611,2821
QUIME,atencion odontologica, restauraciones,2014-07-01,110,147,110,147,257
QUIRUSILLAS,atencion odontologica, restauraciones,2014-07-01,4,3,4,3,7
RAVELO,atencion odontologica, restauraciones,2014-07-01,22,55,22,55,77
REYES,atencion odontologica, restauraciones,2014-07-01,64,58,64,58,122
RIBERALTA,atencion odontologica, restauraciones,2014-07-01,270,353,270,353,623
ROBORE,atencion odontologica, restauraciones,2014-07-01,22,44,22,44,66
RURRENABAQUE,atencion odontologica, restauraciones,2014-07-01,89,151,89,151,240
SABAYA,atencion odontologica, restauraciones,2014-07-01,28,39,28,39,67
SACABA,atencion odontologica, restauraciones,2014-07-01,1064,1439,1064,1439,2503
SACABAMBA,atencion odontologica, restauraciones,2014-07-01,19,12,19,12,31
SACACA,atencion odontologica, restauraciones,2014-07-01,4,19,4,19,23
SAIPINA,atencion odontologica, restauraciones,2014-07-01,13,55,13,55,68
SALINAS DE GARCI MENDOZA,atencion odontologica, restauraciones,2014-07-01,109,125,109,125,234
SAMAIPATA,atencion odontologica, restauraciones,2014-07-01,8,55,8,55,63
SAN AGUSTIN,atencion odontologica, restauraciones,2014-07-01,0,1,0,1,1
SAN ANDRES,atencion odontologica, restauraciones,2014-07-01,15,12,15,12,27
SAN ANDRES DE MACHACA,atencion odontologica, restauraciones,2014-07-01,67,64,67,64,131
SAN ANTONIO DE ESMORUCO,atencion odontologica, restauraciones,2014-07-01,4,10,4,10,14
SAN ANTONIO DE LOMERIO,atencion odontologica, restauraciones,2014-07-01,8,21,8,21,29
SAN BENITO,atencion odontologica, restauraciones,2014-07-01,40,85,40,85,125
SAN BORJA,atencion odontologica, restauraciones,2014-07-01,67,135,67,135,202
SAN BUENA VENTURA,atencion odontologica, restauraciones,2014-07-01,25,7,25,7,32
SAN CARLOS,atencion odontologica, restauraciones,2014-07-01,45,78,45,78,123
SAN IGNACIO,atencion odontologica, restauraciones,2014-07-01,213,310,213,310,523
SAN IGNACIO DE VELASCO,atencion odontologica, restauraciones,2014-07-01,26,72,26,72,98
SAN JAVIER(BNI),atencion odontologica, restauraciones,2014-07-01,10,20,10,20,30
SAN JAVIER(STC),atencion odontologica, restauraciones,2014-07-01,30,31,30,31,61
SAN JOSE DE CHIQUITOS,atencion odontologica, restauraciones,2014-07-01,61,174,61,174,235
SAN JUAN DE YAPACANI,atencion odontologica, restauraciones,2014-07-01,30,59,30,59,89
SAN JULIAN,atencion odontologica, restauraciones,2014-07-01,63,152,63,152,215
SAN LORENZO(PND),atencion odontologica, restauraciones,2014-07-01,1,8,1,8,9
SAN LORENZO(TJA),atencion odontologica, restauraciones,2014-07-01,110,353,110,353,463
SAN LUCAS,atencion odontologica, restauraciones,2014-07-01,62,160,62,160,222
SAN MATIAS,atencion odontologica, restauraciones,2014-07-01,9,14,9,14,23
SAN MIGUEL DE VELASCO,atencion odontologica, restauraciones,2014-07-01,14,33,14,33,47
SAN PABLO DE LIPEZ,atencion odontologica, restauraciones,2014-07-01,1,0,1,0,1
SAN PEDRO,atencion odontologica, restauraciones,2014-07-01,99,223,99,223,322
SAN PEDRO DE BUENA VISTA,atencion odontologica, restauraciones,2014-07-01,15,29,15,29,44
SAN PEDRO DE CURAHUARA,atencion odontologica, restauraciones,2014-07-01,18,34,18,34,52
SAN PEDRO DE QUEMES,atencion odontologica, restauraciones,2014-07-01,0,8,0,8,8
SAN PEDRO DE TIQUINA,atencion odontologica, restauraciones,2014-07-01,6,20,6,20,26
SAN RAFAEL,atencion odontologica, restauraciones,2014-07-01,0,1,0,1,1
SAN RAMON BENI,atencion odontologica, restauraciones,2014-07-01,19,37,19,37,56
SAN RAMON SCZ,atencion odontologica, restauraciones,2014-07-01,35,49,35,49,84
SANTA ANA,atencion odontologica, restauraciones,2014-07-01,67,135,67,135,202
SANTA CRUZ DE LA SIERRA,atencion odontologica, restauraciones,2014-07-01,3505,6438,3505,6438,9943
SANTA ROSA,atencion odontologica, restauraciones,2014-07-01,10,12,10,12,22
SANTA ROSA DEL SARA,atencion odontologica, restauraciones,2014-07-01,26,75,26,75,101
SANTIAGO DE CALLAPA,atencion odontologica, restauraciones,2014-07-01,3,0,3,0,3
SANTIAGO DE HUARI,atencion odontologica, restauraciones,2014-07-01,117,118,117,118,235
SANTIAGO DE HUATA,atencion odontologica, restauraciones,2014-07-01,11,9,11,9,20
SANTIAGO DE MACHACA,atencion odontologica, restauraciones,2014-07-01,5,15,5,15,20
SANTIVAÑES,atencion odontologica, restauraciones,2014-07-01,7,11,7,11,18
SANTUARIO DE QUILLACAS,atencion odontologica, restauraciones,2014-07-01,10,15,10,15,25
SAPAHAQUI,atencion odontologica, restauraciones,2014-07-01,27,42,27,42,69
SENA,atencion odontologica, restauraciones,2014-07-01,2,5,2,5,7
SHINAOTA,atencion odontologica, restauraciones,2014-07-01,33,69,33,69,102
SICA SICA (VILLA AROMA),atencion odontologica, restauraciones,2014-07-01,37,72,37,72,109
SICAYA,atencion odontologica, restauraciones,2014-07-01,3,3,3,3,6
SIPE SIPE,atencion odontologica, restauraciones,2014-07-01,64,120,64,120,184
SOPACHUY,atencion odontologica, restauraciones,2014-07-01,32,143,32,143,175
SORACACHI,atencion odontologica, restauraciones,2014-07-01,42,38,42,38,80
SORATA,atencion odontologica, restauraciones,2014-07-01,51,71,51,71,122
SUCRE,atencion odontologica, restauraciones,2014-07-01,3300,4952,3300,4952,8252
TACACHI,atencion odontologica, restauraciones,2014-07-01,3,6,3,6,9
TACACOMA,atencion odontologica, restauraciones,2014-07-01,38,56,38,56,94
TACOBAMBA,atencion odontologica, restauraciones,2014-07-01,5,9,5,9,14
TACOPAYA,atencion odontologica, restauraciones,2014-07-01,1,20,1,20,21
TAHUA,atencion odontologica, restauraciones,2014-07-01,7,9,7,9,16
TAPACARI,atencion odontologica, restauraciones,2014-07-01,71,118,71,118,189
TARABUCO,atencion odontologica, restauraciones,2014-07-01,21,65,21,65,86
TARACO,atencion odontologica, restauraciones,2014-07-01,48,69,48,69,117
TARATA,atencion odontologica, restauraciones,2014-07-01,63,101,63,101,164
TARIJA,atencion odontologica, restauraciones,2014-07-01,2254,4169,2254,4169,6423
TARVITA,atencion odontologica, restauraciones,2014-07-01,18,55,18,55,73
TEOPONTE,atencion odontologica, restauraciones,2014-07-01,22,44,22,44,66
TIAWANACU,atencion odontologica, restauraciones,2014-07-01,21,41,21,41,62
TINGUIPAYA,atencion odontologica, restauraciones,2014-07-01,4,20,4,20,24
TIPUANI,atencion odontologica, restauraciones,2014-07-01,10,30,10,30,40
TIQUIPAYA,atencion odontologica, restauraciones,2014-07-01,609,1002,609,1002,1611
TIRAQUE (CBBA),atencion odontologica, restauraciones,2014-07-01,18,35,18,35,53
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, restauraciones,2014-07-01,5,4,5,4,9
TOCO,atencion odontologica, restauraciones,2014-07-01,23,42,23,42,65
TOLATA,atencion odontologica, restauraciones,2014-07-01,24,37,24,37,61
TOLEDO,atencion odontologica, restauraciones,2014-07-01,2,3,2,3,5
TOMAVE,atencion odontologica, restauraciones,2014-07-01,16,71,16,71,87
TOMINA,atencion odontologica, restauraciones,2014-07-01,30,58,30,58,88
TORO TORO,atencion odontologica, restauraciones,2014-07-01,50,48,50,48,98
TOTORA(CBBA),atencion odontologica, restauraciones,2014-07-01,37,79,37,79,116
TOTORA(ORR),atencion odontologica, restauraciones,2014-07-01,76,101,76,101,177
TRIGAL,atencion odontologica, restauraciones,2014-07-01,4,23,4,23,27
TRINIDAD,atencion odontologica, restauraciones,2014-07-01,394,637,394,637,1031
TUPIZA,atencion odontologica, restauraciones,2014-07-01,185,352,185,352,537
TURCO,atencion odontologica, restauraciones,2014-07-01,18,30,18,30,48
UMALA,atencion odontologica, restauraciones,2014-07-01,12,16,12,16,28
UNCIA,atencion odontologica, restauraciones,2014-07-01,57,100,57,100,157
URIONDO (A. CONCEPCION),atencion odontologica, restauraciones,2014-07-01,235,429,235,429,664
URUBICHA,atencion odontologica, restauraciones,2014-07-01,13,48,13,48,61
UYUNI,atencion odontologica, restauraciones,2014-07-01,31,49,31,49,80
VACAS,atencion odontologica, restauraciones,2014-07-01,38,64,38,64,102
VALLEGRANDE,atencion odontologica, restauraciones,2014-07-01,84,123,84,123,207
VIACHA,atencion odontologica, restauraciones,2014-07-01,176,295,176,295,471
VILA VILA,atencion odontologica, restauraciones,2014-07-01,5,14,5,14,19
VILLA CHARCAS,atencion odontologica, restauraciones,2014-07-01,10,33,10,33,43
VILLA MONTES,atencion odontologica, restauraciones,2014-07-01,267,502,267,502,769
VILLA NUEVA (LOMA ALTA),atencion odontologica, restauraciones,2014-07-01,3,1,3,1,4
VILLA RIVERO,atencion odontologica, restauraciones,2014-07-01,20,103,20,103,123
VILLA SERRANO,atencion odontologica, restauraciones,2014-07-01,73,88,73,88,161
VILLA TUNARI,atencion odontologica, restauraciones,2014-07-01,151,495,151,495,646
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, restauraciones,2014-07-01,52,62,52,62,114
VILLAZON,atencion odontologica, restauraciones,2014-07-01,148,192,148,192,340
VINTO,atencion odontologica, restauraciones,2014-07-01,120,232,120,232,352
VITICHI,atencion odontologica, restauraciones,2014-07-01,29,78,29,78,107
WALDO BALLIVIAN,atencion odontologica, restauraciones,2014-07-01,5,11,5,11,16
WARNES,atencion odontologica, restauraciones,2014-07-01,93,251,93,251,344
YACO,atencion odontologica, restauraciones,2014-07-01,4,2,4,2,6
YACUIBA,atencion odontologica, restauraciones,2014-07-01,488,918,488,918,1406
YAMPARAEZ,atencion odontologica, restauraciones,2014-07-01,18,46,18,46,64
YANACACHI,atencion odontologica, restauraciones,2014-07-01,19,16,19,16,35
YAPACANI,atencion odontologica, restauraciones,2014-07-01,118,306,118,306,424
YOCALLA,atencion odontologica, restauraciones,2014-07-01,20,44,20,44,64
YOTALA,atencion odontologica, restauraciones,2014-07-01,13,66,13,66,79
YUNCHARA,atencion odontologica, restauraciones,2014-07-01,38,94,38,94,132
ZUDAÑEZ,atencion odontologica, restauraciones,2014-07-01,6,36,6,36,42
ACACIO,atencion odontologica, restauraciones,2014-08-01,9,7,9,7,16
ACHACACHI,atencion odontologica, restauraciones,2014-08-01,142,288,142,288,430
ACHOCALLA,atencion odontologica, restauraciones,2014-08-01,34,34,34,34,68
AIQUILE,atencion odontologica, restauraciones,2014-08-01,55,143,55,143,198
ALALAY,atencion odontologica, restauraciones,2014-08-01,10,13,10,13,23
ALCALA,atencion odontologica, restauraciones,2014-08-01,19,35,19,35,54
ALTO BENI,atencion odontologica, restauraciones,2014-08-01,10,13,10,13,23
ANCORAIMES,atencion odontologica, restauraciones,2014-08-01,2,0,2,0,2
ANDAMARCA,atencion odontologica, restauraciones,2014-08-01,15,27,15,27,42
ANTEQUERA,atencion odontologica, restauraciones,2014-08-01,16,42,16,42,58
ANZALDO,atencion odontologica, restauraciones,2014-08-01,45,68,45,68,113
APOLO,atencion odontologica, restauraciones,2014-08-01,24,38,24,38,62
ARAMPAMPA,atencion odontologica, restauraciones,2014-08-01,21,20,21,20,41
ARANI,atencion odontologica, restauraciones,2014-08-01,20,38,20,38,58
ARBIETO,atencion odontologica, restauraciones,2014-08-01,52,87,52,87,139
ARQUE,atencion odontologica, restauraciones,2014-08-01,28,40,28,40,68
ASCENCION DE GUARAYOS,atencion odontologica, restauraciones,2014-08-01,12,27,12,27,39
ATOCHA,atencion odontologica, restauraciones,2014-08-01,124,160,124,160,284
AUCAPATA,atencion odontologica, restauraciones,2014-08-01,9,22,9,22,31
AYATA,atencion odontologica, restauraciones,2014-08-01,14,15,14,15,29
AYO AYO,atencion odontologica, restauraciones,2014-08-01,21,50,21,50,71
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, restauraciones,2014-08-01,107,124,107,124,231
AZURDUY,atencion odontologica, restauraciones,2014-08-01,8,5,8,5,13
BATALLAS,atencion odontologica, restauraciones,2014-08-01,22,85,22,85,107
BAURES,atencion odontologica, restauraciones,2014-08-01,26,36,26,36,62
BELEN DE ANDAMARCA,atencion odontologica, restauraciones,2014-08-01,10,29,10,29,39
BELEN DE URMIRI,atencion odontologica, restauraciones,2014-08-01,5,10,5,10,15
BELLA FLOR,atencion odontologica, restauraciones,2014-08-01,36,30,36,30,66
BERMEJO,atencion odontologica, restauraciones,2014-08-01,403,466,403,466,869
BETANZOS,atencion odontologica, restauraciones,2014-08-01,18,40,18,40,58
BOLIVAR,atencion odontologica, restauraciones,2014-08-01,19,16,19,16,35
BOLPEBRA,atencion odontologica, restauraciones,2014-08-01,5,6,5,6,11
BOYUIBE,atencion odontologica, restauraciones,2014-08-01,14,20,14,20,34
BUENA VISTA,atencion odontologica, restauraciones,2014-08-01,13,7,13,7,20
CABEZAS,atencion odontologica, restauraciones,2014-08-01,16,49,16,49,65
CAIROMA,atencion odontologica, restauraciones,2014-08-01,52,54,52,54,106
"CAIZA ""D""",atencion odontologica, restauraciones,2014-08-01,20,19,20,19,39
CAJUATA,atencion odontologica, restauraciones,2014-08-01,36,40,36,40,76
CALACOTO,atencion odontologica, restauraciones,2014-08-01,9,9,9,9,18
CALAMARCA,atencion odontologica, restauraciones,2014-08-01,45,82,45,82,127
CAMARGO,atencion odontologica, restauraciones,2014-08-01,46,93,46,93,139
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, restauraciones,2014-08-01,12,35,12,35,47
CAMIRI,atencion odontologica, restauraciones,2014-08-01,107,186,107,186,293
CAPINOTA,atencion odontologica, restauraciones,2014-08-01,84,137,84,137,221
CAQUIAVIRI,atencion odontologica, restauraciones,2014-08-01,29,63,29,63,92
CARACOLLO,atencion odontologica, restauraciones,2014-08-01,49,79,49,79,128
CARANAVI,atencion odontologica, restauraciones,2014-08-01,107,76,107,76,183
CARAPARI,atencion odontologica, restauraciones,2014-08-01,72,175,72,175,247
CARIPUYO,atencion odontologica, restauraciones,2014-08-01,28,32,28,32,60
CARMEN RIVERO TORREZ,atencion odontologica, restauraciones,2014-08-01,6,10,6,10,16
CATACORA,atencion odontologica, restauraciones,2014-08-01,5,20,5,20,25
CHALLAPATA,atencion odontologica, restauraciones,2014-08-01,305,331,305,331,636
CHAQUI,atencion odontologica, restauraciones,2014-08-01,1,6,1,6,7
CHARAGUA,atencion odontologica, restauraciones,2014-08-01,50,78,50,78,128
CHARAÑA,atencion odontologica, restauraciones,2014-08-01,0,2,0,2,2
CHAYANTA,atencion odontologica, restauraciones,2014-08-01,31,43,31,43,74
CHIMORE,atencion odontologica, restauraciones,2014-08-01,50,144,50,144,194
CHIPAYA,atencion odontologica, restauraciones,2014-08-01,8,10,8,10,18
CHOQUE COTA,atencion odontologica, restauraciones,2014-08-01,7,4,7,4,11
CHUA COCANI,atencion odontologica, restauraciones,2014-08-01,6,8,6,8,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, restauraciones,2014-08-01,19,42,19,42,61
CHUMA,atencion odontologica, restauraciones,2014-08-01,31,30,31,30,61
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, restauraciones,2014-08-01,18,34,18,34,52
CKOCHAS,atencion odontologica, restauraciones,2014-08-01,18,30,18,30,48
CLIZA,atencion odontologica, restauraciones,2014-08-01,88,161,88,161,249
COBIJA,atencion odontologica, restauraciones,2014-08-01,276,537,276,537,813
COCAPATA,atencion odontologica, restauraciones,2014-08-01,42,125,42,125,167
COCHABAMBA,atencion odontologica, restauraciones,2014-08-01,3646,5511,3646,5511,9157
COIPASA,atencion odontologica, restauraciones,2014-08-01,16,25,16,25,41
COLCAPIRHUA,atencion odontologica, restauraciones,2014-08-01,114,206,114,206,320
"COLCHA ""K""",atencion odontologica, restauraciones,2014-08-01,13,18,13,18,31
COLLANA,atencion odontologica, restauraciones,2014-08-01,8,8,8,8,16
COLOMI,atencion odontologica, restauraciones,2014-08-01,54,53,54,53,107
COLPA BELGICA,atencion odontologica, restauraciones,2014-08-01,17,15,17,15,32
COLQUECHACA,atencion odontologica, restauraciones,2014-08-01,41,91,41,91,132
COLQUENCHA,atencion odontologica, restauraciones,2014-08-01,43,44,43,44,87
COLQUIRI,atencion odontologica, restauraciones,2014-08-01,41,63,41,63,104
COMANCHE,atencion odontologica, restauraciones,2014-08-01,4,8,4,8,12
COMARAPA,atencion odontologica, restauraciones,2014-08-01,82,114,82,114,196
COMBAYA,atencion odontologica, restauraciones,2014-08-01,3,4,3,4,7
CONCEPCION,atencion odontologica, restauraciones,2014-08-01,12,30,12,30,42
COPACABANA,atencion odontologica, restauraciones,2014-08-01,16,21,16,21,37
CORIPATA,atencion odontologica, restauraciones,2014-08-01,18,18,18,18,36
CORO CORO,atencion odontologica, restauraciones,2014-08-01,3,21,3,21,24
COROICO,atencion odontologica, restauraciones,2014-08-01,37,78,37,78,115
CORQUE,atencion odontologica, restauraciones,2014-08-01,8,39,8,39,47
COTAGAITA,atencion odontologica, restauraciones,2014-08-01,142,243,142,243,385
COTOCA,atencion odontologica, restauraciones,2014-08-01,29,151,29,151,180
CUATRO CAÑADAS,atencion odontologica, restauraciones,2014-08-01,57,120,57,120,177
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, restauraciones,2014-08-01,10,25,10,25,35
CUEVO,atencion odontologica, restauraciones,2014-08-01,8,23,8,23,31
CULPINA,atencion odontologica, restauraciones,2014-08-01,29,54,29,54,83
CURAHUARA DE CARANGAS,atencion odontologica, restauraciones,2014-08-01,35,34,35,34,69
CURVA,atencion odontologica, restauraciones,2014-08-01,26,28,26,28,54
DESAGUADERO,atencion odontologica, restauraciones,2014-08-01,42,39,42,39,81
EL ALTO,atencion odontologica, restauraciones,2014-08-01,3269,5016,3269,5016,8285
EL CHORO,atencion odontologica, restauraciones,2014-08-01,25,32,25,32,57
EL PUENTE(STC),atencion odontologica, restauraciones,2014-08-01,6,8,6,8,14
EL PUENTE(TJA),atencion odontologica, restauraciones,2014-08-01,21,66,21,66,87
EL TORNO,atencion odontologica, restauraciones,2014-08-01,146,264,146,264,410
EL VILLAR,atencion odontologica, restauraciones,2014-08-01,23,26,23,26,49
ENTRE RIOS TRJ,atencion odontologica, restauraciones,2014-08-01,39,149,39,149,188
ENTRE RIOS CBBA,atencion odontologica, restauraciones,2014-08-01,50,127,50,127,177
ESCOMA,atencion odontologica, restauraciones,2014-08-01,11,15,11,15,26
EUCALIPTUS,atencion odontologica, restauraciones,2014-08-01,13,25,13,25,38
FERNANDEZ ALONSO,atencion odontologica, restauraciones,2014-08-01,49,98,49,98,147
FILADELFIA,atencion odontologica, restauraciones,2014-08-01,3,10,3,10,13
GENERAL SAAVEDRA,atencion odontologica, restauraciones,2014-08-01,13,35,13,35,48
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, restauraciones,2014-08-01,71,75,71,75,146
GUANAY,atencion odontologica, restauraciones,2014-08-01,6,14,6,14,20
GUAQUI,atencion odontologica, restauraciones,2014-08-01,19,31,19,31,50
GUAYARAMERIN,atencion odontologica, restauraciones,2014-08-01,484,568,484,568,1052
GUTIERREZ,atencion odontologica, restauraciones,2014-08-01,19,42,19,42,61
HUACARETA,atencion odontologica, restauraciones,2014-08-01,30,65,30,65,95
HUACAYA (VILLA DE HUACAYA),atencion odontologica, restauraciones,2014-08-01,12,15,12,15,27
HUACHACALLA,atencion odontologica, restauraciones,2014-08-01,8,7,8,7,15
HUANUNI,atencion odontologica, restauraciones,2014-08-01,67,114,67,114,181
HUARACAJE,atencion odontologica, restauraciones,2014-08-01,4,9,4,9,13
HUARINA,atencion odontologica, restauraciones,2014-08-01,18,37,18,37,55
HUATAJATA,atencion odontologica, restauraciones,2014-08-01,3,47,3,47,50
HUAYLLAMARCA,atencion odontologica, restauraciones,2014-08-01,81,70,81,70,151
HUMANATA,atencion odontologica, restauraciones,2014-08-01,22,19,22,19,41
ICHOCA,atencion odontologica, restauraciones,2014-08-01,18,51,18,51,69
