,group,variable,month,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,7.0,4.0,7.0,4.0,11.0
ARAMPAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,4.0,2.0,4.0,2.0,6.0
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,6.0,20.0,6.0,20.0,26.0
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,30.0,53.0,30.0,53.0,83.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,39.0,34.0,39.0,34.0,73.0
BELEN DE URMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,1.0,0.0,1.0,1.0
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,120.0,133.0,120.0,133.0,253.0
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,22.0,22.0,22.0,22.0,44.0
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,203.0,106.0,203.0,106.0,309.0
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,0.0,2.0,0.0,2.0
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,659.0,761.0,659.0,761.0,1420.0
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,8.0,0.0,8.0,0.0,8.0
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,3.0,13.0,3.0,13.0,16.0
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,17.0,10.0,17.0,10.0,27.0
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,2.0,0.0,2.0,2.0
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,102.0,119.0,102.0,119.0,221.0
CHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,1.0,2.0,1.0,3.0
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,165.0,140.0,165.0,140.0,305.0
CHAYANTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,3.0,9.0,3.0,9.0,12.0
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,60.0,66.0,60.0,66.0,126.0
CHIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,3.0,0.0,3.0,3.0
CHUMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,7.0,9.0,7.0,9.0,16.0
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,3.0,1.0,3.0,1.0,4.0
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,357.0,446.0,357.0,446.0,803.0
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,155.0,223.0,155.0,223.0,378.0
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,38.0,14.0,38.0,14.0,52.0
COLLANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,13.0,0.0,13.0,13.0
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,4.0,2.0,4.0,6.0
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,197.0,222.0,197.0,222.0,419.0
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,14.0,13.0,14.0,13.0,27.0
COLQUIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,1.0,0.0,1.0,1.0
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,5.0,5.0,5.0,5.0,10.0
CONCEPCION,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,56.0,68.0,56.0,68.0,124.0
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,76.0,103.0,76.0,103.0,179.0
CORQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,50.0,26.0,50.0,26.0,76.0
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,33.0,76.0,33.0,76.0,109.0
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,40.0,41.0,40.0,41.0,81.0
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,12.0,15.0,12.0,15.0,27.0
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,70.0,76.0,70.0,76.0,146.0
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,2.0,0.0,2.0,2.0
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,15.0,12.0,15.0,12.0,27.0
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,231.0,230.0,231.0,230.0,461.0
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,17.0,12.0,17.0,12.0,29.0
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,12.0,16.0,12.0,16.0,28.0
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,237.0,278.0,237.0,278.0,515.0
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,1.0,0.0,1.0,1.0
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,17.0,23.0,17.0,23.0,40.0
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,50.0,18.0,50.0,18.0,68.0
ESCOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,6.0,2.0,6.0,8.0
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,19.0,22.0,19.0,22.0,41.0
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,28.0,19.0,28.0,19.0,47.0
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,4.0,0.0,4.0,0.0,4.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,3.0,0.0,3.0,3.0
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,23.0,17.0,23.0,17.0,40.0
GUAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,59.0,68.0,59.0,68.0,127.0
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,13.0,25.0,13.0,25.0,38.0
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,0.0,2.0,0.0,2.0
HUACARETA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,2.0,0.0,2.0,2.0
HUANUNI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,8.0,23.0,8.0,23.0,31.0
HUARACAJE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,15.0,20.0,15.0,20.0,35.0
HUATAJATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,12.0,13.0,12.0,13.0,25.0
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,5.0,2.0,5.0,7.0
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,23.0,29.0,23.0,29.0,52.0
INQUISIVI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,2.0,0.0,2.0,2.0
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,9.0,18.0,9.0,18.0,27.0
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,102.0,101.0,102.0,101.0,203.0
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,1076.0,827.0,1076.0,827.0,1903.0
LAS CARRERAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,7.0,2.0,7.0,9.0
LLALLAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,36.0,44.0,36.0,44.0,80.0
LURIBAY,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,3.0,2.0,3.0,5.0
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,17.0,36.0,17.0,36.0,53.0
MAGDALENA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,46.0,0.0,46.0,46.0
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,21.0,22.0,21.0,22.0,43.0
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,1.0,0.0,1.0,1.0
MINEROS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,3.0,0.0,3.0,3.0
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,7.0,0.0,7.0,0.0,7.0
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,3.0,1.0,3.0,1.0,4.0
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,76.0,73.0,76.0,73.0,149.0
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,1.0,4.0,1.0,4.0,5.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,29.0,37.0,29.0,37.0,66.0
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,135.0,142.0,135.0,142.0,277.0
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,110.0,64.0,110.0,64.0,174.0
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,7.0,24.0,7.0,24.0,31.0
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,0.0,2.0,0.0,2.0
PASORAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,1.0,13.0,1.0,13.0,14.0
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,6.0,12.0,6.0,12.0,18.0
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,47.0,28.0,47.0,28.0,75.0
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,59.0,56.0,59.0,56.0,115.0
POOPO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,1.0,3.0,1.0,3.0,4.0
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,164.0,193.0,164.0,193.0,357.0
PORTACHUELO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,8.0,6.0,8.0,6.0,14.0
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,71.0,63.0,71.0,63.0,134.0
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,6.0,0.0,6.0,6.0
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,12.0,22.0,12.0,22.0,34.0
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,17.0,22.0,17.0,22.0,39.0
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,3.0,4.0,3.0,4.0,7.0
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,4.0,0.0,4.0,4.0
PUERTO CARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,4.0,7.0,4.0,7.0,11.0
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,22.0,21.0,22.0,21.0,43.0
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,16.0,22.0,16.0,22.0,38.0
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,5.0,6.0,5.0,6.0,11.0
PUNA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,7.0,4.0,7.0,4.0,11.0
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,1.0,2.0,1.0,3.0
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,17.0,17.0,17.0,17.0,34.0
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,6.0,9.0,6.0,9.0,15.0
QUIME,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,24.0,23.0,24.0,23.0,47.0
RAVELO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,7.0,17.0,7.0,17.0,24.0
REYES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,42.0,35.0,42.0,35.0,77.0
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,151.0,129.0,151.0,129.0,280.0
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,7.0,9.0,7.0,9.0,16.0
SABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,11.0,12.0,11.0,12.0,23.0
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,1.0,2.0,1.0,2.0,3.0
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,19.0,47.0,19.0,47.0,66.0
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,21.0,31.0,21.0,31.0,52.0
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,55.0,59.0,55.0,59.0,114.0
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,27.0,38.0,27.0,38.0,65.0
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,12.0,0.0,12.0,12.0
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,7.0,0.0,7.0,7.0
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,75.0,63.0,75.0,63.0,138.0
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,115.0,111.0,115.0,111.0,226.0
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,18.0,112.0,18.0,112.0,130.0
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,834.0,758.0,834.0,758.0,1592.0
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,62.0,87.0,62.0,87.0,149.0
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,945.0,989.0,945.0,989.0,1934.0
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,528.0,495.0,528.0,495.0,1023.0
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,8.0,8.0,8.0,8.0,16.0
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,18.0,76.0,18.0,76.0,94.0
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,147.0,157.0,147.0,157.0,304.0
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,10.0,8.0,10.0,8.0,18.0
SAN PEDRO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,3.0,0.0,3.0,3.0
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,1.0,0.0,1.0,1.0
SAN RAFAEL,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,15.0,19.0,15.0,19.0,34.0
SAN RAMON SCZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,29.0,31.0,29.0,31.0,60.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2344.0,2430.0,2344.0,2430.0,4774.0
SANTA ROSA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,14.0,16.0,14.0,16.0,30.0
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,77.0,67.0,77.0,67.0,144.0
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,73.0,79.0,73.0,79.0,152.0
SHINAOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,9.0,2.0,9.0,11.0
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,102.0,100.0,102.0,100.0,202.0
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,61.0,44.0,61.0,44.0,105.0
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,141.0,207.0,141.0,207.0,348.0
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,86.0,133.0,86.0,133.0,219.0
TACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,1.0,0.0,1.0,0.0,1.0
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,10.0,5.0,10.0,5.0,15.0
TAHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,3.0,4.0,3.0,4.0,7.0
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,8.0,11.0,8.0,11.0,19.0
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,22.0,9.0,22.0,9.0,31.0
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,445.0,383.0,445.0,383.0,828.0
TARVITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,5.0,9.0,5.0,9.0,14.0
TINGUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,7.0,0.0,7.0,7.0
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,361.0,405.0,361.0,405.0,766.0
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,1.0,0.0,1.0,0.0,1.0
TOLATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,14.0,8.0,14.0,8.0,22.0
TOLEDO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,14.0,10.0,14.0,10.0,24.0
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,24.0,8.0,24.0,8.0,32.0
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,282.0,224.0,282.0,224.0,506.0
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,9.0,2.0,9.0,11.0
TRIGAL,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,10.0,0.0,10.0,0.0,10.0
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,79.0,93.0,79.0,93.0,172.0
TUPIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,1.0,0.0,1.0,1.0
UNCIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,13.0,20.0,13.0,20.0,33.0
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,5.0,12.0,5.0,12.0,17.0
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,24.0,3.0,24.0,3.0,27.0
VALLEGRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,63.0,61.0,63.0,61.0,124.0
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,24.0,23.0,24.0,23.0,47.0
VILA VILA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,0.0,1.0,0.0,1.0,1.0
VILLA CHARCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,5.0,5.0,5.0,5.0,10.0
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,2.0,4.0,2.0,4.0,6.0
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,38.0,59.0,38.0,59.0,97.0
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,52.0,58.0,52.0,58.0,110.0
VINTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,36.0,34.0,36.0,34.0,70.0
VITICHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,16.0,19.0,16.0,19.0,35.0
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,7.0,4.0,7.0,4.0,11.0
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,59.0,90.0,59.0,90.0,149.0
YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,29.0,34.0,29.0,34.0,63.0
YOTALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,66.0,31.0,66.0,31.0,97.0
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,26.0,20.0,26.0,20.0,46.0
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,98.0,113.0,98.0,113.0,211.0
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,4.0,2.0,4.0,2.0,6.0
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,65.0,68.0,65.0,68.0,133.0
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,33.0,34.0,33.0,34.0,67.0
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,8.0,7.0,8.0,7.0,15.0
ARAMPAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,17.0,27.0,17.0,27.0,44.0
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,38.0,31.0,38.0,31.0,69.0
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,163.0,163.0,163.0,163.0,326.0
AUCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,4.0,0.0,4.0,4.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,38.0,26.0,38.0,26.0,64.0
AZURDUY,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,32.0,46.0,32.0,46.0,78.0
BELEN DE URMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,2.0,0.0,2.0,2.0
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,36.0,58.0,36.0,58.0,94.0
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,22.0,18.0,22.0,18.0,40.0
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,15.0,12.0,15.0,12.0,27.0
BUENA VISTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,30.0,35.0,30.0,35.0,65.0
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,269.0,258.0,269.0,258.0,527.0
CAJUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,15.0,17.0,15.0,17.0,32.0
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,1060.0,1035.0,1060.0,1035.0,2095.0
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,18.0,11.0,18.0,11.0,29.0
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,272.0,282.0,272.0,282.0,554.0
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,14.0,0.0,14.0,0.0,14.0
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,2.0,0.0,2.0,2.0
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,10.0,14.0,10.0,14.0,24.0
CHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,3.0,0.0,3.0,0.0,3.0
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,52.0,56.0,52.0,56.0,108.0
CHAYANTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,1.0,1.0,1.0,1.0,2.0
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,45.0,47.0,45.0,47.0,92.0
CHIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,2.0,0.0,2.0,2.0
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,56.0,77.0,56.0,77.0,133.0
CKOCHAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,1.0,0.0,1.0,0.0,1.0
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,245.0,229.0,245.0,229.0,474.0
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,94.0,119.0,94.0,119.0,213.0
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,9.0,13.0,9.0,13.0,22.0
"COLCHA ""K""",atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,5.0,9.0,5.0,9.0,14.0
COLLANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,6.0,5.0,6.0,5.0,11.0
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,54.0,56.0,54.0,56.0,110.0
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,46.0,61.0,46.0,61.0,107.0
COLQUIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,56.0,100.0,56.0,100.0,156.0
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,31.0,30.0,31.0,30.0,61.0
CONCEPCION,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,5.0,242.0,5.0,242.0,247.0
CORQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,10.0,8.0,10.0,8.0,18.0
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,32.0,53.0,32.0,53.0,85.0
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,37.0,37.0,37.0,37.0,74.0
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,4.0,3.0,4.0,3.0,7.0
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,9.0,25.0,9.0,25.0,34.0
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,12.0,20.0,12.0,20.0,32.0
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,300.0,315.0,300.0,315.0,615.0
EL CHORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,1.0,0.0,1.0,0.0,1.0
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,82.0,66.0,82.0,66.0,148.0
