,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,2,2,2,4
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
VILLA CHARCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,1,1,1,2
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,3,3,3,3,6
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,1,1,1,2
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,4,4,4,4,8
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,1,2,1,3
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,1,1,1,2
BETANZOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,2,1,2,1,3
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,1,1,1,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,5,8,5,8,13
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,5,5,5,5,10
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,2,0,2,2
EUCALIPTUS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,2,1,2,3
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
LORETO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,2,0,2,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,3,3,3,3,6
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,4,1,4,5
PAMPA GRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
PORCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
PORTACHUELO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,2,0,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,2,3,2,3,5
PUNA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,15,6,15,6,21
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,3,0,3,0,3
TARABUCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
TARATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,3,0,3,3
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,3,5,3,5,8
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,1,2,1,2,3
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,2,0,2,0,2
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,3,0,3,0,3
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-12-01,3,1,3,1,4
