,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,3,1,3,1,4
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,2,0,2,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,1,2,1,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,1,2,1,3
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,3,9,3,9,12
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,3,5,3,5,8
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,0,2,0,2
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,4,0,4,0,4
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,0,3,0,3
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,1,2,1,3
BELLA FLOR,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,0,2,0,2
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,2,0,2,2
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,8,7,8,7,15
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,0,3,0,3
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,2,3,2,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,19,4,19,4,23
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,1,2,1,3
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,0,2,0,2
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,0,2,0,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,1,2,1,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,2,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
DESAGUADERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,30,15,30,15,45
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,4,1,4,1,5
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,2,0,2,2
FILADELFIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,1,2,1,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,3,0,3,3
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
HUMANATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,4,1,4,1,5
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,41,40,41,40,81
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,0,2,0,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,2,0,2,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,9,3,9,3,12
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,6,6,6,6,12
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,4,3,4,3,7
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,20,2,20,2,22
PUERTO CARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,0,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,5,3,5,3,8
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,1,2,1,3
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,4,1,4,1,5
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,5,1,5,1,6
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,2,3,2,5
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,1,3,1,4
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,0,3,0,3
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
SAN RAFAEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,76,48,76,48,124
SANTIAGO DE HUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,2,0,2,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,1,2,1,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,14,5,14,5,19
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,2,4,2,4,6
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,0,3,0,3
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,3,1,3,4
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,8,4,8,4,12
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,3,1,3,1,4
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,6,0,6,0,6
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,1,1,1,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,4,1,4,5
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,5,1,5,1,6
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,6,4,6,4,10
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-06-01,5,3,5,3,8
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,2,1,2,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,1,1,1,2
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
AYO AYO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,10,2,10,2,12
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
CARIPUYO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,2,1,2,3
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,4,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,1,1,1,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,5,2,5,2,7
COCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,23,8,23,8,31
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,3,3,3,3,6
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,3,0,3,0,3
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,4,2,4,2,6
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,1,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,1,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,46,21,46,21,67
EL CHORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,6,3,6,3,9
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,2,0,2,2
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,1,1,1,2
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,2,0,2,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,3,2,3,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,27,17,27,17,44
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,3,0,3,3
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,2,0,2,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,2,0,2,2
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,2,0,2,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,6,3,6,3,9
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,10,6,10,6,16
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,2,0,2,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,1,1,1,2
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,1,2,1,3
POOPO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,8,4,8,4,12
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,5,5,5,5,10
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,6,5,6,5,11
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,3,6,3,6,9
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,6,3,6,3,9
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,1,1,1,2
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,2,2,2,4
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,69,45,69,45,114
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
SANTIVAÑES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,4,2,4,2,6
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,2,2,2,4
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,3,0,3,0,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,7,8,7,8,15
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,1,1,1,2
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,10,5,10,5,15
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,4,2,4,2,6
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,6,3,6,3,9
TOMINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,2,0,2,0,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,8,3,8,3,11
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,1,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,0,3,0,3,3
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,8,4,8,4,12
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,7,1,7,1,8
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-07-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,4,1,4,5
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,3,2,3,2,5
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,2,0,2,2
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,4,0,4,0,4
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,5,0,5,0,5
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,16,3,16,3,19
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,1,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,9,7,9,7,16
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,3,1,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,4,4,4,4,8
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,21,3,21,3,24
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,1,1,1,2
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,2,2,2,4
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
CUEVO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,35,19,35,19,54
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,2,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
FILADELFIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
