,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,1,2,1,3
BELLA FLOR,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
CALAMARCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,2,0,2,2
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,7,5,7,5,12
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
CKOCHAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
CLIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,1,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,15,2,15,2,17
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
COMARAPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,2,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
DESAGUADERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,15,9,15,9,24
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,7,2,7,2,9
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,2,0,2,2
FILADELFIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,1,2,1,3
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,2,0,2,2
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
HUMANATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,4,1,4,1,5
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,3,2,3,5
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,20,20,20,20,40
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,2,2,2,4
MACHARETI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
MAIRANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,1,1,1,2
MOCOMOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
MOJOCOYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,9,4,9,4,13
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,3,1,3,4
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,4,3,4,3,7
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
POCOATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
POCONA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
PORONGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,16,1,16,1,17
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,3,2,3,2,5
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,4,3,4,3,7
PUNA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
QUIABAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,3,1,3,1,4
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,3,1,3,1,4
SACACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,2,2,2,4
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,4,2,4,2,6
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,4,0,4,0,4
SAN MATIAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
SAN RAFAEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,48,32,48,32,80
SANTIAGO DE HUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
SENA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,2,0,2,2
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
SOPACHUY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,10,4,10,4,14
TACACOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,4,2,4,6
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,3,0,3,0,3
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
TOLATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
TORO TORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,8,5,8,5,13
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,0,1,0,1,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,6,0,6,0,6
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,1,1,1,2
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,2,1,2,3
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,5,1,5,1,6
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,6,5,6,5,11
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,4,3,4,3,7
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
APOLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,2,1,2,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,1,1,1,2
AUCAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
AYO AYO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
CAIROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,9,2,9,2,11
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,2,1,2,3
CHAYANTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,4,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
CLIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,3,3,3,3,6
COCAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,16,3,16,3,19
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,2,2,2,4
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,3,0,3,0,3
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,4,2,4,2,6
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,1,2,1,3
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,26,13,26,13,39
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,6,2,6,2,8
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,2,0,2,2
ESCOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
GUAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
HUARINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
JESUS DE MACHACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,2,2,2,4
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,7,9,7,9,16
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,3,1,3,4
LORETO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
LURIBAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,2,0,2,2
MOCOMOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,6,2,6,2,8
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,3,2,3,2,5
PADILLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,2,0,2,2
PALCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,1,1,1,2
POCOATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
POOPO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,4,5,4,5,9
PUERTO RICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,4,5,4,5,9
PUNA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,3,0,3,0,3
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,4,3,4,3,7
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,5,2,5,7
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,4,2,4,2,6
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
SAN BUENA VENTURA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
SAN JAVIER(BNI),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,1,2,1,3
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,42,23,42,23,65
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
SANTIVAÑES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,3,2,3,2,5
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,3,1,3,1,4
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,6,5,6,5,11
TACACOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,5,2,5,2,7
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,4,1,4,1,5
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,6,2,6,2,8
TOMINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
TORO TORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,2,0,2,0,2
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,7,4,7,4,11
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,1,0,1,1
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,0,2,0,2,2
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,3,0,3,0,3
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,6,2,6,2,8
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,7,1,7,1,8
ZUDAÑEZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-07-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,3,1,3,4
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,2,3,2,5
APOLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,2,0,2,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,4,0,4,0,4
ATOCHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
AYATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,5,4,5,4,9
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
CAIROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,7,5,7,5,12
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,1,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,3,3,3,6
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,12,3,12,3,15
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
COLPA BELGICA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
COMARAPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,2,2,2,4
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,2,0,2,2
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,26,11,26,11,37
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,2,3,2,5
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
FILADELFIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
HUARINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
INQUISIVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,5,2,5,2,7
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,29,13,29,13,42
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,1,2,1,3
LURIBAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,4,5,4,5,9
OMEREQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,2,3,2,5
PADCAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
POROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
PORVENIR,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,5,0,5,0,5
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
