,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES,TOTALES,TOTALES
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,9,4,9,4,13
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
CKOCHAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,12,7,12,7,19
COLQUECHACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,2,0,2,2
CORO CORO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,2,0,2,2
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,16,7,16,7,23
EL PUENTE(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,4,5,4,5,9
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,3,1,3,4
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,1,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
ICLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,3,1,3,1,4
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,5,3,5,3,8
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,7,4,7,4,11
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,6,2,6,2,8
PADCAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,1,2,1,3
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
PUERTO RICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,2,2,2,4
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,2,1,2,3
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,3,2,3,5
SACACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
SAN ANDRES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,1,2,1,3
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,2,0,2,2
SAN JAVIER(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,1,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,25,24,25,24,49
SAPAHAQUI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
SENA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,4,4,4,4,8
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,1,2,1,3
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,2,1,2,3
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,4,1,4,1,5
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,1,1,1,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,2,1,2,3
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,1,1,1,2
VITICHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,3,3,3,3,6
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,1,2,1,3
BAURES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,4,3,4,3,7
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,0,2,0,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,5,1,5,1,6
CHALLAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,2,2,2,4
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,1,1,1,2
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,8,3,8,3,11
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,10,11,10,11,21
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,2,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,5,6,5,6,11
EUREKA (SANTOS MERCADO),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,0,2,0,2
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,3,2,3,2,5
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,3,3,3,3,6
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,15,5,15,5,20
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
MACHARETI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,12,2,12,2,14
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,0,2,0,2
POOPO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,3,1,3,1,4
PUERTO CARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
PUERTO RICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,0,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,4,0,4,0,4
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,1,2,1,3
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,1,1,1,2
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,4,3,4,3,7
SAIPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,1,1,1,2
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,1,1,1,2
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,1,1,1,2
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,48,21,48,21,69
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,1,1,1,2
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,9,7,9,7,16
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,2,2,2,2,4
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,4,1,4,1,5
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,1,2,1,2,3
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,0,1,0,1,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,4,1,4,1,5
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,4,4,4,4,8
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-10-01,4,3,4,3,7
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,2,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,1,2,1,3
BOYUIBE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,2,1,2,3
CHAYANTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,2,2,2,4
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,5,3,5,3,8
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,1,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,7,6,7,6,13
EL CHORO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
EL PUENTE(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,1,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,1,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,1,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,2,1,2,3
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,3,2,3,2,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,7,4,7,4,11
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,0,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,0,2,0,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,1,2,1,3
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,4,0,4,0,4
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,3,0,3,0,3
PATACAMAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,1,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,3,1,3,4
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,2,1,2,3
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,4,2,4,6
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,2,0,2,2
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,39,19,39,19,58
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,3,1,3,4
TACACOMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,2,2,2,4
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,2,1,2,3
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
TOCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
TOMINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,0,2,0,2
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,4,5,4,5,9
YAMPARAEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,0,2,0,2,2
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,3,0,3,0,3
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-11-01,2,0,2,0,2
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,7,3,7,3,10
CKOCHAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,0,2,0,2
CLIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,10,3,10,3,13
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,1,2,1,3
COMARAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,3,2,3,2,5
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,7,0,7,0,7
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,2,2,2,4
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,14,3,14,3,17
EL PUENTE(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,1,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,1,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
HUMANATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
INCAHUASI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,5,4,5,4,9
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,4,0,4,0,4
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,5,3,5,3,8
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,2,2,2,4
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,7,5,7,5,12
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,5,1,5,1,6
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,3,2,3,5
PATACAMAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,3,0,3,3
POCONA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,0,2,0,2
PORTACHUELO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,5,2,5,2,7
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,5,4,5,4,9
PUNA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,0,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,3,0,3,0,3
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,3,2,3,2,5
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,1,2,1,3
SANTA ANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,27,12,27,12,39
SAPAHAQUI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,4,0,4,4
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,9,3,9,3,12
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,3,0,3,3
TARVITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
TOMINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,2,2,2,4
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,1,2,1,3
VILLA SERRANO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,1,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,0,2,0,2
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,2,0,2,0,2
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,1,1,1,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,3,1,3,4
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,6,1,6,7
YOCALLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,1,0,1,0,1
ZUDAÑEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-12-01,0,1,0,1,1
