,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES,TOTALES,TOTALES
QUIABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,1,4,1,5
QUILLACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,21,22,21,22,43
QUIME,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,5,1,5,1,6
QUIRUSILLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,0,1,0,1
RAVELO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,2,4,2,6
REYES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,4,4,4,8
RIBERALTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,41,37,41,37,78
ROBORE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,6,6,6,6,12
RURRENABAQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,9,2,9,2,11
SABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,40,46,40,46,86
SACABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,0,1,0,1
SACACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,2,4,2,6
SAIPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,4,2,4,6
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,4,1,4,5
SAMAIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,2,2,2,4
SAN ANDRES DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,3,2,3,5
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,0,1,0,1,1
SAN BENITO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,3,2,3,2,5
SAN BORJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,22,11,22,11,33
SAN BUENA VENTURA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,7,2,7,2,9
SAN CARLOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,12,8,12,8,20
SAN IGNACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,7,4,7,4,11
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,11,11,11,11,22
SAN JAVIER(BNI),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,1,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,4,2,4,6
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,6,9,6,9,15
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,2,2,2,4
SAN JULIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,16,25,16,25,41
SAN LORENZO(PND),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,2,1,2,3
SAN LORENZO(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,8,7,8,7,15
SAN LUCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,8,19,8,19,27
SAN MATIAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,7,2,7,2,9
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,3,5,3,5,8
SAN PEDRO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,8,11,8,11,19
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,5,9,5,9,14
SAN RAFAEL,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,1,2,1,3
SAN RAMON SCZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,5,4,5,4,9
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,466,264,466,264,730
SANTA ROSA DEL SARA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,7,6,7,6,13
SANTIAGO DE HUARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,0,2,0,2,2
SANTIAGO DE HUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,0,1,0,1,1
SANTIAGO DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,1,4,1,5
SANTIVAÑES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,3,4,3,4,7
SAPAHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,5,5,5,5,10
SHINAOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,15,8,15,8,23
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,0,2,0,2,2
SICAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,0,1,0,1,1
SIPE SIPE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,8,9,8,9,17
SOPACHUY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,6,4,6,10
SORACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,2,2,2,4
SORATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,23,13,23,13,36
SUCRE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,112,106,112,106,218
TACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,0,2,0,2,2
TACACOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,7,5,7,5,12
TACOBAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,0,2,0,2
TACOPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,2,1,2,3
TAPACARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,8,4,8,12
TARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,8,6,8,6,14
TARACO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,78,96,78,96,174
TARVITA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,7,15,7,15,22
TEOPONTE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,5,4,5,9
TIAWANACU,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,8,4,8,4,12
TINGUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,8,4,8,4,12
TIPUANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,22,4,22,4,26
TIQUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,24,25,24,25,49
TIRAQUE (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,3,2,3,2,5
TOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,0,2,0,2,2
TOLATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,3,2,3,2,5
TOMAVE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,0,1,0,1
TOMINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,7,17,7,17,24
TORO TORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,3,1,3,4
TOTORA(CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,4,1,4,5
TOTORA(ORR),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,2,1,2,3
TRINIDAD,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,17,21,17,21,38
TUPIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,9,10,9,10,19
TURCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,3,0,3,0,3
UNCIA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,4,4,4,8
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,3,1,3,4
URUBICHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,1,1,1,2
UYUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,0,1,0,1
VACAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,5,6,5,6,11
VALLEGRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,3,2,3,5
VIACHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,14,16,14,16,30
VILLA CHARCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,5,2,5,2,7
VILLA MONTES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,10,15,10,15,25
VILLA RIVERO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,3,1,3,4
VILLA SERRANO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,6,12,6,12,18
VILLA TUNARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,49,33,49,33,82
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,5,6,5,6,11
VILLAZON,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,7,7,7,7,14
VINTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,11,8,11,8,19
VITICHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,2,3,2,3,5
WALDO BALLIVIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,0,1,0,1
WARNES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,20,10,20,10,30
YACO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,86,81,86,81,167
YAMPARAEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,7,1,7,8
YANACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,3,6,3,6,9
YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,40,32,40,32,72
YOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,4,1,4,1,5
YUNCHARA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,3,2,3,2,5
ZUDAÑEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-07-01,1,6,1,6,7
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,0,2,0,2
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,21,19,21,19,40
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,0,4,0,4
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,6,4,6,10
ALALAY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,3,0,3,3
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,1,0,1,1
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,13,5,13,5,18
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,1,3,1,4
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,3,1,3,4
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,1,2,1,3
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,6,5,6,11
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,4,3,4,7
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,6,4,6,10
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,17,8,17,8,25
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,32,1,32,1,33
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,1,1,1,2
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,3,5,3,8
AYO AYO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,10,5,10,5,15
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,26,20,26,20,46
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,2,6,2,8
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,0,2,0,2
BELEN DE URMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,0,4,0,4
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,33,27,33,27,60
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,13,15,13,15,28
BOLIVAR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,2,1,2,3
BOLPEBRA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,2,0,2,2
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,0,3,0,3
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,11,5,11,5,16
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,15,4,15,19
CAIROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,1,3,1,4
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,3,0,3,3
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,2,2,2,4
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,1,0,1,1
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,1,0,1,1
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,3,4,3,7
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,3,1,3,4
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,16,6,16,22
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,9,14,9,14,23
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,9,9,9,9,18
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,55,40,55,40,95
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,4,5,4,9
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,2,3,2,5
CATACORA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,14,13,14,13,27
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,1,1,1,2
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,12,11,12,11,23
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,4,4,4,8
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,7,4,7,11
CHOQUE COTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,14,12,14,12,26
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,3,6,3,9
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,3,4,3,7
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,0,5,0,5
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,11,4,11,15
COBIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,34,23,34,23,57
COCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,1,1,1,2
COCHABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,132,99,132,99,231
COLCAPIRHUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,14,12,14,12,26
"COLCHA ""K""",tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,0,3,0,3
COLLANA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,1,1,1,2
COLOMI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,1,5,1,6
COLPA BELGICA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,5,4,5,9
COLQUECHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,8,10,8,10,18
COLQUENCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,1,1,1,2
COLQUIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,10,6,10,6,16
COMANCHE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
COMARAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,9,9,9,9,18
COMBAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,2,0,2,2
CONCEPCION,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,1,0,1,1
COPACABANA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,0,2,0,2
CORIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,17,8,17,8,25
CORO CORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,1,2,1,3
COROICO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,16,15,16,15,31
CORQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,3,0,3,3
COTAGAITA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,8,5,8,13
COTOCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,12,17,12,17,29
CUATRO CAÑADAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,14,13,14,13,27
CUEVO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,5,3,5,8
CULPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,9,8,9,8,17
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,1,2,1,3
EL ALTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,263,281,263,281,544
EL PUENTE(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,7,4,7,11
EL PUENTE(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,7,8,7,8,15
EL TORNO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,47,53,47,53,100
EL VILLAR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,2,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,12,13,12,13,25
ENTRE RIOS CBBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,12,23,12,23,35
ESCOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,2,3,2,5
EUCALIPTUS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,4,1,4,5
EXALTACION,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,1,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,14,8,14,8,22
GENERAL SAAVEDRA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,13,5,13,5,18
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,5,5,5,10
GUANAY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,3,4,3,7
GUAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,1,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,12,20,12,20,32
GUTIERREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,9,6,9,15
HUACARETA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,7,2,7,9
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,4,2,4,6
HUANUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,8,5,8,5,13
HUARINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,1,2,1,3
HUAYLLAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,4,5,4,9
HUMANATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
ICHOCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
ICLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,6,6,6,12
INCAHUASI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,12,4,12,4,16
INQUISIVI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,6,3,6,9
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,7,5,7,12
JESUS DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,2,5,2,7
LA ASUNTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,31,23,31,23,54
LA GUARDIA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,29,35,29,35,64
LA PAZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,360,302,360,302,662
LAGUNILLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,3,4,3,7
LAJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,2,1,2,3
LAS CARRERAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,4,1,4,5
LLALLAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,23,10,23,10,33
LLICA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
LORETO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
LURIBAY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,2,2,2,4
MACHACAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,0,4,0,4
MACHARETI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,5,6,5,11
MAGDALENA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,7,5,7,5,12
MAIRANA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,3,4,3,7
MAPIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,17,11,17,11,28
MECAPACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,1,4,1,5
MINEROS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,3,4,3,7
MIZQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,14,5,14,5,19
MOCOMOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,4,1,4,5
MOJINETE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,0,2,0,2
MOJOCOYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,4,3,4,7
MONTEAGUDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,21,23,21,23,44
MONTERO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,71,81,71,81,152
MORO MORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,1,0,1,1
MOROCHATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,3,1,3,4
OCURI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,3,3,3,6
OMEREQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,2,1,2,3
ORURO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,125,99,125,99,224
PADCAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,7,19,7,19,26
PADILLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,7,19,7,19,26
PAILON,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,16,22,16,22,38
PALCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,3,4,3,4,7
PALOS BLANCOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,26,16,26,16,42
PAMPA AULLAGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
PAMPA GRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,4,1,4,5
PAPEL PAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
PATACAMAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,10,1,10,1,11
PAZÑA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
PELECHUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
POCOATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,1,6,1,7
POCONA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,4,2,4,6
POJO (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,6,1,6,7
POOPO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,2,4,2,6
PORCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,1,4,1,5
POROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,8,2,8,2,10
PORONGO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,10,9,10,9,19
PORTACHUELO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,5,5,5,5,10
PORVENIR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,8,4,8,4,12
POSTRER VALLE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,5,2,5,7
POTOSI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,56,14,56,14,70
PRESTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,8,1,8,9
PUCARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,7,4,7,4,11
PUERTO ACOSTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,1,0,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,2,6,2,8
PUERTO GONZALO MORENO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,4,4,4,8
PUERTO PEREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,2,0,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,0,3,0,3,3
PUERTO RICO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,6,5,6,5,11
PUERTO SUAREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-08-01,4,2,4,2,6
