municipality,group,variable,month,Pentavalentes 1ra dosis -DENTRO,TOTAL DENTRO,Pentavalentes 1ra dosis -FUERA,TOTAL FUERA
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,150,150,57,57
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,8,8,5,5
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,6,6,30,30
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,2,2,11,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,6,6,8,8
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,15,15,3,3
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,12,12,20,20
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,1,1,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,4,4,3,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,7,7,2,2
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,12,12,4,4
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,95,95,63,63
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,23,23
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,42,42,3,3
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,29,29,60,60
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,113,113,28,28
SAN JAVIER(BNI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,3,3,1,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,30,30,7,7
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,40,40,6,6
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,24,24,8,8
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,67,67,43,43
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,3,3
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,24,24,3,3
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,42,42,62,62
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,22,22,7,7
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,26,26,6,6
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,1,1,0,0
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,52,52,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,12,12,57,57
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,4,4,3,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,3,3
SAN PEDRO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,4,4,4,4
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,6,6,15,15
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,15,15,1,1
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,26,26,6,6
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,2330,2330,160,160
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,20,20,11,11
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,28,28,9,9
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,9,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,5,5
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,1,1,4,4
SANTIVAÑES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,6,6,4,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,1,1
SAPAHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,8,8,16,16
SENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,3,3,9,9
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,7,7,50,50
SICAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,4,4,8,8
SIPE SIPE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,29,29,14,14
SOPACHUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,8,8
SORACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,20,20
SORATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,7,7,19,19
SUCRE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,420,420,67,67
TACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,1,1,0,0
TACACOMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,2,2
TACOBAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,1,1,19,19
TACOPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,23,23,5,5
TAHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,3,3
TAPACARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,30,30,47,47
TARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,17,17,25,25
TARACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,3,3
TARATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,9,9,4,4
TARIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,241,241,5,5
TARVITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,22,22,20,20
TEOPONTE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,3,3,25,25
TIAWANACU,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,2,2,5,5
TINGUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,4,4,34,34
TIPUANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,12,12,8,8
TIQUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,59,59,16,16
TIRAQUE (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,79,79,22,22
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,2,2
TOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,5,5
TOLATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,6,6,2,2
TOLEDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,4,4,3,3
TOMAVE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,2,2,11,11
TOMINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,10,10,7,7
TORO TORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,12,12,25,25
TOTORA(CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,33,33,19,19
TOTORA(ORR),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,5,5,6,6
TRIGAL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,2,2
TRINIDAD,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,189,189,10,10
TUPIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,45,45,26,26
TURCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,3,3,0,0
UMALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,8,8
UNCIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,2,2,37,37
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,7,7,10,10
URUBICHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,20,20,0,0
UYUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,18,18,26,26
VACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,13,13,15,15
VALLEGRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,20,20,5,5
VIACHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,41,41,43,43
VILA VILA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,3,3,6,6
VILLA MONTES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,43,43,20,20
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,5,5
VILLA RIVERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,4,4,1,1
VILLA SERRANO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,13,13,7,7
VILLA TUNARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,105,105,51,51
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,9,9,16,16
VILLAZON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,49,49,15,15
VINTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,53,53,13,13
VITICHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,4,4,13,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,3,3
WARNES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,100,100,34,34
YACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,0,0,10,10
YACUIBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,115,115,23,23
YAMPARAEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,10,10,10,10
YANACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,2,2,13,13
YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,73,73,18,18
YOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,1,1,7,7
YOTALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,12,12,2,2
YUNCHARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,2,2,3,3
ZUDAÑEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-07-01,6,6,9,9
ACACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,11,11
ACHACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,25,25,83,83
ACHOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,30,30
AIQUILE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,28,28,56,56
ALALAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,5,5,8,8
ALCALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,5,5
ANCORAIMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,24,24
ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,2,2,6,6
ANTEQUERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,5,5,3,3
ANZALDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,2,2,4,4
APOLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,9,9,61,61
ARAMPAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,18,18
ARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,6,6,4,4
ARBIETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,5,5,8,8
ARQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,11,11,15,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,77,77,10,10
ATOCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,18,18,5,5
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,1,1,6,6
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,1,1,6,6
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,2,2,17,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,21,21,43,43
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,9,9,21,21
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,15,15,20,20
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,3,3
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,8,8
BELLA FLOR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,11,11
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,61,61,1,1
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,41,41,40,40
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,6,6,12,12
BOLPEBRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,2,2,3,3
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,5,5,5,5
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,25,25,6,6
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,23,23,8,8
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,23,23
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,5,5,27,27
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,15,15,2,2
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,6,6
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,9,9,9,9
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,17,17,14,14
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,2,2,6,6
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,37,37,21,21
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,22,22,11,11
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,2,2,9,9
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,23,23,14,14
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,46,46,139,139
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,8,8,2,2
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,28,28
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,2,2,16,16
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,13,13,32,32
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,13,13,10,10
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,18,18,48,48
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,3,3
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,12,12,26,26
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,31,31,19,19
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,0,0
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,4,4,18,18
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,2,2,5,5
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,38,38,11,11
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,63,63,25,25
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,1310,1310,13,13
COIPASA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,1,1,0,0
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,109,109,10,10
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,16,16,14,14
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,2,2
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,36,36,7,7
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,9,9,5,5
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,11,11,83,83
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,1,1,5,5
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,18,18,36,36
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,6,6
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,29,29,2,2
COMBAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,8,8
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,36,36,32,32
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,9,9,9,9
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,10,10,18,18
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,4,4,9,9
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,8,8,18,18
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,13,13,9,9
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,20,20,26,26
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,96,96,37,37
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,33,33,24,24
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,0,0,1,1
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,1,1,0,0
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,21,21,31,31
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-08-01,3,3,4,4
