municipality,group,variable,month,Polio 2da dosis -DENTRO,TOTAL DENTRO,Polio 2da dosis -FUERA,TOTAL FUERA
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,24,24,8,8
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,0,0
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,10,10
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,62,62,26,26
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,33,33,42,42
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,19,19
BOLPEBRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,5,5
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,5,5
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,21,21,13,13
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,14,14,101,101
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,25,25
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,14,14
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,18,18,5,5
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,6,6
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,17,17
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,9,9,13,13
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,1,1
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,49,49,35,35
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,18,18,11,11
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,11,11
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,14,14,18,18
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,62,62,44,44
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,13,13,2,2
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,22,22
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,3,3
CHACARILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,2,2
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,10,10,38,38
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,17,17
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,27,27,56,56
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,2,2
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,17,17,28,28
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,28,28,19,19
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,14,14
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,12,12
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,30,30,3,3
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,55,55,4,4
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1058,1058,40,40
COIPASA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,0,0
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,75,75,11,11
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,11,11
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,2,2
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,27,27,51,51
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,14,14,3,3
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,111,111
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,5,5
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,13,13,25,25
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,6,6
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,33,33,15,15
COMBAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,36,36,0,0
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,11,11
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,6,6,30,30
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,9,9
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,10,10
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,9,9
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,9,9,49,49
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,86,86,36,36
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,20,20,5,5
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,1,1
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,3,3
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,19,19,30,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,2,2
CURVA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,11,11
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,7,7
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1234,1234,40,40
EL CHORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,2,2
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,13,13,4,4
EL PUENTE(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,11,11,3,3
EL TORNO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,83,83,8,8
EL VILLAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,5,5
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,39,39,35,35
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,16,16,18,18
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,9,9,2,2
EXALTACION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,5,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,31,31,11,11
FILADELFIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,8,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,45,45,17,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,22,22
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,17,17,2,2
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,5,5
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,59,59,28,28
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,7,7,34,34
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,7,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,5,5
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,39,39,12,12
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,7,7,0,0
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,9,9,4,4
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,16,16
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,10,10
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,20,20,45,45
INGAVI (HUMAITA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,5,5
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,31,31
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,10,10,14,14
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,6,6,13,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,5,5
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,23,23,22,22
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,105,105,2,2
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1320,1320,73,73
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,15,15
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,7,7,20,20
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,9,9,2,2
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,5,5
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,12,12,62,62
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,1,1
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,3,3
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,7,7,4,4
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,0,0
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,10,10
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,8,8
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,12,12,2,2
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,2,2
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,19,19,5,5
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,6,6,17,17
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,42,42,4,4
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,21,21,62,62
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,29,29
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,12,12,4,4
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,33,33,25,25
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,198,198,19,19
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,4,4
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,46,46,96,96
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,3,3
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,10,10,55,55
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,24,24,0,0
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,6,6,14,14
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,342,342,25,25
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,12,12,11,11
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,7,7,11,11
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,25,25,16,16
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,18,18
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,30,30,19,19
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,7,7
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,5,5
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,5,5
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,9,9
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,23,23,14,14
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,1,1
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,14,14
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,59,59
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,11,11,10,10
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,18,18,13,13
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,9,9,5,5
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,13,13
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,13,13,37,37
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,10,10,5,5
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,34,34,7,7
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,9,9
POSTRER VALLE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,0,0
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,294,294,43,43
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,17,17
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,11,11,28,28
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,7,7,29,29
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,15,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,6,6
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,12,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,17,17,18,18
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,12,12,8,8
PUERTO SILES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,0,0
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,30,30,7,7
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,74,74,15,15
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,39,39,67,67
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,44,44,11,11
QUIABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,6,6
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,161,161,14,14
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,1,1
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,1,1,3,3
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,13,13,42,42
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,21,21,0,0
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,182,182,55,55
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,22,22,18,18
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,36,36,11,11
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,5,5
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,132,132,32,32
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,7,7
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,6,6,71,71
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,14,14
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,6,6,7,7
SAN AGUSTIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,5,5,0,0
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,9,9,12,12
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,4,4,0,0
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,10,10,3,3
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,10,10,8,8
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,75,75,40,40
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,7,7,7,7
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,27,27,6,6
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,32,32,38,38
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,92,92,32,32
SAN JAVIER(BNI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,2,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,18,18,5,5
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,7,7,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,27,27,23,23
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,18,18,8,8
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,63,63,51,51
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,10,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,22,22,20,20
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,31,31,57,57
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,35,35,6,6
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,15,15,0,0
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,4,4
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,29,29,3,3
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,10,10,99,99
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,8,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,3,3,6,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,0,0,4,4
SAN RAFAEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2,2,5,5
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,8,8,5,5
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,9,9,5,5
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,29,29,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,2441,2441,162,162
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-06-01,15,15,16,16
