municipality,group,variable,month,Tratamientos iniciados en el mes por personal de,TOTAL
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,17,17
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,543,543
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
SACABA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,4,4
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,12,12
SAN LORENZO(TJA),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,6,6
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,4,4
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,3,3
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,9,9
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,14,14
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-12-01,2,2
VILLA SERRANO,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,66,66
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,32,32
YUNCHARA,malaria,tratamientos iniciados en el mes por personal de,2006-12-01,1,1
