municipality,group,variable,month,Total Días camas disponibles maternidad,TOTAL
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,121,121
CALAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
CAMARGO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,341,341
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,651,651
CAPINOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,279,279
CARACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
CARANAVI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,434,434
CARAPARI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,2,2
CARIPUYO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,145,145
CHALLAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,465,465
CHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
CHARAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,183,183
CHAYANTA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,60,60
CHIMORE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,338,338
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
CHUMA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,44,44
CLIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,372,372
COBIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1713,1713
COCAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,243,243
COCHABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,10523,10523
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,425,425
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
COLLANA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
COLOMI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,372,372
COLPA BELGICA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
COLQUECHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
COLQUENCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
COMARAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
CONCEPCION,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
CORIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
CORO CORO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,30,30
COROICO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,279,279
CORQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
COTOCA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,744,744
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,337,337
CUEVO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
CULPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,6,6
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
EL ALTO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,8098,8098
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
EL TORNO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,713,713
EL VILLAR,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,184,184
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,372,372
ESCOMA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
EXALTACION,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
FILADELFIA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,117,117
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
GUANAY,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
GUAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,837,837
GUTIERREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,90,90
HUACARETA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,436,436
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,90,90
HUACHACALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
HUANUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
HUARACAJE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
HUATAJATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
ICLA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,400,400
INCAHUASI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,217,217
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
IXIAMAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
JESUS DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,91,91
LA ASUNTA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,188,188
LA GUARDIA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,713,713
LA PAZ,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,16339,16339
LAGUNILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,64,64
LAJA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,151,151
LAS CARRERAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,171,171
LICOMA PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,60,60
LLALLAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,372,372
LLICA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
LURIBAY,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
MACHACAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
MACHARETI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
MAGDALENA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,155,155
MAIRANA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
MAPIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,154,154
MECAPACA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,92,92
MIZQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,775,775
MOCOMOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
MOJINETE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
MOJOCOYA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,264,264
MONTEAGUDO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,741,741
MONTERO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1737,1737
MORO MORO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
MOROCHATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,339,339
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,58,58
OCURI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
OKINAWA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
OMEREQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
ORURO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,4429,4429
PADILLA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,279,279
PAILON,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,292,292
PALCA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,310,310
PAMPA AULLAGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,90,90
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
PASORAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,155,155
PATACAMAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,180,180
PAZÑA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
PELECHUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
POCOATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
POCONA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,558,558
POJO (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,310,310
POOPO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
POROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,712,712
PORONGO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,277,277
PORTACHUELO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,372,372
PORVENIR,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,173,173
POTOSI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1984,1984
PRESTO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,234,234
PUCARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,154,154
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,86,86
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,313,313
PUERTO RICO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,75,75
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1053,1053
PUNA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,184,184
PUNATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,620,620
QUIABAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
QUILLACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1163,1163
QUIME,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
RAVELO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
REYES,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
RIBERALTA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1302,1302
ROBORE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,279,279
RURRENABAQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
SACABA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1426,1426
SACABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
SACACA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
SAIPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,87,87
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
SAMAIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,155,155
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,90,90
SAN BENITO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,155,155
SAN BORJA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,527,527
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
SAN CARLOS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,217,217
SAN IGNACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,496,496
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1333,1333
SAN JAVIER(BNI),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,30,30
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,310,310
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,868,868
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,147,147
SAN JULIAN,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,892,892
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,84,84
SAN LUCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,990,990
SAN MATIAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,281,281
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,155,155
SAN PEDRO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
SAN RAFAEL,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
SANTA ANA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,16213,16213
SANTA ROSA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,403,403
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,184,184
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,125,125
SAPAHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
SENA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,85,85
SHINAOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,494,494
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,27,27
SICAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
SIPE SIPE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,713,713
SOPACHUY,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,450,450
SORACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
SORATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,124,124
SUCRE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,4006,4006
TACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
TACOPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
TAPACARI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,430,430
TARABUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,502,502
TARACO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
TARATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,102,102
TARIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1552,1552
TARVITA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,744,744
TEOPONTE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,155,155
TIAWANACU,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
TIPUANI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
TIQUIPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,620,620
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,527,527
TOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,155,155
TOLATA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,589,589
TORO TORO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,372,372
TOTORA(ORR),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
TRIGAL,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,2,2
TRINIDAD,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1591,1591
TUPIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,527,527
UMALA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
UNCIA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,158,158
URUBICHA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
UYUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,527,527
VACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
VALLEGRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,240,240
VIACHA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,434,434
VILA VILA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,533,533
VILLA MONTES,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,372,372
VILLA RIVERO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,217,217
VILLA SERRANO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,496,496
VILLA TUNARI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,1301,1301
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
VILLAZON,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,186,186
VINTO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,341,341
VITICHI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,62,62
WARNES,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,372,372
YACO,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,108,108
YACUIBA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,675,675
YAMPARAEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,362,362
YANACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,31,31
YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,385,385
YOTALA,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,93,93
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-07-01,248,248
ACACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
ACHACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,310,310
ACHOCALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
AIQUILE,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,589,589
ALALAY,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,124,124
ALCALA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
ALTO BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,217,217
ANCORAIMES,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
ANTEQUERA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
ANZALDO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,93,93
APOLO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,93,93
ARAMPAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
ARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
ARBIETO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,245,245
ARQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,246,246
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,434,434
ATOCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,104,104
AUCAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
AYO AYO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,991,991
AZURDUY,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,270,270
BATALLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
BAURES,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,29,29
BERMEJO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,548,548
BETANZOS,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,217,217
BOYUIBE,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,124,124
BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,110,110
CABEZAS,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,124,124
CAIROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,54,54
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,30,30
CAJUATA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,155,155
CALAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
CAMARGO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,372,372
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,671,671
CAPINOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,279,279
CARACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,93,93
CARANAVI,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,341,341
CARIPUYO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,137,137
CATACORA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
CHALLAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,279,279
CHARAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,183,183
CHAYANTA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,89,89
CHIMORE,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,245,245
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,248,248
CHUMA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,93,93
CKOCHAS,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
CLIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,403,403
COBIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,1209,1209
COCAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,178,178
COCHABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,10425,10425
COIPASA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,427,427
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,60,60
COLLANA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
COLOMI,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,372,372
COLPA BELGICA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
COLQUECHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,124,124
COLQUENCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
COMANCHE,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
COMARAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,186,186
CONCEPCION,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,156,156
COPACABANA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,6,6
CORIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,124,124
CORO CORO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
COROICO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,279,279
CORQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
COTOCA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,683,683
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,182,182
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
CUEVO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,93,93
CULPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,372,372
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
DESAGUADERO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
EL ALTO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,6943,6943
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,124,124
EL TORNO,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,713,713
EL VILLAR,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,155,155
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,372,372
ESCOMA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,62,62
EXALTACION,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,31,31
FILADELFIA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,87,87
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,93,93
GUANAY,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,217,217
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,837,837
GUTIERREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,152,152
HUACARETA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,429,429
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,88,88
HUACHACALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,93,93
HUANUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-08-01,248,248
