municipality,group,variable,month,Total Días camas ocupadas maternidad,TOTAL
SAN JULIAN,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,160,160
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,4,4
SAN LUCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,119,119
SAN MATIAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,63,63
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,34,34
SAN PEDRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,1,1
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,24,24
SAN PEDRO DE CURAHUARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,2,2
SAN PEDRO DE TIQUINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,1,1
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,20,20
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,49,49
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,17,17
SANTA ANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,161,161
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,8689,8689
SANTA ROSA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,42,42
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,23,23
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,12,12
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,2,2
SANTIVAÑES,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,6,6
SAPAHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,3,3
SENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,8,8
SHINAOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,133,133
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,6,6
SICAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,2,2
SIPE SIPE,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,429,429
SOPACHUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,46,46
SORACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,2,2
SORATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,11,11
SUCRE,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,1964,1964
TACOPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,10,10
TAPACARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,4,4
TARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,167,167
TARATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,10,10
TARIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,1584,1584
TARVITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,18,18
TEOPONTE,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,13,13
TIAWANACU,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,7,7
TIPUANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,17,17
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,416,416
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,23,23
TOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,12,12
TODOS SANTOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,3,3
TOLATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,4,4
TOMINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,31,31
TORO TORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,24,24
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,69,69
TOTORA(ORR),internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,8,8
TRINIDAD,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,1038,1038
TUPIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,231,231
UNCIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,42,42
URUBICHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,14,14
UYUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,157,157
VACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,10,10
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,76,76
VIACHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,142,142
VILA VILA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,4,4
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,54,54
VILLA MONTES,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,305,305
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,2,2
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,22,22
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,481,481
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,18,18
VILLAZON,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,40,40
VINTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,175,175
VITICHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,2,2
WARNES,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,275,275
YACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,4,4
YACUIBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,511,511
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,22,22
YANACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,3,3
YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,196,196
YOTALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,14,14
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-06-01,18,18
ACACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,129,129
ACHOCALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
AIQUILE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,83,83
ALCALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,7,7
ALTO BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,12,12
ANCORAIMES,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
ANDAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
ANTEQUERA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
ANZALDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
APOLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,20,20
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
ARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,7,7
ARBIETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,50,50
ARQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,207,207
ATOCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,16,16
AYO AYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,83,83
AZURDUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,17,17
BATALLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
BAURES,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,30,30
BERMEJO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,144,144
BETANZOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,62,62
BOLIVAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
BOYUIBE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,7,7
BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,93,93
CABEZAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,33,33
"CAIZA ""D""",internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,15,15
CALAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,8,8
CAMARGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,122,122
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
CAMIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,436,436
CAPINOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,31,31
CARACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,62,62
CARANAVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,203,203
CARAPARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
CARIPUYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,8,8
CHALLAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,155,155
CHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
CHARAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,19,19
CHAYANTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,33,33
CHIMORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,15,15
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,112,112
CHUMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,18,18
CLIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,101,101
COBIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,616,616
COCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
COCHABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6321,6321
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,73,73
COLLANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,1,1
COLOMI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,28,28
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
COLQUECHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,8,8
COLQUENCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,8,8
COMARAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,125,125
CONCEPCION,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,165,165
CORIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,14,14
CORO CORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6,6
COROICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,69,69
CORQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
COTAGAITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
COTOCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,195,195
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,37,37
CULPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,84,84
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
EL ALTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4887,4887
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,18,18
EL TORNO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,372,372
EL VILLAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,37,37
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,47,47
ESCOMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,18,18
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,12,12
EXALTACION,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
FILADELFIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,14,14
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
GUANAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,22,22
GUAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,406,406
GUTIERREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,26,26
HUACARETA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,27,27
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
HUANUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,51,51
HUARACAJE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,14,14
HUATAJATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
ICLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,19,19
INCAHUASI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,24,24
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,7,7
IXIAMAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,12,12
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
LA ASUNTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,19,19
LA GUARDIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,114,114
LA PAZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6018,6018
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6,6
LAJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,10,10
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,15,15
LICOMA PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
LLALLAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,297,297
LLICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
LORETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
MACHARETI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6,6
MAGDALENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,74,74
MAIRANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,63,63
MAPIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,20,20
MECAPACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
MIZQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,54,54
MOCOMOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
MOJOCOYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,15,15
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,202,202
MONTERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,920,920
MORO MORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
MOROCHATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,7,7
OCURI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
OKINAWA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,7,7
OMEREQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,10,10
ORURO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4955,4955
PADILLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,76,76
PAILON,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,70,70
PALCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,40,40
PAMPA AULLAGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,17,17
PAPEL PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
PATACAMAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,32,32
PAZÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,14,14
PELECHUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,1,1
POCOATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,16,16
POCONA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,107,107
POJO (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,13,13
POOPO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
POROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,56,56
PORONGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
PORTACHUELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,107,107
PORVENIR,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,13,13
POTOSI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,1106,1106
PRESTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,14,14
PUCARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,20,20
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,49,49
PUERTO RICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,18,18
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,299,299
PUNA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,30,30
PUNATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,274,274
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,452,452
QUIME,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
REYES,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,51,51
RIBERALTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,991,991
ROBORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,82,82
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,165,165
SACABA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,477,477
SACACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,15,15
SAIPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6,6
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,12,12
SAMAIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,21,21
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
SAN BENITO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,7,7
SAN BORJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,256,256
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,71,71
SAN CARLOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,18,18
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,82,82
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,396,396
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,37,37
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,46,46
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,123,123
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,8,8
SAN JULIAN,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,208,208
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6,6
SAN LUCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,104,104
SAN MATIAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,67,67
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,24,24
SAN PEDRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,10,10
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,28,28
SAN PEDRO DE CURAHUARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,13,13
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,22,22
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,33,33
SANTA ANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,165,165
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,10035,10035
SANTA ROSA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,18,18
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,19,19
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,7,7
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6,6
SANTIVAÑES,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,12,12
SAPAHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
SENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,6,6
SHINAOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,67,67
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,4,4
SIPE SIPE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,48,48
SOPACHUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,42,42
SORACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2,2
SORATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,14,14
SUCRE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,2137,2137
TACOPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,8,8
TARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,60,60
TARACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
TARATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,22,22
TARIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,1533,1533
TARVITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,37,37
TEOPONTE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,14,14
TIAWANACU,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,9,9
TIPUANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,22,22
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,427,427
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,14,14
TOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,10,10
TOLATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
TOLEDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
TOMINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,41,41
TORO TORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,21,21
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,75,75
TOTORA(ORR),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
TRINIDAD,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,994,994
TUPIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,288,288
UMALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
UNCIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,46,46
URUBICHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,12,12
UYUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,214,214
VACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,88,88
VIACHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,78,78
VILA VILA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,1,1
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,25,25
VILLA MONTES,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,298,298
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,5,5
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,25,25
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,414,414
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,25,25
VILLAZON,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,77,77
VINTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,102,102
VITICHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
WARNES,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,312,312
YACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,10,10
YACUIBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,453,453
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,15,15
YANACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,3,3
YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,174,174
YOTALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,76,76
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-07-01,41,41
