,group,variable,month,L 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,L 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,1,2
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,21,16,37
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-05-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,3,4
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,3,4
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,1,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,2,3
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,2,2,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,6,12,18
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,6,6,12
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,71,39,110
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,2,3,5
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,1,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,2,1,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,43,27,70
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,2,1,3
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,9,10
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,1,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,2,1,3
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,100,131,231
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,1,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,2,3
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,5,2,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,19,16,35
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,3,4,7
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,2,3
PELECHUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,7,8,15
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,3,3
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,3,1,4
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,5,0,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,1,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,123,125,248
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,97,84,181
TACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,10,10,20
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,3,2,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,5,4,9
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,2,6,8
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,3,1,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,6,2,8
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,4,5,9
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,2,0,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,3,2,5
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,3,3
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,3,3
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,16,6,22
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,0,2,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-06-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,0,2
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,1,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,2,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,5,7
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,3,5
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,9,12,21
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,2,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,1,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,5,9,14
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,187,235,422
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,1,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,3,2,5
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,1,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,4,1,5
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,46,29,75
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,14,16
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,3,2,5
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,97,116,213
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,1,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,5,2,7
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,27,16,43
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,4,4,8
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,4,3,7
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,12,10,22
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,0,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,3,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,3,4
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,0,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,2,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,1,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,1,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,157,138,295
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,139,151,290
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,3,2,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,7,18,25
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,2,3
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,5,0,5
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,6,10,16
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,4,2,6
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,5,2,7
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,3,3,6
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,21,11,32
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-07-01,1,2,3
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,1,2
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,0,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,6,3,9
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,2,3,5
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,0,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,4,6,10
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,0,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,8,2,10
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,119,145,264
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,3,4,7
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,5,1,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,16,18,34
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,1,2
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,2,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,3,1,4
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,7,8
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,1,3,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-08-01,2,1,3
