,group,variable,month,L 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,L 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,6,6
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-09-01,2,3,5
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,2,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,2,2,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,2,1,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,4,6,10
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,3,2,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,71,41,112
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,3,1,4
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,1,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,19,12,31
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,4,9,13
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,2,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,108,24,132
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,4,6,10
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,2,2,4
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,9,0,9
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,4,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,3,6,9
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,4,5
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,1,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,14,11,25
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,2,7,9
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,118,118,236
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,25,13,38
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,2,0,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,2,3,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,17,12,29
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,2,1,3
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,0,1,1
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-10-01,1,0,1
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,2,1,3
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,3,3,6
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,3,3
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,2,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,5,3,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,3,2,5
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,4,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,67,30,97
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,2,1,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,2,3
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,2,0,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,3,3
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,3,4,7
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,2,2,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,2,1,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,2,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,3,1,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,4,4,8
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,1,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,8,3,11
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,2,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,4,2,6
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,9,6,15
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,4,8,12
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,155,130,285
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,27,11,38
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,18,10,28
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,9,4,13
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,4,10,14
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,6,2,8
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,2,3,5
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-11-01,1,0,1
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,2,1,3
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,3,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,2,3,5
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,4,8,12
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,2,2,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,65,36,101
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,3,1,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,2,0,2
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,5,8,13
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,4,3,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,3,4
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,2,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,2,1,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,5,4,9
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,3,1,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,2,0,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,2,0,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,6,9,15
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,4,9,13
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,120,93,213
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,40,26,66
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,3,2,5
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,17,12,29
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,1,2
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,2,2
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,4,4,8
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,4,0,4
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-12-01,1,0,1
