,group,variable,month,L 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,L 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,4,2,6
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-05-01,2,2,4
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,44,69,113
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,15,13,28
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,94,123,217
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,3,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,2,2,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,0,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,5,54,59
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,16,45,61
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,4,10,14
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,142,776,918
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,18,19
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,1,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,7,11,18
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,3,4,7
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,11,9,20
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,38,819,857
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,2,37,39
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,3,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,1,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,213,797,1010
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,9,12,21
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,5,0,5
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,4,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,2,3
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,2,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,20,311,331
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,4,0,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,17,94,111
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,2,11,13
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,3,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,2,3,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,5,56,61
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,4,4
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,4,65,69
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,9,35,44
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,2,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,3,11,14
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,157,226,383
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,4,5,9
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,23,307,330
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,5,6
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,5,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,11,188,199
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,3,0,3
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,7,7
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,59,221,280
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,32,83,115
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,6,7
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,15,25,40
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,50,55,105
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,3,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,6,7
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,5,12,17
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,1,5,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,2,4,6
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-06-01,11,6,17
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,36,61,97
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,3,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,44,79,123
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,12,16,28
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,2,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,5,0,5
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,15,39,54
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,13,8,21
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,178,729,907
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,8,25,33
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,1,2
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,0,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,12,12
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,4,1,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,2,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,65,603,668
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,2,0,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,2,1,3
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,246,966,1212
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,11,14,25
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,5,2,7
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,3,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,3,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,6,7
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,5,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,24,200,224
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,2,2
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,2,3,5
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,1,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,6,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,21,145,166
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,2,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,4,33,37
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,3,7,10
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,12,138,150
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,3,29,32
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,2,3,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,2,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,10,10
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,73,181,254
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,4,4
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,3,75,78
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,3,1,4
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,9,311,320
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,2,1,3
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,4,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,52,271,323
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,8,20,28
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,2,60,62
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,59,88,147
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,6,7
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,31,60,91
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,1,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,5,10,15
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,2,2,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,10,11,21
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,4,4,8
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-07-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,39,77,116
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,6,7
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,45,75,120
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,4,13,17
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,4,0,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,0,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,5,6
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,18,27,45
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,2,4,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,86,605,691
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,16,16
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,1,2
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,2,15,17
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,4,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,48,634,682
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,2,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,4,4
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,3,8,11
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,3,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,3,2,5
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,1,2
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,191,727,918
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,5,10,15
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,6,4,10
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,1,0,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,7,11,18
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-08-01,0,2,2
