municipality,group,variable,month,Controles nuevos en niños de 2 años a < de 5 a NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,6,6,2,8
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,6,6,0,6
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,4,4,3,7
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,8,8,3,11
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,25,25,30,55
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,7,7,3,10
SAN PEDRO(PND),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,1,3
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,3,3,4,7
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,5,5,2,7
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,940,940,811,1751
SANTA ROSA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,3,3,0,3
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,19,19,21,40
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,5,5,6,11
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,0,0,1,1
SANTIVAÑES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,3,3,4,7
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,0,1
SAPAHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,5,5,7,12
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,21,21,14,35
SIPE SIPE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,186,186,177,363
SOPACHUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,0,0,1,1
SORACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,21,21,13,34
SORATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,22,22,12,34
SUCRE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,465,465,462,927
TACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,2,4
TACACOMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,2,4
TAPACARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,11,11,12,23
TARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,7,7,8,15
TARACO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,4,6
TARATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,2,3
TARIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,402,402,402,804
TARVITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,3,3,0,3
TEOPONTE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,0,1
TIAWANACU,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,1,2
TINGUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,1,2
TIQUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,65,65,77,142
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,123,123,129,252
TITO YUPANQUI (PARQUIPUJIO),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,0,2
TOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,1,2
TOLATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,1,3
TOMINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,0,2
TORO TORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,25,25,29,54
TOTORA(CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,9,9,6,15
TOTORA(ORR),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,1,2
TRIGAL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,0,2
TRINIDAD,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,274,274,238,512
TUPIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,0,2
TURCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,0,2
UMALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,3,3,6,9
UNCIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,7,7,10,17
URIONDO (A. CONCEPCION),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,56,56,51,107
URUBICHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,3,3,0,3
VACAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,17,17,15,32
VALLEGRANDE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,8,8,13,21
VIACHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,20,20,20,40
VILA VILA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,2,3
VILLA MONTES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,50,50,50,100
VILLA RIVERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,0,1
VILLA TUNARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,186,186,231,417
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,3,3,3,6
VILLAZON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,6,6,5,11
VINTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,9,9,9,18
VITICHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,0,0,1,1
WARNES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,76,76,86,162
YACUIBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,21,21,19,40
YAMPARAEZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,1,1,3,4
YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,2,2,0,2
YOTALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,18,18,26,44
ZUDAÑEZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-06-01,20,20,24,44
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,47,47,42,89
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,1,1
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,42,42,32,74
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,4,7
ANTEQUERA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,1,1
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,15,15,25,40
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,16,16,3,19
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,3,3
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,12,12,17,29
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
ATOCHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,1,3
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,3,6
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,8,8,11,19
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,9,9,10,19
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,7,7,2,9
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,3,5
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,2,6
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
BELEN DE URMIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,0,1
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,24,24,18,42
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,15,15,25,40
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,8,12
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,1,3
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,5,8
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,3,3
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,17,17,19,36
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,8,8,2,10
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,1,1
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,2,2
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,0,1
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,56,56,59,115
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,1,5
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,9,9,4,13
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,22,22,26,48
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,0,1
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,1,3
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,8,8,9,17
CHACARILLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,2,4
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,5,5,8,13
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,1,1
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,2,3
CHARAÑA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,4,7
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,2,3
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,63,63,56,119
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,4,8
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,5,5,7,12
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,5,9
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,14,14,22,36
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,340,340,32,372
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,690,690,653,1343
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,217,217,215,432
"COLCHA ""K""",nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,3,5
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,39,39,44,83
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,38,38,31,69
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,1,1
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,13,13,5,18
COMANCHE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,3,5
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,6,6,3,9
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,15,15,18,33
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,2,3
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,8,8,19,27
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,1,4
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,25,25,19,44
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,1,4
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,45,45,37,82
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,1,5
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,11,11,4,15
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,3,6
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1675,1675,1611,3286
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,2,6
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,2,5
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,28,28,32,60
EL VILLAR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,1,1
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,15,15,21,36
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,21,21,25,46
EUCALIPTUS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,0,2
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,2,2
EXALTACION,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,4,5
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,6,6,8,14
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,1,1
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,120,120,114,234
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,41,41,24,65
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,92,92,83,175
GUAQUI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,0,1
GUAYARAMERIN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,25,25,12,37
GUTIERREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,1,3
HUACARETA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,10,10,10,20
HUACHACALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,0,2
HUANUNI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,12,12,15,27
HUAYLLAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,5,5,6,11
ICHOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,3,6
ICLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,0,3
INCAHUASI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,4,8
INQUISIVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,1,5
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,7,10
IXIAMAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,10,10,5,15
JESUS DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,0,2
LA ASUNTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,3,7
LA GUARDIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,56,56,36,92
LA PAZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,604,604,5455,6059
LAGUNILLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,0,0,1,1
LAJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,5,9
LAS CARRERAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,6,6,13,19
LICOMA PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,0,2
LLALLAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,8,12
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,8,8,5,13
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,1,3
MAGDALENA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,2,4
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,5,8
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,2,4
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,162,162,140,302
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,14,14,18,32
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,9,9,13,22
MOJOCOYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,4,6
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,11,11,19,30
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,155,155,171,326
MORO MORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,3,5
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,45,45,59,104
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,3,4
OCURI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,12,12,27,39
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,26,26,33,59
OMEREQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,2,2,3,5
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,202,202,222,424
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,7,7,4,11
PAILON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,5,6
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,13,13,11,24
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,9,9,3,12
PAPEL PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,2,3
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,9,9,8,17
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,4,4,8,12
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,1,2
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,4,7
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,0,1
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,25,25,27,52
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,12,12,14,26
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,2,3
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,18,18,24,42
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,9,9,3,12
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,0,1
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,303,303,296,599
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,52,52,42,94
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,3,3,5,8
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,15,15,6,21
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,8,8,15,23
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,4,5
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,6,7
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,1,1,3,4
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,44,44,41,85
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-07-01,14,14,10,24
