,group,variable,month,REPETIDAS 10 A 14,REPETIDAS 10 A 14,REPETIDAS 15 A 19,REPETIDAS 15 A 19,REPETIDAS 20 A 34,REPETIDAS 20 A 34,REPETIDAS 35 A 49,REPETIDAS 35 A 49,REPETIDAS 50 Y +,REPETIDAS 50 Y +,REPETIDAS < A 10,REPETIDAS < A 10,TOTALES
PUCARANI,consultas prenatales,repetidas,2024-07-01,1,0,16,0,84,3,18,0,0,0,0,0,122
PUERTO ACOSTA,consultas prenatales,repetidas,2024-07-01,1,0,6,1,15,1,3,0,0,0,0,0,27
PUERTO CARABUCO,consultas prenatales,repetidas,2024-07-01,0,0,2,0,31,1,2,1,0,0,0,0,37
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2024-07-01,0,0,7,0,24,1,2,0,0,0,0,0,34
PUERTO PEREZ,consultas prenatales,repetidas,2024-07-01,0,0,3,0,11,0,1,0,0,0,0,0,15
PUERTO QUIJARRO,consultas prenatales,repetidas,2024-07-01,0,0,3,1,15,1,3,0,0,0,0,0,23
PUERTO RICO,consultas prenatales,repetidas,2024-07-01,2,0,12,0,18,0,2,0,0,0,0,0,34
PUERTO SILES,consultas prenatales,repetidas,2024-07-01,0,0,1,0,1,0,1,0,0,0,0,0,3
PUERTO SUAREZ,consultas prenatales,repetidas,2024-07-01,0,0,6,0,30,0,8,0,0,0,0,0,44
PUERTO VILLARROEL,consultas prenatales,repetidas,2024-07-01,6,0,83,0,351,2,61,0,0,0,0,0,503
PUNA,consultas prenatales,repetidas,2024-07-01,0,0,6,2,31,2,6,1,0,0,0,0,48
PUNATA,consultas prenatales,repetidas,2024-07-01,1,1,19,4,187,28,43,3,0,0,0,0,286
QUIABAYA,consultas prenatales,repetidas,2024-07-01,0,0,2,0,6,1,3,0,0,0,0,0,12
QUILLACOLLO,consultas prenatales,repetidas,2024-07-01,0,0,67,9,474,97,146,30,0,0,0,0,823
QUIME,consultas prenatales,repetidas,2024-07-01,0,0,2,0,16,1,1,0,0,0,0,0,20
QUIRUSILLAS,consultas prenatales,repetidas,2024-07-01,0,0,0,0,3,0,0,0,0,0,0,0,3
RAQAYPAMPA(ETA),consultas prenatales,repetidas,2024-07-01,0,0,5,0,7,4,5,1,0,0,0,0,22
RAVELO,consultas prenatales,repetidas,2024-07-01,1,0,7,3,9,3,4,6,0,0,0,0,33
REYES,consultas prenatales,repetidas,2024-07-01,0,0,13,1,27,0,2,0,0,0,0,0,43
RIBERALTA,consultas prenatales,repetidas,2024-07-01,21,0,132,1,424,3,192,1,13,0,0,0,787
ROBORE,consultas prenatales,repetidas,2024-07-01,1,0,6,0,46,0,14,0,0,0,0,0,67
RURRENABAQUE,consultas prenatales,repetidas,2024-07-01,0,0,21,2,74,1,23,0,1,0,0,0,122
SABAYA,consultas prenatales,repetidas,2024-07-01,0,0,1,0,9,0,3,0,0,0,0,0,13
SACABA,consultas prenatales,repetidas,2024-07-01,4,0,97,10,655,59,130,12,0,0,0,0,967
SACABAMBA,consultas prenatales,repetidas,2024-07-01,0,0,1,0,11,0,1,0,0,0,0,0,13
SACACA,consultas prenatales,repetidas,2024-07-01,0,0,15,3,34,10,10,3,1,0,0,0,76
SAIPINA,consultas prenatales,repetidas,2024-07-01,0,0,6,0,16,0,4,0,0,0,0,0,26
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2024-07-01,0,0,0,0,20,4,4,1,0,0,0,0,29
SAMAIPATA,consultas prenatales,repetidas,2024-07-01,0,0,15,0,42,0,13,0,0,0,0,0,70
SAN AGUSTIN,consultas prenatales,repetidas,2024-07-01,0,0,0,0,2,0,0,0,0,0,0,0,2
SAN ANDRES,consultas prenatales,repetidas,2024-07-01,2,0,6,0,35,0,6,0,0,0,0,0,49
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2024-07-01,0,0,3,0,5,0,4,0,0,0,0,0,12
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2024-07-01,0,0,0,0,2,0,2,0,1,0,0,0,5
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2024-07-01,0,0,3,0,10,1,3,0,0,0,0,0,17
SAN BENITO,consultas prenatales,repetidas,2024-07-01,0,0,2,0,32,0,5,0,0,0,0,0,39
SAN BORJA,consultas prenatales,repetidas,2024-07-01,2,0,37,2,115,4,42,3,7,1,0,0,213
SAN BUENA VENTURA,consultas prenatales,repetidas,2024-07-01,0,0,7,0,28,0,9,1,0,0,0,0,45
SAN CARLOS,consultas prenatales,repetidas,2024-07-01,0,0,8,0,45,0,31,0,4,0,0,0,88
SAN IGNACIO,consultas prenatales,repetidas,2024-07-01,2,0,14,0,69,3,25,0,4,0,0,0,117
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2024-07-01,1,0,56,1,192,7,27,0,0,0,0,0,284
SAN JAVIER(BNI),consultas prenatales,repetidas,2024-07-01,0,0,0,0,2,0,3,0,0,0,0,0,5
SAN JAVIER(STC),consultas prenatales,repetidas,2024-07-01,1,0,10,0,36,0,7,0,0,0,0,0,54
SAN JOAQUIN,consultas prenatales,repetidas,2024-07-01,0,0,5,0,11,0,1,0,0,0,0,0,17
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2024-07-01,3,0,17,0,36,0,3,0,0,0,0,0,59
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2024-07-01,0,0,4,1,14,0,2,0,0,0,0,0,21
SAN JULIAN,consultas prenatales,repetidas,2024-07-01,3,0,29,1,170,3,26,0,0,0,0,0,232
SAN LORENZO(PND),consultas prenatales,repetidas,2024-07-01,0,0,7,0,18,1,6,0,0,0,0,0,32
SAN LORENZO(TJA),consultas prenatales,repetidas,2024-07-01,2,0,18,1,91,4,13,0,0,0,0,0,129
SAN LUCAS,consultas prenatales,repetidas,2024-07-01,0,0,31,8,90,18,12,6,0,0,0,0,165
SAN MATIAS,consultas prenatales,repetidas,2024-07-01,0,0,13,0,48,0,2,0,0,0,0,0,63
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2024-07-01,0,0,13,1,24,7,8,2,0,0,0,0,55
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2024-07-01,0,0,1,0,5,0,1,0,0,0,0,0,7
SAN PEDRO,consultas prenatales,repetidas,2024-07-01,1,0,8,0,42,1,15,0,3,0,0,0,70
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2024-07-01,1,0,22,7,40,11,13,5,0,0,0,0,99
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2024-07-01,0,0,0,0,5,0,2,0,0,0,0,0,7
SAN PEDRO DE MACHA,consultas prenatales,repetidas,2024-07-01,0,0,15,0,34,1,13,0,1,0,0,0,64
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2024-07-01,0,0,1,0,5,0,3,0,0,0,0,0,9
SAN PEDRO(PND),consultas prenatales,repetidas,2024-07-01,1,0,4,0,6,1,1,0,0,0,0,0,13
SAN RAFAEL,consultas prenatales,repetidas,2024-07-01,0,0,8,0,25,0,4,0,0,0,0,0,37
SAN RAMON BENI,consultas prenatales,repetidas,2024-07-01,0,0,7,0,12,0,1,0,0,0,0,0,20
SAN RAMON SCZ,consultas prenatales,repetidas,2024-07-01,1,0,10,1,27,1,5,0,0,0,0,0,45
SANTA ANA,consultas prenatales,repetidas,2024-07-01,4,0,24,0,72,4,10,0,0,0,0,0,114
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2024-07-01,13,0,696,1,5234,159,1264,55,67,0,0,0,7489
SANTA ROSA,consultas prenatales,repetidas,2024-07-01,0,0,9,0,27,0,2,0,0,0,0,0,38
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2024-07-01,2,0,15,1,47,0,5,0,0,0,0,0,70
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2024-07-01,0,0,2,0,7,0,1,0,0,0,0,0,10
SANTIAGO DE HUARI,consultas prenatales,repetidas,2024-07-01,0,0,2,2,16,4,2,1,0,0,0,0,27
SANTIAGO DE HUATA,consultas prenatales,repetidas,2024-07-01,0,0,2,0,10,0,1,0,0,0,0,0,13
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2024-07-01,0,0,3,0,6,2,0,0,0,0,0,0,11
SANTIVAÑES,consultas prenatales,repetidas,2024-07-01,0,0,5,0,25,0,4,0,0,0,0,0,34
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2024-07-01,0,0,0,0,2,3,0,0,0,0,0,0,5
SAPAHAQUI,consultas prenatales,repetidas,2024-07-01,0,0,2,0,21,1,3,0,0,0,0,0,27
SENA,consultas prenatales,repetidas,2024-07-01,0,0,11,0,26,0,2,0,0,0,0,0,39
SHINAOTA,consultas prenatales,repetidas,2024-07-01,0,0,32,1,164,0,21,0,0,0,0,0,218
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2024-07-01,0,0,5,0,43,0,18,2,1,0,0,0,69
SICAYA,consultas prenatales,repetidas,2024-07-01,2,0,9,0,5,0,0,0,0,0,0,0,16
SIPE SIPE,consultas prenatales,repetidas,2024-07-01,1,0,52,1,294,10,52,3,0,0,0,0,413
SOPACHUY,consultas prenatales,repetidas,2024-07-01,0,0,8,3,7,2,4,1,0,0,0,0,25
SORACACHI,consultas prenatales,repetidas,2024-07-01,3,0,8,1,21,2,0,1,0,0,0,0,36
SORATA,consultas prenatales,repetidas,2024-07-01,0,0,8,1,62,3,3,3,0,0,0,0,80
SUCRE,consultas prenatales,repetidas,2024-07-01,6,0,139,0,1101,3,313,0,2,0,0,0,1564
TACACHI,consultas prenatales,repetidas,2024-07-01,0,0,0,0,3,0,1,0,0,0,0,0,4
TACACOMA,consultas prenatales,repetidas,2024-07-01,0,0,9,0,43,0,3,0,0,0,0,0,55
TACOBAMBA,consultas prenatales,repetidas,2024-07-01,0,0,6,6,11,6,2,2,0,0,0,0,33
TACOPAYA,consultas prenatales,repetidas,2024-07-01,1,0,7,1,4,3,3,4,0,0,0,0,23
TAHUA,consultas prenatales,repetidas,2024-07-01,0,0,0,0,2,4,0,0,0,0,0,0,6
TAPACARI,consultas prenatales,repetidas,2024-07-01,0,0,14,2,42,6,10,1,0,0,0,0,75
TARABUCO,consultas prenatales,repetidas,2024-07-01,1,0,20,4,24,4,9,1,0,0,0,0,63
TARACO,consultas prenatales,repetidas,2024-07-01,0,0,1,0,20,0,1,0,0,0,0,0,22
TARATA,consultas prenatales,repetidas,2024-07-01,0,0,18,0,48,0,10,0,0,0,0,0,76
TARIJA,consultas prenatales,repetidas,2024-07-01,1,0,88,3,810,76,268,5,0,0,0,0,1251
TARVITA,consultas prenatales,repetidas,2024-07-01,0,0,13,1,20,2,6,1,0,0,0,0,43
TEOPONTE,consultas prenatales,repetidas,2024-07-01,0,0,12,0,41,3,7,0,0,0,0,0,63
TIAHUANACU,consultas prenatales,repetidas,2024-07-01,0,0,4,0,29,2,1,0,0,0,0,0,36
TINGUIPAYA,consultas prenatales,repetidas,2024-07-01,0,0,5,4,12,7,7,2,0,0,0,0,37
TIPUANI,consultas prenatales,repetidas,2024-07-01,0,0,3,0,28,0,3,0,0,0,0,0,34
TIQUIPAYA,consultas prenatales,repetidas,2024-07-01,0,0,12,3,157,18,29,1,0,0,0,0,220
TIRAQUE (CBBA),consultas prenatales,repetidas,2024-07-01,0,0,20,0,55,5,13,0,0,0,0,0,93
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2024-07-01,0,0,0,0,1,0,4,0,0,0,0,0,5
TOCO,consultas prenatales,repetidas,2024-07-01,0,0,5,0,17,0,3,0,0,0,0,0,25
TOLATA,consultas prenatales,repetidas,2024-07-01,0,0,5,0,22,0,5,0,0,0,0,0,32
TOLEDO,consultas prenatales,repetidas,2024-07-01,0,0,2,0,6,1,0,0,0,0,0,0,9
TOMAVE,consultas prenatales,repetidas,2024-07-01,0,0,1,0,10,9,5,0,0,0,0,0,25
TOMINA,consultas prenatales,repetidas,2024-07-01,0,0,3,1,24,0,4,0,0,0,0,0,32
TORO TORO,consultas prenatales,repetidas,2024-07-01,1,0,12,0,14,1,8,2,0,0,0,0,38
TOTORA(CBBA),consultas prenatales,repetidas,2024-07-01,4,0,26,0,44,1,4,1,0,0,0,0,80
TOTORA(ORR),consultas prenatales,repetidas,2024-07-01,0,0,0,0,2,0,0,1,0,0,0,0,3
TRIGAL,consultas prenatales,repetidas,2024-07-01,0,0,1,0,3,0,0,0,0,0,0,0,4
TRINIDAD,consultas prenatales,repetidas,2024-07-01,2,0,55,0,353,18,103,0,17,0,0,0,548
TUPIZA,consultas prenatales,repetidas,2024-07-01,0,1,25,1,159,7,45,1,0,0,0,0,239
TURCO,consultas prenatales,repetidas,2024-07-01,0,0,2,0,12,0,4,0,0,0,0,0,18
UMALA,consultas prenatales,repetidas,2024-07-01,0,0,7,0,8,1,2,0,0,0,0,0,18
UNCIA,consultas prenatales,repetidas,2024-07-01,1,0,15,1,154,6,60,2,0,0,0,0,239
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2024-07-01,0,0,9,0,50,3,22,0,0,0,0,0,84
URUBICHA,consultas prenatales,repetidas,2024-07-01,0,0,2,0,5,0,6,0,0,0,0,0,13
UYUNI,consultas prenatales,repetidas,2024-07-01,0,0,26,1,132,3,34,0,8,0,0,0,204
VACAS,consultas prenatales,repetidas,2024-07-01,0,0,5,0,16,0,1,1,0,0,0,0,23
VALLEGRANDE,consultas prenatales,repetidas,2024-07-01,0,0,9,0,71,1,13,0,0,0,0,0,94
VIACHA,consultas prenatales,repetidas,2024-07-01,0,0,49,0,290,0,79,1,2,0,0,0,421
VILA VILA,consultas prenatales,repetidas,2024-07-01,0,0,4,0,9,1,2,1,0,0,0,0,17
VILLA CHARCAS,consultas prenatales,repetidas,2024-07-01,0,0,10,8,25,9,5,3,0,0,0,0,60
VILLA MONTES,consultas prenatales,repetidas,2024-07-01,2,0,31,1,145,3,31,1,0,0,0,0,214
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2024-07-01,1,0,4,2,2,1,1,0,0,0,0,0,11
VILLA RIVERO,consultas prenatales,repetidas,2024-07-01,0,0,6,0,26,0,1,0,0,0,0,0,33
VILLA SERRANO,consultas prenatales,repetidas,2024-07-01,0,0,9,1,22,14,3,5,1,0,0,0,55
VILLA TUNARI,consultas prenatales,repetidas,2024-07-01,1,0,93,0,423,0,101,4,0,0,0,0,622
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2024-07-01,2,0,6,0,19,0,8,1,0,0,0,0,36
VILLAZON,consultas prenatales,repetidas,2024-07-01,3,0,33,1,175,3,32,1,0,0,0,0,248
VINTO,consultas prenatales,repetidas,2024-07-01,3,0,64,7,341,37,69,11,0,0,0,0,532
VITICHI,consultas prenatales,repetidas,2024-07-01,0,0,4,0,12,1,1,0,0,0,0,0,18
WALDO BALLIVIAN,consultas prenatales,repetidas,2024-07-01,0,0,2,0,6,0,0,0,0,0,0,0,8
WARNES,consultas prenatales,repetidas,2024-07-01,3,0,101,64,401,21,74,2,0,0,0,0,666
YACO,consultas prenatales,repetidas,2024-07-01,0,0,3,1,16,1,2,1,0,0,0,0,24
YACUIBA,consultas prenatales,repetidas,2024-07-01,4,0,49,0,291,6,39,1,0,0,0,0,390
YAMPARAEZ,consultas prenatales,repetidas,2024-07-01,0,0,4,2,12,0,1,0,0,0,0,0,19
YANACACHI,consultas prenatales,repetidas,2024-07-01,0,0,1,0,9,0,3,0,0,0,0,0,13
YAPACANI,consultas prenatales,repetidas,2024-07-01,0,0,22,11,74,67,42,4,2,0,0,0,222
YOCALLA,consultas prenatales,repetidas,2024-07-01,0,0,9,0,14,3,2,3,0,0,0,0,31
YOTALA,consultas prenatales,repetidas,2024-07-01,0,0,4,0,22,0,5,1,0,0,0,0,32
YUNCHARA,consultas prenatales,repetidas,2024-07-01,0,0,2,3,5,8,2,4,0,0,0,0,24
ZUDAÑEZ,consultas prenatales,repetidas,2024-07-01,1,0,6,0,13,1,5,0,0,0,0,0,26
ACACIO,consultas prenatales,repetidas,2024-08-01,0,0,2,0,9,1,2,1,0,0,0,0,15
ACHACACHI,consultas prenatales,repetidas,2024-08-01,0,0,15,1,84,8,11,1,0,0,0,0,120
ACHOCALLA,consultas prenatales,repetidas,2024-08-01,0,0,17,0,136,0,21,0,0,0,0,0,174
AIQUILE,consultas prenatales,repetidas,2024-08-01,0,0,12,0,67,2,13,0,0,0,0,0,94
ALALAY,consultas prenatales,repetidas,2024-08-01,0,0,1,0,2,0,1,1,0,0,0,0,5
ALCALA,consultas prenatales,repetidas,2024-08-01,0,0,1,0,10,0,3,0,0,0,0,0,14
ALTO BENI,consultas prenatales,repetidas,2024-08-01,0,0,7,0,37,0,2,0,0,0,0,0,46
ANCORAIMES,consultas prenatales,repetidas,2024-08-01,0,0,5,0,29,1,4,0,0,0,0,0,39
ANDAMARCA,consultas prenatales,repetidas,2024-08-01,0,0,1,0,5,1,0,0,0,0,0,0,7
ANTEQUERA,consultas prenatales,repetidas,2024-08-01,0,0,3,0,5,2,2,0,0,0,0,0,12
ANZALDO,consultas prenatales,repetidas,2024-08-01,0,1,2,3,14,2,0,0,0,0,0,0,22
APOLO,consultas prenatales,repetidas,2024-08-01,3,0,14,1,67,5,16,1,0,0,0,0,107
ARAMPAMPA,consultas prenatales,repetidas,2024-08-01,0,0,4,2,1,7,0,3,0,0,0,0,17
ARANI,consultas prenatales,repetidas,2024-08-01,0,0,0,1,2,0,21,1,5,0,0,0,30
ARBIETO,consultas prenatales,repetidas,2024-08-01,0,0,13,0,87,0,19,0,0,0,0,0,119
ARQUE,consultas prenatales,repetidas,2024-08-01,1,0,14,3,19,0,5,0,0,0,0,0,42
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2024-08-01,4,0,57,9,131,0,20,5,0,0,0,0,226
ATOCHA,consultas prenatales,repetidas,2024-08-01,0,0,5,0,48,0,5,1,3,0,0,0,62
AUCAPATA,consultas prenatales,repetidas,2024-08-01,0,0,1,0,20,0,1,0,0,0,0,0,22
AYATA,consultas prenatales,repetidas,2024-08-01,0,0,5,1,11,0,3,0,0,0,0,0,20
AYO AYO,consultas prenatales,repetidas,2024-08-01,0,0,5,1,28,5,2,1,0,0,0,0,42
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2024-08-01,0,0,24,1,55,1,8,0,1,0,0,0,90
AZURDUY,consultas prenatales,repetidas,2024-08-01,0,1,11,4,13,5,9,5,0,0,0,0,48
BATALLAS,consultas prenatales,repetidas,2024-08-01,0,0,4,0,44,0,5,0,0,0,0,0,53
BAURES,consultas prenatales,repetidas,2024-08-01,1,0,1,0,9,0,2,0,0,0,0,0,13
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2024-08-01,0,0,0,1,1,3,0,0,0,0,0,0,5
BELEN DE URMIRI,consultas prenatales,repetidas,2024-08-01,0,0,2,0,0,3,0,1,0,0,0,0,6
BELLA FLOR,consultas prenatales,repetidas,2024-08-01,0,0,0,0,9,1,0,0,0,0,0,0,10
BERMEJO,consultas prenatales,repetidas,2024-08-01,0,0,30,0,139,0,52,0,0,0,0,0,221
BETANZOS,consultas prenatales,repetidas,2024-08-01,1,1,24,3,70,8,18,2,0,0,0,0,127
BOLIVAR,consultas prenatales,repetidas,2024-08-01,0,0,3,0,9,1,3,0,0,0,0,0,16
BOLPEBRA,consultas prenatales,repetidas,2024-08-01,0,0,0,1,4,0,0,0,0,0,0,0,5
BOYUIBE,consultas prenatales,repetidas,2024-08-01,0,0,3,1,14,3,1,1,0,0,0,0,23
BUENA VISTA,consultas prenatales,repetidas,2024-08-01,0,0,5,0,34,0,11,0,0,0,0,0,50
CABEZAS,consultas prenatales,repetidas,2024-08-01,0,0,9,0,55,0,7,0,0,0,0,0,71
CAIROMA,consultas prenatales,repetidas,2024-08-01,0,0,6,1,35,1,4,0,0,0,0,0,47
"CAIZA ""D""",consultas prenatales,repetidas,2024-08-01,0,0,7,1,32,0,5,0,0,0,0,0,45
CAJUATA,consultas prenatales,repetidas,2024-08-01,0,0,11,1,61,0,10,0,0,0,0,0,83
CALACOTO,consultas prenatales,repetidas,2024-08-01,0,0,0,1,1,3,0,1,0,0,0,0,6
CALAMARCA,consultas prenatales,repetidas,2024-08-01,0,0,11,4,37,0,3,0,0,0,0,0,55
CAMARGO,consultas prenatales,repetidas,2024-08-01,0,0,5,1,52,5,16,0,0,0,0,0,79
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2024-08-01,0,0,3,0,5,3,2,0,0,0,0,0,13
CAMIRI,consultas prenatales,repetidas,2024-08-01,2,0,28,0,115,1,8,0,0,0,0,0,154
CAPINOTA,consultas prenatales,repetidas,2024-08-01,1,0,15,0,53,0,8,0,0,0,0,0,77
CAQUIAVIRI,consultas prenatales,repetidas,2024-08-01,0,0,2,1,14,0,7,0,0,0,0,0,24
CARACOLLO,consultas prenatales,repetidas,2024-08-01,1,0,8,0,80,0,10,0,0,0,0,0,99
CARANAVI,consultas prenatales,repetidas,2024-08-01,1,0,33,0,206,0,40,1,0,0,0,0,281
CARAPARI,consultas prenatales,repetidas,2024-08-01,0,1,4,0,41,1,10,1,0,0,0,0,58
CARIPUYO,consultas prenatales,repetidas,2024-08-01,0,0,2,0,10,7,0,1,0,0,0,0,20
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2024-08-01,0,0,6,0,16,1,3,0,0,0,0,0,26
CATACORA,consultas prenatales,repetidas,2024-08-01,0,0,0,0,3,0,1,0,0,0,0,0,4
CHACARILLA,consultas prenatales,repetidas,2024-08-01,0,0,1,0,2,0,0,0,0,0,0,0,3
CHALLAPATA,consultas prenatales,repetidas,2024-08-01,0,0,32,0,163,3,19,1,0,0,0,0,218
CHAQUI,consultas prenatales,repetidas,2024-08-01,0,0,4,3,22,4,4,0,0,0,0,0,37
CHARAGUA,consultas prenatales,repetidas,2024-08-01,1,0,25,2,61,3,8,0,1,0,0,0,101
CHARAÑA,consultas prenatales,repetidas,2024-08-01,0,0,1,0,4,0,2,0,0,0,0,0,7
CHAYANTA,consultas prenatales,repetidas,2024-08-01,0,0,12,4,36,7,1,3,0,0,0,0,63
CHIMORE,consultas prenatales,repetidas,2024-08-01,2,0,34,5,117,3,20,0,0,0,0,0,181
CHIPAYA,consultas prenatales,repetidas,2024-08-01,0,0,3,0,6,0,2,0,0,0,0,0,11
CHOQUE COTA,consultas prenatales,repetidas,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CHUA COCANI,consultas prenatales,repetidas,2024-08-01,0,0,1,0,6,0,0,0,0,0,0,0,7
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2024-08-01,0,0,7,0,47,0,12,0,0,0,0,0,66
CHUMA,consultas prenatales,repetidas,2024-08-01,0,0,8,3,15,5,2,0,0,0,0,0,33
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2024-08-01,1,0,7,1,25,2,3,0,0,0,0,0,39
CKOCHAS,consultas prenatales,repetidas,2024-08-01,0,0,9,1,11,6,5,0,0,0,0,0,32
CLIZA,consultas prenatales,repetidas,2024-08-01,0,0,30,0,97,0,31,0,0,0,0,0,158
COBIJA,consultas prenatales,repetidas,2024-08-01,10,0,75,0,404,1,74,1,0,0,0,0,565
COCAPATA,consultas prenatales,repetidas,2024-08-01,1,0,20,6,49,11,7,1,0,0,0,0,95
COCHABAMBA,consultas prenatales,repetidas,2024-08-01,4,0,239,1,3411,13,981,1,0,0,0,0,4650
COIPASA,consultas prenatales,repetidas,2024-08-01,0,0,0,0,1,0,0,0,0,0,0,0,1
COLCAPIRHUA,consultas prenatales,repetidas,2024-08-01,0,0,26,0,226,4,51,5,0,0,0,0,312
"COLCHA ""K""",consultas prenatales,repetidas,2024-08-01,0,0,7,0,27,2,4,1,0,0,0,0,41
COLLANA,consultas prenatales,repetidas,2024-08-01,0,0,4,1,8,0,4,0,0,0,0,0,17
COLOMI,consultas prenatales,repetidas,2024-08-01,1,0,25,0,73,0,18,0,0,0,0,0,117
COLPA BELGICA,consultas prenatales,repetidas,2024-08-01,1,0,8,0,20,0,3,0,0,0,0,0,32
COLQUECHACA,consultas prenatales,repetidas,2024-08-01,0,0,24,0,63,6,10,2,0,0,0,0,105
COLQUENCHA,consultas prenatales,repetidas,2024-08-01,0,0,2,1,39,0,7,0,0,0,0,0,49
COLQUIRI,consultas prenatales,repetidas,2024-08-01,0,1,12,3,48,7,6,0,0,0,0,0,77
COMARAPA,consultas prenatales,repetidas,2024-08-01,0,0,15,0,63,0,14,0,0,0,0,0,92
COMBAYA,consultas prenatales,repetidas,2024-08-01,0,0,0,0,3,1,1,0,0,0,0,0,5
CONCEPCION,consultas prenatales,repetidas,2024-08-01,3,0,21,2,74,3,4,1,0,0,0,0,108
COPACABANA,consultas prenatales,repetidas,2024-08-01,0,0,8,1,35,1,15,0,0,0,0,0,60
CORIPATA,consultas prenatales,repetidas,2024-08-01,0,0,3,0,60,0,11,0,0,0,0,0,74
CORO CORO,consultas prenatales,repetidas,2024-08-01,0,0,5,2,15,3,1,0,0,0,0,0,26
COROICO,consultas prenatales,repetidas,2024-08-01,0,0,14,0,102,7,15,0,0,0,0,0,138
CORQUE,consultas prenatales,repetidas,2024-08-01,0,0,3,0,14,2,4,0,0,0,0,0,23
COTAGAITA,consultas prenatales,repetidas,2024-08-01,0,0,9,0,60,1,10,1,0,0,0,0,81
COTOCA,consultas prenatales,repetidas,2024-08-01,1,0,76,0,339,0,36,0,0,0,0,0,452
CUATRO CAÑADAS,consultas prenatales,repetidas,2024-08-01,1,0,15,0,89,0,9,0,0,0,0,0,114
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2024-08-01,0,0,1,0,8,0,1,0,0,0,0,0,10
CUEVO,consultas prenatales,repetidas,2024-08-01,0,0,2,0,9,0,2,0,0,0,0,0,13
CULPINA,consultas prenatales,repetidas,2024-08-01,1,0,9,0,40,11,5,3,0,0,0,0,69
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2024-08-01,0,0,1,0,9,0,1,0,0,0,0,0,11
CURVA,consultas prenatales,repetidas,2024-08-01,0,0,1,0,7,1,0,0,0,0,0,0,9
DESAGUADERO,consultas prenatales,repetidas,2024-08-01,0,0,3,0,25,0,5,0,0,0,0,0,33
EL ALTO,consultas prenatales,repetidas,2024-08-01,5,0,320,90,3378,710,724,136,0,0,0,0,5363
EL CHORO,consultas prenatales,repetidas,2024-08-01,0,0,3,0,7,0,0,0,0,0,0,0,10
EL PUENTE(STC),consultas prenatales,repetidas,2024-08-01,0,0,7,0,34,0,4,0,0,0,0,0,45
EL PUENTE(TJA),consultas prenatales,repetidas,2024-08-01,0,0,4,0,23,1,5,0,0,0,0,0,33
EL TORNO,consultas prenatales,repetidas,2024-08-01,10,0,64,0,237,0,42,0,0,0,1,0,354
EL VILLAR,consultas prenatales,repetidas,2024-08-01,0,0,2,1,3,3,0,0,0,0,0,0,9
ENTRE RIOS TRJ,consultas prenatales,repetidas,2024-08-01,0,0,6,2,59,0,8,1,0,0,0,0,76
ENTRE RIOS CBBA,consultas prenatales,repetidas,2024-08-01,0,0,43,0,197,0,37,0,0,0,0,0,277
ESCARA,consultas prenatales,repetidas,2024-08-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ESCOMA,consultas prenatales,repetidas,2024-08-01,1,0,2,0,12,0,1,0,0,0,0,0,16
ESMERALDA,consultas prenatales,repetidas,2024-08-01,0,0,0,0,1,0,1,0,0,0,0,0,2
EUCALIPTUS,consultas prenatales,repetidas,2024-08-01,0,0,2,0,14,0,2,0,0,0,0,0,18
