,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,68,48,68,48,116
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,10,15,10,15,25
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,38,18,38,18,56
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,6,2,6,8
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,1,1,1,2
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,22,5,22,27
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,3,1,3,4
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,0,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,13,7,13,20
APOLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,18,10,18,10,28
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,12,2,12,14
ARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,9,7,9,16
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,13,10,13,10,23
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,22,6,22,6,28
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,56,8,56,8,64
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,2,6,2,8
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,3,0,3,3
AYATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,13,6,13,19
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,16,3,16,3,19
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,20,25,20,25,45
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,15,4,15,19
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,23,9,23,9,32
BAURES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,16,3,16,3,19
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,1,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,7,0,7,7
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,68,17,68,17,85
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,28,27,28,27,55
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,5,6,5,11
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,3,0,3,3
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,2,7,2,9
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,17,15,17,32
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,47,57,47,57,104
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,8,5,8,5,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,14,0,14,14
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,18,2,18,2,20
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,6,1,6,7
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,6,11,6,17
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,20,6,20,6,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,64,8,64,8,72
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,27,14,27,14,41
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,7,0,7,7
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,17,36,17,36,53
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,89,38,89,38,127
CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,13,10,13,10,23
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,14,4,14,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,4,11,4,15
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,48,15,48,15,63
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,9,5,9,5,14
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,23,64,23,64,87
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,3,2,3,5
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,16,15,16,31
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,25,12,25,12,37
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,0,4,0,4
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,24,14,24,14,38
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,15,7,15,22
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,25,12,25,12,37
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,87,4,87,4,91
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1315,19,1315,19,1334
COIPASA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,5,0,5,5
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,74,2,74,2,76
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,9,10,9,10,19
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,3,1,3,4
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,42,5,42,5,47
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,10,4,10,4,14
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,21,74,21,74,95
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,1,11,1,12
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,20,27,20,27,47
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,4,2,4,6
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,31,2,31,2,33
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,7,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,26,5,26,5,31
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,8,10,8,10,18
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,25,10,25,10,35
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,11,5,11,16
COROICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,19,8,19,8,27
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,1,3,1,4
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,21,26,21,26,47
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,116,15,116,15,131
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,27,17,27,17,44
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,2,3,2,5
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,10,1,10,11
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,13,15,13,15,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,6,4,6,10
CURVA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,5,0,5,5
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,5,4,5,9
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1655,29,1655,29,1684
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,5,6,5,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,7,15,7,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,9,5,9,5,14
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,85,4,85,4,89
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,1,3,1,4
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,53,14,53,14,67
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,31,13,31,13,44
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,2,4,2,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,1,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,29,1,29,1,30
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,3,3,3,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,24,12,24,12,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,14,7,14,21
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,20,6,20,6,26
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,4,1,4,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,81,22,81,22,103
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,21,9,21,9,30
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,13,4,13,4,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,7,0,7,7
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,50,9,50,9,59
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,0,7,0,7
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,5,5,5,10
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,13,0,13,13
ICLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,5,3,5,8
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,22,15,22,15,37
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,25,4,25,29
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,15,5,15,20
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,8,3,8,3,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,5,6,5,11
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,59,24,59,24,83
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,131,10,131,10,141
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1321,21,1321,21,1342
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,6,7,6,13
LAJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,21,9,21,9,30
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,1,3,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,0,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,37,80,37,80,117
LLICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,4,11,4,15
LORETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,17,4,17,21
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,7,6,7,13
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,1,6,1,7
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,4,11,4,15
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,12,6,12,6,18
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,23,0,23,0,23
MALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,5,4,5,9
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,19,7,19,7,26
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,7,6,7,13
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,46,14,46,14,60
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,32,31,32,31,63
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,22,15,22,37
MOJINETE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,1,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,10,2,10,2,12
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,36,10,36,10,46
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,237,14,237,14,251
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,18,61,18,61,79
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,2,0,2,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,1,0,1,1
OCURI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,42,11,42,53
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,19,4,19,4,23
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,3,5,3,8
ORURO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,574,20,574,20,594
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,19,7,19,7,26
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,14,2,14,2,16
PAILON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,52,37,52,37,89
PALCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,11,15,11,26
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,48,20,48,20,68
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,9,1,9,1,10
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,10,1,10,11
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,6,2,6,8
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,42,4,42,4,46
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,9,3,9,3,12
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,5,7,5,12
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,48,6,48,54
POCONA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,16,15,16,31
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,20,15,20,35
POOPO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,0,7,0,7
PORCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,13,7,13,7,20
POROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,18,15,18,33
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,10,10,10,10,20
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,38,2,38,2,40
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,3,11,3,14
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,2,1,2,3
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,358,12,358,12,370
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,9,2,9,11
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,1,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,22,9,22,9,31
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,18,20,18,20,38
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,16,6,16,22
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,12,1,12,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,5,1,5,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,31,14,31,14,45
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,3,4,3,7
PUERTO SILES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,23,3,23,3,26
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,111,25,111,25,136
PUNA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,26,37,26,37,63
PUNATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,48,1,48,1,49
QUIABAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,209,13,209,13,222
QUIME,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,2,7,2,9
QUIRUSILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,1,1,1,2
RAVELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,13,37,13,37,50
REYES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,20,15,20,15,35
RIBERALTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,254,21,254,21,275
ROBORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,35,7,35,7,42
RURRENABAQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,29,12,29,12,41
SABAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,3,2,3,5
SACABA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,218,55,218,55,273
SACABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,5,2,5,7
SACACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,20,15,20,35
SAIPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,9,7,9,16
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,11,4,11,15
SAMAIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,12,2,12,2,14
SAN ANDRES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,10,16,10,16,26
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,2,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,6,3,6,9
SAN BENITO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,16,4,16,4,20
SAN BORJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,78,104,78,104,182
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,24,7,24,7,31
SAN CARLOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,52,3,52,3,55
SAN IGNACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,35,15,35,15,50
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,91,23,91,23,114
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,7,4,7,11
SAN JAVIER(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,36,11,36,11,47
SAN JOAQUIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,1,11,1,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,41,4,41,4,45
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,14,9,14,9,23
SAN JULIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,65,32,65,32,97
SAN LORENZO(PND),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,9,1,9,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,19,8,19,8,27
SAN LUCAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,23,35,23,35,58
SAN MATIAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,36,0,36,0,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,12,4,12,4,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,2,0,2,2
SAN PEDRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,24,1,24,1,25
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,25,48,25,48,73
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,2,2,2,4
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,12,4,12,4,16
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,1,15,1,16
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,9,7,9,16
SANTA ANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,9,15,9,24
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2753,67,2753,67,2820
SANTA ROSA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,16,8,16,8,24
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,26,2,26,2,28
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,9,3,9,12
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,14,1,14,15
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,7,0,7,7
