,group,variable,month,BCG,BCG,TOTALES,TOTALES,TOTALES
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2009-07-01,23,3,23,3,26
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2009-07-01,7,5,7,5,12
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2009-07-01,47,5,47,5,52
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2009-07-01,115,7,115,7,122
PUNA,vacunaciones en menores de 1 ano,bcg,2009-07-01,13,65,13,65,78
PUNATA,vacunaciones en menores de 1 ano,bcg,2009-07-01,90,2,90,2,92
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2009-07-01,169,1,169,1,170
QUIME,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,12,0,12,12
QUIRUSILLAS,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,bcg,2009-07-01,3,37,3,37,40
REYES,vacunaciones en menores de 1 ano,bcg,2009-07-01,10,8,10,8,18
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2009-07-01,248,7,248,7,255
ROBORE,vacunaciones en menores de 1 ano,bcg,2009-07-01,12,13,12,13,25
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2009-07-01,26,19,26,19,45
SABAYA,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,1,1,1,2
SACABA,vacunaciones en menores de 1 ano,bcg,2009-07-01,220,11,220,11,231
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2009-07-01,10,2,10,2,12
SACACA,vacunaciones en menores de 1 ano,bcg,2009-07-01,13,20,13,20,33
SAIPINA,vacunaciones en menores de 1 ano,bcg,2009-07-01,3,2,3,2,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,4,2,4,6
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2009-07-01,4,0,4,0,4
SAN AGUSTIN,vacunaciones en menores de 1 ano,bcg,2009-07-01,7,0,7,0,7
SAN ANDRES,vacunaciones en menores de 1 ano,bcg,2009-07-01,9,7,9,7,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,6,2,6,8
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2009-07-01,3,6,3,6,9
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2009-07-01,16,5,16,5,21
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2009-07-01,54,103,54,103,157
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2009-07-01,6,5,6,5,11
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2009-07-01,45,7,45,7,52
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2009-07-01,39,2,39,2,41
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2009-07-01,125,6,125,6,131
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,bcg,2009-07-01,1,5,1,5,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2009-07-01,28,4,28,4,32
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2009-07-01,7,5,7,5,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2009-07-01,35,0,35,0,35
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2009-07-01,12,5,12,5,17
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2009-07-01,67,7,67,7,74
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2009-07-01,3,12,3,12,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2009-07-01,10,7,10,7,17
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2009-07-01,30,31,30,31,61
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2009-07-01,32,0,32,0,32
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2009-07-01,16,5,16,5,21
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,3,1,3,4
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2009-07-01,32,1,32,1,33
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2009-07-01,31,30,31,30,61
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,9,2,9,11
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,1,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,3,2,3,5
SAN RAMON,vacunaciones en menores de 1 ano,bcg,2009-07-01,15,0,15,0,15
SAN RAMON,vacunaciones en menores de 1 ano,bcg,2009-07-01,3,6,3,6,9
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2009-07-01,22,5,22,5,27
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2009-07-01,3119,139,3119,139,3258
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2009-07-01,8,4,8,4,12
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2009-07-01,18,3,18,3,21
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,11,0,11,11
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,11,0,11,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,3,1,3,4
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,15,1,15,16
SENA,vacunaciones en menores de 1 ano,bcg,2009-07-01,5,0,5,0,5
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2009-07-01,13,26,13,26,39
SICAYA,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,9,0,9,9
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2009-07-01,46,9,46,9,55
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2009-07-01,8,3,8,3,11
SORACACHI,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,11,2,11,13
SORATA,vacunaciones en menores de 1 ano,bcg,2009-07-01,16,27,16,27,43
SUCRE,vacunaciones en menores de 1 ano,bcg,2009-07-01,516,16,516,16,532
TACACHI,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,bcg,2009-07-01,8,8,8,8,16
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2009-07-01,3,17,3,17,20
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2009-07-01,9,2,9,2,11
TAHUA,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,2,1,2,3
TAPACARI,vacunaciones en menores de 1 ano,bcg,2009-07-01,27,27,27,27,54
TARABUCO,vacunaciones en menores de 1 ano,bcg,2009-07-01,31,11,31,11,42
TARACO,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,4,0,4,4
TARATA,vacunaciones en menores de 1 ano,bcg,2009-07-01,8,1,8,1,9
TARIJA,vacunaciones en menores de 1 ano,bcg,2009-07-01,423,11,423,11,434
TARVITA,vacunaciones en menores de 1 ano,bcg,2009-07-01,14,18,14,18,32
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2009-07-01,7,6,7,6,13
TIAWANACU,vacunaciones en menores de 1 ano,bcg,2009-07-01,11,15,11,15,26
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2009-07-01,18,31,18,31,49
TIPUANI,vacunaciones en menores de 1 ano,bcg,2009-07-01,22,1,22,1,23
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2009-07-01,86,6,86,6,92
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2009-07-01,94,13,94,13,107
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,bcg,2009-07-01,2,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,1,2,1,3
TOLATA,vacunaciones en menores de 1 ano,bcg,2009-07-01,5,3,5,3,8
TOLEDO,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,5,1,5,6
TOMAVE,vacunaciones en menores de 1 ano,bcg,2009-07-01,5,18,5,18,23
TOMINA,vacunaciones en menores de 1 ano,bcg,2009-07-01,11,3,11,3,14
TORO TORO,vacunaciones en menores de 1 ano,bcg,2009-07-01,11,14,11,14,25
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2009-07-01,22,9,22,9,31
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2009-07-01,4,5,4,5,9
TRIGAL,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2009-07-01,303,0,303,0,303
TUPIZA,vacunaciones en menores de 1 ano,bcg,2009-07-01,67,8,67,8,75
TURCO,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,4,1,4,5
UMALA,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,22,0,22,22
UNCIA,vacunaciones en menores de 1 ano,bcg,2009-07-01,20,39,20,39,59
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2009-07-01,11,2,11,2,13
URUBICHA,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,10,0,10,10
UYUNI,vacunaciones en menores de 1 ano,bcg,2009-07-01,58,11,58,11,69
VACAS,vacunaciones en menores de 1 ano,bcg,2009-07-01,4,21,4,21,25
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2009-07-01,27,1,27,1,28
VIACHA,vacunaciones en menores de 1 ano,bcg,2009-07-01,59,9,59,9,68
VILA VILA,vacunaciones en menores de 1 ano,bcg,2009-07-01,0,12,0,12,12
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2009-07-01,59,4,59,4,63
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,bcg,2009-07-01,2,2,2,2,4
VILLA RIVERO,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,2,2,2,4
VILLA SERRANO,vacunaciones en menores de 1 ano,bcg,2009-07-01,4,4,4,4,8
VILLA TUNARI,vacunaciones en menores de 1 ano,bcg,2009-07-01,140,22,140,22,162
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,bcg,2009-07-01,7,2,7,2,9
VILLAZON,vacunaciones en menores de 1 ano,bcg,2009-07-01,60,3,60,3,63
VINTO,vacunaciones en menores de 1 ano,bcg,2009-07-01,99,5,99,5,104
VITICHI,vacunaciones en menores de 1 ano,bcg,2009-07-01,5,12,5,12,17
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,2,1,2,3
WARNES,vacunaciones en menores de 1 ano,bcg,2009-07-01,124,9,124,9,133
YACO,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,11,2,11,13
YACUIBA,vacunaciones en menores de 1 ano,bcg,2009-07-01,175,13,175,13,188
YAMPARAEZ,vacunaciones en menores de 1 ano,bcg,2009-07-01,7,2,7,2,9
YANACACHI,vacunaciones en menores de 1 ano,bcg,2009-07-01,2,1,2,1,3
YAPACANI,vacunaciones en menores de 1 ano,bcg,2009-07-01,66,7,66,7,73
YOCALLA,vacunaciones en menores de 1 ano,bcg,2009-07-01,5,2,5,2,7
YOTALA,vacunaciones en menores de 1 ano,bcg,2009-07-01,15,2,15,2,17
YUNCHARA,vacunaciones en menores de 1 ano,bcg,2009-07-01,1,5,1,5,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,bcg,2009-07-01,8,1,8,1,9
ACACIO,vacunaciones en menores de 1 ano,bcg,2009-08-01,6,3,6,3,9
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2009-08-01,53,48,53,48,101
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2009-08-01,4,24,4,24,28
AIQUILE,vacunaciones en menores de 1 ano,bcg,2009-08-01,45,7,45,7,52
ALALAY,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,5,2,5,7
ALCALA,vacunaciones en menores de 1 ano,bcg,2009-08-01,7,2,7,2,9
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2009-08-01,5,6,5,6,11
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,5,0,5,5
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,4,2,4,6
ANZALDO,vacunaciones en menores de 1 ano,bcg,2009-08-01,8,13,8,13,21
APOLO,vacunaciones en menores de 1 ano,bcg,2009-08-01,24,16,24,16,40
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2009-08-01,4,4,4,4,8
ARANI,vacunaciones en menores de 1 ano,bcg,2009-08-01,11,4,11,4,15
ARBIETO,vacunaciones en menores de 1 ano,bcg,2009-08-01,7,16,7,16,23
ARQUE,vacunaciones en menores de 1 ano,bcg,2009-08-01,22,4,22,4,26
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2009-08-01,65,8,65,8,73
ATOCHA,vacunaciones en menores de 1 ano,bcg,2009-08-01,9,4,9,4,13
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,6,1,6,7
AYATA,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,12,1,12,13
AYO AYO,vacunaciones en menores de 1 ano,bcg,2009-08-01,3,12,3,12,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2009-08-01,28,26,28,26,54
AZURDUY,vacunaciones en menores de 1 ano,bcg,2009-08-01,6,7,6,7,13
BATALLAS,vacunaciones en menores de 1 ano,bcg,2009-08-01,20,12,20,12,32
BAURES,vacunaciones en menores de 1 ano,bcg,2009-08-01,7,0,7,0,7
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,3,0,3,3
BERMEJO,vacunaciones en menores de 1 ano,bcg,2009-08-01,45,5,45,5,50
BETANZOS,vacunaciones en menores de 1 ano,bcg,2009-08-01,18,29,18,29,47
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2009-08-01,4,8,4,8,12
BOLPEBRA,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,2,1,2,3
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2009-08-01,14,3,14,3,17
CABEZAS,vacunaciones en menores de 1 ano,bcg,2009-08-01,17,13,17,13,30
CAIROMA,vacunaciones en menores de 1 ano,bcg,2009-08-01,9,4,9,4,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2009-08-01,3,12,3,12,15
CAJUATA,vacunaciones en menores de 1 ano,bcg,2009-08-01,17,0,17,0,17
CALACOTO,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,3,1,3,4
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2009-08-01,6,12,6,12,18
CAMARGO,vacunaciones en menores de 1 ano,bcg,2009-08-01,18,7,18,7,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2009-08-01,4,1,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,bcg,2009-08-01,59,0,59,0,59
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2009-08-01,22,4,22,4,26
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,10,0,10,10
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2009-08-01,17,14,17,14,31
CARANAVI,vacunaciones en menores de 1 ano,bcg,2009-08-01,125,35,125,35,160
CARAPARI,vacunaciones en menores de 1 ano,bcg,2009-08-01,10,3,10,3,13
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2009-08-01,11,10,11,10,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2009-08-01,5,1,5,1,6
CHACARILLA,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2009-08-01,47,13,47,13,60
CHAQUI,vacunaciones en menores de 1 ano,bcg,2009-08-01,4,8,4,8,12
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2009-08-01,20,33,20,33,53
CHARAÑA,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,3,1,3,4
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2009-08-01,11,24,11,24,35
CHIMORE,vacunaciones en menores de 1 ano,bcg,2009-08-01,17,11,17,11,28
CHIPAYA,vacunaciones en menores de 1 ano,bcg,2009-08-01,3,0,3,0,3
CHOQUE COTA,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2009-08-01,24,8,24,8,32
CHUMA,vacunaciones en menores de 1 ano,bcg,2009-08-01,4,9,4,9,13
CLIZA,vacunaciones en menores de 1 ano,bcg,2009-08-01,16,5,16,5,21
COBIJA,vacunaciones en menores de 1 ano,bcg,2009-08-01,107,0,107,0,107
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2009-08-01,1501,26,1501,26,1527
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2009-08-01,71,0,71,0,71
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2009-08-01,8,14,8,14,22
COLLANA,vacunaciones en menores de 1 ano,bcg,2009-08-01,3,2,3,2,5
COLOMI,vacunaciones en menores de 1 ano,bcg,2009-08-01,16,13,16,13,29
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2009-08-01,3,1,3,1,4
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2009-08-01,27,72,27,72,99
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2009-08-01,6,15,6,15,21
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2009-08-01,3,31,3,31,34
COMANCHE,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,4,0,4,4
COMARAPA,vacunaciones en menores de 1 ano,bcg,2009-08-01,34,0,34,0,34
COMBAYA,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,4,0,4,4
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2009-08-01,33,12,33,12,45
COPACABANA,vacunaciones en menores de 1 ano,bcg,2009-08-01,14,12,14,12,26
CORIPATA,vacunaciones en menores de 1 ano,bcg,2009-08-01,12,8,12,8,20
CORO CORO,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,9,0,9,9
COROICO,vacunaciones en menores de 1 ano,bcg,2009-08-01,33,2,33,2,35
CORQUE,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,6,2,6,8
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2009-08-01,9,21,9,21,30
COTOCA,vacunaciones en menores de 1 ano,bcg,2009-08-01,84,5,84,5,89
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2009-08-01,21,23,21,23,44
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2009-08-01,0,1,0,1,1
CUEVO,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,6,2,6,8
CULPINA,vacunaciones en menores de 1 ano,bcg,2009-08-01,17,18,17,18,35
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,4,1,4,5
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2009-08-01,5,6,5,6,11
EL ALTO,vacunaciones en menores de 1 ano,bcg,2009-08-01,1566,0,1566,0,1566
EL CHORO,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,12,2,12,14
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2009-08-01,12,5,12,5,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2009-08-01,5,12,5,12,17
EL TORNO,vacunaciones en menores de 1 ano,bcg,2009-08-01,49,2,49,2,51
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2009-08-01,5,1,5,1,6
ENTRE RIOS,vacunaciones en menores de 1 ano,bcg,2009-08-01,31,9,31,9,40
ENTRE RIOS,vacunaciones en menores de 1 ano,bcg,2009-08-01,19,15,19,15,34
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2009-08-01,10,1,10,1,11
EXALTACION,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,2,2,2,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2009-08-01,9,12,9,12,21
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,2,2,2,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2009-08-01,22,17,22,17,39
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2009-08-01,7,17,7,17,24
GUANAY,vacunaciones en menores de 1 ano,bcg,2009-08-01,14,15,14,15,29
GUAQUI,vacunaciones en menores de 1 ano,bcg,2009-08-01,6,7,6,7,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2009-08-01,99,8,99,8,107
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2009-08-01,16,4,16,4,20
HUACARETA,vacunaciones en menores de 1 ano,bcg,2009-08-01,9,1,9,1,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,bcg,2009-08-01,1,3,1,3,4
HUACHACALLA,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,bcg,2009-08-01,32,3,32,3,35
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2009-08-01,5,0,5,0,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,3,2,3,5
ICHOCA,vacunaciones en menores de 1 ano,bcg,2009-08-01,3,15,3,15,18
ICLA,vacunaciones en menores de 1 ano,bcg,2009-08-01,11,3,11,3,14
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2009-08-01,35,17,35,17,52
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2009-08-01,4,14,4,14,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2009-08-01,7,17,7,17,24
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2009-08-01,6,6,6,6,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2009-08-01,5,6,5,6,11
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2009-08-01,66,20,66,20,86
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2009-08-01,72,2,72,2,74
LA PAZ,vacunaciones en menores de 1 ano,bcg,2009-08-01,1692,0,1692,0,1692
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,4,1,4,5
LAJA,vacunaciones en menores de 1 ano,bcg,2009-08-01,11,13,11,13,24
LAS CARRERAS,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,0,1,0,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,2,0,2,2
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2009-08-01,19,69,19,69,88
LLICA,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,7,2,7,9
LORETO,vacunaciones en menores de 1 ano,bcg,2009-08-01,3,6,3,6,9
LURIBAY,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,5,2,5,7
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2009-08-01,7,4,7,4,11
MACHARETI,vacunaciones en menores de 1 ano,bcg,2009-08-01,5,4,5,4,9
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2009-08-01,9,10,9,10,19
MAIRANA,vacunaciones en menores de 1 ano,bcg,2009-08-01,17,0,17,0,17
MALLA,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,1,2,1,3
MAPIRI,vacunaciones en menores de 1 ano,bcg,2009-08-01,26,4,26,4,30
MECAPACA,vacunaciones en menores de 1 ano,bcg,2009-08-01,9,9,9,9,18
MINEROS,vacunaciones en menores de 1 ano,bcg,2009-08-01,25,1,25,1,26
MIZQUE,vacunaciones en menores de 1 ano,bcg,2009-08-01,42,19,42,19,61
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2009-08-01,6,17,6,17,23
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2009-08-01,6,1,6,1,7
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2009-08-01,51,5,51,5,56
MONTERO,vacunaciones en menores de 1 ano,bcg,2009-08-01,230,4,230,4,234
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2009-08-01,20,71,20,71,91
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,bcg,2009-08-01,2,2,2,2,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,3,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,bcg,2009-08-01,0,1,0,1,1
OCURI,vacunaciones en menores de 1 ano,bcg,2009-08-01,18,32,18,32,50
OKINAWA,vacunaciones en menores de 1 ano,bcg,2009-08-01,7,1,7,1,8
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2009-08-01,1,4,1,4,5
ORURO,vacunaciones en menores de 1 ano,bcg,2009-08-01,483,9,483,9,492
PADCAYA,vacunaciones en menores de 1 ano,bcg,2009-08-01,18,10,18,10,28
PADILLA,vacunaciones en menores de 1 ano,bcg,2009-08-01,15,1,15,1,16
PAILON,vacunaciones en menores de 1 ano,bcg,2009-08-01,30,52,30,52,82
PALCA,vacunaciones en menores de 1 ano,bcg,2009-08-01,13,30,13,30,43
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2009-08-01,32,9,32,9,41
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,1,2,1,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2009-08-01,14,1,14,1,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,9,0,9,9
PASORAPA,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,0,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2009-08-01,51,3,51,3,54
PAZÑA,vacunaciones en menores de 1 ano,bcg,2009-08-01,7,4,7,4,11
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2009-08-01,3,10,3,10,13
POCOATA,vacunaciones en menores de 1 ano,bcg,2009-08-01,5,44,5,44,49
POCONA,vacunaciones en menores de 1 ano,bcg,2009-08-01,25,10,25,10,35
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2009-08-01,23,9,23,9,32
POOPO,vacunaciones en menores de 1 ano,bcg,2009-08-01,0,9,0,9,9
PORCO,vacunaciones en menores de 1 ano,bcg,2009-08-01,17,0,17,0,17
POROMA,vacunaciones en menores de 1 ano,bcg,2009-08-01,23,19,23,19,42
PORONGO,vacunaciones en menores de 1 ano,bcg,2009-08-01,10,13,10,13,23
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2009-08-01,40,0,40,0,40
PORVENIR,vacunaciones en menores de 1 ano,bcg,2009-08-01,2,4,2,4,6
POSTRER VALLE,vacunaciones en menores de 1 ano,bcg,2009-08-01,4,1,4,1,5
POTOSI,vacunaciones en menores de 1 ano,bcg,2009-08-01,463,7,463,7,470
