,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES,TOTALES,TOTALES
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,25,12,25,12,37
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,53,2,53,2,55
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,3,4,3,7
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,5,0,5,5
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,4,4,4,8
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,12,1,12,1,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,32,44,32,44,76
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,19,10,19,10,29
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,24,13,24,13,37
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,7,3,7,3,10
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,2,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,2,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,73,36,73,36,109
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,44,30,44,30,74
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,10,15,10,15,25
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,2,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,3,5,3,8
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,12,17,12,17,29
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,32,40,32,40,72
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,9,9,9,18
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,13,1,13,14
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,18,0,18,0,18
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,7,10,7,10,17
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,13,6,13,6,19
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,13,9,13,9,22
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,49,11,49,11,60
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,23,21,23,21,44
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,11,0,11,11
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,20,33,20,33,53
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,104,40,104,40,144
CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,15,9,15,9,24
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,31,6,31,37
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,9,2,9,11
CATACORA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,47,14,47,14,61
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,13,6,13,19
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,20,64,20,64,84
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,3,4,3,7
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,24,21,24,21,45
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,23,17,23,17,40
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,24,15,24,15,39
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,8,11,8,11,19
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,21,17,21,38
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,107,2,107,2,109
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1350,57,1350,57,1407
COIPASA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,2,2,2,4
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,73,1,73,1,74
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,14,6,14,6,20
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,3,1,3,4
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,49,16,49,16,65
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,5,9,5,14
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,23,86,23,86,109
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,10,2,10,2,12
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,15,48,15,48,63
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,6,1,6,7
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,15,17,15,32
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,6,0,6,6
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,22,8,22,8,30
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,14,9,14,23
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,21,3,21,3,24
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,3,3,3,6
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,8,9,8,17
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,4,1,4,5
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,25,45,25,45,70
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,99,26,99,26,125
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,15,17,15,17,32
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,3,3,3,6
CUEVO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,2,2,2,4
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,27,16,27,16,43
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,16,4,16,20
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,2,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,8,2,8,10
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1663,50,1663,50,1713
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,5,5,5,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,13,7,13,7,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,10,4,10,4,14
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,90,4,90,4,94
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,1,4,1,5
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,34,42,34,42,76
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,28,8,28,8,36
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,2,9,2,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,5,0,5,5
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,0,5,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,36,4,36,4,40
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,3,5,3,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,40,15,40,15,55
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,21,9,21,30
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,18,7,18,7,25
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,9,4,9,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,86,47,86,47,133
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,28,8,28,8,36
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,16,4,16,4,20
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,1,1,1,2
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,1,1,1,2
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,44,10,44,10,54
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,0,6,0,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,5,5,5,10
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,11,1,11,12
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,10,10,10,10,20
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,41,32,41,32,73
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,15,4,15,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,11,14,11,14,25
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,4,9,4,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,2,9,2,11
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,48,26,48,26,74
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,118,19,118,19,137
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1399,26,1399,26,1425
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,2,6,2,8
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,15,17,15,32
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,2,2,2,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,8,0,8,0,8
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,46,81,46,81,127
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,3,2,3,5
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,11,2,11,13
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,10,6,10,6,16
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,1,9,1,10
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,14,9,14,9,23
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,13,2,13,2,15
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,19,0,19,0,19
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,6,3,6,9
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,18,7,18,7,25
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,18,5,18,23
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,44,11,44,11,55
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,27,27,27,27,54
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,14,17,14,17,31
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,2,4,2,6
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,30,14,30,14,44
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,207,19,207,19,226
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,3,3,3,6
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,29,73,29,73,102
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,5,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,3,2,3,5
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,8,35,8,35,43
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,22,2,22,2,24
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,14,6,14,20
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,575,33,575,33,608
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,13,9,13,9,22
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,7,8,7,8,15
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,31,32,31,32,63
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,13,17,13,17,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,30,16,30,16,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,1,9,1,10
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,15,1,15,1,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,4,5,4,9
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,4,0,4,4
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,35,4,35,4,39
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,1,3,1,4
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,5,4,5,9
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,8,51,8,51,59
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,15,27,15,27,42
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,27,17,27,44
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,1,9,1,10
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,18,16,18,16,34
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,19,21,19,21,40
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,11,10,11,10,21
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,45,6,45,6,51
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,8,4,8,4,12
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,429,19,429,19,448
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,23,5,23,28
PUCARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,2,1,2,3
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,49,19,49,19,68
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,27,17,27,44
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,7,21,7,21,28
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,12,4,12,16
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,10,3,10,13
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,32,10,32,10,42
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,2,5,2,7
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,33,7,33,7,40
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,110,26,110,26,136
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,41,61,41,61,102
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,46,5,46,5,51
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,3,6,3,9
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,200,33,200,33,233
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,4,6,4,10
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,2,2,2,4
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,32,9,32,41
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,27,7,27,7,34
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,225,47,225,47,272
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,36,4,36,4,40
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,37,10,37,10,47
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,3,3,3,6
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,244,154,244,154,398
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,7,6,7,6,13
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,22,17,22,39
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,3,3,3,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,12,9,12,21
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,5,17,5,22
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,17,6,17,23
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,3,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,1,4,1,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,3,9,3,9,12
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,20,2,20,2,22
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,80,73,80,73,153
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,16,11,16,11,27
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,36,2,36,2,38
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,34,15,34,15,49
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,96,48,96,48,144
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,8,2,8,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,6,17,6,23
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,0,6,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,43,2,43,2,45
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,14,6,14,6,20
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,47,26,47,26,73
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,11,5,11,16
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,23,9,23,9,32
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,44,45,44,45,89
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,23,1,23,1,24
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,23,15,23,15,38
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,1,5,1,6
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,22,1,22,1,23
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,29,55,29,55,84
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,4,2,4,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,4,2,4,2,6
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,7,4,7,4,11
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,1,17,1,18
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,5,9,5,9,14
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,17,9,17,9,26
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2507,95,2507,95,2602
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,8,9,8,17
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,27,8,27,8,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,12,2,12,14
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,13,1,13,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,0,2,0,2,2
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,2,3,2,3,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,6,5,6,5,11
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,8,11,8,11,19
SENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,13,1,13,1,14
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,19,29,19,29,48
SICAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,11,1,11,12
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,74,29,74,29,103
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,8,5,8,5,13
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,14,9,14,23
SORATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,33,9,33,42
SUCRE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,586,35,586,35,621
TACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,2,9,2,11
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,9,25,9,25,34
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-07-01,18,14,18,14,32
