,group,variable,month,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,TOTALES,TOTALES,TOTALES
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,3,1,3,4
EL ALTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1592,3,1592,3,1595
EL CHORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,3,3,3,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,22,11,22,11,33
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,10,3,10,3,13
EL TORNO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,63,1,63,1,64
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,3,6,3,9
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,68,8,68,8,76
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,21,9,21,9,30
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,4,6,4,10
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,5,1,5,6
EXALTACION,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,32,2,32,2,34
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,12,7,12,19
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,33,0,33,0,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,20,7,20,27
GUANAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,16,9,16,9,25
GUAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,5,6,5,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,87,14,87,14,101
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,16,16,16,16,32
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,16,2,16,2,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,0,1,0,1
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,26,0,26,0,26
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,10,0,10,0,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,1,1,1,2
ICHOCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,6,4,6,10
ICLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,11,7,11,18
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,40,31,40,31,71
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,0,1,0,1
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,15,5,15,20
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,11,5,11,5,16
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,18,18,18,18,36
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,10,10,10,10,20
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,60,5,60,5,65
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,115,4,115,4,119
LA PAZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1316,1,1316,1,1317
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,2,4,2,6
LAJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,5,7,5,12
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,3,4,3,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,0,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,56,46,56,46,102
LLICA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,1,3,1,4
LORETO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,11,6,11,17
LURIBAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,9,1,9,1,10
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,0,8,0,8
MACHARETI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,11,7,11,7,18
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,17,8,17,8,25
MAIRANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,13,0,13,0,13
MALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,3,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,14,5,14,5,19
MECAPACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,11,12,11,12,23
MINEROS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,54,2,54,2,56
MIZQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,32,10,32,10,42
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,15,8,15,8,23
MOJINETE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,2,0,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,13,4,13,4,17
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,34,0,34,0,34
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,277,12,277,12,289
MORO MORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,2,3,2,5
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,11,49,11,49,60
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,1,1,1,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,5,0,5,5
OCURI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,27,7,27,34
OKINAWA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,18,2,18,2,20
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,5,6,5,11
ORURO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,492,7,492,7,499
PADCAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,17,9,17,9,26
PADILLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,9,6,9,6,15
PAILON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,49,23,49,23,72
PALCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,11,5,11,16
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,49,5,49,5,54
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,0,3,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,16,0,16,0,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,1,0,1,1
PASORAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,1,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,31,11,31,11,42
PAZÑA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,1,5,1,6
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,10,3,10,13
POCOATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,46,7,46,53
POCONA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,12,4,12,4,16
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,20,9,20,9,29
POOPO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,2,6,2,8
PORCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,9,1,9,1,10
POROMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,17,32,17,32,49
PORONGO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,9,4,9,4,13
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,33,3,33,3,36
PORVENIR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,0,8,0,8
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,1,1,1,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,394,4,394,4,398
PRESTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,14,5,14,19
PUCARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,2,0,2,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,25,12,25,12,37
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,15,8,15,23
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,9,8,9,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,6,3,6,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,2,6,2,6,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,32,7,32,7,39
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,11,15,11,15,26
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,37,2,37,2,39
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,120,4,120,4,124
PUNA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,21,58,21,58,79
PUNATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,52,2,52,2,54
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,3,1,3,4
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,214,0,214,0,214
QUIME,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,11,8,11,8,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,2,1,2,3
RAVELO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,10,29,10,29,39
REYES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,27,0,27,0,27
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,257,42,257,42,299
ROBORE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,26,3,26,3,29
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,33,4,33,4,37
SABAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,4,0,4,4
SACABA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,206,8,206,8,214
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,6,3,6,9
SACACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,16,20,16,20,36
SAIPINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,4,7,4,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,4,6,4,10
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,12,2,12,2,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,13,12,13,12,25
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,2,7,2,9
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,2,1,2,1,3
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,22,5,22,5,27
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,105,6,105,6,111
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,20,10,20,10,30
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,45,0,45,0,45
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,50,22,50,22,72
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,111,25,111,25,136
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,10,0,10,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,18,0,18,0,18
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,1,5,1,6
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,35,1,35,1,36
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,19,0,19,0,19
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,57,51,57,51,108
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,15,8,15,23
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,17,9,17,9,26
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,28,45,28,45,73
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,20,8,20,8,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,22,12,22,12,34
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,8,1,8,9
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,34,0,34,0,34
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,29,40,29,40,69
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,6,0,6,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,4,4,4,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,6,0,6,6
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,13,2,13,2,15
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,16,0,16,0,16
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,9,9,9,9,18
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,42,0,42,0,42
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,2896,154,2896,154,3050
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,17,3,17,3,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,30,0,30,0,30
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,4,1,4,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,10,1,10,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,1,4,1,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,0,5,0,5
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,5,4,5,9
SENA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,12,8,12,20
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,18,19,18,19,37
SICAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,2,4,2,6
SIPE SIPE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,73,0,73,0,73
SOPACHUY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,6,5,6,11
SORACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,10,4,10,14
SORATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,14,10,14,10,24
SUCRE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,486,15,486,15,501
TACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,4,7,4,11
TACOBAMBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,7,8,7,15
TACOPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,2,8,2,8,10
TAHUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,2,1,2,3
TAPACARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,37,25,37,25,62
TARABUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,11,14,11,14,25
TARACO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,4,1,4,5
TARATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,6,8,6,14
TARIJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,359,4,359,4,363
TARVITA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,19,22,19,22,41
TEOPONTE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,6,8,6,14
TIAWANACU,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,11,14,11,14,25
TINGUIPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,24,42,24,42,66
TIPUANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,20,0,20,0,20
TIQUIPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,89,9,89,9,98
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,75,17,75,17,92
TOCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,0,5,0,5
TOLATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,1,3,1,4
TOLEDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,2,8,2,10
TOMAVE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,13,9,13,9,22
TOMINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,10,5,10,5,15
TORO TORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,16,3,16,19
TOTORA(CBBA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,17,14,17,14,31
TOTORA(ORR),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,9,4,9,4,13
TRIGAL,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,3,0,3,3
TRINIDAD,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,260,5,260,5,265
TUPIZA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,51,19,51,19,70
TURCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,0,4,0,4
UMALA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,13,0,13,13
UNCIA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,20,29,20,29,49
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,13,2,13,2,15
URUBICHA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,19,10,19,10,29
UYUNI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,38,1,38,1,39
VACAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,14,7,14,21
VALLEGRANDE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,31,3,31,3,34
VIACHA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,74,2,74,2,76
VILA VILA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,6,3,6,9
VILLA MONTES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,30,11,30,11,41
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,0,2,0,2,2
VILLA RIVERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,9,1,9,1,10
VILLA SERRANO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,15,11,15,11,26
VILLA TUNARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,143,29,143,29,172
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,12,8,12,8,20
VILLAZON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,59,9,59,9,68
VINTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,99,1,99,1,100
VITICHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,5,8,5,8,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,3,0,3,0,3
WARNES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,107,44,107,44,151
YACO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,8,1,8,9
YACUIBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,153,4,153,4,157
YAMPARAEZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,7,5,7,5,12
YANACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,12,0,12,0,12
YAPACANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,8,1,8,1,9
YOCALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,4,13,4,13,17
YOTALA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,6,6,6,12
YUNCHARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,1,8,1,8,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-06-01,6,5,6,5,11
ACACIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,1,3,1,3,4
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,63,28,63,28,91
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,9,10,9,10,19
AIQUILE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,38,13,38,13,51
ALALAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,2,6,2,6,8
ALCALA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,1,1,1,1,2
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,4,18,4,18,22
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,1,3,1,3,4
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,4,0,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,7,12,7,12,19
APOLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,15,10,15,10,25
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,2,13,2,13,15
ARANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,8,9,8,9,17
ARBIETO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-07-01,9,9,9,9,18
