,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES,TOTALES,TOTALES
TARVITA,atencion odontologica,endodoncia,2016-07-01,2,0,0,0,1,4,2,4,0,0,0,0,0,0,5,8,13
TEOPONTE,atencion odontologica,endodoncia,2016-07-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
TIAWANACU,atencion odontologica,endodoncia,2016-07-01,0,0,2,1,1,4,3,9,2,0,0,0,0,0,8,14,22
TINGUIPAYA,atencion odontologica,endodoncia,2016-07-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
TIPUANI,atencion odontologica,endodoncia,2016-07-01,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,8,8
TIQUIPAYA,atencion odontologica,endodoncia,2016-07-01,38,23,9,5,0,1,2,10,0,3,0,0,0,0,49,42,91
TIRAQUE (CBBA),atencion odontologica,endodoncia,2016-07-01,2,4,0,2,0,5,0,2,1,1,0,0,0,0,3,14,17
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,endodoncia,2016-07-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
TOCO,atencion odontologica,endodoncia,2016-07-01,0,0,0,1,0,1,2,1,1,1,0,0,0,0,3,4,7
TODOS SANTOS,atencion odontologica,endodoncia,2016-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TOLATA,atencion odontologica,endodoncia,2016-07-01,0,0,1,1,1,0,1,1,0,2,0,0,0,0,3,4,7
TOLEDO,atencion odontologica,endodoncia,2016-07-01,0,0,0,0,0,0,6,6,1,4,0,0,0,0,7,10,17
TOMAVE,atencion odontologica,endodoncia,2016-07-01,3,1,1,0,0,1,0,2,0,1,0,0,0,0,4,5,9
TOMINA,atencion odontologica,endodoncia,2016-07-01,3,1,0,1,0,3,2,4,0,0,0,0,0,0,5,9,14
TORO TORO,atencion odontologica,endodoncia,2016-07-01,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
TOTORA(CBBA),atencion odontologica,endodoncia,2016-07-01,1,1,0,0,0,1,0,6,0,0,0,0,0,0,1,8,9
TOTORA(ORR),atencion odontologica,endodoncia,2016-07-01,1,2,0,0,0,4,3,3,0,0,0,0,0,0,4,9,13
TRIGAL,atencion odontologica,endodoncia,2016-07-01,0,1,1,0,0,1,0,2,1,0,0,0,0,0,2,4,6
TRINIDAD,atencion odontologica,endodoncia,2016-07-01,4,3,10,8,15,28,84,62,19,13,0,0,0,0,132,114,246
TUPIZA,atencion odontologica,endodoncia,2016-07-01,7,4,20,17,8,14,26,43,18,12,0,0,0,0,79,90,169
TURCO,atencion odontologica,endodoncia,2016-07-01,0,3,0,0,1,0,0,9,2,0,0,0,0,0,3,12,15
UNCIA,atencion odontologica,endodoncia,2016-07-01,5,4,5,2,2,1,1,7,2,9,0,0,0,0,15,23,38
URIONDO (A. CONCEPCION),atencion odontologica,endodoncia,2016-07-01,0,1,3,6,5,8,10,20,2,4,0,0,0,0,20,39,59
URUBICHA,atencion odontologica,endodoncia,2016-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
UYUNI,atencion odontologica,endodoncia,2016-07-01,12,11,9,4,0,2,1,21,3,0,0,0,0,0,25,38,63
VACAS,atencion odontologica,endodoncia,2016-07-01,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4
VALLEGRANDE,atencion odontologica,endodoncia,2016-07-01,1,2,2,3,0,3,8,13,0,4,0,0,0,0,11,25,36
VIACHA,atencion odontologica,endodoncia,2016-07-01,31,19,4,1,2,6,0,22,2,2,0,0,0,0,39,50,89
VILA VILA,atencion odontologica,endodoncia,2016-07-01,1,1,1,0,0,0,0,4,0,0,0,0,0,0,2,5,7
VILLA CHARCAS,atencion odontologica,endodoncia,2016-07-01,2,2,1,0,0,1,0,9,1,2,0,0,0,0,4,14,18
VILLA MONTES,atencion odontologica,endodoncia,2016-07-01,0,0,12,14,15,15,7,18,0,0,0,0,0,0,34,47,81
VILLA RIVERO,atencion odontologica,endodoncia,2016-07-01,1,0,0,2,2,0,0,3,0,0,0,0,0,0,3,5,8
VILLA SERRANO,atencion odontologica,endodoncia,2016-07-01,0,0,1,0,0,0,4,5,1,0,0,0,0,0,6,5,11
VILLA TUNARI,atencion odontologica,endodoncia,2016-07-01,19,27,6,7,0,6,12,52,6,5,0,0,0,0,43,97,140
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,endodoncia,2016-07-01,1,4,0,2,1,0,0,5,1,0,0,0,0,0,3,11,14
VILLAZON,atencion odontologica,endodoncia,2016-07-01,20,8,7,6,5,7,4,25,0,1,0,0,0,0,36,47,83
VINTO,atencion odontologica,endodoncia,2016-07-01,27,30,2,1,3,7,1,6,12,6,0,0,0,0,45,50,95
VITICHI,atencion odontologica,endodoncia,2016-07-01,3,3,0,1,0,3,0,7,0,0,0,0,0,0,3,14,17
WALDO BALLIVIAN,atencion odontologica,endodoncia,2016-07-01,0,0,1,0,1,0,2,0,0,0,0,0,0,0,4,0,4
WARNES,atencion odontologica,endodoncia,2016-07-01,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,5,6
YACO,atencion odontologica,endodoncia,2016-07-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
YACUIBA,atencion odontologica,endodoncia,2016-07-01,9,2,22,20,3,3,39,47,8,0,0,0,0,0,81,72,153
YAMPARAEZ,atencion odontologica,endodoncia,2016-07-01,1,1,0,3,0,1,0,3,0,0,0,0,0,0,1,8,9
YANACACHI,atencion odontologica,endodoncia,2016-07-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3
YAPACANI,atencion odontologica,endodoncia,2016-07-01,6,8,0,0,1,21,7,40,6,6,0,0,0,0,20,75,95
YOCALLA,atencion odontologica,endodoncia,2016-07-01,2,0,9,11,4,5,0,12,1,3,0,0,0,0,16,31,47
YOTALA,atencion odontologica,endodoncia,2016-07-01,1,3,0,2,2,1,2,4,0,1,0,0,0,0,5,11,16
YUNCHARA,atencion odontologica,endodoncia,2016-07-01,0,0,1,3,0,0,2,5,0,0,0,0,0,0,3,8,11
ZUDAÑEZ,atencion odontologica,endodoncia,2016-07-01,1,1,0,4,0,1,0,1,0,0,0,0,0,0,1,7,8
ACACIO,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ACHACACHI,atencion odontologica,endodoncia,2016-08-01,4,8,2,0,0,4,1,5,2,2,0,0,0,0,9,19,28
ACHOCALLA,atencion odontologica,endodoncia,2016-08-01,3,2,1,0,0,3,0,8,0,2,0,0,0,0,4,15,19
AIQUILE,atencion odontologica,endodoncia,2016-08-01,2,5,2,7,1,5,7,21,4,3,0,0,0,0,16,41,57
ALCALA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
ALTO BENI,atencion odontologica,endodoncia,2016-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANDAMARCA,atencion odontologica,endodoncia,2016-08-01,0,1,3,2,0,1,2,1,0,2,0,0,0,0,5,7,12
ANTEQUERA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
ANZALDO,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
ARAMPAMPA,atencion odontologica,endodoncia,2016-08-01,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,6,6
ARANI,atencion odontologica,endodoncia,2016-08-01,1,3,2,0,0,0,1,0,0,0,0,0,0,0,4,3,7
ARBIETO,atencion odontologica,endodoncia,2016-08-01,0,2,0,3,0,2,0,1,0,2,0,0,0,0,0,10,10
ARQUE,atencion odontologica,endodoncia,2016-08-01,3,0,1,0,0,1,2,4,0,0,0,0,0,0,6,5,11
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2016-08-01,2,8,0,0,0,0,0,2,1,1,0,0,0,0,3,11,14
ATOCHA,atencion odontologica,endodoncia,2016-08-01,6,6,12,18,6,13,64,74,2,3,0,0,0,0,90,114,204
AUCAPATA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,1,3,1,0,0,0,0,0,0,3,2,5
AYATA,atencion odontologica,endodoncia,2016-08-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
AYO AYO,atencion odontologica,endodoncia,2016-08-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncia,2016-08-01,6,2,9,19,8,7,27,24,5,2,0,0,0,0,55,54,109
AZURDUY,atencion odontologica,endodoncia,2016-08-01,2,7,3,10,0,0,0,3,0,1,0,0,0,0,5,21,26
BATALLAS,atencion odontologica,endodoncia,2016-08-01,2,0,0,0,0,0,1,1,2,0,0,0,0,0,5,1,6
BELEN DE ANDAMARCA,atencion odontologica,endodoncia,2016-08-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
BELLA FLOR,atencion odontologica,endodoncia,2016-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
BERMEJO,atencion odontologica,endodoncia,2016-08-01,1,2,7,3,4,3,5,21,2,0,0,0,0,0,19,29,48
BETANZOS,atencion odontologica,endodoncia,2016-08-01,2,3,1,0,3,1,7,18,1,2,0,0,0,0,14,24,38
BOLIVAR,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2,5,7
BOYUIBE,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,1,0,3,1,0,0,0,0,0,0,4,1,5
BUENA VISTA,atencion odontologica,endodoncia,2016-08-01,2,1,1,0,0,2,5,6,4,1,0,0,0,0,12,10,22
CABEZAS,atencion odontologica,endodoncia,2016-08-01,4,2,11,4,0,0,1,3,0,0,0,0,0,0,16,9,25
CAIROMA,atencion odontologica,endodoncia,2016-08-01,1,0,1,0,0,0,4,8,0,0,0,0,0,0,6,8,14
"CAIZA ""D""",atencion odontologica,endodoncia,2016-08-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CAJUATA,atencion odontologica,endodoncia,2016-08-01,0,2,0,0,0,2,2,5,0,0,0,0,0,0,2,9,11
CALACOTO,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
CALAMARCA,atencion odontologica,endodoncia,2016-08-01,2,0,0,0,0,1,3,3,0,1,0,0,0,0,5,5,10
CAMARGO,atencion odontologica,endodoncia,2016-08-01,5,2,1,1,0,2,0,9,0,0,0,0,0,0,6,14,20
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
CAMIRI,atencion odontologica,endodoncia,2016-08-01,9,8,0,0,0,4,5,12,1,1,0,0,0,0,15,25,40
CAPINOTA,atencion odontologica,endodoncia,2016-08-01,4,2,4,2,0,1,0,12,0,7,0,0,0,0,8,24,32
CARACOLLO,atencion odontologica,endodoncia,2016-08-01,6,2,2,2,1,2,3,8,0,1,0,0,0,0,12,15,27
CARANAVI,atencion odontologica,endodoncia,2016-08-01,3,3,0,3,6,10,8,25,0,0,0,0,0,0,17,41,58
CARAPARI,atencion odontologica,endodoncia,2016-08-01,9,5,10,7,2,7,7,15,0,0,0,0,0,0,28,34,62
CARIPUYO,atencion odontologica,endodoncia,2016-08-01,0,3,0,0,0,2,0,6,0,0,0,0,0,0,0,11,11
CHALLAPATA,atencion odontologica,endodoncia,2016-08-01,9,7,8,7,1,0,2,9,2,4,0,0,0,0,22,27,49
CHAQUI,atencion odontologica,endodoncia,2016-08-01,1,2,4,1,0,3,2,2,0,1,0,0,0,0,7,9,16
CHARAGUA,atencion odontologica,endodoncia,2016-08-01,1,0,0,0,1,0,3,3,1,0,0,0,0,0,6,3,9
CHAYANTA,atencion odontologica,endodoncia,2016-08-01,1,0,2,7,4,13,7,4,0,1,0,0,0,0,14,25,39
CHIMORE,atencion odontologica,endodoncia,2016-08-01,3,2,1,0,0,2,0,0,0,0,0,0,0,0,4,4,8
CHIPAYA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CHOQUE COTA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
CHUA COCANI,atencion odontologica,endodoncia,2016-08-01,0,0,2,0,0,0,0,2,0,6,0,0,0,0,2,8,10
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncia,2016-08-01,9,5,2,10,0,2,0,4,2,0,0,0,0,0,13,21,34
CHUMA,atencion odontologica,endodoncia,2016-08-01,1,0,2,0,3,4,11,20,0,0,0,0,0,0,17,24,41
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncia,2016-08-01,1,1,0,0,0,0,0,9,0,0,0,0,0,0,1,10,11
CKOCHAS,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,5
CLIZA,atencion odontologica,endodoncia,2016-08-01,7,4,1,1,1,1,1,13,6,0,0,0,0,0,16,19,35
COBIJA,atencion odontologica,endodoncia,2016-08-01,5,3,2,4,1,1,1,23,1,0,0,0,0,0,10,31,41
COCAPATA,atencion odontologica,endodoncia,2016-08-01,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,4,4
COCHABAMBA,atencion odontologica,endodoncia,2016-08-01,211,196,217,175,97,141,321,489,72,81,0,0,0,0,918,1082,2000
COIPASA,atencion odontologica,endodoncia,2016-08-01,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,3
COLCAPIRHUA,atencion odontologica,endodoncia,2016-08-01,21,22,0,3,0,2,0,7,2,6,0,0,0,0,23,40,63
"COLCHA ""K""",atencion odontologica,endodoncia,2016-08-01,3,4,0,0,0,0,0,2,1,1,0,0,0,0,4,7,11
COLOMI,atencion odontologica,endodoncia,2016-08-01,0,0,1,0,1,2,0,1,0,0,0,0,0,0,2,3,5
COLQUECHACA,atencion odontologica,endodoncia,2016-08-01,9,7,1,1,1,7,2,23,1,3,0,0,0,0,14,41,55
COLQUENCHA,atencion odontologica,endodoncia,2016-08-01,8,0,0,2,0,2,1,2,0,0,0,0,0,0,9,6,15
COLQUIRI,atencion odontologica,endodoncia,2016-08-01,0,7,3,2,0,4,4,7,3,3,0,0,0,0,10,23,33
COMARAPA,atencion odontologica,endodoncia,2016-08-01,8,0,4,0,25,10,11,23,0,0,0,0,0,0,48,33,81
CONCEPCION,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COPACABANA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CORIPATA,atencion odontologica,endodoncia,2016-08-01,1,2,6,3,0,0,0,8,0,0,0,0,0,0,7,13,20
CORO CORO,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COROICO,atencion odontologica,endodoncia,2016-08-01,0,4,1,5,0,6,15,4,0,1,0,0,0,0,16,20,36
CORQUE,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,4,5
COTAGAITA,atencion odontologica,endodoncia,2016-08-01,10,22,11,23,6,15,93,72,7,1,0,0,0,0,127,133,260
COTOCA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,6
CUATRO CAÑADAS,atencion odontologica,endodoncia,2016-08-01,0,1,0,5,0,2,1,3,0,0,0,0,0,0,1,11,12
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncia,2016-08-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
CUEVO,atencion odontologica,endodoncia,2016-08-01,0,0,0,1,1,1,2,3,0,0,0,0,0,0,3,5,8
CULPINA,atencion odontologica,endodoncia,2016-08-01,3,1,0,3,1,2,4,3,0,1,0,0,0,0,8,10,18
CURAHUARA DE CARANGAS,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,4
CURVA,atencion odontologica,endodoncia,2016-08-01,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,3,4
EL ALTO,atencion odontologica,endodoncia,2016-08-01,157,144,195,236,98,139,173,306,34,27,0,0,0,0,657,852,1509
EL CHORO,atencion odontologica,endodoncia,2016-08-01,4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,6
EL PUENTE(STC),atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
EL PUENTE(TJA),atencion odontologica,endodoncia,2016-08-01,0,0,1,3,5,3,1,8,0,0,0,0,0,0,7,14,21
EL TORNO,atencion odontologica,endodoncia,2016-08-01,3,8,9,5,15,14,25,34,10,10,0,0,0,0,62,71,133
EL VILLAR,atencion odontologica,endodoncia,2016-08-01,2,0,0,0,0,0,3,4,0,0,0,0,0,0,5,4,9
ENTRE RIOS TRJ,atencion odontologica,endodoncia,2016-08-01,0,0,6,9,3,6,2,13,0,0,0,0,0,0,11,28,39
ENTRE RIOS CBBA,atencion odontologica,endodoncia,2016-08-01,1,3,2,0,1,0,4,7,0,3,0,0,0,0,8,13,21
ESCARA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
ESCOMA,atencion odontologica,endodoncia,2016-08-01,3,2,0,0,0,1,3,2,1,2,0,0,0,0,7,7,14
EUCALIPTUS,atencion odontologica,endodoncia,2016-08-01,0,0,1,1,0,0,1,2,1,1,0,0,0,0,3,4,7
EUREKA (SANTOS MERCADO),atencion odontologica,endodoncia,2016-08-01,6,5,0,0,0,1,0,2,0,0,0,0,0,0,6,8,14
FERNANDEZ ALONSO,atencion odontologica,endodoncia,2016-08-01,0,0,1,3,0,0,2,1,1,0,0,0,0,0,4,4,8
GENERAL SAAVEDRA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncia,2016-08-01,4,5,0,0,0,0,5,5,6,0,0,0,0,0,15,10,25
GUANAY,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
GUAQUI,atencion odontologica,endodoncia,2016-08-01,0,1,0,3,2,2,1,10,4,2,0,0,0,0,7,18,25
GUAYARAMERIN,atencion odontologica,endodoncia,2016-08-01,5,4,2,2,6,4,2,22,0,1,0,0,0,0,15,33,48
GUTIERREZ,atencion odontologica,endodoncia,2016-08-01,0,0,2,2,2,1,3,3,2,0,0,0,0,0,9,6,15
HUACARETA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,3,5,4,12,1,0,0,0,0,0,8,17,25
HUACAYA (VILLA DE HUACAYA),atencion odontologica,endodoncia,2016-08-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
HUACHACALLA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUANUNI,atencion odontologica,endodoncia,2016-08-01,19,13,10,5,4,4,14,28,15,2,0,0,0,0,62,52,114
HUARACAJE,atencion odontologica,endodoncia,2016-08-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
HUARINA,atencion odontologica,endodoncia,2016-08-01,1,2,0,0,0,0,2,1,4,0,0,0,0,0,7,3,10
HUATAJATA,atencion odontologica,endodoncia,2016-08-01,2,0,0,2,0,1,1,1,4,1,0,0,0,0,7,5,12
HUAYLLAMARCA,atencion odontologica,endodoncia,2016-08-01,0,3,3,4,0,0,0,1,0,0,0,0,0,0,3,8,11
HUMANATA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,1,0,2,0,0,6,0,0,0,0,3,6,9
ICLA,atencion odontologica,endodoncia,2016-08-01,1,0,7,2,4,1,4,6,0,0,0,0,0,0,16,9,25
INCAHUASI,atencion odontologica,endodoncia,2016-08-01,0,0,0,3,0,0,1,14,0,0,0,0,0,0,1,17,18
INGAVI (HUMAITA),atencion odontologica,endodoncia,2016-08-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncia,2016-08-01,0,0,0,0,1,1,1,3,0,0,0,0,0,0,2,4,6
IXIAMAS,atencion odontologica,endodoncia,2016-08-01,0,1,1,0,0,1,0,3,0,0,0,0,0,0,1,5,6
JESUS DE MACHACA,atencion odontologica,endodoncia,2016-08-01,0,1,6,1,2,2,3,5,3,4,0,0,0,0,14,13,27
LA ASUNTA,atencion odontologica,endodoncia,2016-08-01,0,3,3,10,2,7,4,11,0,0,0,0,0,0,9,31,40
LA GUARDIA,atencion odontologica,endodoncia,2016-08-01,2,6,0,1,0,4,0,4,0,1,0,0,0,0,2,16,18
LA PAZ,atencion odontologica,endodoncia,2016-08-01,187,186,180,176,89,169,399,660,104,112,0,0,0,0,959,1303,2262
LAGUNILLAS,atencion odontologica,endodoncia,2016-08-01,0,0,2,2,1,6,4,11,0,0,0,0,0,0,7,19,26
LAJA,atencion odontologica,endodoncia,2016-08-01,2,0,0,3,1,3,3,3,0,0,0,0,0,0,6,9,15
LAS CARRERAS,atencion odontologica,endodoncia,2016-08-01,1,1,1,2,0,0,4,4,0,0,0,0,0,0,6,7,13
LICOMA PAMPA,atencion odontologica,endodoncia,2016-08-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
LLALLAGUA,atencion odontologica,endodoncia,2016-08-01,34,35,8,21,4,17,11,58,3,3,0,0,0,0,60,134,194
LLICA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LURIBAY,atencion odontologica,endodoncia,2016-08-01,1,2,1,1,0,1,7,8,0,0,0,0,0,0,9,12,21
MACHACAMARCA,atencion odontologica,endodoncia,2016-08-01,3,0,2,6,0,1,2,4,4,3,0,0,0,0,11,14,25
MACHARETI,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
MAGDALENA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MAIRANA,atencion odontologica,endodoncia,2016-08-01,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,8,8
MAPIRI,atencion odontologica,endodoncia,2016-08-01,3,3,2,0,3,6,0,13,2,2,0,0,0,0,10,24,34
MECAPACA,atencion odontologica,endodoncia,2016-08-01,1,1,2,0,1,3,0,4,0,0,0,0,0,0,4,8,12
MINEROS,atencion odontologica,endodoncia,2016-08-01,12,17,0,3,0,11,0,24,2,1,0,0,0,0,14,56,70
MIZQUE,atencion odontologica,endodoncia,2016-08-01,3,9,2,2,2,0,1,3,0,0,0,0,0,0,8,14,22
MOCOMOCO,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,2,1,7,0,0,0,0,0,0,1,9,10
MOJOCOYA,atencion odontologica,endodoncia,2016-08-01,0,0,1,7,2,0,0,8,2,0,0,0,0,0,5,15,20
MONTEAGUDO,atencion odontologica,endodoncia,2016-08-01,6,16,3,2,3,7,9,6,1,1,0,0,0,0,22,32,54
MONTERO,atencion odontologica,endodoncia,2016-08-01,3,2,0,5,3,6,8,7,0,0,0,0,0,0,14,20,34
MORO MORO,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
MOROCHATA,atencion odontologica,endodoncia,2016-08-01,0,0,1,0,0,0,0,6,0,7,0,0,0,0,1,13,14
OCURI,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
OKINAWA,atencion odontologica,endodoncia,2016-08-01,4,0,0,1,0,0,0,1,0,1,0,0,0,0,4,3,7
ORURO,atencion odontologica,endodoncia,2016-08-01,142,124,112,117,38,61,154,212,42,33,0,0,0,0,488,547,1035
PADCAYA,atencion odontologica,endodoncia,2016-08-01,0,0,5,3,4,3,6,7,0,0,0,0,0,0,15,13,28
PADILLA,atencion odontologica,endodoncia,2016-08-01,12,3,0,2,2,5,2,9,1,1,0,0,0,0,17,20,37
PAILON,atencion odontologica,endodoncia,2016-08-01,1,4,0,1,0,0,2,9,0,1,0,0,0,0,3,15,18
PALCA,atencion odontologica,endodoncia,2016-08-01,11,30,0,0,0,5,2,4,1,0,0,0,0,0,14,39,53
PALOS BLANCOS,atencion odontologica,endodoncia,2016-08-01,6,4,1,1,0,7,2,22,4,3,0,0,0,0,13,37,50
PAMPA AULLAGAS,atencion odontologica,endodoncia,2016-08-01,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,3
PAPEL PAMPA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
PASORAPA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,1,2,9,0,2,0,0,0,0,2,12,14
PATACAMAYA,atencion odontologica,endodoncia,2016-08-01,3,11,0,2,1,0,1,10,1,1,0,0,0,0,6,24,30
PAZÑA,atencion odontologica,endodoncia,2016-08-01,0,0,1,1,5,0,6,0,1,0,0,0,0,0,13,1,14
PELECHUCO,atencion odontologica,endodoncia,2016-08-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
POCOATA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POCONA,atencion odontologica,endodoncia,2016-08-01,1,1,0,2,1,2,3,4,1,0,0,0,0,0,6,9,15
POJO (CBBA),atencion odontologica,endodoncia,2016-08-01,0,0,0,1,0,33,2,4,0,1,0,0,0,0,2,39,41
POOPO,atencion odontologica,endodoncia,2016-08-01,0,8,2,6,0,1,1,1,0,0,0,0,0,0,3,16,19
PORCO,atencion odontologica,endodoncia,2016-08-01,3,2,3,0,1,0,0,3,0,0,0,0,0,0,7,5,12
POROMA,atencion odontologica,endodoncia,2016-08-01,0,0,1,4,0,2,4,2,0,0,0,0,0,0,5,8,13
PORTACHUELO,atencion odontologica,endodoncia,2016-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PORVENIR,atencion odontologica,endodoncia,2016-08-01,1,0,0,1,1,0,0,3,0,0,0,0,0,0,2,4,6
POSTRER VALLE,atencion odontologica,endodoncia,2016-08-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
POTOSI,atencion odontologica,endodoncia,2016-08-01,106,111,61,44,42,95,95,166,23,29,0,0,0,0,327,445,772
PRESTO,atencion odontologica,endodoncia,2016-08-01,2,3,2,6,1,2,2,13,1,1,0,0,0,0,8,25,33
PUCARA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,3
PUCARANI,atencion odontologica,endodoncia,2016-08-01,1,4,0,2,3,4,7,7,1,2,0,0,0,0,12,19,31
PUERTO ACOSTA,atencion odontologica,endodoncia,2016-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
