,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
CARANAVI,atencion odontologica,primera consulta,2016-07-01,55,53,18,21,13,31,24,57,8,9,0,27,0,32,118,230,348
CARAPARI,atencion odontologica,primera consulta,2016-07-01,2,6,19,8,12,16,33,35,1,2,0,0,0,1,67,68,135
CARIPUYO,atencion odontologica,primera consulta,2016-07-01,4,3,5,4,1,4,9,10,1,4,0,0,0,2,20,27,47
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2016-07-01,14,16,16,10,1,1,8,6,1,3,0,8,0,0,40,44,84
CATACORA,atencion odontologica,primera consulta,2016-07-01,3,4,1,2,2,1,4,3,0,0,0,0,0,0,10,10,20
CHALLAPATA,atencion odontologica,primera consulta,2016-07-01,61,68,129,89,21,33,35,127,56,54,0,60,0,29,302,460,762
CHAQUI,atencion odontologica,primera consulta,2016-07-01,4,6,7,11,2,7,6,16,7,11,0,5,0,2,26,58,84
CHARAGUA,atencion odontologica,primera consulta,2016-07-01,39,41,17,15,25,22,31,56,7,2,0,15,0,13,119,164,283
CHARAÑA,atencion odontologica,primera consulta,2016-07-01,3,11,0,0,1,1,4,7,1,1,0,1,0,1,9,22,31
CHAYANTA,atencion odontologica,primera consulta,2016-07-01,18,12,16,22,10,13,18,35,7,9,0,18,0,17,69,126,195
CHIMORE,atencion odontologica,primera consulta,2016-07-01,32,30,14,14,6,6,9,24,2,2,0,5,0,17,63,98,161
CHIPAYA,atencion odontologica,primera consulta,2016-07-01,0,0,1,1,2,1,3,4,0,1,0,1,0,0,6,8,14
CHOQUE COTA,atencion odontologica,primera consulta,2016-07-01,2,2,4,6,0,4,4,5,5,6,0,0,0,0,15,23,38
CHUA COCANI,atencion odontologica,primera consulta,2016-07-01,4,6,4,6,1,6,3,8,2,7,0,0,0,2,14,35,49
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2016-07-01,16,15,9,13,4,2,6,23,1,1,0,11,0,6,36,71,107
CHUMA,atencion odontologica,primera consulta,2016-07-01,6,11,18,21,10,15,25,49,15,11,0,7,0,4,74,118,192
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2016-07-01,24,15,8,12,3,6,5,23,5,7,0,6,0,17,45,86,131
CKOCHAS,atencion odontologica,primera consulta,2016-07-01,11,16,4,4,3,6,3,24,12,11,0,12,0,6,33,79,112
CLIZA,atencion odontologica,primera consulta,2016-07-01,16,13,24,30,7,12,10,33,16,25,0,6,0,3,73,122,195
COBIJA,atencion odontologica,primera consulta,2016-07-01,119,127,62,74,55,69,77,162,36,39,0,85,0,100,349,656,1005
COCAPATA,atencion odontologica,primera consulta,2016-07-01,30,35,7,13,0,18,11,46,17,20,0,17,0,19,65,168,233
COCHABAMBA,atencion odontologica,primera consulta,2016-07-01,318,305,270,305,94,208,197,512,91,107,0,307,0,122,970,1866,2836
COIPASA,atencion odontologica,primera consulta,2016-07-01,2,4,8,8,1,0,1,3,2,2,0,2,0,1,14,20,34
COLCAPIRHUA,atencion odontologica,primera consulta,2016-07-01,93,92,9,6,3,7,5,52,32,30,0,20,0,17,142,224,366
"COLCHA ""K""",atencion odontologica,primera consulta,2016-07-01,17,16,7,7,1,6,15,25,9,10,0,17,0,2,49,83,132
COLOMI,atencion odontologica,primera consulta,2016-07-01,16,21,0,0,0,3,0,10,9,9,0,7,0,6,25,56,81
COLPA BELGICA,atencion odontologica,primera consulta,2016-07-01,1,3,0,0,0,0,0,3,0,0,0,3,0,0,1,9,10
COLQUECHACA,atencion odontologica,primera consulta,2016-07-01,37,29,21,31,4,28,28,54,71,60,0,33,0,13,161,248,409
COLQUENCHA,atencion odontologica,primera consulta,2016-07-01,8,2,28,26,5,17,19,14,3,3,0,1,0,0,63,63,126
COLQUIRI,atencion odontologica,primera consulta,2016-07-01,27,35,29,23,12,16,32,58,20,17,0,12,0,5,120,166,286
COMARAPA,atencion odontologica,primera consulta,2016-07-01,12,10,6,10,4,8,11,41,4,5,0,10,0,9,37,93,130
CONCEPCION,atencion odontologica,primera consulta,2016-07-01,21,30,15,15,6,19,16,36,8,6,0,7,0,0,66,113,179
COPACABANA,atencion odontologica,primera consulta,2016-07-01,3,2,14,11,2,9,8,16,2,0,0,1,0,1,29,40,69
CORIPATA,atencion odontologica,primera consulta,2016-07-01,41,21,13,8,2,7,8,44,3,1,0,11,0,6,67,98,165
CORO CORO,atencion odontologica,primera consulta,2016-07-01,5,3,2,4,1,3,3,1,2,2,0,1,0,0,13,14,27
COROICO,atencion odontologica,primera consulta,2016-07-01,8,8,6,1,0,1,2,7,0,0,0,0,0,2,16,19,35
CORQUE,atencion odontologica,primera consulta,2016-07-01,4,4,3,0,2,8,10,18,17,9,0,9,0,2,36,50,86
COTAGAITA,atencion odontologica,primera consulta,2016-07-01,23,20,31,44,10,23,58,66,17,10,0,1,0,7,139,171,310
COTOCA,atencion odontologica,primera consulta,2016-07-01,109,184,19,24,16,24,14,139,17,21,0,96,0,2,175,490,665
CUATRO CAÑADAS,atencion odontologica,primera consulta,2016-07-01,20,28,19,26,5,19,6,49,8,5,0,19,0,9,58,155,213
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2016-07-01,0,1,5,6,4,0,1,10,6,7,0,0,0,0,16,24,40
CUEVO,atencion odontologica,primera consulta,2016-07-01,0,3,5,1,4,2,9,7,0,1,0,3,0,0,18,17,35
CULPINA,atencion odontologica,primera consulta,2016-07-01,29,23,12,17,12,23,32,71,3,8,0,20,0,11,88,173,261
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2016-07-01,6,9,3,0,2,7,4,0,6,6,0,2,0,0,21,24,45
CURVA,atencion odontologica,primera consulta,2016-07-01,2,5,2,0,0,0,7,5,3,6,0,0,0,2,14,18,32
DESAGUADERO,atencion odontologica,primera consulta,2016-07-01,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,1,4
EL ALTO,atencion odontologica,primera consulta,2016-07-01,592,591,1026,1099,336,536,326,692,106,89,0,211,0,103,2386,3321,5707
EL CHORO,atencion odontologica,primera consulta,2016-07-01,4,5,13,4,3,6,6,13,8,13,0,3,0,2,34,46,80
EL PUENTE(STC),atencion odontologica,primera consulta,2016-07-01,32,32,8,12,4,4,8,19,5,2,0,10,0,10,57,89,146
EL PUENTE(TJA),atencion odontologica,primera consulta,2016-07-01,4,5,52,55,15,48,38,89,6,10,0,1,0,0,115,208,323
EL TORNO,atencion odontologica,primera consulta,2016-07-01,112,115,114,93,18,61,35,153,26,21,0,59,0,25,305,527,832
EL VILLAR,atencion odontologica,primera consulta,2016-07-01,1,3,4,3,3,1,4,10,4,0,0,3,0,2,16,22,38
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2016-07-01,21,31,31,43,15,40,37,98,14,9,0,7,0,3,118,231,349
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2016-07-01,16,18,6,8,1,5,2,24,2,2,0,7,0,12,27,76,103
ESCARA,atencion odontologica,primera consulta,2016-07-01,2,0,0,0,0,0,0,0,2,4,0,0,0,0,4,4,8
ESCOMA,atencion odontologica,primera consulta,2016-07-01,25,9,9,13,2,6,14,12,13,10,0,0,0,3,63,53,116
EUCALIPTUS,atencion odontologica,primera consulta,2016-07-01,3,15,16,16,2,5,14,14,2,6,0,0,0,0,37,56,93
EUREKA (SANTOS MERCADO),atencion odontologica,primera consulta,2016-07-01,30,22,6,10,0,2,3,2,4,2,0,7,0,0,43,45,88
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2016-07-01,14,15,23,22,4,15,3,20,3,6,0,14,0,3,47,95,142
FILADELFIA,atencion odontologica,primera consulta,2016-07-01,4,0,1,2,1,1,5,4,0,0,0,0,0,0,11,7,18
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2016-07-01,27,21,12,15,2,16,4,25,4,8,0,7,0,11,49,103,152
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2016-07-01,17,19,4,9,5,11,10,12,4,4,0,5,0,6,40,66,106
GUANAY,atencion odontologica,primera consulta,2016-07-01,18,19,8,5,6,8,16,15,6,2,0,6,0,3,54,58,112
GUAQUI,atencion odontologica,primera consulta,2016-07-01,13,11,13,7,10,15,27,33,11,20,0,7,0,2,74,95,169
GUAYARAMERIN,atencion odontologica,primera consulta,2016-07-01,40,21,14,26,8,31,4,78,9,3,0,50,0,8,75,217,292
GUTIERREZ,atencion odontologica,primera consulta,2016-07-01,43,40,9,18,18,23,17,64,15,14,0,45,0,16,102,220,322
HUACARETA,atencion odontologica,primera consulta,2016-07-01,4,6,4,1,2,4,7,15,2,1,0,5,0,0,19,32,51
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2016-07-01,1,3,4,6,1,8,3,8,2,0,0,4,0,0,11,29,40
HUACHACALLA,atencion odontologica,primera consulta,2016-07-01,3,4,0,2,2,2,6,7,4,3,0,2,0,2,15,22,37
HUANUNI,atencion odontologica,primera consulta,2016-07-01,31,33,35,42,20,41,27,81,12,5,0,32,0,4,125,238,363
HUARACAJE,atencion odontologica,primera consulta,2016-07-01,1,4,3,0,0,2,1,5,0,0,0,3,0,0,5,14,19
HUARINA,atencion odontologica,primera consulta,2016-07-01,4,1,3,3,4,0,3,3,9,9,0,0,0,0,23,16,39
HUATAJATA,atencion odontologica,primera consulta,2016-07-01,2,6,5,6,4,4,5,11,4,3,0,0,0,1,20,31,51
HUAYLLAMARCA,atencion odontologica,primera consulta,2016-07-01,5,2,8,8,2,2,4,4,1,1,0,0,0,0,20,17,37
HUMANATA,atencion odontologica,primera consulta,2016-07-01,4,8,4,0,0,3,2,5,3,7,0,3,0,2,13,28,41
ICHOCA,atencion odontologica,primera consulta,2016-07-01,11,9,8,7,1,7,5,14,27,26,0,2,0,7,52,72,124
ICLA,atencion odontologica,primera consulta,2016-07-01,5,9,10,8,3,13,16,32,1,1,0,7,0,1,35,71,106
INCAHUASI,atencion odontologica,primera consulta,2016-07-01,9,9,7,3,4,8,11,27,2,3,0,13,0,5,33,68,101
INGAVI (HUMAITA),atencion odontologica,primera consulta,2016-07-01,3,0,0,0,0,3,0,4,1,0,0,5,0,1,4,13,17
INQUISIVI,atencion odontologica,primera consulta,2016-07-01,41,35,7,4,6,15,18,23,27,27,0,10,0,6,99,120,219
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2016-07-01,16,21,12,10,5,13,18,37,7,10,0,13,0,8,58,112,170
IXIAMAS,atencion odontologica,primera consulta,2016-07-01,9,9,18,27,5,22,15,30,2,4,0,1,0,2,49,95,144
JESUS DE MACHACA,atencion odontologica,primera consulta,2016-07-01,24,26,16,18,9,21,14,56,26,32,0,8,0,9,89,170,259
LA ASUNTA,atencion odontologica,primera consulta,2016-07-01,36,49,34,47,16,33,66,96,8,6,0,24,0,17,160,272,432
LA GUARDIA,atencion odontologica,primera consulta,2016-07-01,86,90,7,13,2,13,4,15,38,35,0,58,0,21,137,245,382
LA PAZ,atencion odontologica,primera consulta,2016-07-01,1006,940,701,821,271,358,846,1091,314,246,0,345,0,115,3138,3916,7054
LAGUNILLAS,atencion odontologica,primera consulta,2016-07-01,0,0,12,7,6,12,11,28,1,0,0,6,0,6,30,59,89
LAJA,atencion odontologica,primera consulta,2016-07-01,16,15,21,12,5,19,10,40,7,12,0,8,0,3,59,109,168
LAS CARRERAS,atencion odontologica,primera consulta,2016-07-01,10,8,8,4,1,10,13,25,3,4,0,9,0,0,35,60,95
LICOMA PAMPA,atencion odontologica,primera consulta,2016-07-01,0,4,5,3,1,2,5,14,3,4,0,3,0,3,14,33,47
LLALLAGUA,atencion odontologica,primera consulta,2016-07-01,53,66,21,24,6,13,8,71,7,6,0,18,0,27,95,225,320
LLICA,atencion odontologica,primera consulta,2016-07-01,1,2,5,2,3,7,6,11,2,2,0,1,0,1,17,26,43
LURIBAY,atencion odontologica,primera consulta,2016-07-01,13,9,8,9,4,7,13,17,5,4,0,4,0,3,43,53,96
MACHACAMARCA,atencion odontologica,primera consulta,2016-07-01,5,8,14,20,2,6,6,19,2,7,0,3,0,0,29,63,92
MACHARETI,atencion odontologica,primera consulta,2016-07-01,25,25,4,7,5,9,12,30,7,5,0,12,0,7,53,95,148
MAGDALENA,atencion odontologica,primera consulta,2016-07-01,8,8,14,7,6,5,15,22,8,2,0,3,0,1,51,48,99
MAIRANA,atencion odontologica,primera consulta,2016-07-01,3,7,5,12,0,7,2,20,5,6,0,10,0,15,15,77,92
MAPIRI,atencion odontologica,primera consulta,2016-07-01,39,43,27,41,15,19,20,39,14,9,0,4,0,6,115,161,276
MECAPACA,atencion odontologica,primera consulta,2016-07-01,16,12,8,8,1,4,4,16,14,14,0,3,0,2,43,59,102
MINEROS,atencion odontologica,primera consulta,2016-07-01,31,40,18,13,0,7,6,21,14,6,0,13,0,0,69,100,169
MIZQUE,atencion odontologica,primera consulta,2016-07-01,6,8,8,14,2,11,10,22,12,7,0,4,0,15,38,81,119
MOCOMOCO,atencion odontologica,primera consulta,2016-07-01,17,13,14,23,5,28,24,40,7,12,0,10,0,8,67,134,201
MOJINETE,atencion odontologica,primera consulta,2016-07-01,2,1,3,2,2,2,2,8,1,1,0,0,0,0,10,14,24
MOJOCOYA,atencion odontologica,primera consulta,2016-07-01,14,16,15,17,11,12,14,44,5,2,0,9,0,1,59,101,160
MONTEAGUDO,atencion odontologica,primera consulta,2016-07-01,60,63,19,33,12,15,25,89,8,6,0,38,0,11,124,255,379
MONTERO,atencion odontologica,primera consulta,2016-07-01,97,82,115,136,53,100,97,292,39,21,0,32,0,26,401,689,1090
MORO MORO,atencion odontologica,primera consulta,2016-07-01,0,1,3,5,4,7,6,13,1,1,0,4,0,1,14,32,46
MOROCHATA,atencion odontologica,primera consulta,2016-07-01,19,11,1,9,4,6,9,32,20,28,0,5,0,6,53,97,150
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,primera consulta,2016-07-01,8,5,8,5,0,1,6,14,6,4,0,6,0,3,28,38,66
NAZACARA DE PACAJES,atencion odontologica,primera consulta,2016-07-01,0,4,2,0,0,1,1,1,1,1,0,0,0,1,4,8,12
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,primera consulta,2016-07-01,3,0,2,0,0,0,0,1,1,2,0,1,0,2,6,6,12
OCURI,atencion odontologica,primera consulta,2016-07-01,20,36,6,5,3,19,22,48,8,23,0,11,0,8,59,150,209
OMEREQUE,atencion odontologica,primera consulta,2016-07-01,5,0,3,0,1,6,6,14,8,4,0,3,0,2,23,29,52
ORURO,atencion odontologica,primera consulta,2016-07-01,324,338,190,298,133,252,286,739,105,117,0,167,0,97,1038,2008,3046
PADCAYA,atencion odontologica,primera consulta,2016-07-01,16,8,38,42,31,36,31,85,2,5,0,2,0,0,118,178,296
PADILLA,atencion odontologica,primera consulta,2016-07-01,11,15,12,12,7,23,26,43,6,4,0,10,0,3,62,110,172
PAILON,atencion odontologica,primera consulta,2016-07-01,16,16,31,48,14,4,64,190,20,8,0,7,0,14,145,287,432
PALCA,atencion odontologica,primera consulta,2016-07-01,12,5,2,6,4,4,11,17,1,1,0,3,0,2,30,38,68
PALOS BLANCOS,atencion odontologica,primera consulta,2016-07-01,38,38,22,19,8,17,20,47,9,7,0,14,0,16,97,158,255
PAMPA AULLAGAS,atencion odontologica,primera consulta,2016-07-01,1,1,16,15,3,2,4,4,2,3,0,4,0,0,26,29,55
PAMPA GRANDE,atencion odontologica,primera consulta,2016-07-01,10,16,0,2,0,4,1,7,4,4,0,5,0,3,15,41,56
PAPEL PAMPA,atencion odontologica,primera consulta,2016-07-01,10,4,4,6,2,7,5,14,7,3,0,3,0,4,28,41,69
PASORAPA,atencion odontologica,primera consulta,2016-07-01,2,1,5,1,1,6,5,11,3,5,0,1,0,2,16,27,43
PATACAMAYA,atencion odontologica,primera consulta,2016-07-01,100,190,15,10,5,6,40,10,11,12,0,25,0,30,171,283,454
PAZÑA,atencion odontologica,primera consulta,2016-07-01,8,7,20,17,3,8,8,16,2,4,0,7,0,3,41,62,103
PELECHUCO,atencion odontologica,primera consulta,2016-07-01,1,2,1,1,0,3,3,15,1,3,0,10,0,5,6,39,45
POCOATA,atencion odontologica,primera consulta,2016-07-01,6,6,4,5,1,5,9,5,4,6,0,3,0,3,24,33,57
POCONA,atencion odontologica,primera consulta,2016-07-01,10,11,12,15,4,4,16,32,3,3,0,8,0,4,45,77,122
POJO (CBBA),atencion odontologica,primera consulta,2016-07-01,10,12,13,11,4,6,14,23,3,4,0,7,0,7,44,70,114
POOPO,atencion odontologica,primera consulta,2016-07-01,8,6,12,7,4,8,4,14,3,1,0,6,0,2,31,44,75
PORCO,atencion odontologica,primera consulta,2016-07-01,15,13,9,9,3,7,8,24,2,7,0,6,0,9,37,75,112
POROMA,atencion odontologica,primera consulta,2016-07-01,264,38,26,7,1,12,7,38,4,6,0,23,0,4,302,128,430
PORONGO,atencion odontologica,primera consulta,2016-07-01,28,24,13,13,2,1,2,9,12,10,0,9,0,9,57,75,132
PORTACHUELO,atencion odontologica,primera consulta,2016-07-01,3,4,5,9,2,4,5,13,2,3,0,0,0,0,17,33,50
PORVENIR,atencion odontologica,primera consulta,2016-07-01,20,52,10,11,4,6,13,27,6,6,0,4,0,4,53,110,163
POSTRER VALLE,atencion odontologica,primera consulta,2016-07-01,0,3,2,1,1,3,2,7,0,0,0,1,0,1,5,16,21
POTOSI,atencion odontologica,primera consulta,2016-07-01,270,246,128,152,116,171,152,413,45,37,0,155,0,76,711,1250,1961
PRESTO,atencion odontologica,primera consulta,2016-07-01,15,18,12,6,2,10,13,43,3,7,0,16,0,1,45,101,146
PUCARA,atencion odontologica,primera consulta,2016-07-01,2,0,1,2,2,5,3,8,6,3,0,3,0,2,14,23,37
PUCARANI,atencion odontologica,primera consulta,2016-07-01,38,44,44,40,23,47,34,83,25,19,0,18,0,16,164,267,431
PUERTO ACOSTA,atencion odontologica,primera consulta,2016-07-01,4,4,10,12,5,12,9,26,21,7,0,0,0,6,49,67,116
PUERTO CARABUCO,atencion odontologica,primera consulta,2016-07-01,9,8,8,11,10,14,13,22,14,11,0,0,0,2,54,68,122
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2016-07-01,17,13,29,33,6,10,10,23,5,3,0,3,0,1,67,86,153
PUERTO PEREZ,atencion odontologica,primera consulta,2016-07-01,5,3,3,2,0,3,3,7,6,2,0,0,0,3,17,20,37
PUERTO QUIJARRO,atencion odontologica,primera consulta,2016-07-01,15,17,1,4,0,1,10,21,3,1,0,8,0,2,29,54,83
PUERTO RICO,atencion odontologica,primera consulta,2016-07-01,37,26,38,30,10,13,17,19,7,3,0,8,0,1,109,100,209
PUERTO SUAREZ,atencion odontologica,primera consulta,2016-07-01,4,8,2,8,1,3,4,9,4,3,0,4,0,3,15,38,53
PUERTO VILLARROEL,atencion odontologica,primera consulta,2016-07-01,63,40,5,12,1,18,16,42,14,8,0,13,0,24,99,157,256
PUNA,atencion odontologica,primera consulta,2016-07-01,8,22,16,25,9,15,28,53,51,78,0,5,0,10,112,208,320
PUNATA,atencion odontologica,primera consulta,2016-07-01,14,12,18,15,10,21,13,32,12,11,0,6,0,10,67,107,174
QUIABAYA,atencion odontologica,primera consulta,2016-07-01,8,3,3,3,4,3,14,13,4,1,0,2,0,2,33,27,60
QUILLACOLLO,atencion odontologica,primera consulta,2016-07-01,177,173,49,62,36,52,54,131,19,21,0,19,0,23,335,481,816
QUIME,atencion odontologica,primera consulta,2016-07-01,19,27,15,33,5,10,26,31,27,8,0,7,0,3,92,119,211
QUIRUSILLAS,atencion odontologica,primera consulta,2016-07-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
RAVELO,atencion odontologica,primera consulta,2016-07-01,45,51,4,18,4,9,22,46,47,55,0,17,0,7,122,203,325
REYES,atencion odontologica,primera consulta,2016-07-01,7,6,16,13,7,9,12,31,4,1,0,3,0,2,46,65,111
RIBERALTA,atencion odontologica,primera consulta,2016-07-01,89,91,87,98,52,123,61,214,66,39,0,103,0,27,355,695,1050
ROBORE,atencion odontologica,primera consulta,2016-07-01,34,42,17,16,4,5,53,50,4,1,0,7,0,10,112,131,243
RURRENABAQUE,atencion odontologica,primera consulta,2016-07-01,37,42,51,60,32,42,66,41,19,13,0,29,0,13,205,240,445
SABAYA,atencion odontologica,primera consulta,2016-07-01,3,5,6,9,1,2,5,10,4,3,0,5,0,1,19,35,54
SACABA,atencion odontologica,primera consulta,2016-07-01,73,92,232,227,49,90,98,84,25,30,0,15,0,85,477,623,1100
SACABAMBA,atencion odontologica,primera consulta,2016-07-01,0,4,5,2,2,1,1,5,7,1,0,1,0,0,15,14,29
SACACA,atencion odontologica,primera consulta,2016-07-01,8,7,9,6,6,16,16,82,5,12,0,13,0,8,44,144,188
SAIPINA,atencion odontologica,primera consulta,2016-07-01,5,4,7,5,2,9,6,13,1,2,0,2,0,6,21,41,62
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2016-07-01,17,16,9,14,7,9,11,20,15,23,0,10,0,4,59,96,155
SAMAIPATA,atencion odontologica,primera consulta,2016-07-01,12,6,0,5,1,4,5,10,1,2,0,6,0,1,19,34,53
SAN AGUSTIN,atencion odontologica,primera consulta,2016-07-01,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
SAN ANDRES,atencion odontologica,primera consulta,2016-07-01,13,14,84,77,14,33,19,23,2,7,0,0,0,0,132,154,286
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2016-07-01,13,13,5,3,3,2,11,28,21,20,0,2,0,4,53,72,125
SAN ANTONIO DE ESMORUCO,atencion odontologica,primera consulta,2016-07-01,0,2,1,0,0,0,5,1,0,0,0,0,0,0,6,3,9
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2016-07-01,14,24,1,2,2,3,3,1,0,1,0,2,0,2,20,35,55
SAN BENITO,atencion odontologica,primera consulta,2016-07-01,0,7,98,89,2,2,4,9,4,3,0,1,0,2,108,113,221
SAN BORJA,atencion odontologica,primera consulta,2016-07-01,52,40,36,49,19,36,52,73,24,19,0,1,0,9,183,227,410
SAN BUENA VENTURA,atencion odontologica,primera consulta,2016-07-01,5,7,9,8,5,5,9,6,4,1,0,0,0,2,32,29,61
SAN CARLOS,atencion odontologica,primera consulta,2016-07-01,14,17,67,55,21,23,34,36,8,21,0,16,0,11,144,179,323
SAN IGNACIO,atencion odontologica,primera consulta,2016-07-01,10,18,43,33,29,40,30,82,2,1,0,10,0,8,114,192,306
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2016-07-01,74,89,72,62,1,8,3,32,33,12,0,14,0,5,183,222,405
SAN JAVIER(BNI),atencion odontologica,primera consulta,2016-07-01,1,0,1,3,0,3,1,1,0,0,0,1,0,0,3,8,11
SAN JAVIER(STC),atencion odontologica,primera consulta,2016-07-01,21,24,24,16,4,9,2,18,2,6,0,10,0,2,53,85,138
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2016-07-01,11,7,16,22,11,17,8,20,9,3,0,3,0,0,55,72,127
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2016-07-01,14,7,5,9,1,4,2,17,1,1,0,4,0,3,23,45,68
SAN JULIAN,atencion odontologica,primera consulta,2016-07-01,32,46,20,27,6,18,18,42,22,13,0,16,0,39,98,201,299
SAN LORENZO(TJA),atencion odontologica,primera consulta,2016-07-01,13,20,43,65,25,44,40,137,15,9,0,0,0,1,136,276,412
SAN LUCAS,atencion odontologica,primera consulta,2016-07-01,27,37,28,19,16,41,37,82,11,10,0,26,0,8,119,223,342
SAN MATIAS,atencion odontologica,primera consulta,2016-07-01,9,13,7,7,7,8,6,16,3,2,0,16,0,2,32,64,96
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2016-07-01,1,5,1,1,1,1,7,14,2,0,0,3,0,3,12,27,39
SAN PABLO DE LIPEZ,atencion odontologica,primera consulta,2016-07-01,4,3,0,0,2,1,1,6,0,0,0,2,0,3,7,15,22
SAN PEDRO,atencion odontologica,primera consulta,2016-07-01,26,31,25,29,8,19,13,35,3,4,0,16,0,3,75,137,212
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2016-07-01,9,8,7,10,7,3,19,32,11,4,0,10,0,7,53,74,127
SAN PEDRO DE CURAHUARA,atencion odontologica,primera consulta,2016-07-01,5,7,3,7,0,3,5,4,6,3,0,1,0,0,19,25,44
SAN PEDRO DE QUEMES,atencion odontologica,primera consulta,2016-07-01,1,1,0,1,0,1,2,4,0,2,0,0,0,0,3,9,12
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2016-07-01,6,4,20,31,53,37,8,15,4,0,0,2,0,0,91,89,180
SAN RAFAEL,atencion odontologica,primera consulta,2016-07-01,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,4,5
SAN RAMON BENI,atencion odontologica,primera consulta,2016-07-01,11,9,79,68,3,9,4,3,1,2,0,3,0,0,98,94,192
SAN RAMON SCZ,atencion odontologica,primera consulta,2016-07-01,48,49,9,15,8,13,10,17,3,5,0,15,0,10,78,124,202
SANTA ANA,atencion odontologica,primera consulta,2016-07-01,7,8,40,39,16,14,13,29,2,4,0,1,0,7,78,102,180
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2016-07-01,1414,1333,613,654,266,546,732,1776,419,431,0,1054,0,294,3444,6088,9532
SANTA ROSA,atencion odontologica,primera consulta,2016-07-01,44,43,10,15,9,6,11,19,1,0,0,0,0,1,75,84,159
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2016-07-01,21,12,9,6,3,14,16,35,8,10,0,11,0,9,57,97,154
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2016-07-01,9,15,21,36,5,16,13,37,15,11,0,8,0,7,63,130,193
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2016-07-01,7,11,3,7,8,10,9,11,11,14,0,2,0,0,38,55,93
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2016-07-01,0,1,4,2,2,1,5,6,2,3,0,2,0,0,13,15,28
SANTIVAÑES,atencion odontologica,primera consulta,2016-07-01,7,5,8,8,4,5,7,20,3,5,0,2,0,2,29,47,76
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2016-07-01,8,9,6,6,3,6,8,16,4,5,0,14,0,6,29,62,91
SAPAHAQUI,atencion odontologica,primera consulta,2016-07-01,10,12,12,5,9,5,12,27,8,5,0,1,0,4,51,59,110
SENA,atencion odontologica,primera consulta,2016-07-01,24,17,58,42,3,8,9,33,8,0,0,27,0,3,102,130,232
SHINAOTA,atencion odontologica,primera consulta,2016-07-01,14,15,17,24,7,14,6,32,6,3,0,39,0,45,50,172,222
SICA SICA (VILLA AROMA),atencion odontologica,primera consulta,2016-07-01,34,53,15,14,7,24,15,69,37,23,0,13,0,25,108,221,329
SICAYA,atencion odontologica,primera consulta,2016-07-01,2,4,4,2,0,2,3,13,0,2,0,6,0,1,9,30,39
SIPE SIPE,atencion odontologica,primera consulta,2016-07-01,47,65,41,39,6,22,21,84,26,30,0,14,0,23,141,277,418
