,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
ZUDAÑEZ,atencion odontologica,consulta nueva,2016-06-01,12,29,4,10,3,27,30,90,2,9,0,17,0,13,51,195,246
ACACIO,atencion odontologica,consulta nueva,2016-07-01,8,12,7,7,1,6,2,15,2,1,0,10,0,10,20,61,81
ACHACACHI,atencion odontologica,consulta nueva,2016-07-01,191,168,68,87,18,90,52,201,93,104,0,13,0,76,422,739,1161
ACHOCALLA,atencion odontologica,consulta nueva,2016-07-01,58,62,17,20,4,26,8,55,1,5,0,19,0,6,88,193,281
AIQUILE,atencion odontologica,consulta nueva,2016-07-01,130,147,47,88,21,43,55,91,55,35,0,23,0,55,308,482,790
ALALAY,atencion odontologica,consulta nueva,2016-07-01,1,3,6,12,1,8,11,11,1,5,0,0,0,1,20,40,60
ALCALA,atencion odontologica,consulta nueva,2016-07-01,70,74,10,24,9,49,18,70,1,3,0,15,0,4,108,239,347
ALTO BENI,atencion odontologica,consulta nueva,2016-07-01,44,38,7,2,4,13,4,41,9,4,0,10,0,11,68,119,187
ANCORAIMES,atencion odontologica,consulta nueva,2016-07-01,73,42,10,10,6,13,17,43,25,58,0,17,0,2,131,185,316
ANDAMARCA,atencion odontologica,consulta nueva,2016-07-01,4,11,26,15,7,22,11,51,19,17,0,16,0,9,67,141,208
ANTEQUERA,atencion odontologica,consulta nueva,2016-07-01,2,3,2,11,2,5,14,18,0,1,0,6,0,1,20,45,65
ANZALDO,atencion odontologica,consulta nueva,2016-07-01,139,130,98,206,3,54,5,83,16,41,0,65,0,18,261,597,858
APOLO,atencion odontologica,consulta nueva,2016-07-01,43,63,13,7,6,4,3,34,9,10,0,9,0,18,74,145,219
ARAMPAMPA,atencion odontologica,consulta nueva,2016-07-01,34,31,5,1,5,3,5,17,31,14,0,2,0,7,80,75,155
ARANI,atencion odontologica,consulta nueva,2016-07-01,40,36,19,15,9,20,12,53,10,18,0,20,0,18,90,180,270
ARBIETO,atencion odontologica,consulta nueva,2016-07-01,144,140,44,45,7,60,20,158,55,96,0,53,0,62,270,614,884
ARQUE,atencion odontologica,consulta nueva,2016-07-01,54,25,9,17,4,32,15,90,12,37,0,25,0,27,94,253,347
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2016-07-01,28,39,1,5,0,4,1,15,10,13,0,49,0,12,40,137,177
ATOCHA,atencion odontologica,consulta nueva,2016-07-01,26,22,60,56,32,39,108,122,4,9,0,10,0,2,230,260,490
AUCAPATA,atencion odontologica,consulta nueva,2016-07-01,11,10,10,10,4,6,10,40,6,2,0,1,0,3,41,72,113
AYATA,atencion odontologica,consulta nueva,2016-07-01,1,2,3,1,5,6,14,41,18,8,0,3,0,2,41,63,104
AYO AYO,atencion odontologica,consulta nueva,2016-07-01,16,17,5,12,3,7,4,19,10,16,0,2,0,7,38,80,118
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2016-07-01,55,34,80,63,13,32,104,151,31,31,0,18,0,53,283,382,665
AZURDUY,atencion odontologica,consulta nueva,2016-07-01,100,84,8,25,19,35,30,113,0,13,0,32,0,13,157,315,472
BATALLAS,atencion odontologica,consulta nueva,2016-07-01,32,18,10,23,3,26,13,43,22,20,0,5,0,9,80,144,224
BAURES,atencion odontologica,consulta nueva,2016-07-01,2,2,13,13,12,8,22,36,15,9,0,5,0,2,64,75,139
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2016-07-01,6,1,1,0,0,4,0,9,6,25,0,4,0,0,13,43,56
BELEN DE URMIRI,atencion odontologica,consulta nueva,2016-07-01,1,0,7,1,2,2,4,4,3,2,0,0,0,0,17,9,26
BELLA FLOR,atencion odontologica,consulta nueva,2016-07-01,0,4,9,3,2,3,6,5,17,8,0,2,0,0,34,25,59
BERMEJO,atencion odontologica,consulta nueva,2016-07-01,42,53,152,158,101,216,166,375,29,27,0,70,0,20,490,919,1409
BETANZOS,atencion odontologica,consulta nueva,2016-07-01,47,42,12,14,9,28,23,98,15,12,0,13,0,25,106,232,338
BOLIVAR,atencion odontologica,consulta nueva,2016-07-01,7,4,13,20,0,8,16,35,4,11,0,3,0,5,40,86,126
BOYUIBE,atencion odontologica,consulta nueva,2016-07-01,0,0,1,2,0,1,3,12,1,0,0,0,0,0,5,15,20
BUENA VISTA,atencion odontologica,consulta nueva,2016-07-01,47,77,17,16,5,22,8,29,15,9,0,9,0,15,92,177,269
CABEZAS,atencion odontologica,consulta nueva,2016-07-01,74,84,25,30,25,31,23,70,20,17,0,38,0,37,167,307,474
CAIROMA,atencion odontologica,consulta nueva,2016-07-01,15,5,18,34,3,13,14,17,0,3,0,1,0,1,50,74,124
"CAIZA ""D""",atencion odontologica,consulta nueva,2016-07-01,18,34,23,24,7,20,25,73,172,228,0,11,0,27,245,417,662
CAJUATA,atencion odontologica,consulta nueva,2016-07-01,127,136,58,55,18,47,105,215,9,4,0,84,0,47,317,588,905
CALACOTO,atencion odontologica,consulta nueva,2016-07-01,12,26,0,4,4,4,12,14,7,11,0,7,0,2,35,68,103
CALAMARCA,atencion odontologica,consulta nueva,2016-07-01,57,63,82,79,23,49,38,122,19,31,0,11,0,21,219,376,595
CAMARGO,atencion odontologica,consulta nueva,2016-07-01,89,115,34,18,0,22,12,97,7,14,0,58,0,31,142,355,497
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2016-07-01,39,13,6,5,3,13,9,40,6,3,0,8,0,14,63,96,159
CAMIRI,atencion odontologica,consulta nueva,2016-07-01,109,93,12,29,13,65,51,171,55,69,0,106,0,65,240,598,838
CAPINOTA,atencion odontologica,consulta nueva,2016-07-01,165,97,130,81,6,56,67,152,46,69,0,30,0,36,414,521,935
CAQUIAVIRI,atencion odontologica,consulta nueva,2016-07-01,14,8,10,18,1,12,10,18,14,1,0,9,0,4,49,70,119
CARACOLLO,atencion odontologica,consulta nueva,2016-07-01,43,66,72,72,26,70,48,110,15,13,0,17,0,9,204,357,561
CARANAVI,atencion odontologica,consulta nueva,2016-07-01,92,78,29,22,17,24,16,96,24,14,0,33,0,43,178,310,488
CARAPARI,atencion odontologica,consulta nueva,2016-07-01,6,23,81,78,64,122,99,196,12,4,0,0,0,1,262,424,686
CARIPUYO,atencion odontologica,consulta nueva,2016-07-01,6,9,5,8,2,4,9,22,8,6,0,0,0,3,30,52,82
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2016-07-01,51,51,10,10,1,1,26,32,4,5,0,37,0,21,92,157,249
CATACORA,atencion odontologica,consulta nueva,2016-07-01,3,5,2,3,4,14,8,12,1,1,0,1,0,2,18,38,56
CHALLAPATA,atencion odontologica,consulta nueva,2016-07-01,177,232,384,299,31,78,85,310,60,56,0,76,0,103,737,1154,1891
CHAQUI,atencion odontologica,consulta nueva,2016-07-01,13,20,9,10,2,13,11,28,14,19,0,11,0,4,49,105,154
CHARAGUA,atencion odontologica,consulta nueva,2016-07-01,38,68,13,14,18,23,17,38,2,0,0,11,0,5,88,159,247
CHARAÑA,atencion odontologica,consulta nueva,2016-07-01,26,30,0,0,1,5,7,14,1,1,0,2,0,1,35,53,88
CHAYANTA,atencion odontologica,consulta nueva,2016-07-01,54,47,21,18,10,14,24,68,9,14,0,3,0,6,118,170,288
CHIMORE,atencion odontologica,consulta nueva,2016-07-01,111,134,32,46,18,33,12,96,21,3,0,23,0,87,194,422,616
CHIPAYA,atencion odontologica,consulta nueva,2016-07-01,3,0,1,1,4,2,4,6,0,1,0,0,0,0,12,10,22
CHOQUE COTA,atencion odontologica,consulta nueva,2016-07-01,14,7,10,21,1,8,6,17,8,11,0,0,0,3,39,67,106
CHUA COCANI,atencion odontologica,consulta nueva,2016-07-01,12,13,6,11,2,7,4,28,5,17,0,1,0,6,29,83,112
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2016-07-01,60,78,44,59,13,22,19,109,8,10,0,34,0,55,144,367,511
CHUMA,atencion odontologica,consulta nueva,2016-07-01,29,31,36,38,14,36,55,130,42,42,0,14,0,14,176,305,481
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2016-07-01,74,40,8,12,4,10,8,47,13,11,0,21,0,40,107,181,288
CKOCHAS,atencion odontologica,consulta nueva,2016-07-01,8,8,7,5,3,16,12,38,57,86,0,13,0,23,87,189,276
CLIZA,atencion odontologica,consulta nueva,2016-07-01,79,81,85,129,14,52,35,136,75,127,0,26,0,28,288,579,867
COBIJA,atencion odontologica,consulta nueva,2016-07-01,249,275,111,103,54,137,156,315,65,69,0,119,0,76,635,1094,1729
COCAPATA,atencion odontologica,consulta nueva,2016-07-01,127,106,7,14,0,36,17,105,29,46,0,42,0,60,180,409,589
COCHABAMBA,atencion odontologica,consulta nueva,2016-07-01,2080,2114,2072,2560,723,1478,1705,3576,650,629,0,796,0,638,7230,11791,19021
COIPASA,atencion odontologica,consulta nueva,2016-07-01,4,10,23,22,1,0,5,11,9,7,0,4,0,2,42,56,98
COLCAPIRHUA,atencion odontologica,consulta nueva,2016-07-01,556,638,28,32,15,53,12,377,197,199,0,127,0,203,808,1629,2437
"COLCHA ""K""",atencion odontologica,consulta nueva,2016-07-01,50,52,9,14,6,14,19,57,27,22,0,50,0,13,111,222,333
COLOMI,atencion odontologica,consulta nueva,2016-07-01,104,86,0,0,0,26,0,39,2,7,0,24,0,39,106,221,327
COLPA BELGICA,atencion odontologica,consulta nueva,2016-07-01,7,7,110,118,1,0,3,12,2,2,0,0,0,1,123,140,263
COLQUECHACA,atencion odontologica,consulta nueva,2016-07-01,94,59,32,35,5,34,54,158,99,107,0,47,0,48,284,488,772
COLQUENCHA,atencion odontologica,consulta nueva,2016-07-01,19,17,87,64,18,69,38,48,3,8,0,2,0,8,165,216,381
COLQUIRI,atencion odontologica,consulta nueva,2016-07-01,93,93,69,69,15,50,61,129,43,36,0,25,0,22,281,424,705
COMARAPA,atencion odontologica,consulta nueva,2016-07-01,41,49,20,21,13,38,28,87,13,7,0,7,0,15,115,224,339
COMBAYA,atencion odontologica,consulta nueva,2016-07-01,9,3,1,1,0,0,2,4,1,1,0,0,0,0,13,9,22
CONCEPCION,atencion odontologica,consulta nueva,2016-07-01,3,5,0,2,1,4,2,6,0,0,0,0,0,0,6,17,23
COPACABANA,atencion odontologica,consulta nueva,2016-07-01,21,11,19,19,4,12,10,23,5,0,0,2,0,5,59,72,131
CORIPATA,atencion odontologica,consulta nueva,2016-07-01,80,77,37,22,6,22,17,115,11,3,0,21,0,35,151,295,446
CORO CORO,atencion odontologica,consulta nueva,2016-07-01,6,2,7,8,6,13,13,9,3,4,0,1,0,5,35,42,77
COROICO,atencion odontologica,consulta nueva,2016-07-01,64,125,56,70,14,46,77,183,26,7,0,14,0,61,237,506,743
CORQUE,atencion odontologica,consulta nueva,2016-07-01,6,12,15,10,7,15,14,35,45,23,0,6,0,12,87,113,200
COTAGAITA,atencion odontologica,consulta nueva,2016-07-01,28,34,42,41,16,60,84,150,38,13,0,7,0,19,208,324,532
COTOCA,atencion odontologica,consulta nueva,2016-07-01,598,607,26,26,16,51,17,387,51,72,0,178,0,38,708,1359,2067
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2016-07-01,61,86,11,17,8,38,13,77,12,9,0,41,0,39,105,307,412
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2016-07-01,2,9,13,21,4,11,3,19,15,7,0,0,0,1,37,68,105
CUEVO,atencion odontologica,consulta nueva,2016-07-01,1,10,13,35,14,15,14,39,0,1,0,3,0,2,42,105,147
CULPINA,atencion odontologica,consulta nueva,2016-07-01,72,62,20,30,23,40,55,128,6,27,0,30,0,28,176,345,521
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2016-07-01,42,32,5,3,2,20,3,25,33,46,0,6,0,19,85,151,236
CURVA,atencion odontologica,consulta nueva,2016-07-01,24,25,4,0,0,0,9,9,5,8,0,0,0,5,42,47,89
DESAGUADERO,atencion odontologica,consulta nueva,2016-07-01,0,2,2,3,2,2,1,4,3,4,0,0,0,2,8,17,25
EL ALTO,atencion odontologica,consulta nueva,2016-07-01,1985,2075,4091,4660,1320,2241,969,2027,334,251,0,381,0,367,8699,12002,20701
EL CHORO,atencion odontologica,consulta nueva,2016-07-01,24,16,15,9,7,12,18,25,26,33,0,12,0,0,90,107,197
EL PUENTE(STC),atencion odontologica,consulta nueva,2016-07-01,55,55,3,4,4,2,8,39,10,3,0,8,0,14,80,125,205
EL PUENTE(TJA),atencion odontologica,consulta nueva,2016-07-01,8,9,85,94,27,71,63,166,11,13,0,1,0,1,194,355,549
EL TORNO,atencion odontologica,consulta nueva,2016-07-01,289,340,228,212,39,142,51,360,52,44,0,116,0,84,659,1298,1957
EL VILLAR,atencion odontologica,consulta nueva,2016-07-01,21,24,14,6,24,6,23,43,7,1,0,10,0,7,89,97,186
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2016-07-01,29,36,71,84,32,104,75,216,20,14,0,11,0,5,227,470,697
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2016-07-01,85,65,11,21,1,39,1,75,4,5,0,25,0,73,102,303,405
ESCARA,atencion odontologica,consulta nueva,2016-07-01,8,1,0,0,0,1,0,5,4,5,0,5,0,1,12,18,30
ESCOMA,atencion odontologica,consulta nueva,2016-07-01,25,9,9,13,2,6,14,12,13,10,0,0,0,3,63,53,116
ESMERALDA,atencion odontologica,consulta nueva,2016-07-01,0,0,0,0,0,0,0,3,4,4,0,1,0,1,4,9,13
EUCALIPTUS,atencion odontologica,consulta nueva,2016-07-01,22,43,37,33,6,11,13,24,5,15,0,1,0,1,83,128,211
EUREKA (SANTOS MERCADO),atencion odontologica,consulta nueva,2016-07-01,22,13,2,3,0,0,0,2,6,2,0,10,0,0,30,30,60
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2016-07-01,22,21,46,57,15,35,3,44,11,16,0,20,0,11,97,204,301
FILADELFIA,atencion odontologica,consulta nueva,2016-07-01,7,2,5,3,1,5,8,8,1,0,0,3,0,4,22,25,47
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2016-07-01,43,37,17,18,5,24,2,37,6,13,0,10,0,22,73,161,234
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2016-07-01,41,52,11,24,10,26,21,51,6,14,0,12,0,30,89,209,298
GUANAY,atencion odontologica,consulta nueva,2016-07-01,24,28,10,7,10,7,18,30,8,3,0,8,0,15,70,98,168
GUAQUI,atencion odontologica,consulta nueva,2016-07-01,27,22,23,12,16,30,49,59,35,48,0,13,0,6,150,190,340
GUAYARAMERIN,atencion odontologica,consulta nueva,2016-07-01,56,30,85,94,52,111,163,264,18,27,0,99,0,36,374,661,1035
GUTIERREZ,atencion odontologica,consulta nueva,2016-07-01,25,21,5,16,10,23,15,44,3,6,0,7,0,7,58,124,182
HUACARETA,atencion odontologica,consulta nueva,2016-07-01,5,15,4,5,7,17,15,45,4,4,0,9,0,22,35,117,152
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2016-07-01,13,15,8,20,7,17,8,17,9,0,0,12,0,0,45,81,126
HUACHACALLA,atencion odontologica,consulta nueva,2016-07-01,6,12,0,5,6,3,14,11,5,4,0,2,0,2,31,39,70
HUANUNI,atencion odontologica,consulta nueva,2016-07-01,79,96,131,143,63,139,69,163,23,6,0,28,0,13,365,588,953
HUARACAJE,atencion odontologica,consulta nueva,2016-07-01,9,9,3,9,5,16,5,26,6,4,0,3,0,12,28,79,107
HUARINA,atencion odontologica,consulta nueva,2016-07-01,16,7,7,30,8,3,7,21,50,50,0,0,0,0,88,111,199
HUATAJATA,atencion odontologica,consulta nueva,2016-07-01,40,40,10,23,9,8,12,38,40,18,0,2,0,3,111,132,243
HUAYLLAMARCA,atencion odontologica,consulta nueva,2016-07-01,13,8,35,28,6,14,37,23,11,8,0,1,0,0,102,82,184
HUMANATA,atencion odontologica,consulta nueva,2016-07-01,12,12,6,1,2,11,10,17,10,12,0,3,0,2,40,58,98
ICHOCA,atencion odontologica,consulta nueva,2016-07-01,44,50,9,9,1,36,10,37,119,126,0,11,0,29,183,298,481
ICLA,atencion odontologica,consulta nueva,2016-07-01,169,180,17,34,8,48,34,91,1,13,0,16,0,6,229,388,617
INCAHUASI,atencion odontologica,consulta nueva,2016-07-01,22,35,13,8,6,15,25,74,3,7,0,22,0,16,69,177,246
INGAVI (HUMAITA),atencion odontologica,consulta nueva,2016-07-01,3,0,0,0,0,3,0,4,2,0,0,0,0,0,5,7,12
INQUISIVI,atencion odontologica,consulta nueva,2016-07-01,145,105,17,10,10,51,38,87,115,111,0,36,0,42,325,442,767
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2016-07-01,111,141,37,27,10,66,42,340,33,37,0,49,0,43,233,703,936
IXIAMAS,atencion odontologica,consulta nueva,2016-07-01,36,22,48,60,12,55,31,86,3,4,0,6,0,20,130,253,383
JESUS DE MACHACA,atencion odontologica,consulta nueva,2016-07-01,70,68,21,25,11,35,17,91,54,70,0,17,0,14,173,320,493
LA ASUNTA,atencion odontologica,consulta nueva,2016-07-01,105,128,61,84,25,79,100,230,16,11,0,45,0,89,307,666,973
LA GUARDIA,atencion odontologica,consulta nueva,2016-07-01,231,239,20,16,5,26,14,45,60,39,0,86,0,69,330,520,850
LA PAZ,atencion odontologica,consulta nueva,2016-07-01,3635,3317,2118,2353,767,1161,1687,3965,677,668,0,962,0,611,8884,13037,21921
LAGUNILLAS,atencion odontologica,consulta nueva,2016-07-01,0,0,15,14,6,17,15,67,1,0,0,6,0,4,37,108,145
LAJA,atencion odontologica,consulta nueva,2016-07-01,50,67,77,52,24,83,44,204,43,41,0,24,0,17,238,488,726
LAS CARRERAS,atencion odontologica,consulta nueva,2016-07-01,14,10,21,10,1,14,26,60,6,10,0,11,0,0,68,115,183
LICOMA PAMPA,atencion odontologica,consulta nueva,2016-07-01,29,56,16,12,4,23,16,53,35,35,0,4,0,13,100,196,296
LLALLAGUA,atencion odontologica,consulta nueva,2016-07-01,245,287,42,44,8,29,20,232,9,24,0,60,0,132,324,808,1132
LLICA,atencion odontologica,consulta nueva,2016-07-01,3,8,8,8,9,20,23,44,5,3,0,4,0,3,48,90,138
LURIBAY,atencion odontologica,consulta nueva,2016-07-01,17,21,10,17,7,13,23,48,12,5,0,12,0,10,69,126,195
MACHACAMARCA,atencion odontologica,consulta nueva,2016-07-01,33,54,42,74,3,16,14,83,10,45,0,5,0,15,102,292,394
MACHARETI,atencion odontologica,consulta nueva,2016-07-01,86,71,12,19,16,23,22,90,16,21,0,39,0,13,152,276,428
MAGDALENA,atencion odontologica,consulta nueva,2016-07-01,18,17,23,8,7,14,13,33,15,2,0,2,0,1,76,77,153
MAIRANA,atencion odontologica,consulta nueva,2016-07-01,28,45,30,36,1,25,10,140,30,35,0,40,0,80,99,401,500
MALLA,atencion odontologica,consulta nueva,2016-07-01,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,2,5
MAPIRI,atencion odontologica,consulta nueva,2016-07-01,61,72,38,58,20,27,35,88,17,8,0,13,0,24,171,290,461
MECAPACA,atencion odontologica,consulta nueva,2016-07-01,129,68,21,38,11,31,28,100,24,49,0,30,0,3,213,319,532
MINEROS,atencion odontologica,consulta nueva,2016-07-01,117,110,20,19,1,27,9,66,31,16,0,23,0,0,178,261,439
MIZQUE,atencion odontologica,consulta nueva,2016-07-01,183,127,44,38,10,39,25,74,50,54,0,10,0,61,312,403,715
MOCOMOCO,atencion odontologica,consulta nueva,2016-07-01,47,21,16,27,7,53,36,78,29,26,0,14,0,20,135,239,374
MOJINETE,atencion odontologica,consulta nueva,2016-07-01,10,1,4,4,6,2,4,14,1,1,0,3,0,2,25,27,52
MOJOCOYA,atencion odontologica,consulta nueva,2016-07-01,44,47,51,88,27,54,64,170,32,22,0,32,0,13,218,426,644
MONTEAGUDO,atencion odontologica,consulta nueva,2016-07-01,187,252,66,69,39,57,89,277,21,15,0,74,0,78,402,822,1224
MONTERO,atencion odontologica,consulta nueva,2016-07-01,251,255,371,421,143,292,170,558,64,48,0,60,0,97,999,1731,2730
MORO MORO,atencion odontologica,consulta nueva,2016-07-01,13,7,8,9,5,13,15,21,3,4,0,5,0,5,44,64,108
MOROCHATA,atencion odontologica,consulta nueva,2016-07-01,81,55,6,27,15,46,22,130,76,73,0,24,0,64,200,419,619
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consulta nueva,2016-07-01,6,10,4,3,0,1,6,20,14,9,0,9,0,5,30,57,87
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2016-07-01,0,7,6,1,0,1,4,3,4,3,0,0,0,0,14,15,29
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consulta nueva,2016-07-01,7,7,2,0,0,0,0,1,2,4,0,2,0,3,11,17,28
OCURI,atencion odontologica,consulta nueva,2016-07-01,50,49,10,7,3,34,28,89,12,37,0,28,0,26,103,270,373
OMEREQUE,atencion odontologica,consulta nueva,2016-07-01,18,13,47,72,33,37,2,23,20,11,0,6,0,9,120,171,291
ORURO,atencion odontologica,consulta nueva,2016-07-01,1196,1306,758,1033,362,713,827,1866,293,252,0,299,0,292,3436,5761,9197
PADCAYA,atencion odontologica,consulta nueva,2016-07-01,24,15,68,67,49,66,52,161,9,5,0,2,0,0,202,316,518
PADILLA,atencion odontologica,consulta nueva,2016-07-01,35,41,30,38,22,39,50,94,15,4,0,19,0,12,152,247,399
PAILON,atencion odontologica,consulta nueva,2016-07-01,40,45,56,72,20,60,97,252,37,18,0,14,0,30,250,491,741
PALCA,atencion odontologica,consulta nueva,2016-07-01,102,85,9,18,5,24,20,57,6,7,0,5,0,6,142,202,344
PALOS BLANCOS,atencion odontologica,consulta nueva,2016-07-01,89,108,28,29,17,32,29,122,21,11,0,17,0,73,184,392,576
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2016-07-01,1,3,29,21,6,5,4,13,2,3,0,12,0,0,42,57,99
PAMPA GRANDE,atencion odontologica,consulta nueva,2016-07-01,49,57,1,2,0,17,1,19,5,24,0,11,0,27,56,157,213
PAPEL PAMPA,atencion odontologica,consulta nueva,2016-07-01,5,18,10,11,7,8,10,37,26,12,0,7,0,19,58,112,170
PASORAPA,atencion odontologica,consulta nueva,2016-07-01,14,18,8,6,13,22,14,33,42,11,0,1,0,4,91,95,186
PATACAMAYA,atencion odontologica,consulta nueva,2016-07-01,30,90,5,5,2,1,9,10,10,10,0,3,0,30,56,149,205
PAZÑA,atencion odontologica,consulta nueva,2016-07-01,51,47,131,157,9,28,27,55,10,20,0,19,0,8,228,334,562
PELECHUCO,atencion odontologica,consulta nueva,2016-07-01,19,14,2,5,0,5,10,21,3,4,0,12,0,5,34,66,100
POCOATA,atencion odontologica,consulta nueva,2016-07-01,29,24,2,15,2,11,16,16,16,12,0,7,0,7,65,92,157
POCONA,atencion odontologica,consulta nueva,2016-07-01,26,57,33,47,12,19,13,78,7,5,0,47,0,13,91,266,357
POJO (CBBA),atencion odontologica,consulta nueva,2016-07-01,44,47,39,36,12,22,42,50,6,12,0,19,0,19,143,205,348
POOPO,atencion odontologica,consulta nueva,2016-07-01,35,40,123,79,34,63,59,94,28,11,0,20,0,15,279,322,601
PORCO,atencion odontologica,consulta nueva,2016-07-01,38,32,13,14,5,16,8,35,2,9,0,6,0,16,66,128,194
POROMA,atencion odontologica,consulta nueva,2016-07-01,86,108,33,11,5,33,19,115,11,13,0,38,0,14,154,332,486
PORONGO,atencion odontologica,consulta nueva,2016-07-01,33,32,15,19,5,7,3,13,13,13,0,10,0,18,69,112,181
PORTACHUELO,atencion odontologica,consulta nueva,2016-07-01,6,14,30,23,13,55,15,56,13,12,0,0,0,0,77,160,237
PORVENIR,atencion odontologica,consulta nueva,2016-07-01,17,28,15,15,6,4,12,38,12,7,0,5,0,3,62,100,162
POSTRER VALLE,atencion odontologica,consulta nueva,2016-07-01,4,19,3,2,3,5,8,20,1,1,0,2,0,7,19,56,75
POTOSI,atencion odontologica,consulta nueva,2016-07-01,678,651,433,496,278,565,396,1029,112,95,0,162,0,304,1897,3302,5199
PRESTO,atencion odontologica,consulta nueva,2016-07-01,75,79,27,10,6,27,33,133,22,25,0,48,0,31,163,353,516
PUCARA,atencion odontologica,consulta nueva,2016-07-01,16,4,3,1,1,12,6,31,16,8,0,0,0,15,42,71,113
PUCARANI,atencion odontologica,consulta nueva,2016-07-01,76,107,68,68,30,78,58,171,69,39,0,47,0,42,301,552,853
PUERTO ACOSTA,atencion odontologica,consulta nueva,2016-07-01,4,4,10,12,5,12,9,26,21,7,0,0,0,6,49,67,116
PUERTO CARABUCO,atencion odontologica,consulta nueva,2016-07-01,14,6,19,11,13,23,20,29,17,13,0,0,0,2,83,84,167
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2016-07-01,80,75,120,108,27,24,23,63,18,18,0,7,0,11,268,306,574
PUERTO PEREZ,atencion odontologica,consulta nueva,2016-07-01,9,8,6,3,0,4,4,13,11,2,0,1,0,4,30,35,65
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2016-07-01,36,56,8,11,13,1,12,56,11,3,0,34,0,5,80,166,246
PUERTO RICO,atencion odontologica,consulta nueva,2016-07-01,51,34,39,37,12,17,25,20,10,3,0,14,0,3,137,128,265
PUERTO SUAREZ,atencion odontologica,consulta nueva,2016-07-01,13,27,14,20,1,5,4,41,27,20,0,12,0,17,59,142,201
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2016-07-01,233,228,10,26,5,92,61,208,13,13,0,89,0,117,322,773,1095
PUNA,atencion odontologica,consulta nueva,2016-07-01,37,45,38,55,23,60,61,139,254,246,0,11,0,30,413,586,999
PUNATA,atencion odontologica,consulta nueva,2016-07-01,119,107,136,178,44,128,57,214,63,81,0,36,0,98,419,842,1261
QUIABAYA,atencion odontologica,consulta nueva,2016-07-01,36,25,6,8,9,8,39,45,13,3,0,4,0,13,103,106,209
QUILLACOLLO,atencion odontologica,consulta nueva,2016-07-01,808,811,247,293,121,237,203,617,174,115,0,167,0,237,1553,2477,4030
QUIME,atencion odontologica,consulta nueva,2016-07-01,141,206,45,84,19,32,50,116,66,28,0,23,0,34,321,523,844
QUIRUSILLAS,atencion odontologica,consulta nueva,2016-07-01,9,1,0,0,0,4,5,6,0,0,0,0,0,0,14,11,25
RAVELO,atencion odontologica,consulta nueva,2016-07-01,121,124,5,19,5,17,34,74,76,127,0,35,0,18,241,414,655
REYES,atencion odontologica,consulta nueva,2016-07-01,7,6,17,13,13,10,17,37,5,1,0,3,0,2,59,72,131
RIBERALTA,atencion odontologica,consulta nueva,2016-07-01,166,186,139,156,67,190,83,349,112,77,0,163,0,52,567,1173,1740
ROBORE,atencion odontologica,consulta nueva,2016-07-01,34,42,18,40,9,25,58,73,4,1,0,9,0,13,123,203,326
RURRENABAQUE,atencion odontologica,consulta nueva,2016-07-01,48,51,68,75,51,58,83,70,26,20,0,33,0,16,276,323,599
SABAYA,atencion odontologica,consulta nueva,2016-07-01,24,17,72,66,7,7,6,40,24,21,0,15,0,10,133,176,309
