,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES,TOTALES,TOTALES
COLQUECHACA,atencion odontologica,exodoncia,2016-06-01,1,0,11,14,6,12,25,60,40,44,0,0,0,0,83,130,213
COLQUENCHA,atencion odontologica,exodoncia,2016-06-01,0,2,15,15,20,11,9,24,3,0,0,0,0,0,47,52,99
COLQUIRI,atencion odontologica,exodoncia,2016-06-01,0,0,5,13,3,6,9,14,2,14,0,0,0,0,19,47,66
COMANCHE,atencion odontologica,exodoncia,2016-06-01,0,0,3,2,1,1,1,1,13,2,0,0,0,0,18,6,24
COMARAPA,atencion odontologica,exodoncia,2016-06-01,1,1,8,6,1,7,2,23,11,31,0,0,0,0,23,68,91
CONCEPCION,atencion odontologica,exodoncia,2016-06-01,2,2,3,5,5,5,3,15,5,2,0,0,0,0,18,29,47
COPACABANA,atencion odontologica,exodoncia,2016-06-01,2,1,6,11,2,7,8,7,4,4,0,0,0,0,22,30,52
CORIPATA,atencion odontologica,exodoncia,2016-06-01,1,5,14,14,1,3,9,12,6,2,0,0,0,0,31,36,67
CORO CORO,atencion odontologica,exodoncia,2016-06-01,0,0,3,6,2,3,6,10,0,1,0,0,0,0,11,20,31
COROICO,atencion odontologica,exodoncia,2016-06-01,0,0,7,5,6,3,10,16,15,11,0,0,0,0,38,35,73
CORQUE,atencion odontologica,exodoncia,2016-06-01,0,0,0,1,1,0,3,3,7,6,0,0,0,0,11,10,21
COTAGAITA,atencion odontologica,exodoncia,2016-06-01,2,3,16,12,5,11,36,28,24,20,0,0,0,0,83,74,157
COTOCA,atencion odontologica,exodoncia,2016-06-01,1,0,12,11,0,1,10,18,3,3,0,0,0,0,26,33,59
CUATRO CAÑADAS,atencion odontologica,exodoncia,2016-06-01,0,0,4,5,2,1,2,12,5,6,0,0,0,0,13,24,37
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,exodoncia,2016-06-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
CUEVO,atencion odontologica,exodoncia,2016-06-01,0,0,2,2,1,2,2,20,0,1,0,0,0,0,5,25,30
CULPINA,atencion odontologica,exodoncia,2016-06-01,1,1,13,13,1,4,9,35,5,26,0,0,0,0,29,79,108
CURAHUARA DE CARANGAS,atencion odontologica,exodoncia,2016-06-01,0,0,1,0,0,0,0,5,4,3,0,0,0,0,5,8,13
CURVA,atencion odontologica,exodoncia,2016-06-01,0,0,1,1,0,2,4,1,0,0,0,0,0,0,5,4,9
DESAGUADERO,atencion odontologica,exodoncia,2016-06-01,1,1,2,3,0,3,2,3,1,1,0,0,0,0,6,11,17
EL ALTO,atencion odontologica,exodoncia,2016-06-01,31,35,560,613,75,145,118,225,84,80,0,0,0,0,868,1098,1966
EL CHORO,atencion odontologica,exodoncia,2016-06-01,0,0,1,3,1,0,1,1,0,1,0,0,0,0,3,5,8
EL PUENTE(STC),atencion odontologica,exodoncia,2016-06-01,0,1,6,7,3,1,5,21,8,0,0,0,0,0,22,30,52
EL PUENTE(TJA),atencion odontologica,exodoncia,2016-06-01,0,0,10,12,2,13,13,37,5,7,0,0,0,0,30,69,99
EL TORNO,atencion odontologica,exodoncia,2016-06-01,3,3,27,19,14,17,21,29,34,30,0,0,0,0,99,98,197
EL VILLAR,atencion odontologica,exodoncia,2016-06-01,0,0,1,2,0,0,3,8,0,0,0,0,0,0,4,10,14
ENTRE RIOS TRJ,atencion odontologica,exodoncia,2016-06-01,0,1,19,18,5,12,27,71,16,6,0,0,0,0,67,108,175
ENTRE RIOS CBBA,atencion odontologica,exodoncia,2016-06-01,0,0,2,3,0,0,0,1,0,0,0,0,0,0,2,4,6
ESCOMA,atencion odontologica,exodoncia,2016-06-01,1,0,8,10,1,5,4,3,6,8,0,0,0,0,20,26,46
EUCALIPTUS,atencion odontologica,exodoncia,2016-06-01,0,0,1,5,1,0,0,1,5,5,0,0,0,0,7,11,18
EUREKA (SANTOS MERCADO),atencion odontologica,exodoncia,2016-06-01,0,0,0,3,0,0,1,8,0,0,0,0,0,0,1,11,12
FERNANDEZ ALONSO,atencion odontologica,exodoncia,2016-06-01,0,0,21,10,4,7,1,7,7,3,0,0,0,0,33,27,60
FILADELFIA,atencion odontologica,exodoncia,2016-06-01,3,2,1,2,2,0,6,7,3,2,0,0,0,0,15,13,28
GENERAL SAAVEDRA,atencion odontologica,exodoncia,2016-06-01,0,1,6,4,1,3,1,8,8,3,0,0,0,0,16,19,35
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,exodoncia,2016-06-01,3,2,14,18,0,1,11,19,6,6,0,0,0,0,34,46,80
GUANAY,atencion odontologica,exodoncia,2016-06-01,1,1,2,8,8,2,7,8,9,10,0,0,0,0,27,29,56
GUAQUI,atencion odontologica,exodoncia,2016-06-01,0,0,3,11,3,6,7,17,24,23,0,0,0,0,37,57,94
GUAYARAMERIN,atencion odontologica,exodoncia,2016-06-01,5,5,1,5,4,2,8,17,6,2,0,0,0,0,24,31,55
GUTIERREZ,atencion odontologica,exodoncia,2016-06-01,2,2,2,4,5,7,18,31,14,12,0,0,0,0,41,56,97
HUACARETA,atencion odontologica,exodoncia,2016-06-01,0,0,1,1,0,1,5,15,1,13,0,0,0,0,7,30,37
HUACAYA (VILLA DE HUACAYA),atencion odontologica,exodoncia,2016-06-01,0,0,8,7,2,1,0,6,0,0,0,0,0,0,10,14,24
HUANUNI,atencion odontologica,exodoncia,2016-06-01,3,2,26,45,7,3,15,27,12,7,0,0,0,0,63,84,147
HUARACAJE,atencion odontologica,exodoncia,2016-06-01,0,1,0,4,0,0,1,3,4,2,0,0,0,0,5,10,15
HUARINA,atencion odontologica,exodoncia,2016-06-01,0,0,3,1,1,0,5,9,18,27,0,0,0,0,27,37,64
HUATAJATA,atencion odontologica,exodoncia,2016-06-01,0,0,3,2,0,2,2,1,5,5,0,0,0,0,10,10,20
HUAYLLAMARCA,atencion odontologica,exodoncia,2016-06-01,0,0,2,3,1,1,5,10,2,3,0,0,0,0,10,17,27
HUMANATA,atencion odontologica,exodoncia,2016-06-01,3,0,1,1,0,0,1,5,24,17,0,0,0,0,29,23,52
ICHOCA,atencion odontologica,exodoncia,2016-06-01,0,0,0,0,0,0,2,7,9,2,0,0,0,0,11,9,20
ICLA,atencion odontologica,exodoncia,2016-06-01,0,0,6,9,6,1,2,15,4,6,0,0,0,0,18,31,49
INCAHUASI,atencion odontologica,exodoncia,2016-06-01,0,0,2,2,0,6,7,26,3,2,0,0,0,0,12,36,48
INQUISIVI,atencion odontologica,exodoncia,2016-06-01,4,0,7,4,3,13,10,23,40,22,0,0,0,0,64,62,126
IRUPANA (VILLA DE LANZA),atencion odontologica,exodoncia,2016-06-01,0,2,15,9,0,4,9,21,8,14,0,0,0,0,32,50,82
IXIAMAS,atencion odontologica,exodoncia,2016-06-01,0,3,8,10,6,23,2,20,6,3,0,0,0,0,22,59,81
JESUS DE MACHACA,atencion odontologica,exodoncia,2016-06-01,2,0,3,9,6,9,7,29,13,6,0,0,0,0,31,53,84
LA ASUNTA,atencion odontologica,exodoncia,2016-06-01,2,1,28,35,6,12,26,77,12,6,0,0,0,0,74,131,205
LA GUARDIA,atencion odontologica,exodoncia,2016-06-01,1,3,1,8,0,4,5,11,56,33,0,0,0,0,63,59,122
LA PAZ,atencion odontologica,exodoncia,2016-06-01,26,29,183,204,51,98,190,363,217,136,0,0,0,0,667,830,1497
LAGUNILLAS,atencion odontologica,exodoncia,2016-06-01,0,0,1,2,5,5,10,29,0,0,0,0,0,0,16,36,52
LAJA,atencion odontologica,exodoncia,2016-06-01,1,0,9,12,6,13,15,34,16,22,0,0,0,0,47,81,128
LAS CARRERAS,atencion odontologica,exodoncia,2016-06-01,0,0,5,1,0,1,5,6,7,7,0,0,0,0,17,15,32
LICOMA PAMPA,atencion odontologica,exodoncia,2016-06-01,2,0,7,8,3,0,2,10,3,1,0,0,0,0,17,19,36
LLALLAGUA,atencion odontologica,exodoncia,2016-06-01,1,0,8,5,3,5,3,27,3,3,0,0,0,0,18,40,58
LLICA,atencion odontologica,exodoncia,2016-06-01,0,0,0,2,3,2,6,6,1,1,0,0,0,0,10,11,21
LURIBAY,atencion odontologica,exodoncia,2016-06-01,0,0,2,1,1,1,8,5,4,2,0,0,0,0,15,9,24
MACHACAMARCA,atencion odontologica,exodoncia,2016-06-01,0,0,2,4,1,0,0,4,3,8,0,0,0,0,6,16,22
MACHARETI,atencion odontologica,exodoncia,2016-06-01,0,0,1,4,1,0,3,6,0,2,0,0,0,0,5,12,17
MAGDALENA,atencion odontologica,exodoncia,2016-06-01,4,1,7,9,5,7,4,13,6,0,0,0,0,0,26,30,56
MAIRANA,atencion odontologica,exodoncia,2016-06-01,0,0,2,1,0,3,4,17,6,12,0,0,0,0,12,33,45
MALLA,atencion odontologica,exodoncia,2016-06-01,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,1,4
MAPIRI,atencion odontologica,exodoncia,2016-06-01,1,0,13,14,3,4,11,23,9,1,0,0,0,0,37,42,79
MECAPACA,atencion odontologica,exodoncia,2016-06-01,0,0,6,3,2,7,4,16,18,15,0,0,0,0,30,41,71
MINEROS,atencion odontologica,exodoncia,2016-06-01,0,0,2,3,0,0,2,8,11,1,0,0,0,0,15,12,27
MIZQUE,atencion odontologica,exodoncia,2016-06-01,0,1,6,19,4,5,5,40,34,26,0,0,0,0,49,91,140
MOCOMOCO,atencion odontologica,exodoncia,2016-06-01,2,1,6,5,8,9,11,29,25,19,0,0,0,0,52,63,115
MOJINETE,atencion odontologica,exodoncia,2016-06-01,0,0,2,2,1,0,0,0,2,0,0,0,0,0,5,2,7
MOJOCOYA,atencion odontologica,exodoncia,2016-06-01,0,1,6,15,4,4,13,29,6,15,0,0,0,0,29,64,93
MONTEAGUDO,atencion odontologica,exodoncia,2016-06-01,0,0,5,10,1,3,10,19,7,3,0,0,0,0,23,35,58
MONTERO,atencion odontologica,exodoncia,2016-06-01,5,3,46,55,20,22,36,93,24,18,0,0,0,0,131,191,322
MORO MORO,atencion odontologica,exodoncia,2016-06-01,0,0,7,4,0,3,1,5,0,2,0,0,0,0,8,14,22
MOROCHATA,atencion odontologica,exodoncia,2016-06-01,1,0,7,6,3,15,5,16,10,11,0,0,0,0,26,48,74
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,exodoncia,2016-06-01,0,0,2,2,0,0,1,6,5,5,0,0,0,0,8,13,21
NAZACARA DE PACAJES,atencion odontologica,exodoncia,2016-06-01,0,0,2,3,0,2,1,7,0,0,0,0,0,0,3,12,15
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,exodoncia,2016-06-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,3
OCURI,atencion odontologica,exodoncia,2016-06-01,4,1,7,5,4,3,13,45,11,13,0,0,0,0,39,67,106
OKINAWA,atencion odontologica,exodoncia,2016-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
OMEREQUE,atencion odontologica,exodoncia,2016-06-01,0,2,9,3,2,4,9,17,9,10,0,0,0,0,29,36,65
ORURO,atencion odontologica,exodoncia,2016-06-01,13,19,111,122,32,59,165,246,149,78,0,0,0,0,470,524,994
PADCAYA,atencion odontologica,exodoncia,2016-06-01,0,1,20,12,4,8,25,43,6,0,0,0,0,0,55,64,119
PADILLA,atencion odontologica,exodoncia,2016-06-01,1,1,1,8,2,1,7,15,7,6,0,0,0,0,18,31,49
PAILON,atencion odontologica,exodoncia,2016-06-01,1,0,1,0,1,0,10,7,0,0,0,0,0,0,13,7,20
PALCA,atencion odontologica,exodoncia,2016-06-01,0,0,5,3,3,5,14,8,8,8,0,0,0,0,30,24,54
PALOS BLANCOS,atencion odontologica,exodoncia,2016-06-01,0,0,2,3,2,4,9,11,20,9,0,0,0,0,33,27,60
PAMPA AULLAGAS,atencion odontologica,exodoncia,2016-06-01,0,0,8,2,0,0,1,3,0,1,0,0,0,0,9,6,15
PAMPA GRANDE,atencion odontologica,exodoncia,2016-06-01,0,0,1,0,0,0,2,6,0,5,0,0,0,0,3,11,14
PAPEL PAMPA,atencion odontologica,exodoncia,2016-06-01,0,0,1,2,0,2,2,3,5,7,0,0,0,0,8,14,22
PASORAPA,atencion odontologica,exodoncia,2016-06-01,0,0,3,2,2,0,1,9,7,5,0,0,0,0,13,16,29
PATACAMAYA,atencion odontologica,exodoncia,2016-06-01,0,1,2,1,1,2,16,4,8,0,0,0,0,0,27,8,35
PAZÑA,atencion odontologica,exodoncia,2016-06-01,0,0,27,34,2,3,0,5,3,4,0,0,0,0,32,46,78
PELECHUCO,atencion odontologica,exodoncia,2016-06-01,1,0,2,0,0,1,2,6,7,2,0,0,0,0,12,9,21
POCOATA,atencion odontologica,exodoncia,2016-06-01,1,0,1,0,1,2,11,11,8,9,0,0,0,0,22,22,44
POCONA,atencion odontologica,exodoncia,2016-06-01,3,0,39,42,1,2,6,17,12,0,0,0,0,0,61,61,122
POJO (CBBA),atencion odontologica,exodoncia,2016-06-01,0,0,1,12,1,2,5,7,5,3,0,0,0,0,12,24,36
POOPO,atencion odontologica,exodoncia,2016-06-01,0,1,10,4,0,1,4,2,1,1,0,0,0,0,15,9,24
PORCO,atencion odontologica,exodoncia,2016-06-01,0,1,1,1,1,2,0,2,2,0,0,0,0,0,4,6,10
POROMA,atencion odontologica,exodoncia,2016-06-01,1,0,19,8,0,5,8,51,11,6,0,0,0,0,39,70,109
PORONGO,atencion odontologica,exodoncia,2016-06-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
PORTACHUELO,atencion odontologica,exodoncia,2016-06-01,0,0,2,5,0,4,1,4,4,0,0,0,0,0,7,13,20
PORVENIR,atencion odontologica,exodoncia,2016-06-01,0,0,5,5,2,3,4,6,8,5,0,0,0,0,19,19,38
POSTRER VALLE,atencion odontologica,exodoncia,2016-06-01,0,0,2,0,1,1,0,1,0,0,0,0,0,0,3,2,5
POTOSI,atencion odontologica,exodoncia,2016-06-01,10,15,58,69,65,82,220,255,46,41,0,0,0,0,399,462,861
PRESTO,atencion odontologica,exodoncia,2016-06-01,0,0,3,3,4,3,6,29,4,10,0,0,0,0,17,45,62
PUCARA,atencion odontologica,exodoncia,2016-06-01,0,0,4,5,0,0,4,7,19,2,0,0,0,0,27,14,41
PUCARANI,atencion odontologica,exodoncia,2016-06-01,5,3,18,19,13,16,25,54,42,34,0,0,0,0,103,126,229
PUERTO ACOSTA,atencion odontologica,exodoncia,2016-06-01,0,1,6,3,7,9,9,11,7,4,0,0,0,0,29,28,57
PUERTO CARABUCO,atencion odontologica,exodoncia,2016-06-01,1,1,4,5,7,11,15,20,44,12,0,0,0,0,71,49,120
PUERTO GONZALO MORENO,atencion odontologica,exodoncia,2016-06-01,0,0,3,4,4,2,19,41,10,10,0,0,0,0,36,57,93
PUERTO PEREZ,atencion odontologica,exodoncia,2016-06-01,0,0,1,4,1,0,1,3,4,0,0,0,0,0,7,7,14
PUERTO QUIJARRO,atencion odontologica,exodoncia,2016-06-01,0,0,3,0,0,0,0,1,1,0,0,0,0,0,4,1,5
PUERTO RICO,atencion odontologica,exodoncia,2016-06-01,0,0,3,11,6,6,16,14,4,0,0,0,0,0,29,31,60
PUERTO SUAREZ,atencion odontologica,exodoncia,2016-06-01,0,0,0,2,1,2,6,3,11,2,0,0,0,0,18,9,27
PUERTO VILLARROEL,atencion odontologica,exodoncia,2016-06-01,0,1,4,12,0,8,6,11,15,7,0,0,0,0,25,39,64
PUNA,atencion odontologica,exodoncia,2016-06-01,2,3,9,6,8,6,8,38,104,122,0,0,0,0,131,175,306
PUNATA,atencion odontologica,exodoncia,2016-06-01,0,0,4,24,7,3,4,9,5,7,0,0,0,0,20,43,63
QUIABAYA,atencion odontologica,exodoncia,2016-06-01,0,0,3,3,3,4,15,13,6,1,0,0,0,0,27,21,48
QUILLACOLLO,atencion odontologica,exodoncia,2016-06-01,18,23,44,75,77,65,47,70,78,72,0,0,0,0,264,305,569
QUIME,atencion odontologica,exodoncia,2016-06-01,0,1,4,7,2,4,10,17,4,7,0,0,0,0,20,36,56
QUIRUSILLAS,atencion odontologica,exodoncia,2016-06-01,0,0,0,0,0,0,3,1,2,0,0,0,0,0,5,1,6
RAVELO,atencion odontologica,exodoncia,2016-06-01,1,0,5,4,3,6,16,24,20,23,0,0,0,0,45,57,102
REYES,atencion odontologica,exodoncia,2016-06-01,0,0,6,5,4,6,6,18,3,2,0,0,0,0,19,31,50
RIBERALTA,atencion odontologica,exodoncia,2016-06-01,4,5,42,43,15,28,55,117,210,117,0,0,0,0,326,310,636
ROBORE,atencion odontologica,exodoncia,2016-06-01,0,0,2,2,3,3,5,29,17,0,0,0,0,0,27,34,61
RURRENABAQUE,atencion odontologica,exodoncia,2016-06-01,11,14,17,21,24,31,34,32,14,9,0,0,0,0,100,107,207
SABAYA,atencion odontologica,exodoncia,2016-06-01,0,0,9,10,0,0,3,5,7,6,0,0,0,0,19,21,40
SACABA,atencion odontologica,exodoncia,2016-06-01,2,2,193,192,12,16,4,35,18,17,0,0,0,0,229,262,491
SACABAMBA,atencion odontologica,exodoncia,2016-06-01,0,0,5,1,1,0,3,1,8,7,0,0,0,0,17,9,26
SACACA,atencion odontologica,exodoncia,2016-06-01,0,0,4,7,2,2,7,27,7,2,0,0,0,0,20,38,58
SAIPINA,atencion odontologica,exodoncia,2016-06-01,0,0,2,6,0,0,3,8,3,0,0,0,0,0,8,14,22
SALINAS DE GARCI MENDOZA,atencion odontologica,exodoncia,2016-06-01,0,2,22,25,4,1,7,9,7,7,0,0,0,0,40,44,84
SAMAIPATA,atencion odontologica,exodoncia,2016-06-01,0,1,12,3,5,0,1,2,8,3,0,0,0,0,26,9,35
SAN AGUSTIN,atencion odontologica,exodoncia,2016-06-01,1,0,1,3,0,0,0,2,0,0,0,0,0,0,2,5,7
SAN ANDRES,atencion odontologica,exodoncia,2016-06-01,1,0,14,14,3,4,14,27,9,2,0,0,0,0,41,47,88
SAN ANDRES DE MACHACA,atencion odontologica,exodoncia,2016-06-01,0,0,30,29,2,1,3,16,18,4,0,0,0,0,53,50,103
SAN ANTONIO DE ESMORUCO,atencion odontologica,exodoncia,2016-06-01,0,0,5,0,0,0,1,0,0,0,0,0,0,0,6,0,6
SAN ANTONIO DE LOMERIO,atencion odontologica,exodoncia,2016-06-01,0,0,0,1,1,1,0,3,1,2,0,0,0,0,2,7,9
SAN BENITO,atencion odontologica,exodoncia,2016-06-01,2,0,2,2,0,1,0,1,7,1,0,0,0,0,11,5,16
SAN BORJA,atencion odontologica,exodoncia,2016-06-01,16,13,5,15,2,9,18,32,8,10,0,0,0,0,49,79,128
SAN BUENA VENTURA,atencion odontologica,exodoncia,2016-06-01,0,1,3,5,1,1,2,10,6,9,0,0,0,0,12,26,38
SAN CARLOS,atencion odontologica,exodoncia,2016-06-01,1,1,6,6,9,5,11,10,11,5,0,0,0,0,38,27,65
SAN IGNACIO,atencion odontologica,exodoncia,2016-06-01,3,0,20,8,4,12,26,43,16,4,0,0,0,0,69,67,136
SAN IGNACIO DE VELASCO,atencion odontologica,exodoncia,2016-06-01,0,0,2,2,0,9,1,24,80,52,0,0,0,0,83,87,170
SAN JAVIER(BNI),atencion odontologica,exodoncia,2016-06-01,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,13,13
SAN JAVIER(STC),atencion odontologica,exodoncia,2016-06-01,1,0,3,1,0,1,4,3,3,0,0,0,0,0,11,5,16
SAN JOSE DE CHIQUITOS,atencion odontologica,exodoncia,2016-06-01,0,0,4,1,0,8,1,5,0,0,0,0,0,0,5,14,19
SAN JUAN DE YAPACANI,atencion odontologica,exodoncia,2016-06-01,0,0,1,2,1,3,1,13,1,3,0,0,0,0,4,21,25
SAN JULIAN,atencion odontologica,exodoncia,2016-06-01,0,0,2,1,1,2,1,4,13,4,0,0,0,0,17,11,28
SAN LORENZO(PND),atencion odontologica,exodoncia,2016-06-01,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,3
SAN LORENZO(TJA),atencion odontologica,exodoncia,2016-06-01,1,3,21,22,3,12,17,49,6,2,0,0,0,0,48,88,136
SAN LUCAS,atencion odontologica,exodoncia,2016-06-01,0,1,11,7,2,5,13,53,13,19,0,0,0,0,39,85,124
SAN MATIAS,atencion odontologica,exodoncia,2016-06-01,4,2,3,1,2,3,5,6,4,5,0,0,0,0,18,17,35
SAN MIGUEL DE VELASCO,atencion odontologica,exodoncia,2016-06-01,1,0,4,4,0,2,5,14,2,5,0,0,0,0,12,25,37
SAN PABLO DE LIPEZ,atencion odontologica,exodoncia,2016-06-01,0,0,2,0,1,0,0,4,0,0,0,0,0,0,3,4,7
SAN PEDRO,atencion odontologica,exodoncia,2016-06-01,1,0,7,9,3,4,6,11,6,1,0,0,0,0,23,25,48
SAN PEDRO DE BUENA VISTA,atencion odontologica,exodoncia,2016-06-01,0,0,2,3,1,3,9,21,15,20,0,0,0,0,27,47,74
SAN PEDRO DE CURAHUARA,atencion odontologica,exodoncia,2016-06-01,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,3
SAN PEDRO DE TIQUINA,atencion odontologica,exodoncia,2016-06-01,0,0,2,1,2,3,3,7,6,1,0,0,0,0,13,12,25
SAN RAFAEL,atencion odontologica,exodoncia,2016-06-01,0,2,0,1,0,1,0,10,1,0,0,0,0,0,1,14,15
SAN RAMON BENI,atencion odontologica,exodoncia,2016-06-01,0,1,6,2,2,5,6,4,5,0,0,0,0,0,19,12,31
SAN RAMON SCZ,atencion odontologica,exodoncia,2016-06-01,0,1,0,1,1,0,0,0,1,1,0,0,0,0,2,3,5
SANTA ANA,atencion odontologica,exodoncia,2016-06-01,1,0,18,24,4,4,5,27,10,7,0,0,0,0,38,62,100
SANTA CRUZ DE LA SIERRA,atencion odontologica,exodoncia,2016-06-01,15,10,80,86,39,39,119,269,247,144,0,0,0,0,500,548,1048
SANTA ROSA,atencion odontologica,exodoncia,2016-06-01,0,0,0,3,1,0,4,7,4,1,0,0,0,0,9,11,20
SANTA ROSA DEL SARA,atencion odontologica,exodoncia,2016-06-01,0,0,0,4,1,2,3,9,3,8,0,0,0,0,7,23,30
SANTIAGO DE CALLAPA,atencion odontologica,exodoncia,2016-06-01,0,0,1,3,2,2,2,5,11,13,0,0,0,0,16,23,39
SANTIAGO DE HUARI,atencion odontologica,exodoncia,2016-06-01,2,0,38,15,0,4,3,4,12,5,0,0,0,0,55,28,83
SANTIAGO DE HUATA,atencion odontologica,exodoncia,2016-06-01,2,1,4,2,0,2,3,9,20,19,0,0,0,0,29,33,62
SANTIAGO DE MACHACA,atencion odontologica,exodoncia,2016-06-01,0,0,1,1,2,1,3,15,7,10,0,0,0,0,13,27,40
SANTIVAÑES,atencion odontologica,exodoncia,2016-06-01,0,0,1,4,0,1,0,1,0,5,0,0,0,0,1,11,12
SANTUARIO DE QUILLACAS,atencion odontologica,exodoncia,2016-06-01,0,0,8,10,0,0,2,4,4,4,0,0,0,0,14,18,32
SAPAHAQUI,atencion odontologica,exodoncia,2016-06-01,0,0,3,2,4,4,11,25,4,4,0,0,0,0,22,35,57
SENA,atencion odontologica,exodoncia,2016-06-01,0,0,5,7,5,6,6,15,30,11,0,0,0,0,46,39,85
SHINAOTA,atencion odontologica,exodoncia,2016-06-01,0,0,5,7,0,1,3,9,9,5,0,0,0,0,17,22,39
SICA SICA (VILLA AROMA),atencion odontologica,exodoncia,2016-06-01,0,1,3,2,2,3,4,14,23,18,0,0,0,0,32,38,70
SICAYA,atencion odontologica,exodoncia,2016-06-01,1,0,0,1,1,1,0,2,1,0,0,0,0,0,3,4,7
SIPE SIPE,atencion odontologica,exodoncia,2016-06-01,2,1,20,6,1,5,0,14,9,10,0,0,0,0,32,36,68
SOPACHUY,atencion odontologica,exodoncia,2016-06-01,0,0,10,16,1,3,1,33,1,2,0,0,0,0,13,54,67
SORACACHI,atencion odontologica,exodoncia,2016-06-01,0,1,16,25,4,8,7,14,17,15,0,0,0,0,44,63,107
SORATA,atencion odontologica,exodoncia,2016-06-01,1,1,4,7,0,4,9,11,19,16,0,0,0,0,33,39,72
SUCRE,atencion odontologica,exodoncia,2016-06-01,11,6,146,191,36,53,108,242,94,83,0,0,0,0,395,575,970
TACACHI,atencion odontologica,exodoncia,2016-06-01,0,0,0,2,0,0,1,2,7,0,0,0,0,0,8,4,12
TACACOMA,atencion odontologica,exodoncia,2016-06-01,0,0,4,3,0,2,7,11,1,0,0,0,0,0,12,16,28
TACOBAMBA,atencion odontologica,exodoncia,2016-06-01,0,0,7,5,3,6,1,12,4,5,0,0,0,0,15,28,43
TACOPAYA,atencion odontologica,exodoncia,2016-06-01,0,0,0,0,1,2,0,3,6,4,0,0,0,0,7,9,16
TAHUA,atencion odontologica,exodoncia,2016-06-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
TAPACARI,atencion odontologica,exodoncia,2016-06-01,0,0,10,8,4,5,8,23,23,13,0,0,0,0,45,49,94
TARABUCO,atencion odontologica,exodoncia,2016-06-01,0,0,9,4,4,4,7,21,4,13,0,0,0,0,24,42,66
TARACO,atencion odontologica,exodoncia,2016-06-01,1,1,3,3,0,3,6,5,11,7,0,0,0,0,21,19,40
TARATA,atencion odontologica,exodoncia,2016-06-01,0,1,6,12,1,1,3,7,3,20,0,0,0,0,13,41,54
TARIJA,atencion odontologica,exodoncia,2016-06-01,6,7,83,103,22,38,121,220,32,20,0,0,0,0,264,388,652
TARVITA,atencion odontologica,exodoncia,2016-06-01,0,0,3,4,1,6,11,26,1,6,0,0,0,0,16,42,58
TEOPONTE,atencion odontologica,exodoncia,2016-06-01,0,2,9,8,0,3,14,15,15,1,0,0,0,0,38,29,67
TIAWANACU,atencion odontologica,exodoncia,2016-06-01,0,0,5,3,0,3,4,4,2,7,0,0,0,0,11,17,28
TINGUIPAYA,atencion odontologica,exodoncia,2016-06-01,2,0,0,8,3,7,13,41,19,52,0,0,0,0,37,108,145
TIPUANI,atencion odontologica,exodoncia,2016-06-01,0,0,3,3,0,0,1,1,1,3,0,0,0,0,5,7,12
TIQUIPAYA,atencion odontologica,exodoncia,2016-06-01,4,1,28,17,3,17,2,36,18,10,0,0,0,0,55,81,136
TIRAQUE (CBBA),atencion odontologica,exodoncia,2016-06-01,1,0,13,10,0,1,3,3,3,8,0,0,0,0,20,22,42
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,exodoncia,2016-06-01,0,1,14,7,3,3,7,7,1,5,0,0,0,0,25,23,48
TOCO,atencion odontologica,exodoncia,2016-06-01,0,0,4,0,0,2,15,9,2,2,0,0,0,0,21,13,34
TOLATA,atencion odontologica,exodoncia,2016-06-01,0,0,4,3,0,1,0,0,2,0,0,0,0,0,6,4,10
TOLEDO,atencion odontologica,exodoncia,2016-06-01,0,0,0,0,0,0,4,6,0,1,0,0,0,0,4,7,11
TOMAVE,atencion odontologica,exodoncia,2016-06-01,1,0,7,14,3,6,12,32,8,19,0,0,0,0,31,71,102
TOMINA,atencion odontologica,exodoncia,2016-06-01,0,0,5,13,2,2,8,22,0,4,0,0,0,0,15,41,56
TORO TORO,atencion odontologica,exodoncia,2016-06-01,0,0,2,5,1,3,8,15,13,8,0,0,0,0,24,31,55
