,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES,TOTALES,TOTALES
COLQUIRI,atencion odontologica,restauraciones,2016-06-01,37,47,6,13,4,12,30,43,6,2,0,0,0,0,83,117,200
COMANCHE,atencion odontologica,restauraciones,2016-06-01,15,11,22,17,0,0,0,1,5,0,0,0,0,0,42,29,71
COMARAPA,atencion odontologica,restauraciones,2016-06-01,28,50,5,13,7,31,13,78,8,8,0,0,0,0,61,180,241
CONCEPCION,atencion odontologica,restauraciones,2016-06-01,14,21,5,9,3,6,3,20,1,1,0,0,0,0,26,57,83
COPACABANA,atencion odontologica,restauraciones,2016-06-01,33,11,2,6,0,1,3,8,2,3,0,0,0,0,40,29,69
CORIPATA,atencion odontologica,restauraciones,2016-06-01,9,16,12,7,4,7,10,23,0,2,0,0,0,0,35,55,90
CORO CORO,atencion odontologica,restauraciones,2016-06-01,3,1,1,0,0,1,2,5,0,0,0,0,0,0,6,7,13
COROICO,atencion odontologica,restauraciones,2016-06-01,47,41,23,22,11,12,17,25,4,5,0,0,0,0,102,105,207
CORQUE,atencion odontologica,restauraciones,2016-06-01,14,7,1,1,0,3,1,17,7,6,0,0,0,0,23,34,57
COTAGAITA,atencion odontologica,restauraciones,2016-06-01,17,9,36,51,21,31,85,166,15,8,0,0,0,0,174,265,439
COTOCA,atencion odontologica,restauraciones,2016-06-01,25,30,4,1,0,16,0,78,8,0,0,0,0,0,37,125,162
CUATRO CAÑADAS,atencion odontologica,restauraciones,2016-06-01,8,22,5,10,2,8,4,27,6,3,0,0,0,0,25,70,95
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2016-06-01,7,6,1,0,0,4,1,7,0,2,0,0,0,0,9,19,28
CUEVO,atencion odontologica,restauraciones,2016-06-01,0,0,7,6,10,8,3,13,0,2,0,0,0,0,20,29,49
CULPINA,atencion odontologica,restauraciones,2016-06-01,17,20,0,4,2,6,6,11,0,12,0,0,0,0,25,53,78
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2016-06-01,4,6,2,0,0,6,3,27,12,37,0,0,0,0,21,76,97
CURVA,atencion odontologica,restauraciones,2016-06-01,5,5,1,0,0,0,2,8,0,0,0,0,0,0,8,13,21
DESAGUADERO,atencion odontologica,restauraciones,2016-06-01,8,0,3,2,2,1,2,7,0,0,0,0,0,0,15,10,25
EL ALTO,atencion odontologica,restauraciones,2016-06-01,1295,1283,1619,1810,487,782,629,1612,116,60,0,0,0,0,4146,5547,9693
EL CHORO,atencion odontologica,restauraciones,2016-06-01,2,0,1,0,0,0,4,14,5,1,0,0,0,0,12,15,27
EL PUENTE(STC),atencion odontologica,restauraciones,2016-06-01,6,11,0,4,2,4,2,23,2,3,0,0,0,0,12,45,57
EL PUENTE(TJA),atencion odontologica,restauraciones,2016-06-01,5,6,15,24,6,24,37,81,4,16,0,0,0,0,67,151,218
EL TORNO,atencion odontologica,restauraciones,2016-06-01,75,79,132,64,23,80,34,139,21,23,0,0,0,0,285,385,670
EL VILLAR,atencion odontologica,restauraciones,2016-06-01,16,9,7,1,1,3,11,14,0,2,0,0,0,0,35,29,64
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2016-06-01,2,2,37,62,20,57,45,122,9,3,0,0,0,0,113,246,359
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2016-06-01,38,27,0,7,0,2,4,12,2,0,0,0,0,0,44,48,92
ESCARA,atencion odontologica,restauraciones,2016-06-01,1,2,0,0,0,2,0,14,1,0,0,0,0,0,2,18,20
ESCOMA,atencion odontologica,restauraciones,2016-06-01,4,7,6,8,0,4,0,2,0,1,0,0,0,0,10,22,32
ESMERALDA,atencion odontologica,restauraciones,2016-06-01,0,0,0,0,0,0,0,1,1,6,0,0,0,0,1,7,8
EUCALIPTUS,atencion odontologica,restauraciones,2016-06-01,1,5,5,10,0,1,1,12,1,2,0,0,0,0,8,30,38
EUREKA (SANTOS MERCADO),atencion odontologica,restauraciones,2016-06-01,0,0,0,5,4,0,1,2,0,0,0,0,0,0,5,7,12
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2016-06-01,13,28,55,69,7,28,5,51,6,7,0,0,0,0,86,183,269
FILADELFIA,atencion odontologica,restauraciones,2016-06-01,2,0,0,0,0,1,0,8,2,0,0,0,0,0,4,9,13
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2016-06-01,6,9,1,1,0,7,2,12,3,1,0,0,0,0,12,30,42
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2016-06-01,8,4,0,1,0,5,4,32,3,4,0,0,0,0,15,46,61
GUANAY,atencion odontologica,restauraciones,2016-06-01,9,17,4,3,5,5,9,11,15,4,0,0,0,0,42,40,82
GUAQUI,atencion odontologica,restauraciones,2016-06-01,22,17,1,3,3,4,10,25,0,2,0,0,0,0,36,51,87
GUAYARAMERIN,atencion odontologica,restauraciones,2016-06-01,7,24,25,23,91,145,183,44,11,16,0,0,0,0,317,252,569
GUTIERREZ,atencion odontologica,restauraciones,2016-06-01,4,5,3,4,1,2,4,15,0,0,0,0,0,0,12,26,38
HUACARETA,atencion odontologica,restauraciones,2016-06-01,0,7,0,2,7,4,4,24,1,0,0,0,0,0,12,37,49
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2016-06-01,1,8,20,20,5,10,6,21,0,0,0,0,0,0,32,59,91
HUACHACALLA,atencion odontologica,restauraciones,2016-06-01,2,3,0,0,0,0,3,15,7,2,0,0,0,0,12,20,32
HUANUNI,atencion odontologica,restauraciones,2016-06-01,25,50,49,108,22,36,76,126,43,10,0,0,0,0,215,330,545
HUARACAJE,atencion odontologica,restauraciones,2016-06-01,9,3,0,2,1,1,1,2,2,0,0,0,0,0,13,8,21
HUARINA,atencion odontologica,restauraciones,2016-06-01,9,9,0,4,3,0,9,4,1,7,0,0,0,0,22,24,46
HUATAJATA,atencion odontologica,restauraciones,2016-06-01,1,2,0,0,0,0,0,21,9,6,0,0,0,0,10,29,39
HUAYLLAMARCA,atencion odontologica,restauraciones,2016-06-01,5,1,8,8,7,5,5,4,0,1,0,0,0,0,25,19,44
HUMANATA,atencion odontologica,restauraciones,2016-06-01,5,10,0,0,0,0,0,1,16,8,0,0,0,0,21,19,40
ICHOCA,atencion odontologica,restauraciones,2016-06-01,6,3,0,0,1,2,0,1,1,0,0,0,0,0,8,6,14
ICLA,atencion odontologica,restauraciones,2016-06-01,12,8,5,8,9,8,10,18,1,1,0,0,0,0,37,43,80
INCAHUASI,atencion odontologica,restauraciones,2016-06-01,0,0,3,0,3,6,5,19,0,2,0,0,0,0,11,27,38
INQUISIVI,atencion odontologica,restauraciones,2016-06-01,17,4,0,2,4,16,10,5,2,4,0,0,0,0,33,31,64
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2016-06-01,65,73,10,13,0,8,7,22,10,1,0,0,0,0,92,117,209
IXIAMAS,atencion odontologica,restauraciones,2016-06-01,2,1,16,14,1,13,10,26,0,0,0,0,0,0,29,54,83
JESUS DE MACHACA,atencion odontologica,restauraciones,2016-06-01,2,22,2,7,2,5,3,17,4,5,0,0,0,0,13,56,69
LA ASUNTA,atencion odontologica,restauraciones,2016-06-01,33,29,24,21,9,36,30,109,0,0,0,0,0,0,96,195,291
LA GUARDIA,atencion odontologica,restauraciones,2016-06-01,117,91,2,3,4,31,3,95,31,14,0,0,0,0,157,234,391
LA PAZ,atencion odontologica,restauraciones,2016-06-01,1885,1820,893,984,389,727,1747,3808,586,418,0,0,0,0,5500,7757,13257
LAGUNILLAS,atencion odontologica,restauraciones,2016-06-01,2,0,2,11,6,20,12,33,0,0,0,0,0,0,22,64,86
LAJA,atencion odontologica,restauraciones,2016-06-01,8,14,0,0,0,9,4,10,7,1,0,0,0,0,19,34,53
LAS CARRERAS,atencion odontologica,restauraciones,2016-06-01,2,6,0,1,1,5,5,22,7,1,0,0,0,0,15,35,50
LICOMA PAMPA,atencion odontologica,restauraciones,2016-06-01,4,1,0,10,0,12,3,2,0,0,0,0,0,0,7,25,32
LLALLAGUA,atencion odontologica,restauraciones,2016-06-01,165,179,2,7,0,47,7,129,5,8,0,0,0,0,179,370,549
LLICA,atencion odontologica,restauraciones,2016-06-01,0,0,0,1,3,1,1,10,0,1,0,0,0,0,4,13,17
LURIBAY,atencion odontologica,restauraciones,2016-06-01,0,6,2,2,0,4,3,10,1,1,0,0,0,0,6,23,29
MACHACAMARCA,atencion odontologica,restauraciones,2016-06-01,11,12,11,18,5,9,23,39,10,14,0,0,0,0,60,92,152
MACHARETI,atencion odontologica,restauraciones,2016-06-01,2,7,1,2,2,8,6,15,0,7,0,0,0,0,11,39,50
MAGDALENA,atencion odontologica,restauraciones,2016-06-01,4,1,4,3,4,28,18,40,3,2,0,0,0,0,33,74,107
MAIRANA,atencion odontologica,restauraciones,2016-06-01,23,34,22,28,6,7,6,85,6,5,0,0,0,0,63,159,222
MALLA,atencion odontologica,restauraciones,2016-06-01,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,3,5
MAPIRI,atencion odontologica,restauraciones,2016-06-01,33,27,11,5,4,16,16,41,4,0,0,0,0,0,68,89,157
MECAPACA,atencion odontologica,restauraciones,2016-06-01,8,15,2,1,1,0,4,10,0,0,0,0,0,0,15,26,41
MINEROS,atencion odontologica,restauraciones,2016-06-01,37,30,4,4,0,2,6,116,0,1,0,0,0,0,47,153,200
MIZQUE,atencion odontologica,restauraciones,2016-06-01,88,87,8,17,0,14,6,48,2,2,0,0,0,0,104,168,272
MOCOMOCO,atencion odontologica,restauraciones,2016-06-01,7,9,0,5,3,5,7,12,1,3,0,0,0,0,18,34,52
MOJINETE,atencion odontologica,restauraciones,2016-06-01,4,0,0,1,0,0,1,1,0,1,0,0,0,0,5,3,8
MOJOCOYA,atencion odontologica,restauraciones,2016-06-01,21,17,29,36,11,30,32,55,3,3,0,0,0,0,96,141,237
MONTEAGUDO,atencion odontologica,restauraciones,2016-06-01,67,72,18,26,29,58,57,123,14,9,0,0,0,0,185,288,473
MONTERO,atencion odontologica,restauraciones,2016-06-01,59,82,135,102,34,100,83,300,24,15,0,0,0,0,335,599,934
MORO MORO,atencion odontologica,restauraciones,2016-06-01,4,5,4,1,1,7,8,13,0,3,0,0,0,0,17,29,46
MOROCHATA,atencion odontologica,restauraciones,2016-06-01,46,31,17,17,1,15,17,42,14,14,0,0,0,0,95,119,214
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,restauraciones,2016-06-01,2,1,0,0,0,0,1,1,1,0,0,0,0,0,4,2,6
NAZACARA DE PACAJES,atencion odontologica,restauraciones,2016-06-01,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,restauraciones,2016-06-01,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,4
OCURI,atencion odontologica,restauraciones,2016-06-01,8,7,2,2,2,5,2,55,8,6,0,0,0,0,22,75,97
OKINAWA,atencion odontologica,restauraciones,2016-06-01,8,6,0,1,1,0,0,7,1,0,0,0,0,0,10,14,24
OMEREQUE,atencion odontologica,restauraciones,2016-06-01,13,13,2,4,0,2,5,28,9,18,0,0,0,0,29,65,94
ORURO,atencion odontologica,restauraciones,2016-06-01,547,617,282,334,140,268,853,1355,295,136,0,0,0,0,2117,2710,4827
PADCAYA,atencion odontologica,restauraciones,2016-06-01,1,1,7,18,7,24,15,40,0,0,0,0,0,0,30,83,113
PADILLA,atencion odontologica,restauraciones,2016-06-01,21,13,5,1,15,14,19,41,2,1,0,0,0,0,62,70,132
PAILON,atencion odontologica,restauraciones,2016-06-01,17,52,4,5,1,1,6,23,0,0,0,0,0,0,28,81,109
PALCA,atencion odontologica,restauraciones,2016-06-01,11,23,0,4,0,0,1,13,0,0,0,0,0,0,12,40,52
PALOS BLANCOS,atencion odontologica,restauraciones,2016-06-01,33,51,6,17,7,14,21,74,10,2,0,0,0,0,77,158,235
PAMPA AULLAGAS,atencion odontologica,restauraciones,2016-06-01,1,5,0,10,0,5,2,7,0,4,0,0,0,0,3,31,34
PAMPA GRANDE,atencion odontologica,restauraciones,2016-06-01,4,5,0,0,0,0,0,4,0,0,0,0,0,0,4,9,13
PAPEL PAMPA,atencion odontologica,restauraciones,2016-06-01,7,7,3,1,1,3,3,11,15,7,0,0,0,0,29,29,58
PASORAPA,atencion odontologica,restauraciones,2016-06-01,5,0,5,9,4,6,11,27,13,2,0,0,0,0,38,44,82
PATACAMAYA,atencion odontologica,restauraciones,2016-06-01,30,45,2,6,0,5,7,35,4,1,0,0,0,0,43,92,135
PAZÑA,atencion odontologica,restauraciones,2016-06-01,13,25,60,65,15,6,25,77,19,17,0,0,0,0,132,190,322
PELECHUCO,atencion odontologica,restauraciones,2016-06-01,14,18,0,1,0,0,1,11,3,0,0,0,0,0,18,30,48
POCOATA,atencion odontologica,restauraciones,2016-06-01,3,1,1,1,1,0,7,20,2,0,0,0,0,0,14,22,36
POCONA,atencion odontologica,restauraciones,2016-06-01,36,38,92,52,2,15,3,43,0,5,0,0,0,0,133,153,286
POJO (CBBA),atencion odontologica,restauraciones,2016-06-01,26,20,6,24,4,4,10,32,0,4,0,0,0,0,46,84,130
POOPO,atencion odontologica,restauraciones,2016-06-01,14,22,28,36,2,3,12,43,3,0,0,0,0,0,59,104,163
PORCO,atencion odontologica,restauraciones,2016-06-01,8,6,1,4,0,0,0,18,0,3,0,0,0,0,9,31,40
POROMA,atencion odontologica,restauraciones,2016-06-01,9,27,36,67,3,9,7,19,1,0,0,0,0,0,56,122,178
PORONGO,atencion odontologica,restauraciones,2016-06-01,0,2,2,1,4,7,2,16,0,0,0,0,0,0,8,26,34
PORTACHUELO,atencion odontologica,restauraciones,2016-06-01,1,0,8,9,9,7,10,16,0,0,0,0,0,0,28,32,60
PORVENIR,atencion odontologica,restauraciones,2016-06-01,4,8,1,6,1,3,5,7,5,0,0,0,0,0,16,24,40
POSTRER VALLE,atencion odontologica,restauraciones,2016-06-01,4,4,0,1,1,3,2,9,0,1,0,0,0,0,7,18,25
POTOSI,atencion odontologica,restauraciones,2016-06-01,230,236,161,139,129,247,276,599,85,99,0,0,0,0,881,1320,2201
PRESTO,atencion odontologica,restauraciones,2016-06-01,9,6,30,36,16,25,5,19,0,6,0,0,0,0,60,92,152
PUCARA,atencion odontologica,restauraciones,2016-06-01,0,0,4,0,2,0,5,4,0,2,0,0,0,0,11,6,17
PUCARANI,atencion odontologica,restauraciones,2016-06-01,42,20,4,8,1,9,8,30,4,3,0,0,0,0,59,70,129
PUERTO ACOSTA,atencion odontologica,restauraciones,2016-06-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
PUERTO CARABUCO,atencion odontologica,restauraciones,2016-06-01,11,24,0,2,4,7,15,12,5,3,0,0,0,0,35,48,83
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2016-06-01,6,14,1,4,1,0,3,27,0,4,0,0,0,0,11,49,60
PUERTO PEREZ,atencion odontologica,restauraciones,2016-06-01,18,9,0,0,0,5,4,3,2,0,0,0,0,0,24,17,41
PUERTO QUIJARRO,atencion odontologica,restauraciones,2016-06-01,4,10,0,1,21,4,7,23,12,7,0,0,0,0,44,45,89
PUERTO RICO,atencion odontologica,restauraciones,2016-06-01,0,5,7,4,2,3,10,9,5,0,0,0,0,0,24,21,45
PUERTO SUAREZ,atencion odontologica,restauraciones,2016-06-01,20,9,7,2,0,3,0,18,1,5,0,0,0,0,28,37,65
PUERTO VILLARROEL,atencion odontologica,restauraciones,2016-06-01,64,56,15,7,5,52,24,127,12,8,0,0,0,0,120,250,370
PUNA,atencion odontologica,restauraciones,2016-06-01,20,15,4,7,4,21,9,50,16,14,0,0,0,0,53,107,160
PUNATA,atencion odontologica,restauraciones,2016-06-01,46,64,27,53,10,29,30,99,25,30,0,0,0,0,138,275,413
QUIABAYA,atencion odontologica,restauraciones,2016-06-01,8,6,1,0,0,9,6,18,0,0,0,0,0,0,15,33,48
QUILLACOLLO,atencion odontologica,restauraciones,2016-06-01,539,434,149,201,117,275,336,789,168,88,0,0,0,0,1309,1787,3096
QUIME,atencion odontologica,restauraciones,2016-06-01,62,68,22,20,1,47,21,82,6,6,0,0,0,0,112,223,335
QUIRUSILLAS,atencion odontologica,restauraciones,2016-06-01,4,0,0,0,0,0,0,12,0,0,0,0,0,0,4,12,16
RAVELO,atencion odontologica,restauraciones,2016-06-01,45,26,3,2,4,15,8,29,0,0,0,0,0,0,60,72,132
REYES,atencion odontologica,restauraciones,2016-06-01,5,6,11,11,22,14,17,25,1,5,0,0,0,0,56,61,117
RIBERALTA,atencion odontologica,restauraciones,2016-06-01,39,54,21,39,14,59,16,55,26,7,0,0,0,0,116,214,330
ROBORE,atencion odontologica,restauraciones,2016-06-01,1,7,6,6,0,9,3,38,2,0,0,0,0,0,12,60,72
RURRENABAQUE,atencion odontologica,restauraciones,2016-06-01,39,46,47,50,41,43,52,47,12,15,0,0,0,0,191,201,392
SABAYA,atencion odontologica,restauraciones,2016-06-01,5,0,21,11,7,8,5,13,6,1,0,0,0,0,44,33,77
SACABA,atencion odontologica,restauraciones,2016-06-01,216,273,495,709,171,274,100,434,45,48,0,0,0,0,1027,1738,2765
SACABAMBA,atencion odontologica,restauraciones,2016-06-01,1,0,0,6,3,3,3,4,3,9,0,0,0,0,10,22,32
SACACA,atencion odontologica,restauraciones,2016-06-01,5,5,0,2,0,7,7,17,0,0,0,0,0,0,12,31,43
SAIPINA,atencion odontologica,restauraciones,2016-06-01,7,1,6,5,5,11,4,25,0,0,0,0,0,0,22,42,64
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2016-06-01,48,44,82,92,11,39,14,33,15,20,0,0,0,0,170,228,398
SAMAIPATA,atencion odontologica,restauraciones,2016-06-01,10,23,16,13,13,14,7,16,5,24,0,0,0,0,51,90,141
SAN AGUSTIN,atencion odontologica,restauraciones,2016-06-01,0,0,0,0,1,1,2,0,0,0,0,0,0,0,3,1,4
SAN ANDRES,atencion odontologica,restauraciones,2016-06-01,4,6,6,7,7,7,8,25,2,0,0,0,0,0,27,45,72
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2016-06-01,10,24,63,54,7,19,12,18,11,5,0,0,0,0,103,120,223
SAN ANTONIO DE ESMORUCO,atencion odontologica,restauraciones,2016-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2016-06-01,3,1,0,1,2,1,2,3,1,1,0,0,0,0,8,7,15
SAN BENITO,atencion odontologica,restauraciones,2016-06-01,14,33,0,1,2,3,0,9,2,1,0,0,0,0,18,47,65
SAN BORJA,atencion odontologica,restauraciones,2016-06-01,5,38,14,8,7,18,24,69,3,1,0,0,0,0,53,134,187
SAN BUENA VENTURA,atencion odontologica,restauraciones,2016-06-01,38,31,1,7,2,9,10,24,1,2,0,0,0,0,52,73,125
SAN CARLOS,atencion odontologica,restauraciones,2016-06-01,20,22,23,20,23,23,24,31,23,9,0,0,0,0,113,105,218
SAN IGNACIO,atencion odontologica,restauraciones,2016-06-01,20,26,29,37,20,40,34,117,5,10,0,0,0,0,108,230,338
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2016-06-01,13,13,10,6,6,14,21,88,18,12,0,0,0,0,68,133,201
SAN JAVIER(BNI),atencion odontologica,restauraciones,2016-06-01,5,0,5,0,3,0,1,0,0,0,0,0,0,0,14,0,14
SAN JAVIER(STC),atencion odontologica,restauraciones,2016-06-01,11,8,0,4,1,7,4,14,11,0,0,0,0,0,27,33,60
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2016-06-01,21,3,23,34,3,22,12,42,2,2,0,0,0,0,61,103,164
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2016-06-01,8,22,1,5,2,6,2,24,4,3,0,0,0,0,17,60,77
SAN JULIAN,atencion odontologica,restauraciones,2016-06-01,93,69,3,4,1,8,3,17,10,7,0,0,0,0,110,105,215
SAN LORENZO(PND),atencion odontologica,restauraciones,2016-06-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
SAN LORENZO(TJA),atencion odontologica,restauraciones,2016-06-01,16,36,50,90,51,65,39,163,3,3,0,0,0,0,159,357,516
SAN LUCAS,atencion odontologica,restauraciones,2016-06-01,94,56,7,11,4,40,25,55,1,1,0,0,0,0,131,163,294
SAN MATIAS,atencion odontologica,restauraciones,2016-06-01,8,5,5,3,4,11,10,6,0,0,0,0,0,0,27,25,52
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2016-06-01,0,0,3,10,9,4,5,13,0,1,0,0,0,0,17,28,45
SAN PABLO DE LIPEZ,atencion odontologica,restauraciones,2016-06-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SAN PEDRO,atencion odontologica,restauraciones,2016-06-01,12,3,27,29,16,24,8,43,4,4,0,0,0,0,67,103,170
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2016-06-01,8,23,13,9,3,16,3,65,1,3,0,0,0,0,28,116,144
SAN PEDRO DE CURAHUARA,atencion odontologica,restauraciones,2016-06-01,0,2,1,1,0,4,9,9,8,0,0,0,0,0,18,16,34
SAN PEDRO DE QUEMES,atencion odontologica,restauraciones,2016-06-01,1,0,0,0,0,0,0,10,2,0,0,0,0,0,3,10,13
SAN PEDRO DE TIQUINA,atencion odontologica,restauraciones,2016-06-01,3,4,0,0,2,2,1,1,8,0,0,0,0,0,14,7,21
SAN RAFAEL,atencion odontologica,restauraciones,2016-06-01,18,21,2,6,0,2,2,14,1,0,0,0,0,0,23,43,66
SAN RAMON SCZ,atencion odontologica,restauraciones,2016-06-01,12,13,2,2,3,3,4,4,4,6,0,0,0,0,25,28,53
SANTA ANA,atencion odontologica,restauraciones,2016-06-01,5,6,61,44,32,21,22,51,5,2,0,0,0,0,125,124,249
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2016-06-01,1220,1307,321,334,210,786,977,3076,529,386,0,0,0,0,3257,5889,9146
SANTA ROSA,atencion odontologica,restauraciones,2016-06-01,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2016-06-01,1,9,1,6,4,14,6,23,4,3,0,0,0,0,16,55,71
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2016-06-01,3,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,6
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2016-06-01,28,15,49,80,7,36,29,75,18,16,0,0,0,0,131,222,353
SANTIAGO DE HUATA,atencion odontologica,restauraciones,2016-06-01,12,3,3,1,0,3,0,8,23,23,0,0,0,0,38,38,76
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2016-06-01,10,9,4,16,10,5,2,10,0,4,0,0,0,0,26,44,70
SANTIVAÑES,atencion odontologica,restauraciones,2016-06-01,5,14,2,5,1,3,11,27,5,7,0,0,0,0,24,56,80
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2016-06-01,14,12,6,13,4,0,1,7,6,1,0,0,0,0,31,33,64
SAPAHAQUI,atencion odontologica,restauraciones,2016-06-01,3,5,0,1,0,9,3,15,2,0,0,0,0,0,8,30,38
SENA,atencion odontologica,restauraciones,2016-06-01,1,0,2,0,0,4,1,27,2,0,0,0,0,0,6,31,37
SHINAOTA,atencion odontologica,restauraciones,2016-06-01,21,51,23,31,10,22,22,67,21,4,0,0,0,0,97,175,272
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2016-06-01,9,8,2,1,0,4,4,12,7,4,0,0,0,0,22,29,51
SICAYA,atencion odontologica,restauraciones,2016-06-01,4,0,1,2,0,6,4,17,0,1,0,0,0,0,9,26,35
SIPE SIPE,atencion odontologica,restauraciones,2016-06-01,94,126,63,52,3,36,9,201,14,21,0,0,0,0,183,436,619
SOPACHUY,atencion odontologica,restauraciones,2016-06-01,7,27,14,24,12,32,22,57,1,1,0,0,0,0,56,141,197
SORACACHI,atencion odontologica,restauraciones,2016-06-01,14,28,57,90,26,55,8,25,16,5,0,0,0,0,121,203,324
SORATA,atencion odontologica,restauraciones,2016-06-01,37,28,1,2,0,21,6,53,5,1,0,0,0,0,49,105,154
SUCRE,atencion odontologica,restauraciones,2016-06-01,740,797,730,826,365,701,1052,2214,239,122,0,0,0,0,3126,4660,7786
TACACHI,atencion odontologica,restauraciones,2016-06-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,3
TACACOMA,atencion odontologica,restauraciones,2016-06-01,5,1,1,3,1,5,3,5,1,0,0,0,0,0,11,14,25
TACOBAMBA,atencion odontologica,restauraciones,2016-06-01,3,5,13,5,4,7,1,12,0,0,0,0,0,0,21,29,50
TACOPAYA,atencion odontologica,restauraciones,2016-06-01,6,9,1,1,0,7,6,19,13,13,0,0,0,0,26,49,75
TAHUA,atencion odontologica,restauraciones,2016-06-01,4,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,6
TAPACARI,atencion odontologica,restauraciones,2016-06-01,18,36,1,9,0,13,16,49,17,17,0,0,0,0,52,124,176
TARABUCO,atencion odontologica,restauraciones,2016-06-01,29,13,0,0,1,1,5,17,0,1,0,0,0,0,35,32,67
TARACO,atencion odontologica,restauraciones,2016-06-01,16,1,5,7,1,4,1,5,28,15,0,0,0,0,51,32,83
TARATA,atencion odontologica,restauraciones,2016-06-01,15,21,4,11,0,7,0,30,4,8,0,0,0,0,23,77,100
TARIJA,atencion odontologica,restauraciones,2016-06-01,90,92,345,465,267,366,800,1275,124,82,0,0,0,0,1626,2280,3906
TARVITA,atencion odontologica,restauraciones,2016-06-01,9,3,0,1,8,11,9,19,0,0,0,0,0,0,26,34,60
TEOPONTE,atencion odontologica,restauraciones,2016-06-01,4,4,0,3,5,4,26,25,6,4,0,0,0,0,41,40,81
TIAWANACU,atencion odontologica,restauraciones,2016-06-01,2,7,0,0,1,4,6,15,1,2,0,0,0,0,10,28,38
TINGUIPAYA,atencion odontologica,restauraciones,2016-06-01,1,1,0,0,0,0,0,8,6,0,0,0,0,0,7,9,16
TIPUANI,atencion odontologica,restauraciones,2016-06-01,7,0,0,1,0,4,0,2,0,0,0,0,0,0,7,7,14
TIQUIPAYA,atencion odontologica,restauraciones,2016-06-01,442,409,80,85,2,72,3,330,19,31,0,0,0,0,546,927,1473
TIRAQUE (CBBA),atencion odontologica,restauraciones,2016-06-01,26,37,4,8,2,2,1,39,1,2,0,0,0,0,34,88,122
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,restauraciones,2016-06-01,2,2,0,0,0,4,5,7,0,0,0,0,0,0,7,13,20
TOCO,atencion odontologica,restauraciones,2016-06-01,36,21,8,8,1,10,14,19,8,5,0,0,0,0,67,63,130
TODOS SANTOS,atencion odontologica,restauraciones,2016-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TOLATA,atencion odontologica,restauraciones,2016-06-01,10,7,1,4,0,7,1,20,3,2,0,0,0,0,15,40,55
TOLEDO,atencion odontologica,restauraciones,2016-06-01,0,0,0,0,4,0,1,10,0,2,0,0,0,0,5,12,17
