,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES,TOTALES,TOTALES
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,3,4
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,5,3,4,7,1,3,1,5,14,0,0,0,0,0,25,18,43
TACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,2,2,4,7,6,14,6,0,0,0,0,0,18,23,41
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,2,1,10,3,0,0,0,0,0,4,12,16
TOMAVE,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,1,0,0,1,1,0,2,1,0,0,0,0,0,0,4,2,6
VACAS,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,2,0,3,0,2,1,5,0,0,0,0,1,12,13
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
YOCALLA,atencion odontologica,cirugia bucomaxilofacial menor,2016-09-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,0,3,16,8,20,0,0,0,0,0,0,11,36,47
CARANAVI,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,2,2,3,2,2,2,0,0,0,0,0,0,7,6,13
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,3,1,14,13,3,3,3,17,4,8,0,0,0,0,27,42,69
CHAYANTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,6,1,5,3,3,11,3,1,0,0,0,0,17,16,33
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,2,0,2,0,7,5,2,0,0,0,0,0,13,5,18
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,2,4
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,4,7
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,1,0,3,3,1,3,4,12,2,3,0,0,0,0,11,21,32
CUEVO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,4,4,20,26,1,2,17,24,11,10,0,0,0,0,53,66,119
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,1,0,11,5,1,5,13,10,0,3,0,0,0,0,26,23,49
FILADELFIA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,1,0,0,1,4,1,0,0,0,0,0,2,5,7
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,2,2,0,0,7,13,23,31,2,1,0,0,0,0,34,47,81
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,2,0,1,0,1,3,0,0,3,0,0,0,0,0,7,3,10
PORVENIR,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,1,2,4,7,1,4,1,4,0,0,0,0,0,0,7,17,24
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,1,0,1,0,5,3,5,0,1,0,0,0,0,3,13,16
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,8,0,3,6,2,3,4,6,8,7,0,0,0,0,25,22,47
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,3,6,4,6,3,4,1,6,2,0,0,0,0,0,13,22,35
SAIPINA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,4,0,3,0,4,0,1,0,0,0,0,0,12,12
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,1,2,7,3,2,3,15,22,9,7,0,0,0,0,34,37,71
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,4,5,1,4,0,2,1,14,0,2,0,0,0,0,6,27,33
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,1,1,7,4,4,7,3,14,1,0,0,0,0,0,16,26,42
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,1,3,3,2,2,16,6,9,0,0,0,0,12,30,42
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,8,1,1,5,2,0,4,0,1,2,0,0,0,0,16,8,24
VILLA SERRANO,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-10-01,0,0,0,0,0,1,2,3,0,1,0,0,0,0,2,5,7
ARAMPAMPA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,1,0,0,0,1,0,3,2,0,0,0,0,0,0,5,2,7
ARANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
ARQUE,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,5,6,3,4,6,11,2,4,0,0,0,0,16,25,41
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,1,0,0,0,0,5,3,0,0,0,0,0,0,5,4,9
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,3,3,6,7,0,5,2,7,5,4,0,0,0,0,16,26,42
CHAQUI,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,1,1,0,1,2,5,3,4,0,0,0,0,6,11,17
COCAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,4,4,23,0,0,0,0,0,0,4,27,31
"COLCHA ""K""",atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,1,1,2,6,2,8,16,22,6,8,0,0,0,0,27,45,72
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,18,10,1,1,0,1,0,29,6,1,0,0,0,0,25,42,67
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,1,40,7,3,3,10,13,4,5,0,0,0,0,57,29,86
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,2,1,0,0,0,0,0,1,0,3,0,0,0,0,2,5,7
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,1,1,13,0,0,0,0,0,14,1,15
MOCOMOCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,2,4
PORONGO,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,1,1,6,2,0,1,2,13,0,3,0,0,0,0,9,20,29
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,4,3,5,3,4,3,5,13,3,6,0,0,0,0,21,28,49
SANTA ROSA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,4,7
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,1,1,0,0,0,0,0,0,1,2,0,0,0,0,2,3,5
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,8,4,21,19,0,0,1,6,2,3,0,0,0,0,32,32,64
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,1,0,3,1,3,7,0,1,0,0,0,0,0,0,7,9,16
TARVITA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,1,2,0,0,1,9,0,1,0,0,0,0,2,12,14
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,1,2,2,3,12,20,13,5,0,0,0,0,28,30,58
TIRAQUE (CBBA),atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,3,5
URUBICHA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VITICHI,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,5,5
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-11-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
BERMEJO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,4
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,6,4,0,0,0,5,0,0,0,0,0,0,6,9,15
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,1,5,16,17,3,4,3,15,2,9,0,0,0,0,25,50,75
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,2,0,1,6,5,2,1,0,0,0,0,8,9,17
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,13,5,0,0,0,1,0,15,6,5,0,0,0,0,19,26,45
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,2,0,0,7,4,1,6,11,2,4,0,0,0,0,14,23,37
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,5,4,1,2,0,0,0,0,0,0,0,0,6,6,12
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,4,0,14,12,4,3,6,13,3,3,0,0,0,0,31,31,62
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,2,14,0,0,0,0,0,0,2,14,16
ESCOMA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
FILADELFIA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
GUTIERREZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,1,1,3,8,10,3,0,0,0,0,0,12,14,26
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,1,1,2,2,0,0,0,1,0,0,0,0,0,0,3,4,7
MACHARETI,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,2,1,2,2,1,4,5,13,0,0,0,0,0,0,10,20,30
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,4,3,10,19,2,5,0,0,0,0,0,0,0,0,16,27,43
OMEREQUE,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,2,2,1,4,1,6,7,14,0,0,0,0,11,26,37
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
POCONA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,1,0,0,3,1,0,0,0,0,0,2,3,5
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,1,2,4,0,0,1,0,1,1,0,0,0,0,0,6,4,10
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,3,2,3,5,4,3,1,0,0,0,0,0,11,10,21
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,23,23,4,0,0,0,2,8,3,3,0,0,0,0,32,34,66
REYES,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,1,2,2,13,3,0,0,0,0,0,6,15,21
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,7,4,8,9,0,0,8,19,9,6,0,0,0,0,32,38,70
SANTA ROSA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,2,1,3,0,0,0,0,0,1,0,0,0,0,1,6,7
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,5,5
TARATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,1,2,2,3,4,2,3,12,0,0,0,0,0,0,10,19,29
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,0,0,0,0,4,1,2,2,0,0,0,0,6,3,9
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,2,0,0,1,2,2,0,0,0,0,0,0,4,3,7
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,4,7,4,6,1,0,4,0,4,0,0,0,0,0,17,13,30
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-12-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
