municipality,group,variable,month,l 3.13 Nº de actividades de educación en Salud Oral,TOTAL
CORQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,5,5
COTAGAITA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
CUATRO CAÑADAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,23,23
CUEVO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
CULPINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,16,16
CURAHUARA DE CARANGAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
CURVA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,7,7
DESAGUADERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
EL ALTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,128,128
EL PUENTE(TJA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,159,159
EL TORNO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,18,18
EL VILLAR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
ENTRE RIOS TRJ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,34,34
ENTRE RIOS CBBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,27,27
EUCALIPTUS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
FERNANDEZ ALONSO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
FILADELFIA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
GENERAL SAAVEDRA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,156,156
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
GUANAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,11,11
GUAQUI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
GUAYARAMERIN,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,55,55
GUTIERREZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,35,35
HUACARETA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,5,5
HUACAYA (VILLA DE HUACAYA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
HUANUNI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
HUARINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,3,3
HUAYLLAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,28,28
HUMANATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
ICHOCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
ICLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,16,16
INCAHUASI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,14,14
INQUISIVI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,12,12
IRUPANA (VILLA DE LANZA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,7,7
IXIAMAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
JESUS DE MACHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,33,33
LA ASUNTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,5,5
LA GUARDIA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,28,28
LA PAZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,214,214
LAGUNILLAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,12,12
LAJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
LAS CARRERAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,5,5
LICOMA PAMPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
LLALLAGUA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,14,14
LURIBAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
MACHARETI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
MAGDALENA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,13,13
MAIRANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
MALLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
MAPIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
MECAPACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
MIZQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
MOCOMOCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,9,9
MOJOCOYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,28,28
MONTEAGUDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,71,71
MONTERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,22,22
MORO MORO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,39,39
MOROCHATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,41,41
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,5,5
OCURI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
OKINAWA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
OMEREQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
ORURO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,46,46
PADCAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,35,35
PADILLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,36,36
PAILON,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
PALCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
PALOS BLANCOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,13,13
PAMPA AULLAGAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
PAMPA GRANDE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,5,5
PAPEL PAMPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
PASORAPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
PAZÑA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
PELECHUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
POCOATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,26,26
POCONA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,33,33
POJO (CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,24,24
POOPO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,3,3
PORCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
POROMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,22,22
PORTACHUELO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,3,3
PORVENIR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,11,11
POSTRER VALLE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,13,13
POTOSI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,422,422
PUCARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,9,9
PUCARANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,31,31
PUERTO ACOSTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
PUERTO CARABUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,16,16
PUERTO GONZALO MORENO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
PUERTO QUIJARRO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
PUERTO RICO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,21,21
PUERTO SUAREZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
PUERTO VILLARROEL,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,35,35
PUNA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,9,9
PUNATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,50,50
QUIABAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
QUILLACOLLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,40,40
QUIME,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,17,17
QUIRUSILLAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
RAVELO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
REYES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
RIBERALTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
ROBORE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,3,3
RURRENABAQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
SABAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,22,22
SACABA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,43,43
SACABAMBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,9,9
SACACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
SALINAS DE GARCI MENDOZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,15,15
SAMAIPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,7,7
SAN ANDRES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,24,24
SAN ANDRES DE MACHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
SAN ANTONIO DE ESMORUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
SAN ANTONIO DE LOMERIO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
SAN BENITO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,23,23
SAN BORJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
SAN BUENA VENTURA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
SAN CARLOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,31,31
SAN IGNACIO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,22,22
SAN IGNACIO DE VELASCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,101,101
SAN JAVIER(BNI),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
SAN JAVIER(STC),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,18,18
SAN JOSE DE CHIQUITOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,26,26
SAN JUAN DE YAPACANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
SAN JULIAN,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
SAN LORENZO(PND),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
SAN LORENZO(TJA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,42,42
SAN LUCAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,205,205
SAN MATIAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,7,7
SAN PEDRO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,13,13
SAN PEDRO DE BUENA VISTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
SAN PEDRO DE CURAHUARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
SAN PEDRO DE TIQUINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,13,13
SANTA ANA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,32,32
SANTA CRUZ DE LA SIERRA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,938,938
SANTA ROSA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,12,12
SANTA ROSA DEL SARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,4,4
SANTIAGO DE CALLAPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
SANTIAGO DE HUARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,32,32
SANTIAGO DE HUATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,3,3
SANTIAGO DE MACHACA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,16,16
SANTIVAÑES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,45,45
SANTUARIO DE QUILLACAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,22,22
SAPAHAQUI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
SENA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
SHINAOTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,11,11
SICA SICA (VILLA AROMA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
SICAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
SIPE SIPE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,13,13
SOPACHUY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,14,14
SORACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
SORATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
SUCRE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,846,846
TACACOMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
TACOPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,22,22
TAPACARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,30,30
TARABUCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,38,38
TARACO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,11,11
TARATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,3,3
TARIJA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,199,199
TARVITA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,31,31
TIAWANACU,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,19,19
TINGUIPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
TIPUANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
TIQUIPAYA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,108,108
TIRAQUE (CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,65,65
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,5,5
TOCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,11,11
TODOS SANTOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
TOLEDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
TOMAVE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,7,7
TOMINA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,9,9
TORO TORO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,16,16
TOTORA(CBBA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,16,16
TRIGAL,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,50,50
TRINIDAD,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,100,100
TUPIZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,43,43
TURCO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,19,19
UMALA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
UNCIA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,20,20
URIONDO (A. CONCEPCION),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,90,90
URUBICHA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,13,13
UYUNI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,26,26
VACAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,9,9
VALLEGRANDE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,297,297
VIACHA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,22,22
VILA VILA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,2,2
VILLA CHARCAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,1,1
VILLA MONTES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,18,18
VILLA NUEVA (LOMA ALTA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
VILLA RIVERO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,5,5
VILLA SERRANO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,23,23
VILLA TUNARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,14,14
VILLAZON,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,10,10
VINTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
VITICHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,6,6
WARNES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,20,20
YACO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,3,3
YACUIBA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,42,42
YAMPARAEZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,9,9
YANACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,8,8
YAPACANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,40,40
YOCALLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,12,12
YUNCHARA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,74,74
ZUDAÑEZ,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-06-01,12,12
ACACIO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,1,1
ACHACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,75,75
ALALAY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,5,5
ALCALA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,16,16
ANCORAIMES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,5,5
ANDAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,16,16
ANTEQUERA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,6,6
ANZALDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,17,17
APOLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,8,8
ARAMPAMPA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,2,2
ARANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,5,5
ARBIETO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,5,5
ARQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,10,10
ATOCHA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,1,1
AYATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,8,8
AZURDUY,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,3,3
BATALLAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,2,2
BELEN DE ANDAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,4,4
BELLA FLOR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,9,9
BERMEJO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,19,19
BETANZOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,9,9
BOLIVAR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,7,7
BOLPEBRA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,4,4
BOYUIBE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,3,3
CABEZAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,5,5
CAIROMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,5,5
CAJUATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,1,1
CALACOTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,2,2
CALAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,52,52
CAMARGO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,2,2
CAMATAQUI (C. VILLA ABECIA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,5,5
CAMIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,70,70
CAPINOTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,8,8
CAQUIAVIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,12,12
CARACOLLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,18,18
CARANAVI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,6,6
CARAPARI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,13,13
CARIPUYO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,13,13
CATACORA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,1,1
CHALLAPATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,13,13
CHAQUI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,35,35
CHARAGUA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,10,10
CHAYANTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,2,2
CHIMORE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,10,10
CHOQUE COTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,9,9
CHUMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,1,1
CKOCHAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,2,2
CLIZA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-07-01,11,11
