,group,variable,month,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS < A 6 MESES,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS < A 6 MESES,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 60 A MAS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 60 A MAS,TOTALES,TOTALES,TOTALES
TARIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,2,1,0,1,0,2,0,4,6,1,9,6,7,8,9,23,33,56
TARVITA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,17,17
TUPIZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,3,0,1,1,4,3,14,17
UYUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,1,0,0,1,0,2,0,12,10,6,8,4,62,0,17,3,14,9,13,37,125,162
VACAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VIACHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,12,33,43,34,22,43,18,3,14,17,2,9,3,9,18,17,132,165,297
VILLA MONTES,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,5,1,7,0,2,7,18,25
VILLA TUNARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,6,4,1,14,15,27,27,54
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14
VILLAZON,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,3,0,3,4,0,6,0,5,0,15,0,4,0,5,4,0,10,39,49
VINTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,1,0,2,2,4,8,8,16
WARNES,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,3,2,0,0,24,26,14,16,13,2,4,6,0,0,58,52,110
YOTALA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,1,2,0,2,5,7,13,20
ZUDAÑEZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-05-01,1,0,0,0,3,1,12,17,0,1,0,0,0,0,0,0,0,0,0,0,16,19,35
ACHOCALLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,1,0,1,0,9,9
AIQUILE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,2,1,6,3,22,25
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,8,1,0,4,5,6,21,27
ATOCHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,1,0,0,0,0,0,0,1,0,0,0,16,1,1,0,1,1,2,3,21,24
AYATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,1,1,0,5,1,3,0,0,0,4,4,0,6,13,19
AZURDUY,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
BERMEJO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,1,2,7,0,1,1,3,2,0,6,12,18
CAMARGO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,2,4,0,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,10,0,14,14,28
CAMIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,2,1,1,0,1,27,3,16,2,12,8,8,17,64,81
CARACOLLO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,0,0,0,5,3,1,4,1,0,2,7,1,20,0,3,0,8,12,16,23,61,84
CARANAVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,0,3,3,0,0,0,0,0,0,0,4,0,62,0,12,0,5,0,3,4,89,93
CARAPARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1,3,4,7
CHALLAPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,1,0,1,0,0,1,3,4,1,0,12,10,80,1,5,2,7,15,24,33,134,167
CHULUMANI (V. DE LA LIBERTAD),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,6,2,2,1,0,0,1,1,1,1,42,1,229,0,36,1,15,6,13,14,345,359
CLIZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,8,7,30,4,9,8,9,16,29,37,85,122
COBIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,1,4,6,0,1,2,3,5,6,12,17,29
COCHABAMBA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,0,0,0,1,0,0,3,1,2,1,3,6,4,1,0,5,7,17,11,33,30,63
COLOMI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLQUIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,2,0,0,0,0,4,0,0,0,0,7,0,5,0,4,0,3,0,0,4,21,25
COROICO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,6,5,2,3,1,0,1,0,1,0,0,11,1,46,0,3,1,2,4,3,17,73,90
CORQUE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,2,1,4,2,4,5,0,3,0,5,0,0,0,0,1,0,11,16,27
CULPINA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,2,0,0,1,3,1,14,15
CURAHUARA DE CARANGAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,2,0,3,0,5,3,14,17
EL ALTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,1,0,1,1,0,3,3,2,0,3,13,1,60,0,8,3,2,3,5,17,93,110
EL TORNO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,2,1,2,4,1,0,0,1,0,1,6,11,3,7,5,10,15,13,34,48,82
ESCOMA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,11,9,0,12,2,45,3,15,5,10,2,3,23,94,117
GUAYARAMERIN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,1,0,2,1,1,0,4,3,2,3,5,1,15,8,23
HUANUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,2,0,0,0,2,0,1,1,0,0,8,0,27,3,10,6,1,7,5,17,56,73
HUATAJATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ICHOCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,20
INQUISIVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,1,0,1,0,0,0,0,1,0,6,1,22,0,3,0,0,1,0,4,32,36
LA PAZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,12,8,8,4,6,8,3,4,7,5,6,29,13,183,10,38,11,46,36,43,112,368,480
LICOMA PAMPA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,1,5,3,2,5,16,21
MIZQUE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MOJINETE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,5,3,5,9,14
MONTEAGUDO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,11,8,23,1,4,6,9,14,15,29,62,91
ORURO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,3,0,0,1,3,6,0,3,5,19,5,10,4,5,19,21,39,65,104
PADILLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,2,1,0,4,8,1,2,11,1,2,16,3,5,2,14,24,48,72
PATACAMAYA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,2,0,0,0,1,0,0,0,11,1,40,0,10,0,9,2,15,3,88,91
PORTACHUELO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,4,0,3,0,28,28
POTOSI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,1,1,1,5,2,1,2,1,3,1,19,4,163,1,67,2,61,3,49,20,368,388
PUERTO VILLARROEL,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
PUNA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,1,0,0,0,0,1,0,0,1,6,1,3,3,6,9,9,15,25,40
RURRENABAQUE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,5,4,2,6,4,11,17,28
SACABA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,3
SAMAIPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,7,4,0,6,10,16
SAN BORJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,1,1,0,1,1,1,0,0,2,0,4,2,25,1,9,0,9,0,1,6,52,58
SAN IGNACIO DE VELASCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN JULIAN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3,11,1,4,6,10,11,31,42
SAN LUCAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,2,0,0,1,1,4,2,1,3,2,1,7,11,0,6,1,4,5,6,22,36,58
SOPACHUY,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,3
SUCRE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,6,1,1,0,0,0,1,1,1,4,7,19,28,61,7,19,7,24,37,46,95,175,270
TARABUCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,9,19,0,0,0,18,1,15,0,5,0,2,1,5,11,64,75
TARIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,1,0,1,0,0,3,1,0,0,0,0,0,6,0,6,1,1,3,2,7,18,25
UMALA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,1,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,1,13,14
UYUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,1,0,0,0,0,4,0,4,4,9,17,0,66,0,51,7,72,5,42,29,253,282
VALLEGRANDE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
VIACHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,1,0,0,3,0,1,14,0,76,2,12,2,9,10,9,18,121,139
VILLA MONTES,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,5,2,3,5,4,12,19,31
VILLA TUNARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,5,4,3,5,16,10,0,0,25,19,44
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,3,4
VINTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,2,0,1,0,0,2,5,8,2,3,0,4,2,9,12,26,38
YOCALLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,3,0,0,0,21,21
ZUDAÑEZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-06-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ACHOCALLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
AIQUILE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,1,1,0,0,0,0,0,0,0,1,2,2,4,4,1,2,1,2,2,1,11,13,24
ANCORAIMES,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,1,1,1,2,0,5,11,16
ANDAMARCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,5,6
ATOCHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,1,0,0,0,1,1,1,1,0,0,1,2,0,12,3,0,0,0,0,1,7,17,24
AYATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,2,3,5
BERMEJO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,9,7,16
CALAMARCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,1,0,0,0,0,0,0,0,10,0,22,0,0,0,0,0,0,0,33,33
CAMIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,1,1,3,0,0,0,4,3,9,0,6,1,10,8,16,13,49,62
CARACOLLO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,1,1,0,1,0,1,2,2,0,4,0,18,1,1,0,3,7,8,11,39,50
CARANAVI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,2,4,2,1,2,0,1,2,0,0,0,8,2,97,0,13,1,7,3,11,13,143,156
CARAPARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,1,0,1,1,0,0,2,0,5,0,2,0,0,1,0,2,11,13
CHALLAPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,1,3,6,3,1,0,0,6,0,13,2,93,5,5,4,7,13,21,32,151,183
CLIZA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,1,1,0,9,1,28,2,9,2,11,14,19,20,77,97
COBIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,1,0,0,0,1,0,2,0,5,3,5,6,4,6,11,4,29,19,48
COCHABAMBA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,1,0,0,1,4,1,7,2,1,2,1,1,10,2,1,3,0,2,9,14,34,48
COLOMI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,6
COLQUIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,6,3,0,0,0,0,0,0,0,0,0,1,0,27,0,6,0,1,0,3,6,41,47
COMARAPA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,1,0,21,1,8,1,4,2,3,4,38,42
CORQUE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,1,1,1,0,0,3,0,3,1,7,0,0,0,0,2,4,5,18,23
CULPINA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,1,2,5,7
EL ALTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,4,1,0,0,2,1,6,19,0,1,1,4,5,4,18,30,48
EL TORNO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,2,6,8,2,13,1,5,24,9,34,37,71
ESCOMA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,1,1,1,0,0,0,0,1,6,1,34,0,12,3,4,2,7,8,65,73
HUANUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,1,0,0,1,1,5,0,0,0,5,2,4,8,39,5,14,6,4,13,17,36,89,125
ICHOCA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,2,0,7,0,38,38
LA ASUNTA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,1,2,0,0,1,0,2,1,0,0,0,3,0,6,3,2,0,1,4,1,11,16,27
LA GUARDIA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,2,2,6,4,9,14,23
LA PAZ,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,9,8,0,1,6,0,6,1,5,4,2,10,10,84,2,12,0,12,5,4,45,136,181
LICOMA PAMPA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,3,0,0,0,0,1,1,0,0,0,1,3,8,0,3,0,3,2,2,6,21,27
LLALLAGUA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,1,1,1,0,1,3,0,1,2,0,0,12,4,26,4,5,4,1,5,9,22,58,80
MECAPACA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,4,0,0,0,0,1,21,22
MOJINETE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,5,2,9,11
MONTEAGUDO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,4,4,36,1,10,3,8,16,6,24,64,88
ORURO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,1,0,0,2,0,1,0,1,1,4,6,4,12,7,8,5,10,36,38,60,76,136
PADILLA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,20,0,0,0,0,0,0,2,0,2,1,1,0,4,18,10,39,19,58
PATACAMAYA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,1,0,2,1,1,0,0,0,3,1,3,2,42,0,7,2,9,12,14,18,82,100
PORTACHUELO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,4
POTOSI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,1,5,4,0,4,3,1,0,20,7,91,5,32,5,14,12,26,37,193,230
PUERTO RICO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUNA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,1,0,1,0,1,0,3,10,0,0,1,3,4,5,11,18,29
RIBERALTA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,1,0,0,0,1,1,1,10,1,8,3,8,6,10,13,37,50
SACABA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2
SAMAIPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7,0,3,6,4,6,18,24
SAN BORJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,1,0,0,1,3,0,2,2,3,2,9,1,2,2,3,3,3,11,26,37
SAN BUENA VENTURA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,5,3,7,2,5,1,0,0,0,0,17,6,23
SAN JULIAN,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,9,2,2,2,5,8,19,27
SAN LORENZO(PND),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,3
SAN LUCAS,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN RAFAEL,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,1,2,0,1,1,3,0,1,3,4,10,0,2,2,3,0,1,13,21,34
SORACACHI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,1,3,1,0,0,0,0,0,1,1,2,1,1,0,1,3,0,8,7,15
SUCRE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,1,0,2,0,0,5,1,2,3,2,12,5,56,5,13,7,14,20,30,46,132,178
TACACOMA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,4,0,2,0,0,0,29,29
TARABUCO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,0,5,3,7,8,15
TARIJA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,1,0,0,4,0,0,0,6,7,8,3,5,7,7,2,5,20,35,55
TOMINA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TOTORA(CBBA),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,1,2,0,2,1,0,3,11,0,0,0,0,0,0,0,0,5,15,20
UYUNI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,1,0,28,0,4,0,2,0,3,1,38,39
VALLEGRANDE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,1,1,4,6,10
VIACHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,3,1,0,0,0,1,3,0,4,1,1,21,4,129,2,26,1,9,17,33,35,221,256
VILLA TUNARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,3,0,0,0,0,0,0,0,8,4,3,4,10,9,13,7,37,24,61
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,5,6
VILLAZON,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,10,8,3,6,4,2,6,0,3,16,26,42
VINTO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-07-01,0,0,0,0,0,0,1,0,1,0,0,0,4,10,1,2,6,5,0,3,13,20,33
