,group,variable,month,TELEDISPOSITIVOS ECOGRAFO < A 6 MESES,TELEDISPOSITIVOS ECOGRAFO < A 6 MESES,TELEDISPOSITIVOS ECOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ECOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ECOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ECOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ECOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ECOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ECOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ECOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ECOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ECOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ECOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ECOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ECOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ECOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ECOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ECOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ECOGRAFO 60 A MAS,TELEDISPOSITIVOS ECOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
SICA SICA (VILLA AROMA),telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,2,0,0,3,8,11
SUCRE,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,6,0,4,1,2,2,36,38
TIAHUANACU,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,1,0,0,2,6,8
TURCO,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,1,2,2,8,10
VACAS,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2,3,0,1,1,3,5,12,17
VILA VILA,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,1,0,2,5,7
WARNES,telesalud,teledispositivos ecografo,2024-09-01,0,0,0,0,0,0,0,0,1,8,0,0,2,8,2,4,6,1,16,6,27,27,54
ANCORAIMES,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ANZALDO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,1,4,2,9,11
APOLO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,2,0,17,0,1,0,1,0,0,0,22,22
ARQUE,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,3,4
AYO AYO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,4,4
CAQUIAVIRI,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CARIPUYO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CHIMORE,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHIPAYA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,5,5
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,0,2,17,19
CLIZA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,1,0,0,5,1,9,4,32,6,11,2,6,0,2,14,65,79
"COLCHA ""K""",telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLLANA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,2,0,8,8
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,7,8
CURVA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,1,0,0,0,1,1,1,6,1,0,1,1,0,0,5,8,13
EL CHORO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
EL PUENTE(TJA),telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,4,4
EL VILLAR,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,5,4,9
ENTRE RIOS CBBA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4
GUAQUI,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,3,4
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,22,22
HUARINA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUATAJATA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,2,0,3,4,7
HUMANATA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ICLA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,7,1,5,2,4,3,23,26
LA ASUNTA,telesalud,teledispositivos ecografo,2024-10-01,0,1,0,0,0,1,4,1,4,7,4,34,26,226,6,35,7,23,14,13,65,341,406
MACHACAMARCA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MACHARETI,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
PORCO,telesalud,teledispositivos ecografo,2024-10-01,1,0,2,1,0,2,0,4,0,1,2,2,1,2,1,1,0,2,0,1,7,16,23
PUERTO CARABUCO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SALINAS DE GARCI MENDOZA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,1,5,6
SAN ANDRES DE MACHACA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,1,0,2,0,1,1,7,1,6,0,2,6,4,8,23,31
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,3,1,8,9
SAN RAFAEL,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,12,1,38,0,7,0,0,0,2,1,59,60
SANTIAGO DE CALLAPA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,4
SANTUARIO DE QUILLACAS,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,11,9,20
SUCRE,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,6,6
TARACO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,2,0,2,3,3,5,14,19
TARATA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,2,0,0,1,0,3,2,0,0,1,3,2,6,6,13,13,26
TURCO,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,3,3,6,9
VACAS,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,3,4
VILA VILA,telesalud,teledispositivos ecografo,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,1,0,1,1,1,2,11,13
AIQUILE,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,1,0,0,1,1,0,6,1,4,0,3,8,18,10,33,43
ANCORAIMES,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,1,2,0,5,5,10
ANZALDO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,0,1,1,2,1,12,13
APOLO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,2,0,8,0,1,0,1,1,0,1,13,14
ARQUE,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,6,6
CALAMARCA,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,3
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
CAQUIAVIRI,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,2,5,3,11,14
CARIPUYO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHIMORE,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,1,1,1,2,2,6,3,24,5,6,3,4,5,8,20,51,71
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,8
CKOCHAS,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,7,7
"COLCHA ""K""",telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLLANA,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,1,0,1,0,10,10
COROICO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,3,11,1,15,9,24
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,2,3,5
CURVA,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,0,2,0,4,6,10
GUAQUI,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,2,1,3,5,2,8,12,20
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,6,0,0,0,0,0,11,11
HUACHACALLA,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,3
HUARINA,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,2,1,3,6,9
LA ASUNTA,telesalud,teledispositivos ecografo,2024-11-01,1,0,0,1,2,1,1,6,2,6,2,28,10,204,13,24,10,16,17,12,58,298,356
MACHARETI,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
OMEREQUE,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
POOPO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
PORCO,telesalud,teledispositivos ecografo,2024-11-01,1,1,3,2,1,3,0,2,0,0,1,1,2,4,1,2,0,2,1,1,10,18,28
PORVENIR,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,48,0,13,0,0,0,0,0,0,0,61,0,61
RAVELO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,1,3,13,0,2,0,0,3,2,7,18,25
SAN BENITO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1,1,0,0,5,4,9
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,2,1,7,8
SAN RAFAEL,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,2,0,2,0,5,0,31,31
SICA SICA (VILLA AROMA),telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2,3,5
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,2,0,0,3,2,3,12,15
TURCO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,4
VACAS,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,2,1,2,9,11
VILLA SERRANO,telesalud,teledispositivos ecografo,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,1,5,3,8
ANCORAIMES,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
ANZALDO,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,4,1,8,9
APOLO,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,1,2,0,1,2,10,12
ARQUE,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,3,4
AYO AYO,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CALACOTO,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,5,2,7
CARAPARI,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,6,8,9,17
CARIPUYO,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CATACORA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,6,6
CHIMORE,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,2,0,1,2,0,0,1,2,6,1,3,3,5,7,6,15,24,39
CHIPAYA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,1,1,2,7,9
CKOCHAS,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3,0,0,2,8,10
COCAPATA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
COIPASA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLLANA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,1,4,4,8
COMANCHE,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,2,5,7
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,3,0,4,3,7
CURVA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
EL VILLAR,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,4,3,11,20,31
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
GUAQUI,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,2,8,4,10,10,20
HUACHACALLA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
JESUS DE MACHACA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,1,0,3,8,11
LA ASUNTA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,1,3,2,4,22,11,169,6,25,4,7,12,9,40,235,275
MACHACAMARCA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MACHARETI,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SALINAS DE GARCI MENDOZA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
SAN ANDRES DE MACHACA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
SAN BENITO,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1,1,0,0,5,4,9
SAN PABLO DE LIPEZ,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,11,0,11
SANTUARIO DE QUILLACAS,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SICA SICA (VILLA AROMA),telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,4,5
TURCO,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
VACAS,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,3,4,7
VILA VILA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,1,6,7
YUNCHARA,telesalud,teledispositivos ecografo,2024-12-01,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,4,5
