,group,variable,month,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
"CAIZA ""D""",telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CAJUATA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,1,0,0,2,2,6,8,1,2,0,1,0,0,3,0,12,14,26
CAMIRI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,1,5,5,10
CAQUIAVIRI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,1,5,6
CARANAVI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,1,0,1,2,1,1,1,2,3,2,3,1,2,8,9,16,21,37
CARIPUYO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,4
CHACARILLA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,10,20,12,23,35
CHAQUI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,1,3,3,9,12
CHIMORE,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,3,1,2,2,3,4,3,6,0,2,5,5,16,20,36
CHIPAYA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
COBIJA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,1,0,0,0,1,0,0,1,2,4,3,0,1,3,4,8,12,20
COIPASA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COLCAPIRHUA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,1,0,1,1,0,1,3,2,1,6,4,6,8,19,18,35,53
"COLCHA ""K""",telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,3,0,3,4,7
COLLANA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
CONCEPCION,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,7,8,5,3,2,2,6,3,21,16,37
CORO CORO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COTOCA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,3,5,4,5,3,16,12,28
CRUZ DE MACHACAMARCA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,5,0,3,2,10,12
CUATRO CAÑADAS,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,2,1,0,5,11,2,3,2,1,1,5,11,22,33
CURAHUARA DE CARANGAS,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3
EL CHORO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,5
EL PUENTE(STC),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,2,2,5,7
ESCOMA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,1,0,10,1,11
FERNANDEZ ALONSO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,3,4,7
GUANAY,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,1,0,0,0,2,0,0,3,4,4,4,2,4,4,4,5,19,18,37
GUAYARAMERIN,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,3,6,9
HUACARETA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,1,0,0,7,3,11,14
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
HUMANATA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
INQUISIVI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,7,6,13
JESUS DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,2,6,5,6,1,1,0,0,0,0,0,0,0,0,0,13,8,21
LA ASUNTA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,2,0,0,0,0,6,6,12
LA GUARDIA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,7,5,3,4,3,12,18,30
LAJA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,4,3,5,8
LAS CARRERAS,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,3
LLALLAGUA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,7,2,4,5,2,8,5,4,19,19,38
LORETO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MACHACAMARCA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,3
MACHARETI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,2,0,0,1,3,4,8,12
MAIRANA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,2,4,5,2,6,0,2,8,1,14,17,31
MECAPACA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,3,1,3,5,1,2,0,0,0,0,0,1,3,1,10,1,20,11,31
MINEROS,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
MIZQUE,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,2,5
MOCOMOCO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,1,0,4,4,8
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,3
OKINAWA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,1,0,0,0,1,3,0,2,1,0,0,2,2,0,5,7,12
OMEREQUE,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,1,4,8,10,15,25
ORURO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,7,15,12,12,0,0,0,0,1,0,0,0,0,0,0,0,20,27,47
PADCAYA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,3,0,3,1,5,4,16,20
PAILON,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,6,2,1,1,1,2,3,4,8,6,11,10,30,25,55
PAPEL PAMPA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,4,7
PATACAMAYA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,3,2,5
POOPO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,1,2,3,6,9
PORONGO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,3,1,0,1,5,5,10
POTOSI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,20,0,4,0,4,3,29,32
PRESTO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
PUERTO CARABUCO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,1,1,0,0,0,1,1,1,0,2,1,0,0,0,0,0,3,5,8
PUERTO RICO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,4,3,7
PUERTO SUAREZ,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,1,0,1,0,2,2,4,2,6,5,7,9,11,18,32,50
PUNA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,3,2,1,5,7,12
QUIABAYA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
QUIME,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,4,30,24,26,20,0,0,0,0,2,0,0,0,0,1,58,49,107
QUIRUSILLAS,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,6,2,8
ROBORE,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0,2,0,3,6,9,15
SACABA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,4,3,4,4,12,7,10,6,15,5,13,26,58,84
SACABAMBA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,10,0,10,13,23
SAMAIPATA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,5,4,10,13,23
SAN ANDRES,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
SAN BENITO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,2,4
SAN BORJA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,1,6,3,9,8,17
SAN JAVIER(BNI),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN JAVIER(STC),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,2,0,2,6,5,8,13,21
SAN JULIAN,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,4,3,7
SAN LORENZO(PND),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,4,0,7,3,10
SAN LUCAS,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,3,7,6,3,1,3,1,3,12,16,28
SAN RAMON BENI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SANTIAGO DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3
SAPAHAQUI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
SENA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,1,1,0,2,1,4,8,12
SORACACHI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,3,3,6,9
SORATA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SUCRE,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,2,10,4,7,4,8,3,8,13,34,47
TACOBAMBA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,1,5,5,10
TARATA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2,0,4,4,10,7,19,26
TARVITA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,2,0,1,5,1,8,11,19
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TOCO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,4,3,7
TOMINA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,2,4,0,0,0,15,3,18
UNCIA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
URIONDO (A. CONCEPCION),telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6,6
URUBICHA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,3,1,0,1,1,6,7,13
UYUNI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,3,6,6,9,12,21
VILA VILA,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,2,5,0,8,5,13
VILLA CHARCAS,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,1,5,2,6,4,18,22
VILLA MONTES,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,8,4,7,3,8,15,27,42
VILLA SERRANO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,3,4
VILLAZON,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,0,2,1,9,10
VINTO,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,1,3,1,5,0,12,8,20
VITICHI,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,3,5,6,8,12,18,30
YAMPARAEZ,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,2,2,6,2,0,2,6,8,2,5,0,3,4,6,20,28,48
ZUDAÑEZ,telesalud,teledispositivos electrocardiografo,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,2,0,0,2,3,3,11,14
AIQUILE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,1,5,8,4,7,3,6,13,20,26,42,68
ALALAY,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,2,1,1,3,1,10,5,15
ANCORAIMES,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,3,2,5
ANDAMARCA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,1,0,0,1,2,4,11,15
ANZALDO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,2,5,7
APOLO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,2,1,7,6,13
ARAMPAMPA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,5,1,2,1,1,4,14,18
ARQUE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,4,5
ASCENCION DE GUARAYOS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ATOCHA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
AUCAPATA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,9,0,9
BATALLAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,12,10,22
BERMEJO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,3,2,4,6,10,9,11,10,28,27,56,54,110
BETANZOS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,2,1,2,4,5,9,11,20
BOYUIBE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,0,0,2,5,7
CABEZAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
"CAIZA ""D""",telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
CAJUATA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,4,5,10,18,2,3,0,0,0,4,0,3,0,0,1,0,17,33,50
CAMIRI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,6,5,7,12
CARACOLLO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,3
CARANAVI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,1,1,0,2,0,2,3,3,1,0,0,1,4,0,9,9,18
CARIPUYO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
CHACARILLA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,3,2,6,6,11,13,24
CHIPAYA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2,4
CHUMA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CLIZA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,2,2,1,10,1,4,8,6,7,14,19,36,55
COCHABAMBA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,2,6,4,7,2,5,38,26,47,44,91
COLCAPIRHUA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,3
"COLCHA ""K""",telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,2,5,3,12,15
COLLANA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,2,0,0,1,7,8
COLQUECHACA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,2,3,3,7,10
CONCEPCION,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,3,3,3,6,9,15
CORO CORO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4
CORQUE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,2,4
CURAHUARA DE CARANGAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,7,2,9
CURVA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
EL CHORO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,3,3,6
EL VILLAR,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,8,8
ESCOMA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
EUREKA (SANTOS MERCADO),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
EXALTACION,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,1,1,1,0,4,5,9
FILADELFIA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
GUAQUI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,5,0,2,3,3,5,18,23
GUAYARAMERIN,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,2,1,1,3,7,6,13
ICHOCA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
INQUISIVI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
JESUS DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,2,21,15,12,3,2,0,6,5,1,0,0,1,0,0,42,26,68
LA GUARDIA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,7,6,8,14
LA PAZ,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,2,2,8,2,10
