,group,variable,month,NRO DE TELECONSULTAS N < A 6 MESES,NRO DE TELECONSULTAS N < A 6 MESES,NRO DE TELECONSULTAS N 6 MESES < 1 AÑO,NRO DE TELECONSULTAS N 6 MESES < 1 AÑO,NRO DE TELECONSULTAS N 1 A 4 AÑOS,NRO DE TELECONSULTAS N 1 A 4 AÑOS,NRO DE TELECONSULTAS N 5 A 9 AÑOS,NRO DE TELECONSULTAS N 5 A 9 AÑOS,NRO DE TELECONSULTAS N 10 A 14 AÑOS,NRO DE TELECONSULTAS N 10 A 14 AÑOS,NRO DE TELECONSULTAS N 15 A 19 AÑOS,NRO DE TELECONSULTAS N 15 A 19 AÑOS,NRO DE TELECONSULTAS N 20 A 39 AÑOS,NRO DE TELECONSULTAS N 20 A 39 AÑOS,NRO DE TELECONSULTAS N 40 A 49 AÑOS,NRO DE TELECONSULTAS N 40 A 49 AÑOS,NRO DE TELECONSULTAS N 50 A 59 AÑOS,NRO DE TELECONSULTAS N 50 A 59 AÑOS,NRO DE TELECONSULTAS N 60 A MAS,NRO DE TELECONSULTAS N 60 A MAS,TOTALES,TOTALES,TOTALES
HUACARETA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
HUACHACALLA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,3,5
HUMANATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,4
ICLA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,3
INQUISIVI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,8
LA GUARDIA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,4,6
LA PAZ,telesalud,nro de teleconsultas n,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,186,228,189,233,422
LLALLAGUA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LORETO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,3,4,7
MACHACAMARCA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,4,4,8
MACHARETI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MOCOMOCO,telesalud,nro de teleconsultas n,2024-05-01,1,1,0,1,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,3,6,9
MONTEAGUDO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,1,0,1,1,1,1,3,0,0,0,0,0,0,2,6,8
MOROCHATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,1,0,0,0,4,3,7
NACEBE (SANTA ROSA DEL ABUNA),telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
OMEREQUE,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,1,5,6
PAMPA AULLAGAS,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
PELECHUCO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POCOATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
POOPO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,1,0,1,8,9
POROMA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
PUERTO ACOSTA,telesalud,nro de teleconsultas n,2024-05-01,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3
PUERTO GONZALO MORENO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,3
PUERTO PEREZ,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
PUERTO VILLARROEL,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1,0,0,2,5,7
PUNA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
QUIABAYA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,4,2,6
RAVELO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,2,0,1,0,1,0,11,11
ROBORE,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SACABA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2
SACABAMBA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,1,4
SAMAIPATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN BENITO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN BORJA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN JAVIER(BNI),telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,2,5
SAN LUCAS,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN RAFAEL,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,1,1,1,0,4,1,4,0,12,1,1,1,2,3,4,7,29,36
SANTA ROSA DEL SARA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,2,1,2,1,1,2,6,5,1,5,9,9,17,26,38,49,87
SANTIAGO DE HUARI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,1,0,0,0,0,0,0,2,1,6,0,4,1,2,0,5,3,19,22
SANTIAGO DE MACHACA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,5,3,1,5,0,0,0,0,0,0,0,0,0,0,2,1,8,9,17
SANTUARIO DE QUILLACAS,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1,3
SENA,telesalud,nro de teleconsultas n,2024-05-01,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,4,0,2,2,0,4,10,14
SIPE SIPE,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
SOPACHUY,telesalud,nro de teleconsultas n,2024-05-01,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SORACACHI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,6,6
SORATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3
SUCRE,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,4
TACACHI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,2,2,3,3,12,15
TARATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,1,6,7
TARVITA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,10,15,13,16,10,2,0,0,0,15,0,0,0,0,0,0,33,48,81
TOCO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,2,4,1,0,2,0,2,4,7,9,16
TOLATA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,3,2,5
TOTORA(CBBA),telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,2,3,4,7
TUPIZA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,3,0,0,1,1,3,9,12
UMALA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
UNCIA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
VALLEGRANDE,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,0,0,1,0,0,1,11,12
VILLA SERRANO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,2,3,1,9,3,12
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
VINTO,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
VITICHI,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YOTALA,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,2,3,5
YUNCHARA,telesalud,nro de teleconsultas n,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,1,0,5,5,10
ZUDAÑEZ,telesalud,nro de teleconsultas n,2024-05-01,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,2,2,7,6,13
AIQUILE,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ANCORAIMES,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,3,4,4,8
ANDAMARCA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,7,2,9
APOLO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0,0,0,0,0,11,11
ARAMPAMPA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,3,2,5
ATOCHA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,1,1,2,17,19
BATALLAS,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,3
BELEN DE URMIRI,telesalud,nro de teleconsultas n,2024-06-01,0,2,0,0,0,0,0,4,0,0,0,6,0,0,0,4,0,4,0,0,0,20,20
"CAIZA ""D""",telesalud,nro de teleconsultas n,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,4
CALAMARCA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,4
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,0,7,7
CARIPUYO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,2,1,1,1,0,1,0,1,0,1,0,1,2,4,5,10,15
CHAQUI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
CHIMORE,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,3,0,1,2,2,4,10,14
CHUQUIHUTA AYLLU JUCUMANI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,5,2,0,0,0,4,15,19
"COLCHA ""K""",telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,1,5,6
COLLANA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,1,0,0,4,3,7
COLOMI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLPA BELGICA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLQUECHACA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4
COLQUENCHA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,5,6
COLQUIRI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,3,0,37,0,3,0,2,0,6,0,51,51
CORIPATA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,4
CORO CORO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,1,0,0,0,1,0,10,10
COROICO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,4
CULPINA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,3,4
CURAHUARA DE CARANGAS,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,2,1,3,0,3,2,12,14
CURVA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8
EL ALTO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,2,2,7,9
EL PUENTE(TJA),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,3,0,7,2,1,2,19,21
EL VILLAR,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,10,10
ESCOMA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,3,2,5
ESMERALDA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,3,4,9,6,15
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,3,4
HUACARETA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,2,4
HUACAYA (VILLA DE HUACAYA),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,3,0,0,5,5,10
HUACHACALLA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,1,0,0,0,0,1,0,0,2,4,0,1,0,0,1,1,4,7,11
HUMANATA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,2,6,8
ICLA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,7,7
INCAHUASI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,7,0,2,0,0,0,16,16
JESUS DE MACHACA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA ASUNTA,telesalud,nro de teleconsultas n,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,1,0,1,0,0,0,3,1,2,3,0,3,220,270,227,277,504
LA RIVERA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,3
LAJA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,3,5
LLICA,telesalud,nro de teleconsultas n,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,5
LORETO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
MACHACAMARCA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,3
MACHARETI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,0,1,1,4,6,10
MOCOMOCO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,7,7
OMEREQUE,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,10,10
PAMPA AULLAGAS,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4
POROMA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,5,1,6
POTOSI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,3,0,4,6,2,1,4,3,3,45,1,22,5,19,22,21,44,117,161
PUERTO CARABUCO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PUERTO GONZALO MORENO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
PUERTO PEREZ,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
PUERTO SUAREZ,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,1,3,2,7,6,13
PUERTO VILLARROEL,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,3,5
QUIABAYA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,2,4
RAVELO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,2,1,19,0,3,0,1,0,0,2,25,27
ROBORE,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
SAN AGUSTIN,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,2,1,0,5,6,11
SAN BENITO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
SAN JAVIER(BNI),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,5,6
SAN LORENZO(PND),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,3
SAN RAFAEL,telesalud,nro de teleconsultas n,2024-06-01,0,0,1,0,1,0,3,1,1,0,0,4,3,11,0,5,2,2,3,7,14,30,44
SAN RAMON BENI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
SANTIAGO DE CALLAPA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
SANTIAGO DE HUARI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,1,0,0,1,0,0,0,3,0,20,2,0,2,1,2,1,7,26,33
SANTIAGO DE MACHACA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,0,4,0,3,0,15,15
SAPAHAQUI,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SOPACHUY,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,4,2,6
SORATA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SUCRE,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,2,0,0,0,1,3,10,13
TARACO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,8
TARIJA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TITO YUPANQUI (PARQUIPUJIO),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TOCO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,4,2,5,7,12
TOLATA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,0,1,0,6,3,9
TUPIZA,telesalud,nro de teleconsultas n,2024-06-01,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,3
UMALA,telesalud,nro de teleconsultas n,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,1,1,1,10,11
UNCIA,telesalud,nro de teleconsultas n,2024-06-01,1,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,2,6,8
VACAS,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VALLEGRANDE,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,2,2,2,9,11
VILLA NUEVA (LOMA ALTA),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
VILLA SERRANO,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,3,5
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,3,3,6
VILLAZON,telesalud,nro de teleconsultas n,2024-06-01,0,1,0,0,3,2,2,0,1,4,2,6,3,36,0,8,0,4,5,5,16,66,82
YAMPARAEZ,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
YOCALLA,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ZUDAÑEZ,telesalud,nro de teleconsultas n,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AIQUILE,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ANCORAIMES,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,2,1,4,4,8
ANDAMARCA,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,3,5
APOLO,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5,5
ATOCHA,telesalud,nro de teleconsultas n,2024-07-01,1,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,1,0,0,2,4,7,11
AYATA,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
BATALLAS,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,5,6
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,2,3,5
BETANZOS,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,0,2,0,5,6,11
CALAMARCA,telesalud,nro de teleconsultas n,2024-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,4
